	logFC	AveExpr	t	P.Value	adj.P.Val	B	
miR-320	0.18098948489957187	-0.017943483103509388	1.5770765964592752	0.1152522639602539	0.9553625924166689	-4.3603096963727195	
miR-92a	0.11871362465807017	0.8229514749774357	1.11106551134304	0.26694069069436255	0.9553625924166689	-4.600467840844625	
miR-148a	0.13739342268910346	0.6999518114848714	0.9526773169849718	0.3410988585009561	0.9553625924166689	-4.663252937065208	
miR-335	0.14562904972526122	0.0037214369168534476	0.9488500898235003	0.34304068106166696	0.9553625924166689	-4.664651366603672	
miR-27b	0.13154146376579973	0.035893044395625434	0.9320137562502357	0.3516668085695538	0.9553625924166689	-4.670736626168929	
miR-155	-0.06835894844521354	0.036098741255715196	-0.6544302707419628	0.5130603333807132	0.9553625924166689	-4.755408810837537	
miR-21	0.07311329613444122	-0.14466261379824996	0.6517072941078795	0.5148146126637811	0.9553625924166689	-4.756093019565932	
U6...14	0.12584461266824462	-2.1209041551379806	0.6319982734162567	0.5276046665330993	0.9553625924166689	-4.760960468695199	
miR-378	0.04897139879461076	0.40962672972971076	0.6211013768376322	0.5347452163343044	0.9553625924166689	-4.763587588482267	
miR-126*	0.0955373995879758	0.1853889711617045	0.5635523873685176	0.5732482974919577	0.9553625924166689	-4.7767054673215	
miR-28-3p	0.0600156362337597	0.30757716324699996	0.412839202559915	0.679857163559332	0.9553625924166689	-4.805027408189129	
miR-126	-0.04997861857670784	0.644579379166848	-0.3802249873957367	0.7038995177307863	0.9553625924166689	-4.810006544521224	
miR-150	-0.035997721981556575	1.056072566453345	-0.3732314908816705	0.7090948032856752	0.9553625924166689	-4.81102094082563	
miR-122	-0.05881512056802216	1.5532240140444264	-0.35287391158778697	0.724294507664943	0.9553625924166689	-4.813866656302145	
miR-197	0.04570738072516835	1.3067324709527774	0.3393201730050288	0.7344754064929986	0.9553625924166689	-4.815672854369382	
miR-146a	0.046371944093307096	-0.13934939505463317	0.3159578673345312	0.7521333783626676	0.9553625924166689	-4.818620211010958	
miR-191	-0.05369453608376467	1.4283622804508533	-0.3157599834937015	0.7522835170322764	0.9553625924166689	-4.8186442786214965	
miR-223	-0.027043713213002894	1.0304167408468208	-0.21683397598453827	0.8284040691848579	0.9553625924166689	-4.828788856910857	
miR-24	0.022203637521748924	0.869743349131432	0.16170255107511894	0.871589088115051	0.9553625924166689	-4.8328074403511465	
U6...24	0.018596751632606445	-1.8865674560939387	0.08345828855270582	0.9335121952344296	0.9553625924166689	-4.836501387304793	
miR-223*	-0.011212393713448354	1.0666762732380524	-0.07465467031668933	0.9405118694221141	0.9553625924166689	-4.836769443930084	
miR-195	-0.005123246687656852	0.885800658974157	-0.055994968341276735	0.9553625924166689	0.9553625924166689	-4.837238919296384	
