	Triglycerides	Total_cholesterol	HDL_C	LDL_C	CVD0010	CVD0010W
miR-122	1.8367262036712288e-11	0.35578231981450004	1.1832441378379696e-07	0.3346251762059358	0.023792374988909237	0.002930002435562614
miR-126	0.905677427227314	0.37347672403078935	0.114930149426872	0.6735622773025183	0.5403217201062294	0.09521680378016868
miR-150	6.227287452620592e-06	0.005553866404658008	0.14685061114799625	0.012119885028840122	0.05276934919075637	0.00031913758564899847
miR-155	0.6350641164400016	0.8242140360633613	0.24848410700642062	0.661448348521736	0.5323988466216192	0.6636833735429545
miR-191	0.41973427015159104	0.5806452123193964	0.23171897804284014	0.49807748574236765	0.2954835360440882	0.022976202586686725
miR-195	0.34920585320857955	0.5784115205466425	0.6665846068604697	0.8057682942770147	0.7231870841098283	0.1804436235564998
miR-197	0.3766233597596693	0.5875864180738517	0.3661212610113941	0.844561026346066	0.5575525968436696	0.8146275921747115
miR-21	0.6638081749937259	0.9798450693442895	0.04375060004498431	0.6897110438221461	0.31942561271423	0.400201960386942
miR-223	0.5898442012379614	0.44649453010263196	0.176755264798175	0.4143576871023118	0.5341763540150632	0.07910393645401577
miR-24	0.3924357694249486	0.9897993758580838	0.21351382914958647	0.9628383436368599	0.8889028845888347	0.5278558580456378
miR-28-3p	0.3133486560274669	0.732107011733224	0.14249497936776614	0.6237399699234095	0.6657247540302178	0.932927400827621
U6...14	0.47745017014076063	0.8918705865275203	0.5888639120199974	0.32263074749544574	0.3568627076075511	0.08067865862355214
miR-27b	0.915559473304012	0.17484269496948376	0.1715176084785024	0.1933377773824613	0.5505080525826962	0.4706281282415139
miR-92a	0.5846254395429964	0.9180379512326888	0.8069190196429266	0.5155211534105286	0.23029557104217474	0.9474002866117655
miR-146a	0.7270949455570759	0.42199489945532853	0.17918284020585173	0.3927779315794816	0.7362856498994022	0.560428231915086
miR-148a	0.08213797245002871	0.6137203053202043	0.6687205177810325	0.8178757667006283	0.41014377463308904	0.4440332065909405
miR-320	0.987236736833777	0.645232068949049	0.35599384275832013	0.5751152548210017	0.054527371144117626	0.3192412450026925
miR-335	0.42162911215216803	0.5388234082756688	0.02429544843781735	0.7052158316465504	0.23690919705253932	0.8977622102726533
miR-126*	0.7906229537402816	0.30145217357784954	0.003062161941683491	0.7293503748444927	0.5618004584848886	0.9925764213560673
miR-223*	0.4382159559607083	0.3359137489636347	0.0315953231765084	0.2937932028056249	0.7926529016293447	0.799836202247859
miR-378	0.013791131411894786	0.09639318167879572	0.6724362554455574	0.192600588136631	0.7110643073595595	0.2105534705858249
U6...24	0.5405496962124281	0.8629638992298171	0.6625571763090409	0.3038927261188065	0.8322677887945812	0.3826731510383996
