	logFC	AveExpr	t	P.Value	adj.P.Val	B	
miR-320	0.1995419352570803	-0.017943483103509388	1.7141089467604915	0.08697630205847602	0.9458480561234699	-4.278083729690087	
miR-92a	0.13129037852134307	0.8229514749774357	1.2113761131993535	0.22618306237307098	0.9458480561234699	-4.555292305730814	
miR-122	-0.19049542132848782	1.5532240140444264	-1.149557272832817	0.2507409517699301	0.9458480561234699	-4.582855704800606	
miR-335	0.17262806363970742	0.0037214369168534476	1.1087766122182283	0.26792877340158033	0.9458480561234699	-4.600253605801879	
miR-27b	0.1436722303722619	0.035893044395625434	1.0031402948662194	0.3161593041004944	0.9458480561234699	-4.6424146877520585	
miR-150	-0.0843665528553962	1.056072566453345	-0.8680759332291005	0.38566699928651815	0.9458480561234699	-4.690204895015501	
miR-21	0.095005830046175	-0.14466261379824996	0.8352441340075062	0.4038812753133577	0.9458480561234699	-4.700783513017735	
miR-148a	0.12187054627330471	0.6999518114848714	0.8345878550196106	0.40425054696398943	0.9458480561234699	-4.70099082744809	
miR-126*	0.12359102247039286	0.1853889711617045	0.7202207079813462	0.4716430572986964	0.9458480561234699	-4.734637448450196	
U6...14	0.14360885737263676	-2.1209041551379806	0.7120805281710207	0.4766655123115833	0.9458480561234699	-4.736844092116234	
miR-155	-0.06694722174385175	0.036098741255715196	-0.6313687801732997	0.5280171273471947	0.9458480561234699	-4.7573692095553515	
miR-28-3p	0.08794502572778938	0.30757716324699996	0.5962589588340432	0.5512058475424659	0.9458480561234699	-4.765529458280456	
miR-197	0.07009709142795635	1.3067324709527774	0.5126895643317622	0.6083393278926832	0.9458480561234699	-4.783077911307333	
miR-378	0.03571845305787341	0.40962672972971076	0.4477412041640799	0.6544863016555534	0.9458480561234699	-4.794891906917937	
miR-146a	0.05731081780195659	-0.13934939505463317	0.3846086358905521	0.7006507833035813	0.9458480561234699	-4.804845570442911	
miR-24	0.04510528813669174	0.869743349131432	0.32362195124268217	0.7463263654225021	0.9458480561234699	-4.8130280355619774	
miR-126	-0.04266398058213015	0.644579379166848	-0.3199911846853301	0.7490758704340335	0.9458480561234699	-4.813470748150894	
U6...24	0.04889549219049708	-1.8865674560939387	0.21683902384016582	0.8284005336852913	0.9458480561234699	-4.823962417224345	
miR-191	-0.030151622359988608	1.4283622804508533	-0.17470648345218023	0.8613636324448105	0.9458480561234699	-4.827088261818841	
miR-223	-0.015143731453967068	1.0304167408468208	-0.1195658164102497	0.9048633359853071	0.9458480561234699	-4.830162986804266	
miR-223*	0.0134108114695177	1.0666762732380524	0.0880783013865644	0.9298410504350065	0.9458480561234699	-4.831401940266852	
miR-195	0.0063078403783278355	0.885800658974157	0.06794733073110235	0.9458480561234699	0.9458480561234699	-4.831997140075068	
