	Triglycerides	Total_cholesterol	HDL_C	LDL_C	CVD0010	CVD0010W
miR-122	0.2572005269236239	0.03594652329109196	-0.20405351544994815	0.03755730172057138	-0.08785159433692077	0.1154574865648219
miR-126	0.004614037663477867	0.03464513787091723	0.061327336912342566	0.0164027897863741	-0.023840420081607402	0.06490231041848582
miR-150	0.17459665083389994	0.107666526774151	-0.05644655819769334	0.09745285062195015	-0.07531141129934561	0.13946811445979623
miR-155	0.018479637152743447	-0.008649444887852584	-0.044915252370055316	0.01705101252716667	-0.02430834080700145	-0.016931065195354728
miR-191	-0.03141199814092524	0.021509453649073328	0.046544396348027324	0.026377745053192177	-0.04072055923925715	0.08836897418289943
miR-195	0.03644053897664571	0.021636507577403034	0.01677560297977279	0.009574616222420024	-0.013791883451133163	0.05211999887354727
miR-197	-0.03441774480741227	-0.021116079605287844	0.03518134710375727	-0.007634513538111978	0.02283439741127163	0.009129625049260907
miR-21	-0.01692437219675884	0.0009837389650777348	0.07839992902953782	-0.015545625723769736	0.03875530947718759	-0.03274964288370568
miR-223	-0.02098859002546049	0.029637192910197573	0.0525638876843964	0.03177646299099992	-0.024203059253939365	0.06829471586279305
miR-24	-0.03329232303649051	0.0004978414191205496	0.04841106625865065	0.0018142798968501879	0.005439546345722259	0.02457823218226808
miR-28-3p	-0.03924466986830918	0.013329403036547663	0.05706097876516761	0.01910038793323928	0.016821650153993617	0.003277245002051456
U6...14	-0.027657840626808438	0.0052933327010003944	-0.0210439160665364	0.03849965639060858	0.03586591796841604	-0.06793976615204636
miR-27b	-0.004128712863661422	0.052796778075217404	0.05320622661951298	0.05061904542875771	0.023243817471420517	0.02808778860001838
miR-92a	0.021283619708256877	0.004007093667563767	-0.009516747447589067	0.025317056053516106	0.046686499531543434	0.0025689170086453184
miR-146a	-0.013589033494107467	0.0312595745945924	0.052270968497949516	0.033268277960665914	0.013113396636146376	0.02266799324042149
miR-148a	0.06761580692495436	0.019653695594074143	0.016661320913544005	-0.00896677405307785	0.03206406795689315	-0.029797835727793816
miR-320	0.0006229205822551855	0.017926235458176645	0.035930729928252574	0.02182442285465001	0.07476156815487199	-0.038770066097190595
miR-335	-0.0312842054270475	0.02392864444362163	0.08754029486344979	0.014729663298583264	0.046031414596999096	-0.005003280854650436
miR-126*	-0.010338281102669987	0.040221048088720665	0.11493473592839472	0.013472125895285701	0.02258873229651976	0.00036230309298224735
miR-223*	-0.03017953946405357	0.037457368330574045	0.08355420682102235	0.04086324379446615	-0.0102357021022552	0.009873272945996367
miR-378	0.0956750917546889	0.06467322108006478	-0.016462850196008485	0.05070284005662529	0.01442356650523504	-0.04872528792513169
U6...24	-0.023827006989488444	0.0067210120506928	-0.016991484833897025	0.0400186945637459	0.008247051408102762	-0.03398381412018162
