Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	39	69.64285714	1.21E-30	"CXCL1, FGF5, IL18, CCL8, TNFSF14, CXCL6, CCL4, CCL28, IL10, CCL7, ADA, FLT3LG, IL17C, CCL25, IL17A, CCL23, CCL20, PAPPA, REN, PTX3, AGRP, IL6, RNASE3, LGALS3, IL7, IL27, CCL19, IL6R, FGF21, OSM, CCL11, MMP10, DKK1, CST5, MPO, CTSD, NPPB, SELE, MUC16"	56	1347	18224	9.422208081	6.64E-29	6.64E-29	1.19E-27
GOTERM_CC_DIRECT	GO:0005576~extracellular region	40	71.42857143	3.65E-29	"CXCL1, FGF5, IL18, CDCP1, ESM1, CXCL6, CCL4, GDNF, CCL28, IL10, MMP1, CCL7, FLT3LG, IL17C, CCL25, IL17A, CCL23, CCL20, PAPPA, REN, CD6, PTX3, PRL, IL6, RNASE3, IL7, IL27, CCL19, IL6R, FGF21, AGER, MMP12, S100A12, CCL11, OSM, MMP10, DKK1, CST5, CTSD, NPPB"	56	1610	18224	8.085181899	2.01E-27	1.00E-27	3.59E-26
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	22	39.28571429	4.72E-21	"CXCL1, IL18R1, IL6, IL7, IL18, LIFR, TNFSF14, CCL19, CCL8, CXCL6, IL6R, CCL4, CCL28, IL10, CCL7, OSM, CCL11, CCL25, IL17A, CCL23, CCL20, PRL"	40	243	6879	15.56975309	3.16E-19	3.16E-19	4.84E-18
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	12	21.42857143	5.06E-19	"CCL11, CCL25, IL6, CCL23, LGALS3, CCL20, CCL8, CCL19, IL6R, CCL4, CCL7, S100A12"	55	42	16792	87.23116883	3.05E-16	3.05E-16	7.48E-16
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	20	35.71428571	2.86E-18	"CXCL1, IL6, IL27, IL18, CCL19, CCL8, CXCL6, AGER, CCL4, IL10, CCL7, S100A12, IL17C, CCL11, CCL25, IL17A, CCL23, CCL20, PTX3, SELE"	55	379	16792	16.11129767	1.72E-15	8.61E-16	4.22E-15
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	11	19.64285714	4.19E-16	"CCL11, CXCL1, CCL25, CCL23, CCL20, CCL8, CCL19, CXCL6, CCL4, CCL28, CCL7"	56	49	16881	67.67164723	4.84E-14	4.84E-14	5.00E-13
GOTERM_BP_DIRECT	GO:0006955~immune response	19	33.92857143	4.31E-16	"CXCL1, IL18R1, IL6, IL7, IL1RL1, IL18, TNFSF14, CCL19, CCL8, CXCL6, CCL4, CCL28, IL10, CCL11, OSM, CCL25, IL17A, CCL23, CCL20"	55	421	16792	13.77879508	2.67E-13	8.92E-14	6.55E-13
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	10	17.85714286	1.17E-12	"CCL11, CXCL1, CCL25, CCL23, CCL20, CCL8, CCL19, CXCL6, CCL4, CCL7"	55	71	16792	43.00128041	7.03E-10	1.76E-10	1.73E-09
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	10	17.85714286	1.17E-12	"CCL11, CCL25, IL17A, IL6, CCL23, CCL20, CCL8, CCL19, CCL4, CCL7"	55	71	16792	43.00128041	7.03E-10	1.76E-10	1.73E-09
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	13	23.21428571	2.16E-11	"IL17C, FGF5, IL17A, CCL23, CCL20, IL7, IL18, CCL8, CXCL6, FGF21, CCL4, IL10, CCL7"	55	254	16792	15.62605583	1.30E-08	2.60E-09	3.19E-08
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	9	16.07142857	3.31E-11	"CCL11, CCL25, CCL23, LGALS3, CCL20, CCL8, CCL4, CCL7, S100A12"	55	66	16792	41.63305785	2.00E-08	3.33E-09	4.90E-08
REACTOME_PATHWAY	R-HSA-380108:R-HSA-380108	9	16.07142857	8.20E-11	"CCL11, CXCL1, CCL25, CCL20, CCL19, CXCL6, CCL4, CCL28, CCL7"	39	59	9075	35.49543677	5.66E-09	5.66E-09	8.46E-08
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	11	19.64285714	1.88E-10	"CCL11, CCL25, IL6, CCL23, CCL20, CCL8, CCL19, FGF21, SLAMF1, CCL4, CCL7"	55	175	16792	19.19085714	1.13E-07	1.62E-08	2.78E-07
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	11	19.64285714	2.29E-10	"OSM, IL17C, IL17A, IL6, IL7, IL27, IL18, TNFSF14, CCL4, IL10, FLT3LG"	56	176	16881	18.84040179	2.50E-08	1.25E-08	2.58E-07
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	8	14.28571429	5.55E-10	"CCL11, CCL25, CCL23, CCL20, CCL8, CCL19, CCL4, CCL7"	55	57	16792	42.85039872	3.34E-07	4.18E-08	8.20E-07
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	9	16.07142857	2.12E-09	"CCL11, CCL25, IL6, CCL23, CCL20, CCL8, CCL19, CCL4, CCL7"	55	110	16792	24.97983471	1.28E-06	1.42E-07	3.14E-06
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	8	14.28571429	3.29E-09	"CCL11, CCL23, IL1RL1, IL18, CCL8, CCL4, CCL7, S100A12"	55	73	16792	33.45853051	1.98E-06	1.98E-07	4.86E-06
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	9	16.07142857	4.85E-09	"CCL11, CXCL1, CCL25, CCL23, CCL20, CCL8, CXCL6, CCL28, CCL7"	55	122	16792	22.52280179	2.92E-06	2.65E-07	7.16E-06
GOTERM_BP_DIRECT	GO:0048247~lymphocyte chemotaxis	6	10.71428571	2.64E-08	"CCL11, CCL25, CCL23, CCL20, CCL8, CCL19"	55	28	16792	65.42337662	1.59E-05	1.33E-06	3.91E-05
GOTERM_MF_DIRECT	GO:0008083~growth factor activity	9	16.07142857	5.02E-08	"OSM, CXCL1, FGF5, IL6, DKK1, IL7, FGF21, GDNF, IL10"	56	162	16881	16.74702381	5.47E-06	1.82E-06	5.66E-05
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	11	19.64285714	5.28E-08	"CCL11, CXCL1, CCL25, CCL23, CCL20, CCL8, CCL19, CXCL6, CCL4, CCL28, CCL7"	40	186	6879	10.17056452	3.54E-06	1.77E-06	5.41E-05
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	7	12.5	5.93E-08	"CXCL1, CCL25, CCL20, CCL8, CCL19, CXCL6, CCL28"	55	65	16792	32.87944056	3.57E-05	2.75E-06	8.77E-05
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	12	21.42857143	2.18E-07	"OSM, STAMBP, FGF5, IL6, IL7, LIFR, ESM1, IL6R, FGF21, GDNF, SLAMF1, FLT3LG"	55	466	16792	7.862036676	1.31E-04	9.37E-06	3.22E-04
GOTERM_BP_DIRECT	GO:0007165~signal transduction	15	26.78571429	1.25E-05	"CXCL1, IL18R1, IL1RL1, TNFSF14, CCL8, CXCL6, FGF21, GDNF, SLAMF1, CCL4, CCL7, FLT3LG, CCL11, CCL23, CCL20"	55	1161	16792	3.944561898	0.007494793	5.01E-04	0.018463399
GOTERM_MF_DIRECT	GO:0005102~receptor binding	9	16.07142857	1.74E-05	"CXCL1, REN, IL27, NPPB, TNFSF14, AGRP, GDNF, SELPLG, FLT3LG"	56	353	16881	7.685602995	0.001900198	4.75E-04	0.019679841
