Annotation Cluster 1	Enrichment Score: 8.67194225050332											
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	22	39.28571429	4.72E-21	"CXCL1, IL18R1, IL6, IL7, IL18, LIFR, TNFSF14, CCL19, CCL8, CXCL6, IL6R, CCL4, CCL28, IL10, CCL7, OSM, CCL11, CCL25, IL17A, CCL23, CCL20, PRL"	40	243	6879	15.56975309	3.16E-19	3.16E-19	4.84E-18
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	12	21.42857143	5.06E-19	"CCL11, CCL25, IL6, CCL23, LGALS3, CCL20, CCL8, CCL19, IL6R, CCL4, CCL7, S100A12"	55	42	16792	87.23116883	3.05E-16	3.05E-16	7.48E-16
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	20	35.71428571	2.86E-18	"CXCL1, IL6, IL27, IL18, CCL19, CCL8, CXCL6, AGER, CCL4, IL10, CCL7, S100A12, IL17C, CCL11, CCL25, IL17A, CCL23, CCL20, PTX3, SELE"	55	379	16792	16.11129767	1.72E-15	8.61E-16	4.22E-15
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	11	19.64285714	4.19E-16	"CCL11, CXCL1, CCL25, CCL23, CCL20, CCL8, CCL19, CXCL6, CCL4, CCL28, CCL7"	56	49	16881	67.67164723	4.84E-14	4.84E-14	5.00E-13
GOTERM_BP_DIRECT	GO:0006955~immune response	19	33.92857143	4.31E-16	"CXCL1, IL18R1, IL6, IL7, IL1RL1, IL18, TNFSF14, CCL19, CCL8, CXCL6, CCL4, CCL28, IL10, CCL11, OSM, CCL25, IL17A, CCL23, CCL20"	55	421	16792	13.77879508	2.67E-13	8.92E-14	6.55E-13
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	10	17.85714286	1.17E-12	"CCL11, CXCL1, CCL25, CCL23, CCL20, CCL8, CCL19, CXCL6, CCL4, CCL7"	55	71	16792	43.00128041	7.03E-10	1.76E-10	1.73E-09
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	10	17.85714286	1.17E-12	"CCL11, CCL25, IL17A, IL6, CCL23, CCL20, CCL8, CCL19, CCL4, CCL7"	55	71	16792	43.00128041	7.03E-10	1.76E-10	1.73E-09
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	9	16.07142857	3.31E-11	"CCL11, CCL25, CCL23, LGALS3, CCL20, CCL8, CCL4, CCL7, S100A12"	55	66	16792	41.63305785	2.00E-08	3.33E-09	4.90E-08
REACTOME_PATHWAY	R-HSA-380108:R-HSA-380108	9	16.07142857	8.20E-11	"CCL11, CXCL1, CCL25, CCL20, CCL19, CXCL6, CCL4, CCL28, CCL7"	39	59	9075	35.49543677	5.66E-09	5.66E-09	8.46E-08
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	11	19.64285714	1.88E-10	"CCL11, CCL25, IL6, CCL23, CCL20, CCL8, CCL19, FGF21, SLAMF1, CCL4, CCL7"	55	175	16792	19.19085714	1.13E-07	1.62E-08	2.78E-07
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	8	14.28571429	5.55E-10	"CCL11, CCL25, CCL23, CCL20, CCL8, CCL19, CCL4, CCL7"	55	57	16792	42.85039872	3.34E-07	4.18E-08	8.20E-07
