ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	OMIM_DISEASE	REACTOME_PATHWAY
CCL11	C-C motif chemokine ligand 11(CCL11)	Homo sapiens	"GO:0001938~positive regulation of endothelial cell proliferation,GO:0002544~chronic inflammatory response,GO:0002548~monocyte chemotaxis,GO:0002551~mast cell chemotaxis,GO:0006468~protein phosphorylation,GO:0006874~cellular calcium ion homeostasis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007010~cytoskeleton organization,GO:0007015~actin filament organization,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0008360~regulation of cell shape,GO:0009314~response to radiation,GO:0009615~response to virus,GO:0030335~positive regulation of cell migration,GO:0030593~neutrophil chemotaxis,GO:0030838~positive regulation of actin filament polymerization,GO:0035962~response to interleukin-13,GO:0043547~positive regulation of GTPase activity,GO:0045766~positive regulation of angiogenesis,GO:0048245~eosinophil chemotaxis,GO:0048247~lymphocyte chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0060444~branching involved in mammary gland duct morphogenesis,GO:0060763~mammary duct terminal end bud growth,GO:0070098~chemokine-mediated signaling pathway,GO:0070371~ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070670~response to interleukin-4,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0048020~CCR chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa05310:Asthma,"	"600807~Asthma, susceptibility to,609423~HIV1, resistance to,"	"R-HSA-380108:R-HSA-380108,"
CCL19	C-C motif chemokine ligand 19(CCL19)	Homo sapiens	"GO:0001768~establishment of T cell polarity,GO:0001771~immunological synapse formation,GO:0002407~dendritic cell chemotaxis,GO:0002408~myeloid dendritic cell chemotaxis,GO:0002548~monocyte chemotaxis,GO:0002606~positive regulation of dendritic cell antigen processing and presentation,GO:0006874~cellular calcium ion homeostasis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007154~cell communication,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007257~activation of JUN kinase activity,GO:0009615~response to virus,GO:0010560~positive regulation of glycoprotein biosynthetic process,GO:0031295~T cell costimulation,GO:0032735~positive regulation of interleukin-12 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0034695~response to prostaglandin E,GO:0042102~positive regulation of T cell proliferation,GO:0042346~positive regulation of NF-kappaB import into nucleus,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043547~positive regulation of GTPase activity,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045627~positive regulation of T-helper 1 cell differentiation,GO:0045807~positive regulation of endocytosis,GO:0045860~positive regulation of protein kinase activity,GO:0046330~positive regulation of JNK cascade,GO:0048247~lymphocyte chemotaxis,GO:0048260~positive regulation of receptor-mediated endocytosis,GO:0048469~cell maturation,GO:0050718~positive regulation of interleukin-1 beta secretion,GO:0050921~positive regulation of chemotaxis,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051897~positive regulation of protein kinase B signaling,GO:0060326~cell chemotaxis,GO:0060491~regulation of cell projection assembly,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071731~response to nitric oxide,GO:0072610~interleukin-12 secretion,GO:0090023~positive regulation of neutrophil chemotaxis,GO:0097029~mature conventional dendritic cell differentiation,GO:0098586~cellular response to virus,GO:2000107~negative regulation of leukocyte apoptotic process,GO:2000147~positive regulation of cell motility,GO:2000549~positive regulation of dendritic cell dendrite assembly,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0008009~chemokine activity,GO:0031732~CCR7 chemokine receptor binding,GO:0031735~CCR10 chemokine receptor binding,GO:0042379~chemokine receptor binding,GO:0048020~CCR chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04064:NF-kappa B signaling pathway,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
CCL20	C-C motif chemokine ligand 20(CCL20)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0030593~neutrophil chemotaxis,GO:0035584~calcium-mediated signaling using intracellular calcium source,GO:0042060~wound healing,GO:0042742~defense response to bacterium,GO:0043547~positive regulation of GTPase activity,GO:0048247~lymphocyte chemotaxis,GO:0050726~positive regulation of interleukin-1 alpha biosynthetic process,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071223~cellular response to lipoteichoic acid,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0072678~T cell migration,GO:0072679~thymocyte migration,GO:2000406~positive regulation of T cell migration,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0031731~CCR6 chemokine receptor binding,GO:0048020~CCR chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04668:TNF signaling pathway,hsa05323:Rheumatoid arthritis,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
CCL23	C-C motif chemokine ligand 23(CCL23)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006874~cellular calcium ion homeostasis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0008285~negative regulation of cell proliferation,GO:0030593~neutrophil chemotaxis,GO:0043547~positive regulation of GTPase activity,GO:0048247~lymphocyte chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:2001264~negative regulation of C-C chemokine binding,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,"	"GO:0008009~chemokine activity,GO:0008201~heparin binding,GO:0031726~CCR1 chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,"		"R-HSA-416476:R-HSA-416476,R-HSA-418594:R-HSA-418594,R-HSA-444473:R-HSA-444473,"
CCL25	C-C motif chemokine ligand 25(CCL25)	Homo sapiens	"GO:0001954~positive regulation of cell-matrix adhesion,GO:0002548~monocyte chemotaxis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,GO:0030593~neutrophil chemotaxis,GO:0043547~positive regulation of GTPase activity,GO:0048247~lymphocyte chemotaxis,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:1903237~negative regulation of leukocyte tethering or rolling,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,"	"GO:0005179~hormone activity,GO:0008009~chemokine activity,GO:0031735~CCR10 chemokine receptor binding,GO:0042379~chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04672:Intestinal immune network for IgA production,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
CCL28	C-C motif chemokine ligand 28(CCL28)	Homo sapiens	"GO:0001954~positive regulation of cell-matrix adhesion,GO:0006935~chemotaxis,GO:0006955~immune response,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007584~response to nutrient,GO:0060326~cell chemotaxis,GO:1903237~negative regulation of leukocyte tethering or rolling,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,GO:0070062~extracellular exosome,"	"GO:0005515~protein binding,GO:0008009~chemokine activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04672:Intestinal immune network for IgA production,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
CCL4	C-C motif chemokine ligand 4(CCL4)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006928~movement of cell or subcellular component,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007155~cell adhesion,GO:0007163~establishment or maintenance of cell polarity,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0009615~response to virus,GO:0009636~response to toxic substance,GO:0030593~neutrophil chemotaxis,GO:0035690~cellular response to drug,GO:0043547~positive regulation of GTPase activity,GO:0043922~negative regulation by host of viral transcription,GO:0050729~positive regulation of inflammatory response,GO:0050850~positive regulation of calcium-mediated signaling,GO:0051928~positive regulation of calcium ion transport,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:2000503~positive regulation of natural killer cell chemotaxis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,"	"GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0031726~CCR1 chemokine receptor binding,GO:0031730~CCR5 chemokine receptor binding,GO:0042802~identical protein binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04064:NF-kappa B signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa05132:Salmonella infection,"		"R-HSA-380108:R-HSA-380108,"
CCL7	C-C motif chemokine ligand 7(CCL7)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006874~cellular calcium ion homeostasis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0007010~cytoskeleton organization,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0008360~regulation of cell shape,GO:0010332~response to gamma radiation,GO:0030335~positive regulation of cell migration,GO:0030593~neutrophil chemotaxis,GO:0043547~positive regulation of GTPase activity,GO:0048245~eosinophil chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071361~cellular response to ethanol,GO:2000503~positive regulation of natural killer cell chemotaxis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,"	"GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0008201~heparin binding,GO:0031726~CCR1 chemokine receptor binding,GO:0031727~CCR2 chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,"		"R-HSA-380108:R-HSA-380108,"
CCL8	C-C motif chemokine ligand 8(CCL8)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0002687~positive regulation of leukocyte migration,GO:0006468~protein phosphorylation,GO:0006816~calcium ion transport,GO:0006874~cellular calcium ion homeostasis,GO:0006887~exocytosis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0009615~response to virus,GO:0030593~neutrophil chemotaxis,GO:0043547~positive regulation of GTPase activity,GO:0048247~lymphocyte chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070664~negative regulation of leukocyte proliferation,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,"	"GO:0005615~extracellular space,GO:0005623~cell,"	"GO:0004672~protein kinase activity,GO:0008009~chemokine activity,GO:0008201~heparin binding,GO:0016004~phospholipase activator activity,GO:0048020~CCR chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,"		
CXCL1	C-X-C motif chemokine ligand 1(CXCL1)	Homo sapiens	"GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007399~nervous system development,GO:0008283~cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0030036~actin cytoskeleton organization,GO:0032496~response to lipopolysaccharide,GO:0035556~intracellular signal transduction,GO:0043085~positive regulation of catalytic activity,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0090023~positive regulation of neutrophil chemotaxis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0005102~receptor binding,GO:0008009~chemokine activity,GO:0008047~enzyme activator activity,GO:0008083~growth factor activity,GO:0045236~CXCR chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04668:TNF signaling pathway,hsa05132:Salmonella infection,hsa05134:Legionellosis,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
