Regulator	Target	MI
IL1RN	CSTB	0.3273731119446399
IL1RN	PLAT	0.3538093816050214
IL1RN	DNER	0.18390022640804204
IL1RN	TNFSF14	0.13839933976639607
IL1RN	OSM	0.17063153194355074
IL1RN	SELE	0.18960781789434034
IL1RN	CD6	0.13952795005670993
SPON1	THBD	0.348653693877659
SPON1	LIFR	0.19484274463413698
SPON1	AGER	0.2956472549286655
SPON1	CCL25	0.3025269691167489
SPON1	TNFRSF10B	0.4097123475696627
CSF1	CXCL8	0.2308734400057002
CSF1	RNY4-3p	0.2610193985056384
CSF1	NGF	0.37154398889773343
CSF1	TGFA	0.4936995089755527
CSF1	CCL4	0.1332033438570015
CSF1	GDNF	0.17401869242155943
CSF1	CD5	0.4846785645309577
CSF1	IL7	0.34046171747007037
PLAT	SULT1A1	0.12824470934228227
PLAT	GH1	0.14857814258756452
PLAT	IL1RN	0.3538093816050205
PLAT	IL6	0.22004162255451298
PLAT	AGRP	0.11916473645523507
PLAT	CST5	0.10570747676061298
PLAT	IL18R1	0.13489606398202536
PLAT	FGF21	0.26973048159766666
MPO	SELPLG	0.16896066991168812
MPO	PRL	0.19073320648758685
MPO	RETN	0.28419237032046674
MPO	IL6	0.15506650758880802
MPO	IL7	0.23568837875895188
CXCL16	TNFSF12	0.23677232519575409
CXCL16	DKK1	0.23372626840358013
CXCL16	PGF	0.2800150270028565
FGF5	NT-pro-BNP	0.19770248933413992
FGF5	F2R	0.2227617279749552
FGF5	VEGFD	0.18285344312653962
FGF5	MMP12	0.16712671411542868
FGF5	LTA	0.10421610127987257
NPPB	NT-pro-BNP	1.280033200550828
NPPB	CD40	0.31830138295960264
NPPB	CXCL8	0.3159587930305996
NPPB	CCL25	0.2176968012278815
NPPB	GH1	0.12746434662270723
LGALS3	CSTB	0.35317688361185784
LGALS3	CD40LG	0.1564917292519219
LGALS3	FAS	0.32119001834460104
PLAU	CCL2	0.395327890288776
PLAU	MUC16	0.17094614968263766
PLAU	IL10RB	0.31823876489222247
PLAU	TNFSF12	0.45242969755983786
PLAU	CDCP1	0.20447872048453863
PLAU	CCL28	0.27229881774166653
TNFSF10	CCL13	0.2256023587988354
TNFSF10	BDNF	0.09788505993361252
TNFSF10	TNFSF12	0.18428821439884313
TNFSF10	OLR1	0.12060270125500505
TNFSF10	ADA	0.17502911400978594
IL12B	CD274	0.186083381794095
IL12B	BDNF	0.14180240221984963
IL12B	CD5	0.18748222921569724
IL12B	XPNPEP2	0.12692811957712724
TNFSF11	ESM1	0.10600505715940578
TNFSF11	CCL8	0.12653233003469921
TNFSF11	IL10RB	0.1937892303029507
TNFSF11	IL27	0.11367894050856897
IL6R	CSTB	0.1799079328911617
IL6R	AGER	0.14815556780037298
IL6R	DKK1	0.22225426510639856
IL6R	CD40LG	0.13960068705026973
IL15RA	TNFRSF1B	0.35525655856811156
IL15RA	TGFA	0.44079708551157726
IL15RA	TNFSF14	0.17596442842483917
IL15RA	CD6	0.13985089128645
RNY4-3p	CSF1	0.2610193985056384
RNY4-3p	BDNF	0.10282098492091318
RNY4-3p	RNY4-5p	0.8186177317697956
RNY4-3p	RNY5-5p	0.41436030574180815
FST	HAVCR1	0.22529649866293955
FST	EGF	0.1479247518949096
FST	PLAUR	0.2611225055037787
FST	IL17A	0.1223776898693627
HGF	PLAU	0.3143254588405453
HGF	TGFA	0.5135670111386954
HGF	TNFRSF11B	0.6028607094956175
HGF	S100A12	0.26743649990831386
HGF	CCL20	0.3414075282271094
HGF	CXCL10	0.19607755284975426
HGF	REN	0.12791163998975374
F2R	PRL	0.10693517638436223
F2R	FGF5	0.22276172797495608
F2R	TNFRSF1B	0.6023876533269998
F2R	HBEGF	0.6142827926260512
F2R	RNY5-5p	0.2055867525611541
F2R	PDGFB	0.31748227172014953
F2R	MUC16	0.22707800190194138
FLT3LG	IL10RB	0.14404655554605572
FLT3LG	IL18	0.16136455419028728
LIFR	SPON1	0.1948427446341361
LIFR	CXCL8	0.21333925532323672
LIFR	CX3CL1	0.23699881425834146
LIFR	IL1RL1	0.18871691940894308
LIFR	IL10	0.14262053276554276
LIFR	IL10RA	0.1786784937840995
LIFR	GH1	0.14807459821038105
RNASE3	RETN	0.3915371500437308
RNASE3	CCL19	0.1154632583289894
RNASE3	MMP12	0.15973677705345146
DKK1	CXCL16	0.23372626840358013
DKK1	CCL4	0.11344455335837456
DKK1	OLR1	0.2099473423270739
DKK1	IL6R	0.22225426510639856
DKK1	TGFB1	0.16232094381354756
DKK1	PAPPA	0.20027733119632796
PGF	CXCL16	0.2800150270028565
PGF	ESM1	0.3267998142831887
PGF	TNFRSF1A	0.7438684131876654
PGF	EIF4EBP1	0.36802639621355215
PGF	TNFRSF10B	0.7533442608237468
PGF	KLK11	0.5697530129960091
PGF	FAS	0.46570643842971116
PGF	AGRP	0.17546898247658937
PAPPA	DKK1	0.20027733119632884
PAPPA	ESM1	0.2822129068851771
PAPPA	IL6	0.1628039914030257
