Regulator	Target	MI
IL1RN	IL10RA	0.1350873429003867
IL1RN	FABP4	0.29864241251759527
IL1RN	S100A12	0.1385569329450531
IL1RN	CCL19	0.09511453556088156
SPON1	HSPB1	0.21163270230088305
SPON1	ESM1	0.20741101003497864
SPON1	CCL11	0.21706226881350155
SPON1	CST5	0.20289333741923787
SPON1	TNFRSF10B	0.49993081492294955
SPON1	GDNF	0.15931965460159336
CSF1	CXCL8	0.29944264501036244
CSF1	IL10	0.22662851267431616
CSF1	HGF	0.4884079511209549
CSF1	TGFA	0.40182430662008883
CSF1	BDNF	0.10533763124528672
CSF1	IL10RB	0.5043388905113755
PLAT	ADM	0.16347198328103385
PLAT	REN	0.16762631018300134
PLAT	TEK	0.1618318788109896
PLAT	FGF21	0.18079031051631933
MPO	THBD	0.21203020731672328
MPO	ESM1	0.1611874604360466
MPO	DNER	0.11176154560397578
MPO	EIF4EBP1	0.20741185256093164
MPO	RNASE3	0.20152961322856644
MPO	LEP	0.1010384038357044
MPO	CD244	0.24347475073303215
CXCL16	PRL	0.12506508759111234
CXCL16	CXCL5	0.12210300415486053
CXCL16	IL6R	0.30355070917762017
CXCL16	XPNPEP2	0.12322152321802893
CXCL16	FAS	0.40636494513990495
FGF5	NT-pro-BNP	0.21984257086937564
FGF5	CXCL8	0.24448105134275977
FGF5	F2R	0.26755588340350656
FGF5	LIFR	0.3219924642292593
FGF5	VEGFD	0.14235202604154562
FGF5	MMP12	0.19949850217294696
NPPB	NT-pro-BNP	1.3814914972209795
NPPB	CCL23	0.23670740361787423
NPPB	GDF15	0.2271641833853124
NPPB	CXCL1	0.18131304318977026
LGALS3	CSTB	0.36269858854530046
LGALS3	IL18R1	0.10448652366073752
PLAU	CCL11	0.3811975451894032
PLAU	CCL2	0.44991812904448203
PLAU	HGF	0.3644268311316132
PLAU	TNFSF12	0.3324406216633822
PLAU	MMP10	0.2297795443415831
TNFSF10	VEGFD	0.12572691694545224
TNFSF10	CCL2	0.1949231268069438
TNFSF10	AGRP	0.14083767947867365
IL12B	TNFSF11	0.09603260311728778
IL12B	TNFRSF9	0.2987774331652817
IL12B	IL18	0.2125372614130825
IL12B	PTX3	0.14349074101993686
TNFSF11	FST	0.1594161599718218
TNFSF11	IL12B	0.09603260311728778
TNFSF11	PRL	0.11289679255688423
IL6R	CXCL16	0.30355070917762017
IL6R	IL18	0.137719148105373
IL6R	IL16	0.22148055961541058
IL15RA	CDCP1	0.24145417734023766
IL15RA	TGFA	0.31736353968127595
RNY4-3p	RNY5-5p	0.3032831976506669
RNY4-3p	MB	0.15685079969164128
RNY4-3p	BDNF	0.09726009962950233
RNY4-3p	RNY4-5p	0.6742436468435544
FST	TNFSF11	0.1594161599718218
FST	CTSD	0.18170272996538728
FST	PGF	0.23962265941256078
FST	GAL	0.2094917317828484
HGF	CSF1	0.4884079511209549
HGF	PLAU	0.36442683113161234
HGF	LIFR	0.3042280202405321
HGF	TNFRSF11B	0.5169661089744464
HGF	FGF23	0.3449196654075992
HGF	CCL20	0.24718132432924378
HGF	CD6	0.21664199961278197
HGF	ADA	0.34091897609389843
F2R	ADM	0.34683166698724754
F2R	FGF5	0.26755588340350656
F2R	CASP8	0.2704978415628947
F2R	DNER	0.17331801793951396
F2R	PLAUR	0.48692668714656673
F2R	F3	0.44340866844256777
F2R	PECAM1	0.3821980905023894
FLT3LG	OSM	0.09340423097167694
FLT3LG	CXCL1	0.18012082418178643
FLT3LG	CCL2	0.2496282049897598
LIFR	FGF5	0.3219924642292593
LIFR	CTSD	0.13725135934626564
LIFR	HGF	0.30422802024053297
LIFR	TNFRSF1A	0.31898060091974756
RNASE3	MPO	0.20152961322856555
RNASE3	MMP1	0.18987989099714486
RNASE3	PLAUR	0.22067198713719627
DKK1	THBD	0.25375091246100023
DKK1	PAPPA	0.16112603268476366
PGF	FST	0.23962265941256167
PGF	IL16	0.3405957240232267
PGF	TNFRSF1A	0.586558044575658
PGF	RETN	0.3710539166393154
PGF	KLK11	0.4640836901901686
PAPPA	NT-pro-BNP	0.1669697008258506
PAPPA	CXCL6	0.22890080028302862
PAPPA	DKK1	0.16112603268476278
PAPPA	ESM1	0.2635622629085619
PAPPA	GAL	0.13422355366133232
PAPPA	NTF3	0.18547352075454437
STAMBP	HSPB1	0.6637582841466276
STAMBP	CASP8	0.3050480247336518
STAMBP	CCL4	0.15726659720847191
STAMBP	MMP1	0.1410880417419147
STAMBP	MMP12	0.11403422085049542
STAMBP	CDCP1	0.1463654636429812
CD274	CST5	0.19787375651468864
CD274	IL1RL1	0.15698964216660194
CD274	TNFRSF1A	0.40525941417429223
CD274	PTX3	0.19243540811231874
RNY5-5p	RNY4-3p	0.32396685338883824
RNY5-5p	KLK11	0.15682330216284424
RNY5-5p	KITLG	0.15864952536226973
RNY5-5p	XPNPEP2	0.12491555662965492
PDGFB	CXCL5	0.3414704424427928
PDGFB	EGF	0.6993649077130888
PDGFB	RNY4-5p	0.33818784754877473
PDGFB	MMP10	0.1279922148445216
PDGFB	SIRT2	0.5920797119540433
PDGFB	KITLG	0.13088427063764208
PDGFB	PTX3	0.19063682392302006
TGFA	CD40	0.5611439433172087
TGFA	CSF1	0.4018243066200897
TGFA	IL15RA	0.31736353968127506
TGFA	NGF	0.38269409736928406
TGFA	RETN	0.33290644061463137
TGFA	CCL8	0.25450886412786566
TGFA	EIF4EBP1	0.44334931494672336
TGFA	CCL23	0.38007725719623053
TGFA	VEGFA	0.6327231888496465
TGFA	IL17C	0.26364402394126873
TNFRSF11B	HGF	0.5169661089744473
TNFRSF11B	CDCP1	0.2363968806551684
TNFRSF11B	IL7	0.20895096357336573
AGER	CCL2	0.1616652993254668
AGER	VEGFD	0.1810782082340463
AGER	LEP	0.11906213439353408
AGER	FAS	0.23445076877473348
KLK6	CXCL5	0.1506719113169508
KLK6	RNY4-5p	0.12131946872080146
KLK6	TNFRSF10B	0.40784162032491
KLK6	GH1	0.20508034189993918
SULT1A1	CCL13	0.19342908975256368
SULT1A1	SRC	0.47886104025141396
EIF4EBP1	PRL	0.21314323209670416
EIF4EBP1	MPO	0.20741185256093164
EIF4EBP1	TGFA	0.44334931494672336
EIF4EBP1	CCL3	0.35930311745710064
S100A12	IL10	0.29218284585898857
S100A12	CCL23	0.19653130283895504
S100A12	IL1RN	0.1385569329450531
S100A12	CXCL8	0.23089644068578075
S100A12	OSM	0.23198350150382652
S100A12	CCL7	0.1918816674511321
FGF23	HGF	0.3449196654075992
FGF23	CCL19	0.16365152011936868
FGF23	KLK11	0.43021566166228986
FGF21	IL10	0.12699843428161461
FGF21	GDF15	0.20491198228654284
FGF21	PLAT	0.18079031051631933
FGF21	IL18R1	0.12107505966878751
SLAMF1	VEGFA	0.2591539247999979
SLAMF1	IL17A	0.22766602945799708
TGFB1	IL10RB	0.4950505285966793
TGFB1	IL10RA	0.2201387386326692
TGFB1	CD244	0.32018876946719566
MUC16	LTA	0.09489384227946651
MUC16	HBEGF	0.13547139818956477
TNFSF14	CCL23	0.15833664997210928
TNFSF14	CXCL11	0.1627579805282089
TNFSF14	CASP8	0.19860930534236676
TNFSF14	CTSL	0.1657852356939289
TNFSF14	IL18R1	0.1474582115174563
BDNF	HSPB1	0.0993757938874067
BDNF	TNFRSF1A	0.11180391604402562
TNFRSF9	IL12B	0.2987774331652826
TNFRSF9	IL10RB	0.4362678088458871
TNFRSF9	KLK11	0.40718595514836853
TNFRSF9	CCL28	0.24492857344144436
TNFSF12	PLAU	0.3324406216633822
TNFSF12	DNER	0.24737218329588284
TNFSF12	MMP12	0.129492523202134
TNFSF12	CD5	0.2300351316086804
TNFSF12	FGF19	0.11684922980399559
TNFSF12	LTA	0.1335462592039489
TNFSF12	FAS	0.18954266809967812
TNFRSF10B	SPON1	0.49993081492294955
TNFRSF10B	F3	0.3582993853287775
TNFRSF10B	TNFRSF1A	0.6161175508558774
TNFRSF10B	HBEGF	0.6024605276423136
TNFRSF10B	CSTB	0.45508320089788423
TNFRSF10B	KLK6	0.40784162032491
TNFRSF10B	GDF15	0.43622572349970223
TNFRSF10B	KLK11	0.4690970613173473
TNFRSF10B	AGRP	0.2762975879698031
SELE	CCL25	0.15047112322254375
SELE	IL18	0.12672629044406047
SELE	ADM	0.15028389515562957
SELE	CXCL11	0.2053624503787157
SELE	ESM1	0.12981171005142755
SELE	PECAM1	0.2920558719886479
CXCL10	CDCP1	0.2535978406178483
CXCL10	CSTB	0.3343695250138081
CXCL10	CCL7	0.14724161682197767
CXCL10	CCL3	0.3465049235040736
CXCL10	CXCL11	0.5121431558575189
GH1	FABP4	0.25804251642323983
GH1	CCL19	0.14003563694943466
GH1	KLK6	0.20508034189993918
CXCL11	CXCL9	0.4332356025904751
CXCL11	IL10	0.1867542343063171
CXCL11	TNFSF14	0.1627579805282089
CXCL11	SELE	0.2053624503787157
CXCL11	CXCL10	0.5121431558575189
CXCL11	IL6	0.2751392878051542
IL6	PLAUR	0.2542672944737241
IL6	CXCL11	0.27513928780515506
GDNF	SPON1	0.15968603716705498
GDNF	AXIN1	0.11621814828078314
GDNF	NGF	0.16554343128508808
GDNF	IL17C	0.11267548818273454
IL7	SELPLG	0.10554370597476304
IL7	HSPB1	0.22378237746942986
IL7	TNFRSF11B	0.20895096357336662
IL7	CXCL5	0.22846946715828143
FGF19	MMP7	0.1176067803027987
FGF19	BDNF	0.14973157261293402
FGF19	TNFSF12	0.11684922980399559
