Regulator	Target	MI
IL1RN	PLAT	0.22373289684295283
IL1RN	PRL	0.14608794069643505
IL1RN	FABP4	0.32703235315123447
IL1RN	GDNF	0.23839604911002077
SPON1	PLAUR	0.35417764846663236
SPON1	FABP4	0.268244832621499
SPON1	CD6	0.11142233063568607
SPON1	CCL28	0.1789560542055053
CSF1	CX3CL1	0.3808421780101581
CSF1	IL18	0.23629786083564763
CSF1	TNFRSF1B	0.35027395431706587
CSF1	TGFA	0.39284456041241533
CSF1	TNFRSF11B	0.3133207998668466
CSF1	CCL7	0.2309520034992607
CSF1	NTF3	0.23050116027409473
CSF1	EIF4EBP1	0.3623278004409336
CSF1	S100A12	0.2152247849272415
CSF1	IL10RB	0.42137683528226777
CSF1	CD5	0.4007863740886437
CSF1	ADA	0.27648277206083893
PLAT	CCL23	0.0947449334207251
PLAT	IL1RN	0.22373289684295194
PLAT	TNFSF14	0.2227317493955132
PLAT	RNY5-5p	0.12101039355964982
PLAT	IL6	0.16176373875666883
PLAT	FGF21	0.1407484738778182
MPO	SELPLG	0.09021774879011168
MPO	RETN	0.29810588247074854
MPO	PAPPA	0.2091062617677819
CXCL16	TNFSF12	0.2512154811861862
CXCL16	PLAUR	0.3736026615563173
CXCL16	PGF	0.48498624054003514
CXCL16	HBEGF	0.47886128432338015
FGF5	OSM	0.1857335307341499
FGF5	NTF3	0.17199663944661747
FGF5	OLR1	0.19593790167914715
FGF5	TEK	0.20453574077281544
FGF5	IL17C	0.14842612034217417
FGF5	SLAMF1	0.17761505310524406
NPPB	NT-pro-BNP	1.415096577866291
NPPB	CXCL5	0.21467052702401812
NPPB	IL10RA	0.18457307426694758
NPPB	FLT3LG	0.15289707522016194
NPPB	PAPPA	0.2150487296322554
NPPB	CHI3L1	0.2782488132449581
LGALS3	CSTB	0.3602372252772037
LGALS3	ESM1	0.2990975522663595
LGALS3	IL6R	0.2517320969818142
LGALS3	CCL20	0.16869330540870475
LGALS3	IL16	0.2846206480334388
LGALS3	F3	0.2896301704039477
LGALS3	SELE	0.21707265454222924
LGALS3	VEGFA	0.28241758703296327
PLAU	SRC	0.19717498443175963
PLAU	TNFRSF11B	0.4453192902909002
PLAU	CCL2	0.368626547640301
PLAU	OLR1	0.20780064404474885
PLAU	TNFSF12	0.42124879125846704
PLAU	MMP10	0.18690197815333498
TNFSF10	CXCL5	0.14082833869456923
TNFSF10	IL1RL1	0.1722746348389741
TNFSF10	TNFSF11	0.15601597504007536
TNFSF10	CD5	0.30797288900818476
IL12B	TNFRSF9	0.22084898364260752
IL12B	PLAUR	0.2486942628574491
IL12B	CXCL11	0.19638635718827313
TNFSF11	GDF15	0.13229577849256025
TNFSF11	TNFRSF9	0.11990656982794334
TNFSF11	TNFSF10	0.15601597504007536
TNFSF11	IL27	0.27956536484483063
IL6R	LGALS3	0.2739503436249162
IL6R	CCL19	0.1839786631431135
IL6R	LIFR	0.16606891193500406
IL15RA	CD40	0.32455190273252654
IL15RA	CCL8	0.21436400426089897
IL15RA	MMP10	0.23580963743049121
IL15RA	TNFRSF1A	0.3113870740088487
RNY4-3p	RNY4-5p	0.5953211029953156
RNY4-3p	TGFA	0.16619141663053494
RNY4-3p	IL27	0.201679163631578
FST	OSM	0.303946197468445
FST	PGF	0.28262843448578057
FST	IL17A	0.15884755207037493
HGF	CX3CL1	0.3325734673670535
HGF	IL10	0.1836637636556686
HGF	MMP3	0.19346852713412943
HGF	STAMBP	0.1784202385354341
HGF	TGFA	0.35858888324097826
HGF	TNFRSF11B	0.4748336106769653
HGF	TNFSF14	0.2289744523757955
HGF	CCL20	0.20780377215275347
HGF	CD5	0.2955646810128547
HGF	AGRP	0.22028558264451625
HGF	ADA	0.2526295318368561
F2R	TNFRSF1B	0.5768579329946402
F2R	SIRT2	0.2635714931808568
F2R	GDNF	0.17616401450897445
FLT3LG	AGER	0.24619335232056372
FLT3LG	IL1RL1	0.151159746058128
FLT3LG	CCL2	0.30108477362946573
FLT3LG	TNFRSF10B	0.16714156814683
LIFR	TGFA	0.2506708485855791
LIFR	DNER	0.17754531922385208
LIFR	IL6R	0.16606891193500406
LIFR	MMP10	0.23452400455198674
LIFR	ADA	0.2572763012534871
RNASE3	PLAUR	0.24652774607720573
RNASE3	IL16	0.3062843234755279
RNASE3	DKK1	0.24423750975781378
RNASE3	GH1	0.14386347405849964
DKK1	CCL19	0.13395814318207577
DKK1	CTSD	0.1474697152138562
DKK1	RNASE3	0.2442375097578129
DKK1	SIRT2	0.2592154260227737
DKK1	AGRP	0.2066403869777913
DKK1	HBEGF	0.3450452237942212
PGF	CXCL16	0.48498624054003425
