Regulator	Target	MI
IL1RN	CSTB	0.3481013927379566
IL1RN	HSPB1	0.16103991339136758
IL1RN	CCL4	0.21268616271290508
IL1RN	TNFSF11	0.12386340641875648
IL1RN	CTSD	0.17521122124019417
IL1RN	TNFSF14	0.321780611766159
IL1RN	IL7	0.16231981808488616
SPON1	CXCL16	0.3314630669791381
SPON1	MMP7	0.45797829700733317
SPON1	LIFR	0.21563666869439935
SPON1	VEGFD	0.2468111153661221
SPON1	CCL28	0.18281718526654522
CSF1	IL12B	0.3208168019130282
CSF1	IL15RA	0.4371646113969936
CSF1	TNFRSF1B	0.45129084097180705
CSF1	TNFRSF11B	0.440503783859457
CSF1	CCL7	0.2078161628957913
CSF1	CCL2	0.38828357424778925
CSF1	VEGFA	0.48953989680125964
CSF1	CD5	0.5362080286879651
CSF1	PTX3	0.2550334828020109
PLAT	PDGFB	0.13731627955721937
PLAT	FABP4	0.34451173826270143
PLAT	TNFSF10	0.18197904036907087
PLAT	IL18R1	0.3083382717894345
MPO	IL16	0.3091594730757494
MPO	XPNPEP2	0.17088223837810457
MPO	HBEGF	0.2875817021645153
CXCL16	SPON1	0.3314630669791381
CXCL16	OLR1	0.28721062088532
CXCL16	IKBKG	0.26833719152549396
CXCL16	IL6R	0.31286976741888317
CXCL16	FGF21	0.16933158602807463
CXCL16	FABP4	0.25007173114447045
FGF5	F2R	0.22849683175066904
FGF5	AGER	0.18231842521375796
FGF5	ESM1	0.18323385726228913
FGF5	CCL8	0.15540283607418193
FGF5	GDNF	0.23329887276965966
FGF5	FGF23	0.1725856773370973
NPPB	NT-pro-BNP	1.2974930247217102
NPPB	SULT1A1	0.17746927254990474
NPPB	VEGFD	0.19742971086279848
NPPB	VEGFA	0.21850137668760272
NPPB	REN	0.22741805736652765
LGALS3	THBD	0.3481204546126859
LGALS3	IL6R	0.2800722826427018
LGALS3	FABP4	0.46669176550510016
LGALS3	PECAM1	0.23292775036803892
PLAU	PDGFB	0.26215240579389043
PLAU	CCL8	0.1665168824701002
PLAU	TGFB1	0.3598790998367045
PLAU	HGF	0.46615442556611875
PLAU	TNFSF12	0.3933021604699496
PLAU	IL18	0.3062616449578588
PLAU	IL18R1	0.14919829276754637
TNFSF10	IL18	0.17144852673859834
TNFSF10	PLAT	0.18197904036907087
TNFSF10	NGF	0.1956963573536994
TNFSF10	TNFRSF1A	0.217530347798772
TNFSF10	IL7	0.14351887227048454
TNFSF10	PAPPA	0.0968013633421263
TNFSF10	PTX3	0.18075330316038496
TNFSF10	CCL28	0.1458075267439778
IL12B	CSF1	0.3208168019130282
IL12B	SLAMF1	0.1749516774951143
IL12B	F2R	0.24141863284791754
TNFSF11	IL1RN	0.12386340641875648
TNFSF11	IL10RA	0.11592393732312001
TNFSF11	MMP3	0.09940119856212792
TNFSF11	ESM1	0.12258232153025794
TNFSF11	XPNPEP2	0.18587964619260422
TNFSF11	CCL2	0.19980446141531516
TNFSF11	REN	0.11720830037291474
IL6R	CXCL16	0.3128697674188823
IL6R	LGALS3	0.2800722826427018
IL6R	F3	0.2978227856380071
IL6R	KITLG	0.18946789548592502
IL6R	CD6	0.11815985193576939
IL6R	LEP	0.16747671208819437
IL15RA	CSF1	0.4371646113969936
IL15RA	CX3CL1	0.31831156298557595
IL15RA	MB	0.25023922730720205
IL15RA	MMP10	0.19967446606248895
IL15RA	CCL8	0.18588679769407168
IL15RA	TGFB1	0.28877695997911434
IL15RA	CXCL10	0.22216435499762
IL15RA	ADA	0.2006236866254758
RNY4-3p	RNY4-5p	0.8382799713945284
RNY4-3p	RNY5-5p	0.2303441430012736
RNY4-3p	PDGFB	0.33328164748267675
RNY4-3p	AGER	0.12073291253583562
RNY4-3p	CD6	0.14806990828198252
RNY4-3p	GDNF	0.10072951548380527
FST	NT-pro-BNP	0.24526008029665025
FST	IL16	0.23848665136880154
FST	VEGFD	0.21746493925483623
FST	LTA	0.13545663717405354
FST	IL17A	0.14559326781666293
HGF	TGFA	0.4723185894422359
HGF	TNFRSF11B	0.44533136768501347
HGF	PLAU	0.46615442556611963
HGF	CCL20	0.16017562361374527
HGF	NGF	0.39172069382123986
HGF	GDNF	0.20982338872140183
HGF	CCL28	0.34551024659747753
F2R	FGF5	0.22849683175066815
F2R	IL12B	0.24141863284791842
F2R	SIRT2	0.2059626358704536
F2R	TNFRSF1A	0.6318895041731478
F2R	PAPPA	0.30541240775077316
F2R	VEGFD	0.25646775827436485
F2R	CXCL10	0.30793228020826824
F2R	FAS	0.4670597019719045
FLT3LG	CXCL8	0.185232344226554
FLT3LG	VEGFA	0.2999334924108865
FLT3LG	CXCL10	0.36528617115630535
FLT3LG	CCL8	0.16976755084109563
FLT3LG	MB	0.1553493003234836
FLT3LG	CCL2	0.2429611644131553
LIFR	SPON1	0.21563666869439846
LIFR	TNFRSF11B	0.3204074154224994
LIFR	CX3CL1	0.3371396650378484
LIFR	CASP8	0.155420339436656
LIFR	OSM	0.12289122636327665
RNASE3	CXCL1	0.20064924219467617
RNASE3	PLAUR	0.261085838841856
RNASE3	IL18R1	0.1518735246256364
DKK1	PDGFB	0.3703736251240821
DKK1	CTSL	0.15566239161029571
DKK1	BDNF	0.21870497506554898
DKK1	PGF	0.20820483000878287
PGF	HSPB1	0.2016624581392623
PGF	ESM1	0.20479408887582995
PGF	MB	0.3925893194571515
PGF	TNFRSF1B	0.6314870907762691
PGF	DKK1	0.20820483000878376
PGF	CHI3L1	0.31334560911591147
PGF	CCL20	0.1655540199560379
PGF	KLK11	0.5050697790833425
PGF	AGRP	0.3125974034401988
PAPPA	NT-pro-BNP	0.22302740058236203
PAPPA	F2R	0.30541240775077316
PAPPA	MMP3	0.19006512533437014
PAPPA	MMP12	0.2136265927913117
PAPPA	TNFSF10	0.0968013633421263
PAPPA	STAMBP	0.1757435511491865
PAPPA	IL18R1	0.11543417302496461
STAMBP	HSPB1	0.5752997030269453
STAMBP	CASP8	0.4412758725627066
STAMBP	MB	0.20371772161186907
STAMBP	MMP1	0.14814522013796871
STAMBP	RNY4-5p	0.4373775070032977
STAMBP	IL7	0.3310050666774744
STAMBP	PAPPA	0.1757435511491865
CD274	TNFRSF1B	0.4216275985454727
CD274	TGFB1	0.250390574037052
RNY5-5p	RNY4-3p	0.23034414300127448
RNY5-5p	MMP3	0.12093834298936024
RNY5-5p	PRL	0.18783443108006903
RNY5-5p	TNFRSF1B	0.19140300310160807
RNY5-5p	IL18R1	0.14443327381711502
PDGFB	IL27	0.1711292984453694
PDGFB	PLAT	0.13731627955721937
PDGFB	PLAU	0.26215240579389043
PDGFB	CCL4	0.18855220688729446
PDGFB	RNY4-3p	0.3202993275857393
PDGFB	EGF	0.7689441128523953
PDGFB	DKK1	0.370373625124083
PDGFB	HBEGF	0.21065742554523048
TGFA	CD40	0.5725006489054199
TGFA	IL10	0.2701263817187183
TGFA	HGF	0.4556640298213841
TGFA	TNFRSF1B	0.5285599462114066
TGFA	CSTB	0.43018791023540537
TGFA	EIF4EBP1	0.44561464461207656
TGFA	CCL23	0.3454625610837674
TGFA	VEGFA	0.6742463632305666
TNFRSF11B	CXCL9	0.31450414618674394
TNFRSF11B	CSF1	0.4405037838594561
TNFRSF11B	SLAMF1	0.18812321681205724
TNFRSF11B	HGF	0.4453313676850126
TNFRSF11B	LIFR	0.3204074154224994
TNFRSF11B	ADA	0.246902493481012
AGER	FGF5	0.18231842521375796
AGER	CCL2	0.17257231538517726
AGER	RNY4-3p	0.12073291253583562
AGER	GH1	0.22957729579394393
AGER	CHI3L1	0.22580065413324046
AGER	FAS	0.4249153760458606
AGER	IL17A	0.10641891143739812
KLK6	RETN	0.3164442161770529
KLK6	TNFSF12	0.16316829700561009
KLK6	F3	0.3267075649878519
KLK6	KLK11	0.3888322529089878
SULT1A1	SRC	0.4973861799220858
SULT1A1	NPPB	0.1893368371770281
SULT1A1	MB	0.17508191458845612
SULT1A1	HAVCR1	0.16743302782823744
SULT1A1	FGF21	0.14576907791333937
EIF4EBP1	CXCL8	0.248391855266215
EIF4EBP1	CASP8	0.3542447853576016
EIF4EBP1	IL18	0.2482717182525409
EIF4EBP1	TGFA	0.44561464461207656
EIF4EBP1	CCL2	0.2714154540055649
EIF4EBP1	TGFB1	0.24063784801445376
EIF4EBP1	CXCL10	0.33151253522923696
S100A12	CCL23	0.17840811007889723
S100A12	PLAUR	0.16087622429727766
S100A12	CCL7	0.16396659540719938
FGF23	FGF5	0.1725856773370973
FGF23	MMP12	0.21226391235283426
FGF23	VEGFA	0.5035204264185884
FGF21	SULT1A1	0.14576907791333937
FGF21	CTSD	0.2186891481700517
SLAMF1	CXCL6	0.1844253785497445
SLAMF1	CCL11	0.19101613169067733
SLAMF1	TNFRSF11B	0.18812321681205635
SLAMF1	CCL7	0.20105833407447005
SLAMF1	MB	0.1860482112664945
SLAMF1	CCL4	0.16533064045293333
SLAMF1	DNER	0.19848637257858925
SLAMF1	NTF3	0.2604637061202899
SLAMF1	IL12B	0.1749516774951152
SLAMF1	CCL23	0.3268367181636833
SLAMF1	IL10RA	0.14106080667664145
SLAMF1	OSM	0.18683657078807503
SLAMF1	GDNF	0.17420928569235983
TGFB1	CD274	0.250390574037052
TGFB1	PLAU	0.3584478611681581
TGFB1	EIF4EBP1	0.24063784801445376
TGFB1	IL15RA	0.28877695997911434
TGFB1	TNFSF14	0.17261675329380033
TGFB1	IL10RA	0.12485843917481354
MUC16	THBD	0.12650545582824346
MUC16	CD40LG	0.1748304119011692
MUC16	PTX3	0.20249954854169516
TNFSF14	IL1RN	0.3217806117661599
TNFSF14	TGFB1	0.17261675329380122
TNFSF14	CCL20	0.110018407942027
TNFSF14	RETN	0.19483768133776547
TNFSF14	NGF	0.23279462034810816
TNFSF14	CXCL11	0.15543332691605194
TNFSF14	IL6	0.25770940252308794
TNFSF14	NTF3	0.16219149250271947
TNFSF14	HAVCR1	0.21946609106180492
TNFSF14	IL18R1	0.15948824296318165
BDNF	CXCL8	0.18791839456871173
BDNF	CCL2	0.10505848084495817
BDNF	REN	0.18659184552418306
BDNF	VEGFD	0.13065646408294196
BDNF	DKK1	0.2066134399234283
TNFRSF9	CD40	0.47810649690802
TNFRSF9	MMP3	0.24967727394264205
TNFRSF9	TNFRSF1B	0.40602225549660975
TNFRSF9	CST5	0.2781287368721639
TNFRSF9	CD5	0.5662005324534478
TNFSF12	NT-pro-BNP	0.17803611444849032
TNFSF12	KLK6	0.16316829700561009
TNFSF12	PLAU	0.34710938404649294
TNFSF12	DNER	0.2837556593100601
TNFSF12	TNFRSF1A	0.30713660847308955
TNFSF12	KITLG	0.16570496060213813
TNFSF12	CDCP1	0.19647978700586233
TNFSF12	LEP	0.11969801452622875
TNFSF12	CCL28	0.20083546373358985
TNFRSF10B	NT-pro-BNP	0.27685714750586055
TNFRSF10B	ADM	0.5414268416817025
TNFRSF10B	MMP7	0.4836458328837612
TNFRSF10B	PLAUR	0.606272351314832
TNFRSF10B	TNFRSF1B	0.6400818568274822
TNFRSF10B	CSTB	0.5369436629871869
TNFRSF10B	GDF15	0.625421781144408
SELE	CCL25	0.23626956329455506
SELE	CXCL8	0.13049536006277673
SELE	PLAUR	0.19201254724111116
SELE	IL1RL1	0.17636027699903245
SELE	PECAM1	0.3397615400593814
SELE	IL18R1	0.2082567930967869
CXCL10	CXCL9	0.5208767354461017
CXCL10	IL27	0.20101432558008892
CXCL10	IL15RA	0.22216435499762
CXCL10	F2R	0.30793228020826735
CXCL10	FLT3LG	0.36528617115630535
CXCL10	CCL7	0.24012266678604277
CXCL10	EIF4EBP1	0.33151253522923696
CXCL10	IL6	0.2609058915677016
GH1	MMP1	0.1403402673396812
GH1	AGER	0.2295772957939448
GH1	VEGFA	0.14171686242779558
GH1	CD6	0.1026094607593393
GH1	XPNPEP2	0.11081403970321357
GH1	FGF19	0.11380005179653097
CXCL11	CXCL9	0.5208258905280552
CXCL11	CCL8	0.14738148840449306
CXCL11	TNFSF14	0.15543332691605194
IL6	TNFSF14	0.2573799916611721
IL6	RNY4-5p	0.10183875714568735
IL6	OSM	0.2858304256127493
IL6	CXCL10	0.2609058915677016
IL6	PECAM1	0.17996877040784387
GDNF	CXCL1	0.14340968396250453
GDNF	FGF5	0.23398984369836917
GDNF	SLAMF1	0.1639356046306082
GDNF	RNY4-3p	0.11346270109522116
GDNF	HGF	0.22681067953172107
GDNF	MMP12	0.1535386444261455
GDNF	IL17C	0.11393522932871569
IL7	IL1RN	0.16231981808488616
IL7	CX3CL1	0.18405520234929362
IL7	DNER	0.12759095505655882
IL7	TNFSF10	0.14351887227048454
IL7	CCL2	0.24706559116594295
IL7	STAMBP	0.3310050666774744
FGF19	IL16	0.2764575680149184
FGF19	GH1	0.11380005179653185
FGF19	IL1RL1	0.1607787982291624
FGF19	KITLG	0.15131200160653524
FGF19	PTX3	0.1755710200118088
FGF19	HAVCR1	0.2157653787238223
REN	NPPB	0.22741805736652854
REN	IL1RL1	0.1744377101862682
REN	TNFSF11	0.11720830037291474
