Regulator	Target	MI
IL1RN	PLAT	0.321968703575938
IL1RN	IL6	0.20601378688131344
IL1RN	FABP4	0.33913336331110244
SPON1	FGF5	0.13066541854936542
SPON1	GAL	0.10382338504255628
SPON1	HBEGF	0.34231041789493855
SPON1	FAS	0.374931212478832
CSF1	LIFR	0.42316837791612105
CSF1	NGF	0.5163214850668689
CSF1	CDCP1	0.2218374541816157
CSF1	TNFRSF11B	0.4123960210515287
CSF1	CCL20	0.22826371006684987
CSF1	IL10RB	0.45570337500318203
CSF1	IL7	0.2585583090489676
PLAT	IL1RN	0.321968703575938
PLAT	EGF	0.19333986027020522
PLAT	SELE	0.1792494674034586
PLAT	FGF21	0.24587392231276972
MPO	MMP1	0.1096321097805939
MPO	FST	0.19826796695245097
MPO	RNASE3	0.21694424112888733
MPO	SULT1A1	0.09343823603446655
MPO	THBD	0.22845205594671292
MPO	PAPPA	0.16671636572471016
CXCL16	IL6R	0.30117983187644803
CXCL16	FAS	0.358313137563548
FGF5	IL15RA	0.14097336501753688
FGF5	CCL23	0.1154398036685178
FGF5	SPON1	0.13066541854936542
FGF5	CXCL8	0.16454393835060976
FGF5	CASP8	0.11536255758924874
NPPB	NT-pro-BNP	1.4174774610313454
NPPB	FST	0.21906068605025464
NPPB	MMP3	0.2906791036296177
NPPB	AXIN1	0.12424373235527142
NPPB	KLK11	0.3049587067732631
LGALS3	CSTB	0.35497562029914764
LGALS3	CXCL5	0.1203335130857015
LGALS3	CXCL11	0.20967289842090153
PLAU	TNFRSF11B	0.3591562619380637
PLAU	TNFSF10	0.27050211256659207
PLAU	TNFSF12	0.29750262337384203
PLAU	RNASE3	0.14055434901628505
TNFSF10	PLAU	0.2705021125665912
TNFSF10	TEK	0.1440022671172816
IL12B	CD40	0.27519535595597144
IL12B	IL16	0.29214252673785346
TNFSF11	NT-pro-BNP	0.15015165915226003
TNFSF11	CCL11	0.08965188884649589
TNFSF11	PECAM1	0.1243364957066424
TNFSF11	REN	0.11877882084321545
