Regulator	Target	MI
IL1RN	SRC	0.13064253073294196
IL1RN	PLAT	0.21099492624451344
IL1RN	S100A12	0.2513485009809484
IL1RN	PLAUR	0.22886776204985626
IL1RN	CXCL10	0.23577480562403608
IL1RN	FABP4	0.3909139445824632
SPON1	OLR1	0.3686855327149887
SPON1	LIFR	0.2734648485567508
SPON1	F3	0.41255559088100924
SPON1	GAL	0.159185619854477
SPON1	CHI3L1	0.2694986448721357
SPON1	TNFRSF10B	0.43568274991484923
SPON1	SELE	0.16434223927161629
CSF1	CD40	0.4747754821856338
CSF1	CX3CL1	0.5027209410976656
CSF1	HGF	0.42924393009584616
CSF1	CDCP1	0.36440503573927163
CSF1	CCL2	0.4682789268307639
CSF1	IL10RB	0.4524668485144163
CSF1	CXCL11	0.2828327700591897
CSF1	IL7	0.3136351368549226
CSF1	FGF19	0.18029732364050144
PLAT	IL1RN	0.21099492624451432
PLAT	TNFSF14	0.10417904490695218
PLAT	TNFSF12	0.21885760996311898
PLAT	REN	0.10732155704963553
PLAT	FGF21	0.1502384535915393
PLAT	HBEGF	0.15136159035350616
MPO	CX3CL1	0.2222365642096804
MPO	OLR1	0.23144922296042658
MPO	XPNPEP2	0.18921318103887863
MPO	PAPPA	0.20120820068989076
CXCL16	LGALS3	0.37429093374009437
CXCL16	PLAU	0.17746918305674964
CXCL16	IL6R	0.3630851587772552
CXCL16	MMP7	0.39652107071378495
CXCL16	TNFRSF1B	0.33021961613722883
CXCL16	MMP10	0.15416334380491836
CXCL16	FAS	0.352635991998123
CXCL16	PTX3	0.2132572706543412
FGF5	CASP8	0.18555362733658676
FGF5	F2R	0.18099564104133226
FGF5	VEGFA	0.22713690163064193
FGF5	CCL28	0.1830598119832203
NPPB	NT-pro-BNP	1.3498548316106476
NPPB	IL1RL1	0.20048556756925695
NPPB	PLAU	0.2780841314139
NPPB	IKBKG	0.143731338672616
LGALS3	PRL	0.19585870154335172
LGALS3	CXCL16	0.37429093374009437
LGALS3	IL10RB	0.1621365148633256
PLAU	CXCL16	0.17746918305675052
PLAU	NPPB	0.2674732565084854
PLAU	ESM1	0.18517987460769625
PLAU	CTSL	0.22049688340617468
PLAU	TNFSF10	0.34741568855435556
PLAU	CCL2	0.40842269791843044
PLAU	HGF	0.49005921165850186
