Regulator	Target	MI
IL1RN	CCL4	0.1622810265488015
IL1RN	FGF21	0.13894114534159652
IL1RN	IL6	0.2033793063504863
IL1RN	FABP4	0.35161632425405553
IL1RN	IL18R1	0.11293356654330555
SPON1	NT-pro-BNP	0.26338242824942704
SPON1	IL6R	0.2478342176162709
SPON1	GH1	0.2198296008120444
SPON1	FAS	0.36123248930706087
CSF1	PLAU	0.3604704555993594
CSF1	IL10	0.18158736608535442
CSF1	IL15RA	0.33046863614867217
CSF1	HGF	0.47305265121498596
CSF1	LIFR	0.27852939912501995
CSF1	NGF	0.3783097394869861
CSF1	TNFRSF1B	0.398546167177364
CSF1	IL10RB	0.40686490223902805
CSF1	TNFRSF9	0.4302304768883207
CSF1	VEGFA	0.43325641993645103
CSF1	ADA	0.2158082015694065
PLAT	IL10	0.16645832687137663
PLAT	RNY4-5p	0.16283313601473548
PLAT	FABP4	0.3198150696677171
PLAT	AGRP	0.1227486514490046
PLAT	TEK	0.19706391586034933
PLAT	CTSD	0.3114047673369198
MPO	RETN	0.218337910767203
MPO	MMP7	0.30234157721844657
MPO	TNFSF14	0.21116456742558132
MPO	CCL20	0.15833333150188533
MPO	DKK1	0.22036868024519052
MPO	GAL	0.14660125698939908
MPO	PAPPA	0.1665485664061226
MPO	LTA	0.09412602482400434
MPO	CD244	0.12552081352075195
CXCL16	SRC	0.15813234084671812
CXCL16	NTF3	0.1701394281673574
CXCL16	LIFR	0.17312018189730072
CXCL16	FAS	0.42253171286305236
CXCL16	HBEGF	0.36501936197692597
FGF5	TGFB1	0.22065794479616407
FGF5	VEGFD	0.17180048465803122
FGF5	GDNF	0.21698470469568676
FGF5	SLAMF1	0.22424177017491775
NPPB	NT-pro-BNP	1.4044331067910818
NPPB	MMP7	0.2350837181902019
NPPB	PTX3	0.14870860691806254
LGALS3	IL6R	0.31274682110019203
LGALS3	MMP3	0.15189125155445993
LGALS3	PLAUR	0.3159299812465699
LGALS3	TEK	0.2845281425398358
PLAU	CSF1	0.3604704555993603
PLAU	DNER	0.3174412188205018
PLAU	CCL2	0.410165786361981
PLAU	FGF23	0.3833017048988552
PLAU	TNFSF12	0.34183241281783516
PLAU	CDCP1	0.20479395415859614
PLAU	GDNF	0.09826442599454577
TNFSF10	EGF	0.10391796614765347
TNFSF10	CCL2	0.20832567186846962
TNFSF10	TNFSF11	0.22840999957193198
TNFSF10	CD244	0.21541758031356384
IL12B	MMP7	0.2576232611064464
IL12B	KITLG	0.24194564090694382
IL12B	CD5	0.20308688950081333
IL12B	FGF19	0.09026667343841499
TNFSF11	IL1RL1	0.11124706381670801
TNFSF11	CCL20	0.11129752263346493
TNFSF11	SRC	0.1371967083702792
TNFSF11	TNFSF10	0.22840999957193286
TNFSF11	DKK1	0.10755626521665551
TNFSF11	FGF23	0.15426356183966927
IL6R	SPON1	0.24783421761627178
IL6R	TNFRSF11B	0.20735516736260795
IL6R	RETN	0.29380097578489206
IL6R	LGALS3	0.3127468211001929
IL6R	IL18R1	0.10201673225129859
IL15RA	CSF1	0.33046863614867306
IL15RA	IL1RL1	0.17388455852998952
IL15RA	FGF21	0.11371987794505323
IL15RA	SELE	0.12602519857675354
RNY4-3p	CXCL6	0.16364163456688274
RNY4-3p	RNY4-5p	0.5473593925453226
RNY4-3p	F3	0.21972770395560648
RNY4-3p	GAL	0.20645829029927132
RNY4-3p	FGF19	0.12946756716335361
RNY4-3p	STAMBP	0.2524424631262292
FST	VEGFD	0.2624839873192659
FST	CD6	0.1817159236111019
FST	PAPPA	0.2507448365744329
FST	CHI3L1	0.19123767841797612
FST	FAS	0.3181597041980826
HGF	CSF1	0.47305265121498596
HGF	FLT3LG	0.2505104117568724
HGF	TGFA	0.353713772685305
HGF	TNFRSF11B	0.426783392258578
F2R	HSPB1	0.3584741183959208
F2R	TNFRSF1B	0.5987525120518375
F2R	HBEGF	0.5574112908658302
F2R	KLK11	0.3711745124962471
FLT3LG	GDF15	0.19155258061585467
FLT3LG	HGF	0.2505104117568724
FLT3LG	AGER	0.1995851433914284
FLT3LG	CDCP1	0.2500617260574636
FLT3LG	XPNPEP2	0.09445876077077298
FLT3LG	ADA	0.164894679160132
LIFR	CXCL8	0.22329771341960658
LIFR	CSF1	0.27852939912501906
LIFR	STAMBP	0.17802001326946737
RNASE3	IL18	0.15920133476307008
RNASE3	PLAUR	0.3291700290830155
RNASE3	PECAM1	0.2208982929379948
DKK1	MPO	0.22036868024518963
DKK1	CCL8	0.11909139412347614
