Regulator	Target	MI
IL1RN	PLAT	0.24193805023056836
IL1RN	CTSL	0.25249015357743954
IL1RN	DNER	0.24731065934403684
IL1RN	CCL19	0.1464757513040551
IL1RN	RNASE3	0.35190819629617565
IL1RN	LEP	0.3779364754441188
SPON1	CXCL16	0.39014771823348404
SPON1	FGF5	0.33090255009514724
SPON1	LGALS3	0.2822942821493708
SPON1	HGF	0.41911617709517834
SPON1	TNFRSF11B	0.37881372456006623
SPON1	KLK6	0.31762850300850864
SPON1	SULT1A1	0.13051319014861473
SPON1	TNFRSF10B	0.42896525321571755
SPON1	GH1	0.19558400786653163
SPON1	GDNF	0.2439925070241511
SPON1	IL7	0.21848217391202773
SPON1	XPNPEP2	0.1588425301818761
CSF1	CD40	0.4333421229452199
CSF1	CTSL	0.2801832139409868
CSF1	PLAU	0.4313530666097902
CSF1	IL15RA	0.43361306561598223
CSF1	CDCP1	0.30802860000174803
CSF1	TNFRSF11B	0.4404656516729286
CSF1	CCL2	0.3416937910301865
CSF1	CCL23	0.27286827756896326
CSF1	IL10RB	0.4750935438440749
CSF1	TNFRSF9	0.3776729760187836
CSF1	CXCL11	0.38113549379050227
CSF1	IL7	0.3601644748044368
CSF1	AGRP	0.21155545203468495
PLAT	IL1RN	0.24193805023056836
PLAT	IL18	0.1392346706267169
PLAT	SELE	0.2649410468800095
PLAT	KLK11	0.2114640277201678
PLAT	IL6	0.20991763245092
PLAT	REN	0.20470526023532187
MPO	PRL	0.1667543788205812
MPO	IL6R	0.19426823268796678
MPO	VEGFD	0.13394321517420416
MPO	RNASE3	0.3752319820978913
MPO	PGF	0.2738641242354056
MPO	CD40LG	0.2042202378673732
CXCL16	SPON1	0.39014771823348404
CXCL16	IKBKG	0.20789140829238484
CXCL16	HBEGF	0.3351419052908273
FGF5	SPON1	0.33090255009514635
FGF5	ESM1	0.30835732403235383
FGF5	IL15RA	0.3068807341355839
FGF5	FGF19	0.12849225720849766
NPPB	NT-pro-BNP	1.3363513250734158
NPPB	ESM1	0.2771697487010334
NPPB	GDF15	0.2486164766801462
NPPB	TNFSF12	0.20326270780483746
LGALS3	CSTB	0.3837561653456758
LGALS3	SPON1	0.2822942821493708
PLAU	CXCL9	0.2645622003854866
PLAU	CSF1	0.4313530666097902
PLAU	MB	0.22035515306522946
PLAU	DNER	0.2782201786146894
PLAU	HGF	0.4099448040193696
PLAU	TNFSF12	0.3741552026224815
PLAU	CD6	0.2502352659405025
PLAU	ADA	0.3552772708365257
TNFSF10	IL10RB	0.240030149946735
TNFSF10	CHI3L1	0.19244705810821117
TNFSF10	TNFSF11	0.13739422967210846
TNFSF10	IL6R	0.16098761862563205
IL12B	CCL4	0.28553619699151334
IL12B	TNFRSF9	0.32501650688183403
IL12B	CD244	0.29781048377185293
TNFSF11	CD6	0.16288120936602546
TNFSF11	FST	0.12140802417103025
TNFSF11	TNFSF10	0.13739422967210935
TNFSF11	PTX3	0.10260383770768122
TNFSF11	SIRT2	0.1463290266688917
TNFSF11	TNFRSF1A	0.13675580605716497
IL6R	MPO	0.19426823268796678
IL6R	TNFSF10	0.16098761862563205
IL6R	FAS	0.21707025724527185
IL6R	REN	0.2298735626187245
IL6R	ADA	0.12572856411465594
IL15RA	CSF1	0.43361306561598223
IL15RA	FGF5	0.3068807341355839
IL15RA	TNFRSF1B	0.36285541597102444
IL15RA	TGFA	0.4408623587514562
IL15RA	IL1RL1	0.16028145732415489
IL15RA	CCL7	0.311468797605551
IL15RA	EIF4EBP1	0.34958109733526754
IL15RA	SLAMF1	0.3747651587426466
IL15RA	TNFSF14	0.30433870711059274
RNY4-3p	SRC	0.4283841103715149
RNY4-3p	RNY5-5p	0.282378083514784
RNY4-3p	THBD	0.1739165832634466
RNY4-3p	RNY4-5p	0.6437108497437034
RNY4-3p	CHI3L1	0.23068469514187306
FST	CCL13	0.1507843111000895
FST	TNFSF11	0.12140802417103025
FST	RNY4-5p	0.17118899627199724
FST	PLAUR	0.38517460638127066
FST	KITLG	0.15473619105331782
FST	PAPPA	0.2624872864033412
FST	FAS	0.26482861235498234
HGF	SPON1	0.41911617709517834
HGF	PLAU	0.4099448040193687
HGF	TGFA	0.492803880530575
HGF	EIF4EBP1	0.3936645143113644
HGF	TGFB1	0.33518111941512796
HGF	CCL20	0.2953683331580548
HGF	SELE	0.22027922520652332
HGF	CXCL10	0.2516067363215191
F2R	THBD	0.4481806109176931
F2R	SIRT2	0.2643827033708268
F2R	TNFRSF1A	0.573797684865899
F2R	TGFB1	0.2536891558628378
F2R	IL17C	0.16333768236814006
FLT3LG	CCL2	0.197185927852491
FLT3LG	IL18	0.21395214037969446
FLT3LG	KLK11	0.20348664452173892
FLT3LG	CD6	0.18187255269236413
LIFR	CCL13	0.23484808542990088
LIFR	TNFRSF11B	0.3301862942539362
LIFR	CCL3	0.19104116911889335
LIFR	OLR1	0.24156217765229826
LIFR	BDNF	0.09022349850493416
LIFR	NGF	0.2752738042940033
RNASE3	IL1RN	0.36211854488133355
RNASE3	SRC	0.25326251518982
RNASE3	RETN	0.35192440446178175
RNASE3	MPO	0.3752319820978913
RNASE3	IL18	0.2617327159881686
RNASE3	IL16	0.32540582969725307
RNASE3	DKK1	0.1940111341032864
RNASE3	SELE	0.2577947152164075
DKK1	ESM1	0.21200442113520168
DKK1	RNASE3	0.1940111341032873
DKK1	GDNF	0.19705028981945105
DKK1	FAS	0.26190282848084223
DKK1	AGRP	0.300204969723219
DKK1	ADA	0.10735772865988924
PGF	MPO	0.2738641242354056
PGF	CTSD	0.3258090337111872
PGF	TNFRSF1A	0.6414026337797472
PGF	MMP12	0.27689341049479754
PGF	PECAM1	0.4659701048710234
PGF	KLK11	0.4550021343881303
PGF	AGRP	0.239187830696725
PGF	TEK	0.4028970564589649
PAPPA	FST	0.2624872864033412
PAPPA	IL27	0.19103552623968234
PAPPA	ESM1	0.22737278867912636
PAPPA	GAL	0.12495365716466011
PAPPA	CHI3L1	0.18361515126769223
PAPPA	S100A12	0.16779545279622887
STAMBP	PDGFB	0.6186652132817061
STAMBP	CASP8	0.30998384507649046
STAMBP	HAVCR1	0.25800196785261686
STAMBP	IL10	0.2195676559376789
STAMBP	TNFSF14	0.18539903810405622
STAMBP	AXIN1	0.6288147049041859
STAMBP	OSM	0.13691228019480928
STAMBP	SIRT2	0.5789917324872178
STAMBP	GAL	0.1371469979649893
STAMBP	IL17C	0.16894918454588215
CD274	TNFRSF1B	0.3998168047239199
CD274	CXCL10	0.23886185200667231
CD274	XPNPEP2	0.21741633455593146
CD274	LEP	0.12916231054457228
RNY5-5p	RNY4-3p	0.3012728485847065
RNY5-5p	RETN	0.19062428559693334
