Regulator	Target	MI
IL1RN	PLAT	0.2802593549796244
IL1RN	CCL2	0.19350383458970644
IL1RN	FABP4	0.4186588966006539
IL1RN	FAS	0.3593372347866888
IL1RN	TEK	0.36176784826065145
SPON1	NT-pro-BNP	0.32067090644411333
SPON1	MMP7	0.40565104889520587
SPON1	FST	0.3224360953071663
SPON1	F3	0.3724241122739631
SPON1	FGF23	0.3136127263369355
SPON1	CCL25	0.24777631252580168
SPON1	TNFRSF10B	0.38296638727193955
SPON1	VEGFD	0.2392192342155397
CSF1	CX3CL1	0.5509063277586668
CSF1	PLAU	0.36031737437947164
CSF1	NGF	0.4572298048005825
CSF1	CDCP1	0.2621248227035746
CSF1	TNFRSF11B	0.5826255466059411
CSF1	CCL23	0.36673163083650717
CSF1	TGFB1	0.5078942504647301
CSF1	TNFSF14	0.29112902027488197
CSF1	TNFRSF9	0.5521485255085121
CSF1	VEGFA	0.5697141100114225
CSF1	CD5	0.5152944569343791
CSF1	REN	0.2081689575850323
CSF1	CD244	0.36617213918404623
PLAT	IL1RN	0.2802593549796244
PLAT	MMP7	0.16923803596976228
PLAT	HGF	0.2520740767188965
PLAT	ESM1	0.1578669923643634
PLAT	REN	0.19765277726072927
PLAT	CTSD	0.2688046678094169
PLAT	IL18R1	0.16526203664876693
PLAT	FGF21	0.23273910451550694
MPO	ESM1	0.19694020102239396
MPO	CTSL	0.21163837106822214
MPO	OLR1	0.3453688153334298
MPO	RNASE3	0.2514305650006774
MPO	RETN	0.2708857960676072
MPO	CXCL11	0.3088141909901285
CXCL16	MMP1	0.23409779131569763
CXCL16	TNFRSF10B	0.5062052915707653
FGF5	FGF23	0.2699036680636109
FGF5	SLAMF1	0.19820313968070025
FGF5	F2R	0.2569460826891783
FGF5	STAMBP	0.2022984185650074
NPPB	NT-pro-BNP	1.2978561002625364
NPPB	FGF23	0.319119310814747
NPPB	FST	0.23123359195404358
NPPB	VEGFD	0.1920376333246292
LGALS3	CXCL1	0.1783933581980932
LGALS3	IL6R	0.2768121588818566
LGALS3	F3	0.3005490569049414
LGALS3	TNFRSF10B	0.4612348449376027
LGALS3	XPNPEP2	0.19327056456140657
LGALS3	TEK	0.286662231897723
PLAU	CSF1	0.36031737437947164
PLAU	THBD	0.20796379126021947
PLAU	HGF	0.47410222272176483
PLAU	FGF23	0.32576851047282673
PLAU	TNFSF12	0.4682922926209736
TNFSF10	CCL8	0.14113432003592496
TNFSF10	DNER	0.2924070796360123
TNFSF10	NTF3	0.15554690878512112
TNFSF10	TNFSF11	0.151984893955059
TNFSF10	BDNF	0.16405330847894994
TNFSF10	GDF15	0.16238910493876357
TNFSF10	VEGFD	0.19242817445227267
TNFSF10	IL17A	0.12415943601732327
IL12B	AGER	0.19705450199172247
IL12B	RNY4-3p	0.16197278902150902
IL12B	TNFRSF9	0.4363576551406192
IL12B	MMP12	0.16993466462454876
IL12B	LTA	0.1995219653870457
TNFSF11	IL1RL1	0.2513281175877271
TNFSF11	CXCL11	0.12269145540343995
TNFSF11	TNFSF10	0.151984893955059
TNFSF11	CX3CL1	0.1613941107047152
IL6R	LGALS3	0.2768121588818566
IL6R	THBD	0.39588327183199734
IL6R	CXCL11	0.16691962402445348
IL6R	LTA	0.17306549831850404
IL6R	IL18R1	0.21836505717662735
IL6R	HBEGF	0.39415212539433586
IL15RA	CD40	0.3187757658456096
IL15RA	PLAUR	0.31370966779709875
IL15RA	FLT3LG	0.17214519928095218
IL15RA	SLAMF1	0.3407928432966658
RNY4-3p	SELPLG	0.14831937333666545
RNY4-3p	SRC	0.34872066700354054
RNY4-3p	TGFA	0.21114071312833627
RNY4-3p	IL12B	0.16197278902150902
RNY4-3p	RNY4-5p	0.9449577065099932
FST	SPON1	0.32243609530716544
FST	NPPB	0.22025018117567452
FST	CTSD	0.2827303270124606
FST	NTF3	0.15423022721833668
FST	KITLG	0.1518306948344339
HGF	CXCL8	0.39664096546313754
HGF	PLAT	0.2520740767188956
HGF	PLAU	0.47410222272176483
HGF	TNFRSF11B	0.535696040393641
HGF	CCL2	0.4638587756500492
HGF	TGFB1	0.4272726387096819
HGF	CCL20	0.37902327908260336
HGF	ADA	0.25869548724439895
F2R	IL27	0.332698515826535
F2R	FGF5	0.2569460826891774
F2R	ESM1	0.2507250214571579
F2R	TNFRSF1A	0.6624539708250721
F2R	IL10RB	0.4151098546404288
F2R	FAS	0.495884848196936
FLT3LG	IL15RA	0.17214519928095218
FLT3LG	TNFSF12	0.1854326540032556
FLT3LG	HSPB1	0.1321862491336594
FLT3LG	SELE	0.27174700798006324
LIFR	SRC	0.30485188952285647
LIFR	TNFRSF11B	0.4067327497155615
LIFR	FGF23	0.40854642760422966
LIFR	XPNPEP2	0.2100659843669428
RNASE3	MPO	0.2514305650006774
RNASE3	TNFSF14	0.18109114475191124
RNASE3	IL16	0.319727207296566
DKK1	PGF	0.37392395843012327
DKK1	MUC16	0.28156045783562433
DKK1	VEGFD	0.29266704095321305
DKK1	LEP	0.11792099571645664
PGF	THBD	0.6569321569219753
PGF	MB	0.40417822717722807
PGF	TNFRSF1B	0.7799334623397041
PGF	DKK1	0.37392395843012327
PGF	FAS	0.5731768519177107
PGF	TEK	0.34480583917786856
PAPPA	AXIN1	0.139737935320003
PAPPA	TEK	0.26312288549258334
STAMBP	FGF5	0.2022984185650083
STAMBP	EIF4EBP1	0.3437520821150919
STAMBP	IL16	0.2630011714066942
STAMBP	F3	0.22418047407278152
STAMBP	SIRT2	0.7463379245530328
STAMBP	KITLG	0.12734210255945833
STAMBP	IL7	0.35813767801667495
CD274	TNFRSF1B	0.39334925599840176
CD274	SELPLG	0.17530433743009954
CD274	GDF15	0.3888667674190467
CD274	CD5	0.3462341597596357
CD274	XPNPEP2	0.2947267909537796
RNY5-5p	FGF23	0.22470620796682006
RNY5-5p	SELE	0.1622488255221457
RNY5-5p	CD5	0.20074407536329808
RNY5-5p	LEP	0.16678949719689218
RNY5-5p	PTX3	0.1864629844692951
PDGFB	SRC	0.7907415571175749
PDGFB	CXCL1	0.5987749560250686
PDGFB	CXCL5	0.4656676484946898
PDGFB	CCL4	0.21036470985392697
PDGFB	SIRT2	0.7113170578851049
TGFA	NT-pro-BNP	0.35399931112480676
