Regulator	Target	MI
IL1RN	PLAT	0.22899908536289537
IL1RN	MPO	0.20866073443083355
IL1RN	CASP8	0.22439766529984873
IL1RN	RETN	0.31024611785503353
SPON1	CXCL16	0.37751558311524036
SPON1	FGF5	0.2160744513985593
SPON1	ESM1	0.2094791093340902
SPON1	F3	0.2982725701332152
SPON1	PGF	0.3832841345174618
SPON1	CCL25	0.20956082080969196
CSF1	HGF	0.47952171482745154
CSF1	LIFR	0.2831839046739262
CSF1	TNFRSF1B	0.46628325998315834
CSF1	TNFRSF11B	0.45393282456059403
CSF1	CST5	0.21588573901475883
CSF1	CCL2	0.5522928913425833
CSF1	S100A12	0.22350051447841057
CSF1	CCL19	0.34802376209398034
CSF1	VEGFA	0.501428228713988
CSF1	KITLG	0.2955329772185742
PLAT	IL1RN	0.22899908536289626
PLAT	NPPB	0.17357881182371848
PLAT	FGF21	0.17174049103470157
MPO	IL1RN	0.20866073443083355
MPO	CX3CL1	0.18285394472398853
MPO	IL7	0.1554718256252814
MPO	TEK	0.19972310389414982
MPO	CD244	0.23772287040514772
CXCL16	SPON1	0.37751558311524214
CXCL16	CTSD	0.2725646241203332
CXCL16	IL6R	0.2968917849294721
CXCL16	MMP7	0.2863622289056025
CXCL16	FST	0.2784462747638825
CXCL16	KLK11	0.3511898751388509
FGF5	SPON1	0.2160744513985593
FGF5	TNFRSF11B	0.14209596126509272
FGF5	NTF3	0.14151497930322154
FGF5	OLR1	0.24048240394162423
FGF5	GH1	0.20197928917915586
NPPB	NT-pro-BNP	1.4350847887716247
NPPB	IL27	0.12415371537214082
NPPB	PLAT	0.17357881182371848
NPPB	CCL7	0.1539210042604502
NPPB	FST	0.1936208131111421
NPPB	LIFR	0.21559774241288654
NPPB	PECAM1	0.1784301215255102
NPPB	CHI3L1	0.36899359433292034
NPPB	AGRP	0.17182311019548546
LGALS3	KLK6	0.254750106055293
LGALS3	F3	0.2493447339445316
LGALS3	FABP4	0.3008367310984843
PLAU	TNFSF10	0.24540661223843596
PLAU	HGF	0.3707478003147404
PLAU	IL16	0.2039874185874977
PLAU	PECAM1	0.15420485786299842
PLAU	CCL2	0.3223347598701878
PLAU	TNFSF12	0.4399905749769326
TNFSF10	CD5	0.24674467966073532
TNFSF10	PLAU	0.24540661223843596
TNFSF10	TNFSF11	0.10824383126005088
TNFSF10	IL6R	0.10547631141627534
IL12B	SULT1A1	0.1580238377572023
IL12B	MUC16	0.14271702806206132
IL12B	TNFRSF9	0.32471841388013
IL12B	FLT3LG	0.17496004176658708
TNFSF11	FGF19	0.11877035790507051
TNFSF11	TNFSF10	0.10824383126005088
TNFSF11	AGRP	0.16289052410194405
TNFSF11	PRL	0.11156308529793968
IL6R	TNFSF14	0.1237292236402725
IL6R	F3	0.2579584608332519
IL6R	CXCL16	0.2968917849294712
IL6R	TNFSF10	0.10547631141627534
IL15RA	MMP10	0.21465343342241017
IL15RA	CCL25	0.23092384501394392
IL15RA	TNFRSF10B	0.25332988888204877
IL15RA	VEGFA	0.49487760952391646
IL15RA	CD5	0.2713880961497539
IL15RA	CCL28	0.2585680305215332
IL15RA	ADA	0.24147113933556863
RNY4-3p	RNY4-5p	0.6923416949337833
RNY4-3p	RNY5-5p	0.21723942254535533
RNY4-3p	RETN	0.13036084021441763
FST	CXCL16	0.2784462747638825
FST	NPPB	0.1936208131111421
FST	MUC16	0.20795533982896952
FST	TNFRSF10B	0.31259822441992835
FST	PAPPA	0.17647717513543615
HGF	CSF1	0.4795217148274524
HGF	PLAU	0.3707478003147404
HGF	FGF23	0.302509181602689
HGF	TGFB1	0.3789678927769282
HGF	CCL28	0.28564889990694287
HGF	ADA	0.28677653817241566
F2R	SIRT2	0.25280695410695575
F2R	TNFRSF1A	0.5316801803901914
F2R	HBEGF	0.39329753928895705
F2R	IL1RL1	0.16899010224655697
F2R	TGFB1	0.260823828487613
FLT3LG	CD40	0.312420694727221
FLT3LG	AGER	0.17098913963369533
FLT3LG	IL12B	0.17496004176658708
FLT3LG	CDCP1	0.1784358089432576
LIFR	CXCL8	0.3747905835206602
LIFR	CSF1	0.2831839046739262
LIFR	NPPB	0.21559774241288654
LIFR	LEP	0.20144829099610018
LIFR	CD244	0.3031335166661995
RNASE3	FGF23	0.19349744595060425
RNASE3	TNFSF12	0.22076337595681483
RNASE3	PLAUR	0.2601664265818142
DKK1	F3	0.21469153366349136
DKK1	LTA	0.11621801860646208
DKK1	IKBKG	0.1361710264756466
PGF	SPON1	0.3832841345174618
PGF	CX3CL1	0.3338953629586312
PGF	MB	0.4420124659815903
PGF	MMP7	0.5009845739548862
PGF	TNFRSF1A	0.637136638163609
PGF	IL7	0.24641862183906316
PGF	FAS	0.45404258473295034
PGF	AGRP	0.29172328053811114
PAPPA	FST	0.17647717513543615
PAPPA	IL27	0.19103364321279415
PAPPA	PRL	0.1184975369759691
PAPPA	GAL	0.13110258462793922
PAPPA	CD5	0.16107532339941955
PAPPA	PTX3	0.2890723160398849
PAPPA	SLAMF1	0.15130534234154958
STAMBP	CASP8	0.3998756747285759
STAMBP	EIF4EBP1	0.3023273408083229
STAMBP	TNFSF14	0.1567833651131494
STAMBP	EGF	0.44010305146040185
STAMBP	RNY4-5p	0.335894747587294
STAMBP	SIRT2	0.5867584732456512
CD274	RNY5-5p	0.13374434742405583
CD274	TGFA	0.2958002294996973
CD274	RETN	0.3344961242500286
CD274	IL1RL1	0.1346595043362271
RNY5-5p	CD274	0.13374434742405583
RNY5-5p	RNY4-3p	0.2172394225453571
RNY5-5p	MMP1	0.16259685346508324
RNY5-5p	IL27	0.13729481468275928
RNY5-5p	SULT1A1	0.13084353892311018
RNY5-5p	GH1	0.2040968665106364
RNY5-5p	HBEGF	0.1780198576573886
PDGFB	CSTB	0.1475758905821376
PDGFB	EGF	0.7821922806479087
PDGFB	SRC	0.7502844364301327
PDGFB	CXCL1	0.5644432141429307
PDGFB	IL27	0.12280156791572328
PDGFB	AGRP	0.18587776960351565
TGFA	CD40	0.573370436029701
TGFA	CXCL8	0.3159252904444232
TGFA	GAL	0.14800454258525075
TGFA	CD274	0.2958002294996964
TGFA	CCL4	0.2726945968078125
TGFA	VEGFA	0.573678013481417
TGFA	GH1	0.21626742311744085
TGFA	CD244	0.2936935062627102
TNFRSF11B	FGF5	0.14209596126509272
AGER	FLT3LG	0.17098913963369533
AGER	HSPB1	0.23568486261849664
AGER	KLK11	0.27955192965939
AGER	HBEGF	0.298351020693727
KLK6	LGALS3	0.254750106055293
KLK6	THBD	0.30338973544397874
KLK6	TNFRSF10B	0.3656574467050282
SULT1A1	SRC	0.36634110156927235
SULT1A1	RNY5-5p	0.13084353892311018
SULT1A1	MB	0.19435250042611418
SULT1A1	IL12B	0.1580238377572023
EIF4EBP1	PLAUR	0.36086167606279407
EIF4EBP1	STAMBP	0.28479355925892413
EIF4EBP1	VEGFA	0.5024484249690406
S100A12	CSF1	0.22350051447841057
S100A12	CCL3	0.22105442415998056
S100A12	IL6	0.177691177408847
FGF23	ESM1	0.15900685836990736
FGF23	HGF	0.302509181602689
FGF23	RNASE3	0.19349744595060425
FGF23	CCL4	0.3065754638955145
FGF23	CCL25	0.2768881145598465
FGF23	AGRP	0.22550216109501786
FGF21	AXIN1	0.12417175342972975
FGF21	PLAT	0.17174049103470157
FGF21	ESM1	0.1565066383832292
FGF21	CD6	0.09900769944031573
FGF21	CCL19	0.16786701843381469
FGF21	CTSD	0.11694780060326515
SLAMF1	CCL20	0.20776015752150112
SLAMF1	IL6	0.29816385088537434
SLAMF1	PAPPA	0.15130534234154958
SLAMF1	CCL28	0.24629700948151
TGFB1	HGF	0.3789678927769282
TGFB1	F2R	0.260823828487613
MUC16	FST	0.20795533982896952
MUC16	XPNPEP2	0.16025813938274158
MUC16	IL12B	0.14271702806206132
MUC16	HBEGF	0.17326809239182772
TNFSF14	IL6R	0.1237292236402725
TNFSF14	OSM	0.22784066237951262
TNFSF14	CXCL11	0.25589828219770094
TNFSF14	LTA	0.1439118499450922
TNFSF14	STAMBP	0.1567833651131485
TNFSF14	IL17C	0.11669050561772742
TNFSF14	IL18R1	0.15982012374411436
BDNF	CXCL1	0.11153678815742829
TNFRSF9	CXCL9	0.4081406364011224
TNFRSF9	IL12B	0.32471841388013
TNFRSF9	MMP1	0.1509876874580227
TNFRSF9	TNFRSF1B	0.4743562382243409
TNFRSF9	CCL13	0.3708332111338466
TNFRSF9	IL10RB	0.4424947680257647
TNFRSF9	CD5	0.583477514472813
TNFSF12	PLAU	0.4399905749769326
TNFSF12	DNER	0.34348804612487616
TNFSF12	IKBKG	0.19471597739811664
TNFSF12	RNASE3	0.22076337595681572
TNFRSF10B	CXCL8	0.26271274029158587
TNFRSF10B	CXCL1	0.20494145948373
TNFRSF10B	IL15RA	0.25332988888204966
TNFRSF10B	FST	0.3249227614878665
TNFRSF10B	MMP3	0.23616515563009077
TNFRSF10B	PLAUR	0.6025986156706988
TNFRSF10B	TNFRSF1A	0.5449038965523592
TNFRSF10B	KLK6	0.3656574467050282
TNFRSF10B	GDF15	0.6229557733651152
SELE	CDCP1	0.2012875155521625
SELE	CCL4	0.10827998883298928
SELE	PECAM1	0.35685925557829634
CXCL10	CXCL9	0.747231072162351
CXCL10	IL18	0.2488224790009559
CXCL10	CXCL11	0.6726711701281918
CXCL10	IL6	0.289613289958468
CXCL10	GDNF	0.11514171197178324
GH1	RNY5-5p	0.20409686651063552
GH1	TGFA	0.21626742311744085
GH1	F3	0.18984433450082783
GH1	FGF5	0.20197928917915586
GH1	HAVCR1	0.16366488400987755
CXCL11	TNFSF14	0.25589828219770183
CXCL11	CXCL10	0.6726711701281927
CXCL11	CDCP1	0.2713855830529672
IL6	CXCL8	0.2647576987575073
IL6	ADM	0.35142360034075093
IL6	S100A12	0.1776911774088461
IL6	CTSD	0.09963539910415431
IL6	SLAMF1	0.29816385088537434
IL6	GDF15	0.39068183684090396
IL6	CXCL10	0.28961328995846713
IL6	FGF19	0.11062257391993313
IL6	IL17A	0.1497910498664563
GDNF	FABP4	0.12513093678063214
GDNF	RNY4-3p	0.13921909611856265
GDNF	PECAM1	0.13767929654740207
GDNF	LIFR	0.17394527256621561
IL7	SELPLG	0.10566605574992671
IL7	MPO	0.16782899828727782
IL7	CXCL5	0.33821021573460985
IL7	PGF	0.24641862183906227
IL7	LTA	0.16320677619221602
FGF19	IL6	0.11062257391993313
FGF19	SELPLG	0.11344289461394741
FGF19	TNFSF11	0.11877035790507051
FGF19	IL17C	0.11253860124759196
FGF19	CXCL5	0.11706511054756419
FGF19	KLK11	0.16951388015482838
REN	ADM	0.23664652218008797
REN	IL1RL1	0.24393624729723573
REN	CHI3L1	0.19255167196424416
ADA	HSPB1	0.14044850693137167
ADA	IL15RA	0.24147113933556774
ADA	HGF	0.28677653817241566
NT-pro-BNP	ADM	0.332295304327074
NT-pro-BNP	NPPB	1.4213509774728577
NT-pro-BNP	CCL19	0.22406293027869495
NT-pro-BNP	IL17A	0.15329974700959426
CXCL6	DNER	0.20982289912732277
CXCL6	CCL3	0.24043944905556902
CXCL6	BDNF	0.17006252666528
CXCL6	CD5	0.24251417181403045
CD40	FLT3LG	0.312420694727221
CD40	TGFA	0.5733704360297001
CD40	CCL25	0.2653635735379538
CD40	IL17A	0.16243585018622397
CXCL9	MMP10	0.22195635120131296
CXCL9	TNFRSF9	0.4081406364011215
CXCL9	CXCL10	0.747231072162351
CXCL8	LIFR	0.3747905835206602
CXCL8	MMP10	0.24009166513655344
CXCL8	CDCP1	0.25393456105921874
CXCL8	CCL11	0.22787390227330562
CXCL8	SELPLG	0.15259712529848368
CXCL8	TGFA	0.3159252904444232
CXCL8	CCL20	0.2964463299209008
CXCL8	TNFRSF10B	0.262712740291585
CXCL8	IL6	0.2647576987575073
CXCL8	PTX3	0.25621674841580866
CXCL8	IL18R1	0.19829728181174655
HSPB1	SRC	0.6024583239506427
HSPB1	CXCL1	0.36190364917542084
HSPB1	AGER	0.23568486261849575
HSPB1	CCL7	0.16893687755584708
HSPB1	GDF15	0.17294057357227466
HSPB1	ADA	0.14044850693137167
ADM	NT-pro-BNP	0.332295304327074
ADM	CSTB	0.48039079639096016
ADM	EGF	0.1030311305873699
ADM	IL6	0.35142360034075093
ADM	REN	0.23664652218008708
CXCL1	PDGFB	0.5644432141429307
CXCL1	HSPB1	0.36190364917542084
CXCL1	CCL8	0.11303615050163618
CXCL1	BDNF	0.11875085518399597
CXCL1	TNFRSF10B	0.20494145948373
IL27	RNY5-5p	0.1372948146827584
IL27	NPPB	0.12415371537214082
IL27	OLR1	0.2725145060847378
IL27	MMP3	0.1456035346606379
IL27	OSM	0.156973687597028
IL27	PAPPA	0.19103364321279503
PRL	PAPPA	0.11849753697596999
PRL	TNFSF11	0.11156308529793968
PRL	TNFRSF1A	0.16574838342395548
CX3CL1	MPO	0.18285394472398853
CX3CL1	F3	0.4349778379896314
CX3CL1	PGF	0.3338953629586312
CXCL5	EGF	0.4168319337888722
CXCL5	IL7	0.33821021573460985
