Regulator	Target	MI
IL1RN	CCL20	0.17206786642123628
IL1RN	FABP4	0.35347892143330206
SPON1	NT-pro-BNP	0.25913928101747885
SPON1	ESM1	0.2349158336157613
SPON1	HGF	0.2388269963450238
SPON1	AGER	0.2584661012485485
SPON1	TNFRSF10B	0.4351723549965243
SPON1	GH1	0.18930034848366528
SPON1	REN	0.1926275798929682
CSF1	TNFSF10	0.18178421754076446
CSF1	AXIN1	0.14562106769906435
CSF1	CCL13	0.20339760387169736
CSF1	TGFA	0.4282877268086578
CSF1	IL10RB	0.4668655848799643
CSF1	TNFRSF9	0.44631038178703886
CSF1	CXCL11	0.24702223798153344
CSF1	IL17A	0.14190177434763207
PLAT	RNY4-5p	0.2054797082597073
PLAT	KLK11	0.1857986640482272
PLAT	FABP4	0.24218162017216827
PLAT	PAPPA	0.1505964970803637
MPO	CX3CL1	0.20524155228390306
MPO	SULT1A1	0.17359938268708675
MPO	OLR1	0.29069980123300976
MPO	TNFRSF1B	0.3080601786791517
MPO	CD244	0.308171334408998
CXCL16	IL6R	0.21972405798523642
CXCL16	MMP7	0.3423115711248661
CXCL16	TNFRSF1B	0.3998458806918208
CXCL16	FGF19	0.1633261462973561
FGF5	CCL11	0.2134654753096923
FGF5	LGALS3	0.20756352488747432
FGF5	F2R	0.25129861679530574
FGF5	VEGFD	0.25109213454507273
FGF5	MMP12	0.20205737120206457
FGF5	GDNF	0.12933905917299526
FGF5	PECAM1	0.20097163760356374
NPPB	NT-pro-BNP	1.2656295759724792
NPPB	CX3CL1	0.2768554948170827
NPPB	IL1RL1	0.1680347273654368
NPPB	TNFRSF10B	0.33933339588950595
NPPB	VEGFD	0.2199823134419825
LGALS3	FGF5	0.2075635248874752
LGALS3	ESM1	0.20181106496515344
LGALS3	FABP4	0.35114557329877005
PLAU	CCL2	0.43589796633127786
PLAU	RNY4-3p	0.17954879090396503
PLAU	IL10RB	0.34489013353087206
PLAU	TNFSF12	0.42187555310936453
PLAU	IL7	0.2814215299368117
TNFSF10	CSF1	0.18178421754076446
TNFSF10	TNFSF11	0.09531569376219018
TNFSF10	TNFSF12	0.21750809624858114
TNFSF10	ADA	0.20694531242676906
IL12B	AGER	0.24363710912254088
IL12B	SULT1A1	0.16001174816019414
IL12B	CCL19	0.28527313562505885
IL12B	TNFRSF9	0.2713808566608904
IL12B	CXCL10	0.1827937411911087
IL12B	FAS	0.18330716742578268
IL12B	ADA	0.21298974340661658
IL12B	CD244	0.22923500579995615
TNFSF11	CXCL11	0.1415359700316614
TNFSF11	MMP7	0.19954377988384842
TNFSF11	CD6	0.12224430942387254
TNFSF11	MMP1	0.13965413869275523
TNFSF11	CCL4	0.12166619166616943
TNFSF11	TNFSF10	0.09531569376219107
IL6R	CXCL16	0.21972405798523553
IL6R	FST	0.25080295730771773
IL6R	STAMBP	0.2554260577987115
IL15RA	CD40	0.4550029485110825
IL15RA	CASP8	0.25482562270612963
IL15RA	HAVCR1	0.26096630882505245
IL15RA	IL18	0.25819213582527034
IL15RA	CCL3	0.3442298483578554
IL15RA	AGRP	0.1804220474887943
RNY4-3p	RNY4-5p	0.7515673619187799
RNY4-3p	PLAU	0.17954879090396414
RNY4-3p	FGF19	0.14837703788567325
RNY4-3p	FGF21	0.10015629881977439
FST	CCL19	0.15283214096639774
FST	IL6R	0.25080295730771773
FST	GDF15	0.30042458088646296
FST	PAPPA	0.22667211818512456
FST	HBEGF	0.3290130212352471
HGF	SPON1	0.2388269963450229
HGF	CXCL5	0.19928275598591405
HGF	TGFA	0.39399821049401673
HGF	TNFRSF11B	0.4031352420627412
HGF	SLAMF1	0.21344282837925377
F2R	CD40	0.3912028253366815
F2R	FGF5	0.25129861679530574
F2R	PGF	0.6884888656740289
F2R	SIRT2	0.29329728806864086
F2R	MUC16	0.1512659005235104
FLT3LG	KLK6	0.1939758107366858
FLT3LG	CCL25	0.19552662019248412
FLT3LG	MUC16	0.15949152731547933
FLT3LG	CDCP1	0.1403725655724264
FLT3LG	CD5	0.22686753730565545
LIFR	CX3CL1	0.3120532356427903
LIFR	CASP8	0.222530869705869
LIFR	IL10	0.20163958128641823
LIFR	CD6	0.2386201909362633
LIFR	PTX3	0.2662360693779675
RNASE3	OSM	0.2581148821435235
RNASE3	IL16	0.3247528941043685
DKK1	ESM1	0.19502730001166135
DKK1	VEGFD	0.3068858295151662
DKK1	PECAM1	0.2183823612600344
DKK1	STAMBP	0.2693222288500854
DKK1	HBEGF	0.3513500530281011
PGF	HSPB1	0.2616602392665843
PGF	F2R	0.688488865674028
PGF	TNFRSF1A	0.6824385828814883
PGF	HBEGF	0.647508731948709
PGF	AGER	0.2834683672691094
PGF	TNFRSF9	0.3682702135259337
PGF	KLK11	0.5566166748560919
PGF	IL17C	0.2348763665206084
PAPPA	FST	0.22667211818512456
PAPPA	PDGFB	0.18568333017915073
PAPPA	PLAT	0.1505964970803646
PAPPA	CXCL10	0.17560442032505108
PAPPA	PTX3	0.21829964184536887
PAPPA	CD244	0.2122032914256513
STAMBP	CX3CL1	0.2817891701212041
STAMBP	CASP8	0.4206434366638687
STAMBP	IL6R	0.2554260577987124
STAMBP	DKK1	0.2693222288500863
STAMBP	SIRT2	0.5230151165832
STAMBP	GAL	0.11780127928612671
STAMBP	IL7	0.20672399095355853
CD274	SLAMF1	0.22246025750839138
CD274	TNFRSF1B	0.3588237290134
RNY5-5p	MB	0.17764121148081635
RNY5-5p	RNY4-5p	0.2521638154114587
PDGFB	SRC	0.633261200403628
PDGFB	CXCL5	0.42630546378609946
PDGFB	TGFB1	0.22149143006343852
PDGFB	RNY4-5p	0.4765246866833035
PDGFB	PAPPA	0.18568333017915162
PDGFB	IL17C	0.19703092571018832
PDGFB	HBEGF	0.2832137141014801
TGFA	CXCL9	0.36684820705021703
TGFA	CSF1	0.4282877268086578
TGFA	HGF	0.39399821049401673
TGFA	TNFRSF1B	0.40043724719597495
TGFA	CCL11	0.22322143118185078
TGFA	CCL2	0.3417881250853929
TGFA	FGF23	0.34930075858533804
TGFA	CCL23	0.4058033738547646
TGFA	OSM	0.2785828541999935
TGFA	VEGFA	0.6684412967287825
TNFRSF11B	CX3CL1	0.3727752541052105
TNFRSF11B	HGF	0.4031352420627421
TNFRSF11B	CCL2	0.4275990968003338
TNFRSF11B	S100A12	0.2178324428038998
TNFRSF11B	TGFB1	0.4858277087263678
TNFRSF11B	VEGFA	0.3842736905171824
TNFRSF11B	GDNF	0.19756464763062542
AGER	SPON1	0.2584661012485485
AGER	CTSL	0.1779764729441009
AGER	IL12B	0.24363710912254088
AGER	CCL23	0.19184436165803032
AGER	TNFSF12	0.18949823312458935
AGER	VEGFD	0.20547364704629612
AGER	PGF	0.2834683672691085
AGER	PECAM1	0.2787481410264103
AGER	AGRP	0.18404340832255617
KLK6	FLT3LG	0.19397581073668668
KLK6	TNFRSF1B	0.3422292187723661
SULT1A1	NT-pro-BNP	0.15573823005014464
SULT1A1	HSPB1	0.37403513754945994
SULT1A1	MPO	0.17359938268708675
SULT1A1	IL12B	0.16001174816019503
SULT1A1	IL18	0.1540603061364667
SULT1A1	HBEGF	0.2803046074363831
EIF4EBP1	NT-pro-BNP	0.3033636615741946
EIF4EBP1	CD40	0.4847059762683408
EIF4EBP1	CCL19	0.20972357902089733
EIF4EBP1	IL6	0.24804288536595998
EIF4EBP1	CD244	0.34433432151803345
S100A12	TNFRSF11B	0.21783244280390068
S100A12	PRL	0.1474611634922507
S100A12	RETN	0.1942182122956826
S100A12	MMP12	0.1619459068288105
S100A12	CDCP1	0.14452054310984064
S100A12	CCL7	0.19005521164334738
FGF23	TGFA	0.34930075858533804
FGF23	CD5	0.3352717217824699
FGF23	AGRP	0.17654825458684087
FGF21	CXCL6	0.14250803466944095
FGF21	RNY4-3p	0.1001562988197735
FGF21	GDF15	0.1492716138873309
FGF21	TNFSF12	0.11804935563025865
FGF21	AGRP	0.14176681195996643
SLAMF1	CD274	0.22246025750839138
SLAMF1	MB	0.23709168956029103
SLAMF1	CCL2	0.24147967653300206
SLAMF1	GDF15	0.23253793320711313
SLAMF1	HGF	0.21344282837925377
TGFB1	CXCL6	0.2652360040173969
TGFB1	PRL	0.1322773517681668
TGFB1	IL16	0.23386044860918087
TGFB1	PDGFB	0.22149143006343852
TGFB1	TNFRSF11B	0.4858277087263678
TGFB1	CCL4	0.2805019556862858
TGFB1	GH1	0.18599436173138528
MUC16	F2R	0.1512659005235104
MUC16	FLT3LG	0.15949152731547933
MUC16	CCL28	0.12001902830711053
TNFSF14	PRL	0.13792067987625067
TNFSF14	CCL3	0.21520298872191468
TNFSF14	CD40LG	0.1744659585208117
TNFSF14	PECAM1	0.18236241958081223
TNFSF14	IL18R1	0.2519345809081699
BDNF	CXCL10	0.1345929385957767
BDNF	MMP1	0.1518076386317322
BDNF	IL27	0.13025014112136368
BDNF	FGF23	0.13635814753003572
BDNF	SIRT2	0.1267475979321837
TNFRSF9	CD40	0.5522838982688247
TNFRSF9	CXCL9	0.3525499132285974
TNFRSF9	CSF1	0.44631038178703797
TNFRSF9	DNER	0.2053621825615739
TNFRSF9	IL12B	0.2713808566608904
TNFRSF9	PGF	0.3682702135259337
TNFRSF9	CST5	0.38491578571475404
TNFRSF9	KITLG	0.3263474529384611
TNFRSF9	CD5	0.47329985456241186
TNFSF12	AGER	0.18949823312458935
TNFSF12	CXCL5	0.17700881938608592
TNFSF12	IL1RL1	0.21132671871597175
TNFSF12	PLAU	0.42187555310936364
TNFSF12	DNER	0.3714091263489454
TNFSF12	TNFSF10	0.21750809624858025
TNFSF12	FGF21	0.11804935563025865
TNFSF12	CCL20	0.13258423537139397
TNFSF12	TNFRSF1A	0.25079365287070843
TNFRSF10B	SPON1	0.4351723549965252
TNFRSF10B	ADM	0.5610554575591049
TNFRSF10B	NPPB	0.3471995424642582
TNFRSF10B	HAVCR1	0.25151195183735187
TNFRSF10B	MMP7	0.3977136883543544
TNFRSF10B	TNFRSF1A	0.6037654483151469
TNFRSF10B	GDF15	0.5109052136350343
TNFRSF10B	PTX3	0.17332470600545768
SELE	IL10	0.12334002958437296
SELE	CXCL6	0.1866882913881236
SELE	MMP1	0.18506648538230142
SELE	FGF19	0.0917201344885612
SELE	PECAM1	0.35888089853558647
SELE	IL18R1	0.16540971458672882
CXCL10	CXCL9	0.5019878197869483
CXCL10	IL12B	0.18279374119110958
CXCL10	OLR1	0.30336296312783073
CXCL10	EGF	0.22909467008460016
CXCL10	MMP3	0.17654103515975894
CXCL10	IL18	0.1696943606587764
CXCL10	CXCL11	0.5201977241597717
CXCL10	PAPPA	0.1756044203250502
GH1	SPON1	0.18930034848366528
GH1	TGFB1	0.18599436173138528
GH1	HSPB1	0.35595983752672655
GH1	MMP12	0.21010943697615758
CXCL11	CSF1	0.24702223798153167
CXCL11	TNFSF11	0.1415359700316614
CXCL11	CXCL10	0.5333026344790275
IL6	EIF4EBP1	0.24804288536595998
GDNF	RETN	0.17298116415812537
GDNF	CTSL	0.16437686282479191
GDNF	DNER	0.19590547060245989
IL7	PLAU	0.2814215299368108
IL7	CCL3	0.22838632997691288
IL7	VEGFD	0.14704276566680718
IL7	LTA	0.16733541857958034
IL7	STAMBP	0.20672399095355853
FGF19	SELPLG	0.10081290358745942
FGF19	RNY4-3p	0.14837703788567325
FGF19	DNER	0.22361404682376396
FGF19	LTA	0.09942976371326928
FGF19	SELE	0.0917201344885612
FGF19	CXCL16	0.1633261462973552
REN	SPON1	0.1926275798929682
REN	CCL11	0.14744105287068
ADA	CXCL9	0.23881439181283604
ADA	DNER	0.2685311059682123
ADA	TNFSF10	0.20694531242676906
ADA	IL12B	0.21298974340661658
ADA	CD6	0.23809026994351434
NT-pro-BNP	SPON1	0.25913928101747885
NT-pro-BNP	ADM	0.3556163804190824
NT-pro-BNP	NPPB	1.2564919879271734
NT-pro-BNP	SULT1A1	0.15573823005014464
NT-pro-BNP	EIF4EBP1	0.3033636615741937
NT-pro-BNP	NGF	0.2652142601771983
NT-pro-BNP	CHI3L1	0.30925864891086086
CXCL6	CXCL1	0.22963384803965692
CXCL6	OLR1	0.18827120891651195
CXCL6	FGF21	0.14250803466944095
CXCL6	TGFB1	0.2652360040173978
CXCL6	SELE	0.1866882913881236
CD40	CXCL8	0.25348701655657724
CD40	CX3CL1	0.4116271718446818
CD40	IL15RA	0.4550029485110825
CD40	MMP1	0.24500826099614148
CD40	F2R	0.3912028253366815
CD40	MMP10	0.2992224976554452
CD40	CDCP1	0.29584723541852576
CD40	EIF4EBP1	0.48470597626834167
CD40	TNFRSF9	0.5522838982688247
CD40	VEGFA	0.6394401664013358
CXCL9	ESM1	0.1909971103059842
CXCL9	TGFA	0.3668482070502179
CXCL9	TNFRSF9	0.3525499132285974
CXCL9	CXCL10	0.5019878197869474
CXCL9	ADA	0.23881439181283604
CXCL8	CCL13	0.3443008918717547
CXCL8	CD40	0.25348701655657724
CXCL8	CCL25	0.21732948228815197
CXCL8	IL10	0.1521073635288488
CXCL8	MMP12	0.23947052245185851
CXCL8	PECAM1	0.19244459024752647
CXCL8	IL17C	0.1848373364053142
HSPB1	SRC	0.5300185339131325
HSPB1	CXCL1	0.43474581974748894
HSPB1	SULT1A1	0.3740351375494608
HSPB1	PGF	0.2616602392665843
HSPB1	GH1	0.35595983752672744
ADM	NT-pro-BNP	0.3556163804190824
ADM	CSTB	0.5101964140464972
ADM	TNFRSF10B	0.5610554575591049
ADM	FABP4	0.4688559387101989
CXCL1	CXCL6	0.22963384803965692
CXCL1	HSPB1	0.43474581974748894
CXCL1	CDCP1	0.19942155034395093
IL27	TNFRSF1B	0.33130193155926424
IL27	CD244	0.25221241117454074
PRL	TGFB1	0.1322773517681668
PRL	TNFSF14	0.13792067987625067
PRL	SRC	0.13845438637946827
PRL	F3	0.16406883380342308
PRL	S100A12	0.1474611634922507
CX3CL1	CD40	0.41162717184468267
CX3CL1	MPO	0.20524155228390306
CX3CL1	NPPB	0.2768554948170827
CX3CL1	LIFR	0.3120532356427894
CX3CL1	F3	0.29417957869106814
