Regulator	Target	MI
IL1RN	PLAT	0.2028585779979295
IL1RN	CCL4	0.19595596669125026
IL1RN	TNFSF14	0.25830088577743027
IL1RN	IL6	0.21251554076584966
IL1RN	FABP4	0.4521204542047377
IL1RN	GDNF	0.12790140983385445
SPON1	NT-pro-BNP	0.32807837872005585
SPON1	HGF	0.30600441291838987
SPON1	F3	0.48827576323829014
SPON1	HBEGF	0.3388812632399878
SPON1	GDF15	0.39534980622059557
SPON1	FAS	0.4011290502106437
SPON1	PTX3	0.22030240161534742
CSF1	HGF	0.6268532636706396
CSF1	NGF	0.42169312132463066
CSF1	TGFA	0.5432913936131705
CSF1	CCL4	0.26761755006907695
CSF1	IL10RB	0.6678140046290748
CSF1	KITLG	0.16917137100648105
PLAT	IL1RN	0.2028585779979295
PLAT	CST5	0.17665563309858712
PLAT	CASP8	0.19467341350539602
PLAT	FGF19	0.09675897779484455
PLAT	REN	0.24917727617285568
PLAT	IL18R1	0.16985347362377112
PLAT	FGF21	0.20353521649481543
MPO	ESM1	0.14709345308456534
MPO	OLR1	0.29182456317968253
MPO	PECAM1	0.3075486536734964
CXCL16	SELPLG	0.22677871270368488
CXCL16	PRL	0.22015355771576406
CXCL16	LGALS3	0.2845534673664183
CXCL16	F2R	0.41250185798839745
CXCL16	IL16	0.3225966116777954
CXCL16	FABP4	0.32460794127913584
FGF5	TGFA	0.21193060137796138
FGF5	TNFSF14	0.17459054892713066
FGF5	VEGFD	0.27362791937259967
NPPB	NT-pro-BNP	1.4034837306600254
NPPB	SULT1A1	0.1342075184624214
NPPB	CCL23	0.25317123037704814
NPPB	SELE	0.16978843060552506
NPPB	GH1	0.13621986309269474
NPPB	PAPPA	0.22306195047878585
NPPB	CHI3L1	0.24518175958637123
LGALS3	CSTB	0.308181542299204
LGALS3	CXCL16	0.2845534673664183
LGALS3	CD6	0.12779441703144556
LGALS3	AGRP	0.2099500704110282
PLAU	DNER	0.29969536392224505
PLAU	LIFR	0.3173357287927647
PLAU	NGF	0.3258744307848227
PLAU	MMP10	0.25192247539446555
PLAU	TGFA	0.42825490760801266
PLAU	CCL8	0.2820122798154694
PLAU	CCL19	0.2090702442522714
PLAU	FGF23	0.3800549229115884
PLAU	IL10RB	0.41250083731905374
PLAU	ADA	0.2959172640179091
TNFSF10	TNFRSF9	0.2294099412864803
TNFSF10	TNFSF12	0.29789572235088446
TNFSF10	F3	0.1470879705582826
TNFSF10	IL1RL1	0.1002606255446521
TNFSF10	CCL3	0.1791613714349758
TNFSF10	AGRP	0.17818489918401248
IL12B	CXCL9	0.33753184038576567
IL12B	SULT1A1	0.1743260595165932
IL12B	ADA	0.22261081218314516
TNFSF11	MUC16	0.13692476396077868
TNFSF11	CCL20	0.1648712803264507
TNFSF11	AXIN1	0.13153748608603877
TNFSF11	TNFRSF10B	0.1875897178875432
TNFSF11	NGF	0.1688582857686871
IL6R	TNFRSF10B	0.25301909574984194
IL6R	DKK1	0.1848913661478786
IL15RA	CXCL5	0.17340701251626456
IL15RA	CD274	0.3259596209493818
IL15RA	TGFA	0.5652307408421109
