Regulator	Target	MI
IL1RN	CSTB	0.34988824592580947
IL1RN	LIFR	0.2553181787409633
IL1RN	LEP	0.33971947147234616
SPON1	FGF5	0.31379099167426006
SPON1	NPPB	0.25482821603549066
SPON1	PLAU	0.2658608243254763
SPON1	IL10	0.22193320553587892
SPON1	MMP7	0.40529520312723655
SPON1	PLAUR	0.4380881217314512
SPON1	RNASE3	0.2645478191772854
CSF1	CXCL1	0.1858388928598984
CSF1	NPPB	0.2533910882220942
CSF1	TNFRSF1B	0.4079336604091939
CSF1	TGFA	0.5120212245854878
CSF1	TNFRSF11B	0.3506563032289547
CSF1	CCL2	0.35172419537039445
CSF1	IL10RB	0.47669139780037906
CSF1	CD5	0.4711919744255084
CSF1	CD244	0.3293602784026408
PLAT	BDNF	0.09611654869106268
PLAT	HGF	0.1307666340771334
PLAT	GH1	0.17992076353804354
PLAT	IL6	0.1553162831954209
PLAT	FABP4	0.14736760187373132
PLAT	REN	0.21627614919368288
PLAT	HAVCR1	0.19727459075721132
PLAT	CTSD	0.12569075227129822
MPO	SELPLG	0.1907194187485608
MPO	RNASE3	0.24279367236805882
MPO	PECAM1	0.3286415989423439
MPO	PTX3	0.1854622096824734
MPO	CD244	0.1873541564549921
MPO	IL18R1	0.22227307682928377
CXCL16	LGALS3	0.31266441363295794
CXCL16	MMP7	0.37257618910613566
CXCL16	FABP4	0.26269552352180714
CXCL16	HBEGF	0.3848909260994393
FGF5	SPON1	0.31379099167426006
FGF5	CASP8	0.21806835156680737
FGF5	VEGFD	0.23060740695668525
FGF5	CD5	0.15156367771374857
FGF5	CCL28	0.22341913754286136
NPPB	NT-pro-BNP	1.4494762359997138
NPPB	SPON1	0.25482821603549066
NPPB	CSF1	0.2533910882220942
NPPB	FGF21	0.12697391991228457
LGALS3	CSTB	0.3830177621150215
LGALS3	CXCL16	0.31266441363295794
LGALS3	IL6R	0.2282891796940456
LGALS3	TNFSF12	0.17841609274120618
LGALS3	SELE	0.1724462483592788
PLAU	SPON1	0.2658608243254754
PLAU	SRC	0.14854756468104036
PLAU	DNER	0.3385100633597773
PLAU	TNFSF10	0.2224499187263591
PLAU	CCL2	0.33551586710523473
PLAU	HGF	0.48078642279323613
PLAU	MMP10	0.14020070789882855
TNFSF10	IL10	0.1540920649815396
TNFSF10	PLAU	0.2224499187263591
TNFSF10	PRL	0.10442284522775225
IL12B	TNFRSF1B	0.3923672853919671
IL12B	CXCL10	0.21857498340770753
IL12B	CD5	0.25643755170185223
IL12B	REN	0.16817113382548854
TNFSF11	CXCL8	0.11861182406099413
TNFSF11	CD6	0.09754036926632725
TNFSF11	IL27	0.12024570454039996
TNFSF11	CCL19	0.1616776226535146
TNFSF11	SELE	0.12886549640849676
IL6R	PRL	0.20114640945195728
IL6R	LGALS3	0.2282891796940465
IL6R	PGF	0.3476149659315473
IL15RA	TGFA	0.3782164360035507
IL15RA	IL1RL1	0.13289978488775223
IL15RA	CASP8	0.1873885852518029
IL15RA	CTSD	0.21995672116361042
IL15RA	F2R	0.26638542690044
RNY4-3p	RNY4-5p	0.8085495549906527
RNY4-3p	TNFRSF1A	0.223165105855891
FST	CXCL5	0.1236351629298591
FST	IL1RL1	0.17949228018086405
FST	CCL19	0.14886434433053086
FST	TNFSF12	0.20460344005381348
FST	PGF	0.4608454553863339
HGF	PLAT	0.1307666340771343
HGF	PLAU	0.480786422793237
HGF	TGFA	0.39140877558584464
HGF	TNFRSF11B	0.4874522654245368
HGF	TGFB1	0.4073139670170276
HGF	TNFSF14	0.16394163143658336
HGF	CCL20	0.3052103738410423
F2R	IL27	0.2567229558183417
F2R	IL15RA	0.26638542690044
F2R	RNASE3	0.3698040363773254
F2R	SIRT2	0.2822111561194909
F2R	TNFRSF1A	0.5985203823810679
F2R	HBEGF	0.5702304132624354
F2R	IL6	0.26440192411380004
F2R	GDNF	0.18003787270255422
FLT3LG	CCL13	0.1859789309962272
FLT3LG	CXCL10	0.20607732620261476
FLT3LG	IL1RL1	0.16512550439066764
FLT3LG	LEP	0.113828936067363
LIFR	IL1RN	0.2553181787409633
LIFR	VEGFA	0.30146159365563197
RNASE3	SPON1	0.2645478191772854
RNASE3	RETN	0.37096003876253203
RNASE3	MPO	0.24279367236805882
RNASE3	F2R	0.3698040363773263
DKK1	PDGFB	0.24530762627484304
DKK1	NTF3	0.13746602920766904
DKK1	PGF	0.2967227626101199
PGF	IL6R	0.3476149659315473
PGF	MMP7	0.5165400032023184
PGF	FST	0.46084545538633304
PGF	DKK1	0.2967227626101199
PGF	MMP12	0.36186060773991624
PGF	TNFRSF10B	0.7211034720185845
PGF	FAS	0.4479877020009315
PGF	TEK	0.40210019278075126
PGF	IL17C	0.17732776682211515
PAPPA	ESM1	0.3081074410221305
PAPPA	CCL2	0.1436096881868485
PAPPA	AGRP	0.14653004508686074
STAMBP	CASP8	0.27668279327117684
STAMBP	EIF4EBP1	0.28554237420798856
STAMBP	SIRT2	0.643037451353278
STAMBP	GH1	0.16691869354488897
CD274	CTSL	0.37852903185543507
