Regulator	Target	MI
IL1RN	PLAT	0.20990705251073027
IL1RN	IL6R	0.21550625901936105
IL1RN	CCL25	0.16521791130602015
IL1RN	PLAUR	0.2697003785180154
IL1RN	FABP4	0.3770235303219689
SPON1	CXCL8	0.22236321587512542
SPON1	FGF5	0.1855405644139898
SPON1	ESM1	0.28228693110874303
SPON1	LIFR	0.25381953218561026
SPON1	CCL25	0.22807192455819347
SPON1	TNFRSF10B	0.31071639602677603
SPON1	GDNF	0.15645787834685532
CSF1	LIFR	0.3222898097064366
CSF1	TNFRSF1B	0.3673550468520377
CSF1	TGFA	0.4345539180666895
CSF1	TNFRSF11B	0.533229386131203
CSF1	NTF3	0.1259078956101618
CSF1	TGFB1	0.36994960791066056
CSF1	IL10RA	0.16392033627895408
CSF1	CD5	0.4419424524073232
PLAT	IL1RN	0.20990705251073027
PLAT	MMP7	0.20379968227923317
PLAT	OSM	0.16607939602558375
PLAT	SELE	0.15506703951905898
PLAT	CCL2	0.21794534189500325
PLAT	FGF21	0.17317288842708667
MPO	CCL11	0.19389142654032376
MPO	PRL	0.21381955176149514
MPO	OLR1	0.23721141956118874
MPO	IL6R	0.22986852243540046
MPO	IL18	0.1585824481681657
MPO	RNASE3	0.2813834413174643
MPO	PAPPA	0.1783502595007489
CXCL16	CXCL6	0.21351682579839437
CXCL16	LGALS3	0.337736968728251
CXCL16	HAVCR1	0.20395928847413636
CXCL16	F2R	0.4365711638709069
CXCL16	FLT3LG	0.12676817087263537
FGF5	SPON1	0.1855405644139898
FGF5	NPPB	0.18419063619940612
FGF5	CASP8	0.37442502956131385
FGF5	IL10RA	0.10614110974417379
FGF5	MMP10	0.1924801406404919
FGF5	GH1	0.17926665003980968
FGF5	CD40LG	0.17152816841374108
NPPB	NT-pro-BNP	1.3100490875370046
NPPB	FGF5	0.21192829259973767
NPPB	TNFRSF10B	0.2875479401129164
LGALS3	CSTB	0.3628018105953714
LGALS3	CXCL16	0.33441750929060454
LGALS3	MUC16	0.1333259781662548
LGALS3	CCL20	0.21711765958618567
LGALS3	VEGFD	0.22328958600270798
PLAU	DNER	0.3217319538303478
PLAU	TNFSF10	0.21356150116341066
PLAU	TNFRSF9	0.328118533476049
PLAU	TNFSF12	0.2965484501145381
TNFSF10	CCL13	0.22304786116500974
TNFSF10	EGF	0.13121171307491242
TNFSF10	LIFR	0.17726581444965106
TNFSF10	RETN	0.1938938541331643
TNFSF10	IL1RL1	0.18019802730497148
TNFSF10	PLAU	0.21356150116341066
IL12B	AGER	0.19941499623625436
IL12B	SULT1A1	0.14747530227177297
IL12B	CCL19	0.23870309415429336
IL12B	MMP7	0.2107991319042677
IL12B	KITLG	0.17039967729850325
IL12B	CD6	0.22294423835510546
IL12B	ADA	0.18800027790909724
TNFSF11	MB	0.14670965166580796
TNFSF11	REN	0.1054107321691875
TNFSF11	SIRT2	0.10464362927207382
IL6R	IL1RN	0.21550625901936105
IL6R	MPO	0.24255678321998086
IL6R	IKBKG	0.16629596247523803
IL15RA	CXCL1	0.22886075639415804
IL15RA	NGF	0.3613813892178914
IL15RA	TNFRSF1B	0.3876024317488831
IL15RA	F3	0.3105544012678383
IL15RA	MMP12	0.2158041241657367
IL15RA	CCL8	0.2023281783993296
IL15RA	TGFB1	0.3813888668125891
IL15RA	GDF15	0.3419194580567435
IL15RA	ADA	0.2380767427275483
RNY4-3p	RNY4-5p	0.5894657472013591
RNY4-3p	THBD	0.18610733518986233
RNY4-3p	CASP8	0.21914998533421226
FST	CTSD	0.16881092915427232
FST	TNFRSF10B	0.2032721386213785
FST	KITLG	0.19647791174049267
HGF	CXCL8	0.2930280563343004
HGF	TNFRSF11B	0.45108676822222016
HGF	CCL7	0.2069979596628393
HGF	FGF21	0.1506372791884676
HGF	CCL20	0.21864514297059223
HGF	KITLG	0.21220105550210633
HGF	ADA	0.22126483209249415
F2R	CXCL16	0.4365711638709069
F2R	PLAUR	0.6796183662835968
F2R	TNFRSF1B	0.7070539126437545
F2R	DKK1	0.2668019947674871
F2R	SIRT2	0.3734683518076265
F2R	HBEGF	0.5297895370074999
F2R	SELE	0.20119709782020934
FLT3LG	CXCL5	0.1773086452618582
FLT3LG	CXCL16	0.12676817087263448
FLT3LG	CCL8	0.23672936807979283
FLT3LG	CCL4	0.17993605466872697
LIFR	SPON1	0.25381953218561204
LIFR	CSF1	0.3222898097064366
LIFR	TNFSF10	0.17726581444965106
LIFR	F3	0.25252625917125027
RNASE3	MPO	0.2813834413174634
RNASE3	MMP1	0.12808141948956653
RNASE3	TNFRSF1B	0.3492855816954883
RNASE3	XPNPEP2	0.15851565970688508
DKK1	CXCL1	0.2614103148265823
DKK1	F2R	0.2668019947674871
DKK1	VEGFD	0.1890648095282801
DKK1	F3	0.25112017871430226
DKK1	AGRP	0.2842651807166705
PGF	TNFRSF1A	0.6159480293311184
PGF	RETN	0.4467301635054488
PAPPA	IL27	0.23313791145171425
PAPPA	MPO	0.1783502595007489
PAPPA	ESM1	0.3091947525644878
PAPPA	GAL	0.11589512974796712
STAMBP	PDGFB	0.6260658234426071
STAMBP	HSPB1	0.5547081153028426
STAMBP	CASP8	0.39302026812975654
STAMBP	IL7	0.23089462428230956
CD274	NGF	0.29303400232955035
CD274	TNFRSF1B	0.3639366344798294
CD274	CCL3	0.2865770019902758
CD274	SLAMF1	0.2118516559316621
CD274	GDNF	0.23753842354417998
CD274	CD244	0.20829211325073427
RNY5-5p	RNY4-5p	0.27225538198141486
RNY5-5p	GH1	0.18030543778294117
RNY5-5p	HBEGF	0.21885668407381065
PDGFB	SRC	0.6959830522481614
PDGFB	CXCL1	0.4258333428964045
PDGFB	FGF23	0.1834487687547579
PDGFB	STAMBP	0.6260658234426071
TGFA	NT-pro-BNP	0.3234710445282216
TGFA	CSF1	0.4345539180666904
TGFA	MMP10	0.18479707641131604
TGFA	CDCP1	0.23773498149486638
TGFA	CCL4	0.31292823325105523
TGFA	FGF23	0.35775536870678515
TGFA	CCL23	0.3683256907031369
TGFA	TNFRSF10B	0.39461044359685893
TGFA	VEGFA	0.5688679032694957
TGFA	PTX3	0.18281590715187956
TNFRSF11B	CSF1	0.533229386131203
TNFRSF11B	CCL2	0.3838694458068259
TNFRSF11B	S100A12	0.17717144174344845
TNFRSF11B	HGF	0.45108676822222016
AGER	IL12B	0.19941499623625436
AGER	HBEGF	0.35701954549716586
KLK6	THBD	0.3326937557637688
KLK6	MMP10	0.16783477367253763
KLK6	CCL11	0.16275675808676926
KLK6	CST5	0.11268080345766585
KLK6	RNY4-5p	0.11569846479069845
KLK6	ADA	0.20592240916389137
KLK6	IL17A	0.0939709725482194
SULT1A1	SELPLG	0.09653657711573693
SULT1A1	EGF	0.35974755132052216
SULT1A1	MPO	0.10098493903087657
SULT1A1	MMP12	0.26575798584815225
SULT1A1	LTA	0.09498264954180424
SULT1A1	IL12B	0.14747530227177386
EIF4EBP1	CASP8	0.31097643540893394
EIF4EBP1	MMP1	0.22636021572834775
EIF4EBP1	PLAUR	0.3261167964459677
EIF4EBP1	CCL11	0.18193161307127248
EIF4EBP1	VEGFA	0.42078258954975567
S100A12	CCL20	0.1342255966758703
S100A12	OSM	0.19693113712848742
S100A12	ADM	0.15961302823381018
S100A12	TNFRSF11B	0.17717144174344845
FGF23	HAVCR1	0.17120678954060953
FGF23	PDGFB	0.1834487687547579
FGF23	TGFA	0.35775536870678515
FGF23	SLAMF1	0.29402245804709537
FGF21	HGF	0.15063727918846848
FGF21	ADM	0.20504175759082344
FGF21	PLAT	0.17317288842708667
FGF21	CTSL	0.15599413543906593
SLAMF1	CD274	0.2118516559316621
SLAMF1	CXCL9	0.24237921856948752
SLAMF1	FGF23	0.2784169781406529
SLAMF1	TGFB1	0.20970124636613274
SLAMF1	IL7	0.2669820276128183
TGFB1	CSF1	0.3699496079106597
TGFB1	IL15RA	0.3813888668125891
TGFB1	PECAM1	0.16769059014807475
TGFB1	CCL13	0.22635107048817282
TGFB1	SLAMF1	0.20970124636613274
MUC16	FGF19	0.11527993321488239
MUC16	IL16	0.24702787020066364
TNFSF14	CCL3	0.25225426749680047
TNFSF14	IL10	0.1482417688466553
TNFSF14	PLAUR	0.25683628885130094
BDNF	MMP12	0.10799287662241674
BDNF	PRL	0.0948872488910002
BDNF	HBEGF	0.11557002472399436
TNFRSF9	PLAU	0.32811853347604814
TNFRSF9	CTSD	0.1672723835164227
TNFRSF9	TNFRSF1B	0.374809979004727
TNFRSF9	CCL2	0.3612814293288089
TNFRSF9	CD5	0.4208753167510153
TNFSF12	PLAU	0.29654845011453723
TNFSF12	MMP1	0.207278499468611
TNFSF12	XPNPEP2	0.11068454392184623
TNFSF12	ADA	0.2906704073971609
TNFRSF10B	SPON1	0.31071639602677603
TNFRSF10B	NPPB	0.2875479401129173
TNFRSF10B	MMP7	0.3789663435615793
TNFRSF10B	FST	0.2032721386213776
TNFRSF10B	TNFRSF1A	0.7148246515415364
TNFRSF10B	TGFA	0.3946104435968598
TNFRSF10B	XPNPEP2	0.18603426503752019
SELE	F2R	0.20119709782020934
SELE	PLAT	0.1550670395190581
SELE	CXCL10	0.17385432283434277
SELE	PECAM1	0.32865531971031636
SELE	CTSD	0.16808761468000633
SELE	IL17A	0.10494217909159254
CXCL10	CXCL9	0.5129187533940653
CXCL10	CDCP1	0.2932316613201298
CXCL10	CSTB	0.3247628361337407
CXCL10	SELE	0.17385432283434366
CXCL10	IL6	0.19102110640597925
GH1	CSTB	0.1894755365557952
GH1	RNY5-5p	0.18030543778294117
GH1	HSPB1	0.21202793590898317
GH1	FGF5	0.1792666500398088
GH1	AGRP	0.20558079518388528
GH1	ADA	0.13195509544926054
CXCL11	CXCL9	0.530576611947132
CXCL11	SELPLG	0.11202505134744634
CXCL11	CXCL1	0.1685561996799292
CXCL11	IL18	0.27376392950629036
IL6	ADM	0.31069335176393675
IL6	CCL7	0.19871441505380094
IL6	OSM	0.2053600602006478
IL6	CXCL10	0.19102110640598013
GDNF	CD274	0.2592511699571425
GDNF	SPON1	0.18133251731635625
GDNF	CST5	0.13138180934886723
GDNF	DNER	0.15640150864752744
IL7	PRL	0.17151986522235596
IL7	CTSL	0.17655209746795908
IL7	SLAMF1	0.26698202761281653
IL7	STAMBP	0.23089462428230956
FGF19	MUC16	0.11527993321488239
FGF19	CX3CL1	0.13811337664612466
FGF19	ESM1	0.11279926334765822
FGF19	IL18R1	0.08913436657529328
REN	CSTB	0.28205331255111865
REN	IL1RL1	0.1689935563046152
REN	GDNF	0.13970653248192022
REN	TNFSF11	0.1054107321691875
REN	CTSD	0.13648440787813776
REN	IL18R1	0.1705330676091359
ADA	KLK6	0.20592240916389137
ADA	IL12B	0.18800027790909724
ADA	IL15RA	0.2380767427275492
ADA	EGF	0.1326555975774495
ADA	HGF	0.22126483209249415
ADA	TNFSF12	0.29067040739716177
ADA	GH1	0.13195509544926054
NT-pro-BNP	TGFA	0.3234710445282216
NT-pro-BNP	ADM	0.34605567586286146
NT-pro-BNP	CXCL5	0.11916307184122932
NT-pro-BNP	NPPB	1.3100490875370046
NT-pro-BNP	CHI3L1	0.3044891022188594
CXCL6	CXCL1	0.2603540799295381
CXCL6	CXCL16	0.21351682579839437
CXCL6	CCL4	0.303077044525204
CXCL6	CCL2	0.24068932912801788
CXCL6	LTA	0.15330959427792212
CXCL6	CD244	0.2622220029929716
CD40	CXCL9	0.4374103770504352
CD40	CX3CL1	0.36500661242084753
CD40	CST5	0.22707120854374807
CD40	VEGFA	0.5650115798528947
CD40	CD5	0.3933224961159487
CXCL9	CD40	0.4374103770504352
CXCL9	TNFRSF1A	0.3595089553866613
CXCL9	SLAMF1	0.2423792185694884
CXCL9	CXCL10	0.5129187533940662
CXCL9	CXCL11	0.530576611947132
CXCL8	SPON1	0.22236321587512453
CXCL8	CASP8	0.230068517943268
CXCL8	HGF	0.2930280563342995
CXCL8	CCL8	0.15161367316908425
