Regulator	Target	MI
IL1RN	CXCL1	0.1507124273397249
IL1RN	TNFRSF11B	0.1577449621621394
IL1RN	FABP4	0.44751980381559964
IL1RN	IL18R1	0.24407570409379353
SPON1	IL27	0.32210596400531966
SPON1	FGF5	0.24362847019183498
SPON1	ESM1	0.306097055304587
SPON1	CTSL	0.19051557711074896
SPON1	MMP7	0.36960108083457843
SPON1	CDCP1	0.1727097299968774
SPON1	SELPLG	0.12172530865674869
SPON1	TNFRSF10B	0.33931100711169204
SPON1	CD244	0.2342024186501206
CSF1	CXCL9	0.41731814493333363
CSF1	TNFRSF11B	0.38095983093080754
CSF1	BDNF	0.11588911486130993
CSF1	VEGFA	0.43943277285532645
CSF1	CD5	0.3937717165672163
CSF1	IL7	0.28132805257447036
PLAT	CCL7	0.16835126540714462
PLAT	RNY4-3p	0.1280059829139546
PLAT	SELE	0.1347685666618368
PLAT	FABP4	0.24039243736778282
MPO	RNY5-5p	0.18236386086914447
MPO	CX3CL1	0.2121522118378154
MPO	IL1RL1	0.1562233991143236
MPO	THBD	0.3460745062355697
MPO	ESM1	0.2227032639600104
MPO	EGF	0.12085204053205612
MPO	IL17C	0.16648695281224057
CXCL16	IL12B	0.2520302421095302
CXCL16	MMP7	0.28569430487865155
CXCL16	F2R	0.3712943554017185
CXCL16	LEP	0.1695799300333043
CXCL16	FAS	0.4035981448267849
FGF5	CSTB	0.24902794799942463
FGF5	SPON1	0.2436284701918341
FGF5	CX3CL1	0.20306214034551573
FGF5	TNFSF14	0.2102910624488752
FGF5	GDNF	0.2065403329998441
FGF5	CCL28	0.13080742808721268
NPPB	NT-pro-BNP	1.327196277137249
NPPB	MMP1	0.1371720176696778
NPPB	ADM	0.2058438471821269
NPPB	IL7	0.20575383274584347
LGALS3	CSTB	0.2393765978245499
LGALS3	KLK6	0.2485278172029295
LGALS3	F3	0.23074264472930572
LGALS3	SELE	0.13056484419139824
LGALS3	TEK	0.2221667783082495
LGALS3	CCL28	0.1717441479429569
PLAU	DNER	0.26730592708005396
PLAU	HGF	0.46186661582699795
PLAU	MMP10	0.31068715065668595
PLAU	FAS	0.14098061145858942
PLAU	ADA	0.2454886977135784
TNFSF10	SELE	0.09670357658737316
TNFSF10	CXCL10	0.15778934954294233
TNFSF10	DNER	0.16540119193338754
TNFSF10	TNFSF11	0.10848721288972385
TNFSF10	TEK	0.13170553872928803
TNFSF10	IL6R	0.15383392409252927
TNFSF10	SLAMF1	0.1395801967032435
IL12B	CXCL16	0.2520302421095302
IL12B	ESM1	0.16222157111734425
IL12B	MUC16	0.1315730519522269
IL12B	MMP10	0.16037655630356706
IL12B	CD5	0.29209290104833485
TNFSF11	SULT1A1	0.1360891162628235
TNFSF11	SELPLG	0.09705356000104892
TNFSF11	LTA	0.11575957903645229
TNFSF11	TNFSF10	0.10848721288972296
TNFSF11	HAVCR1	0.16026864070807445
IL6R	SULT1A1	0.1521164908705792
IL6R	CXCL11	0.16194775897813152
IL6R	TNFSF10	0.1701539637604057
IL6R	HBEGF	0.1721836078999317
IL15RA	F2R	0.28788089062372
IL15RA	VEGFA	0.2776852448440712
IL15RA	CD244	0.23620804468308165
RNY4-3p	CCL13	0.24975200382796192
RNY4-3p	SRC	0.4137310966557495
RNY4-3p	RNY5-5p	0.1529525213876708
RNY4-3p	PLAT	0.1280059829139546
RNY4-3p	RNY4-5p	0.7199022211559436
RNY4-3p	TNFRSF1A	0.23711478949973852
FST	CCL19	0.09718763563890054
FST	TNFRSF10B	0.3467928276630561
FST	CD6	0.15670288021802747
HGF	PLAU	0.46186661582699795
HGF	IL10	0.2714339792852245
