Regulator	Target	MI
IL1RN	OSM	0.14418266076143116
IL1RN	PLAT	0.2748693751361726
IL1RN	RNASE3	0.17777405954033565
IL1RN	SELE	0.13768852727369385
IL1RN	FABP4	0.39352533033943526
IL1RN	CTSD	0.28205032443232625
SPON1	CX3CL1	0.2506643153523944
SPON1	FGF5	0.23331690701017216
SPON1	ESM1	0.17099164614150908
SPON1	HGF	0.23840646017333533
SPON1	F3	0.3412249201489894
SPON1	MMP10	0.30033183089401305
SPON1	MMP12	0.21846371262858977
SPON1	TNFRSF10B	0.39856471574384766
CSF1	CD40	0.454350417360331
CSF1	HSPB1	0.20057242046007673
CSF1	HGF	0.48463354904683875
CSF1	CSTB	0.34769380038698205
CSF1	CCL7	0.20182662969517207
CSF1	CCL2	0.4499940052832434
CSF1	S100A12	0.2519397279656648
CSF1	TNFRSF9	0.4700065980970356
PLAT	IL1RN	0.2748693751361726
PLAT	CCL2	0.12397363259253247
PLAT	IL18R1	0.2227662741943135
PLAT	FGF21	0.2156848782335823
MPO	IL6R	0.1458773250244665
MPO	MMP1	0.11454693939003757
MPO	RNASE3	0.2537729214309268
MPO	CXCL11	0.1734815906387528
CXCL16	CSTB	0.43843634585361446
CXCL16	CCL7	0.13331612949484128
CXCL16	CTSL	0.3863410673519123
CXCL16	CD6	0.16193252005928027
CXCL16	FAS	0.3921784241800985
FGF5	SPON1	0.23331690701017216
FGF5	TGFB1	0.30883152623731913
FGF5	TNFSF12	0.16333649844602594
FGF5	VEGFD	0.1589933726947752
NPPB	NT-pro-BNP	1.3691699319440307
NPPB	MMP3	0.1264907754746556
NPPB	LIFR	0.17394328505768808
LGALS3	CCL11	0.14426690677975706
LGALS3	FABP4	0.28139680651385035
PLAU	AGER	0.18913272779779522
PLAU	DNER	0.3377795406097279
PLAU	CCL2	0.38546889644959403
PLAU	FGF23	0.2898198632732276
PLAU	TNFSF12	0.4353177406230664
PLAU	FLT3LG	0.26555481783928325
PLAU	MMP10	0.2018830457919245
PLAU	CCL28	0.3177665472936795
PLAU	CD244	0.2300466558563654
TNFSF10	TNFSF12	0.18268063892769426
TNFSF10	MMP3	0.1302950317196956
TNFSF10	VEGFD	0.11240522131068698
TNFSF10	SELE	0.09579142800203932
TNFSF10	TNFSF11	0.1904611575656574
IL12B	CST5	0.18632300152177805
IL12B	SULT1A1	0.09820772030707481
IL12B	EIF4EBP1	0.22217465748323306
IL12B	CCL19	0.12526059882595142
IL12B	IL6R	0.12657699795941646
IL12B	CHI3L1	0.2022775050959691
IL12B	ADA	0.19123738655664724
IL12B	CD244	0.31562887655223815
TNFSF11	PRL	0.11823370187999593
TNFSF11	TNFRSF1A	0.16198109822617646
TNFSF11	TNFSF10	0.1904611575656574
TNFSF11	REN	0.11549885118487602
TNFSF11	CCL19	0.11633035917140866
IL6R	CXCL6	0.14183515335869767
IL6R	MPO	0.1458773250244665
IL6R	IL12B	0.12657699795941646
IL6R	F3	0.244449462120504
IL6R	REN	0.14142547079425505
IL15RA	TNFRSF1B	0.3142374623241233
IL15RA	TGFA	0.3211012353641589
IL15RA	TGFB1	0.4202114914634638
IL15RA	IL18R1	0.14570117045073516
RNY4-3p	CXCL9	0.12133264838999036
RNY4-3p	RNY4-5p	0.7927961375540331
RNY4-3p	FABP4	0.1813424911566992
RNY4-3p	GAL	0.15967327850897384
FST	IL1RL1	0.16051325025411067
FST	TNFSF14	0.21555887432292664
FST	GDF15	0.29788869035531906
FST	IL10RB	0.2606895626854646
HGF	SPON1	0.23840646017333533
HGF	CSF1	0.48463354904683875
HGF	TNFRSF11B	0.5613336583650579
HGF	CCL20	0.3878320353357054
F2R	TNFRSF1B	0.6639662028693634
F2R	SIRT2	0.33846461118213966
F2R	PAPPA	0.20139301255715392
F2R	HBEGF	0.4799955506668878
FLT3LG	SELE	0.13387358140076344
FLT3LG	PLAU	0.26555481783928325
FLT3LG	NTF3	0.19585831837805134
FLT3LG	STAMBP	0.12194387258294981
LIFR	CXCL8	0.31651807587221903
LIFR	NPPB	0.17394328505768808
LIFR	CCL25	0.2306220971835531
LIFR	TNFSF14	0.1761168214234745
LIFR	VEGFA	0.33562034680927955
RNASE3	IL1RN	0.17777405954033565
RNASE3	PLAUR	0.2422614469854123
RNASE3	IL16	0.25589647171655105
RNASE3	MPO	0.2537729214309268
DKK1	CXCL9	0.15266045630316505
DKK1	VEGFD	0.20913588909538472
DKK1	ESM1	0.21029733781748572
DKK1	HBEGF	0.3545819760791087
PGF	OLR1	0.38051519486045304
PGF	CTSD	0.19559762511552936
PGF	IL16	0.375162448422528
PGF	PECAM1	0.2758024461617792
PGF	RETN	0.3642316268314474
PGF	MUC16	0.12727959282924406
PGF	TNFRSF10B	0.4819851227653764
PGF	FAS	0.4333784528794622
PGF	AGRP	0.17901508036401115
PAPPA	CCL23	0.14170432416576695
PAPPA	KITLG	0.09329195359104059
PAPPA	GDNF	0.12542613479390674
PAPPA	LEP	0.14220267745520232
PAPPA	F2R	0.20139301255715392
PAPPA	NTF3	0.11108471459844704
PAPPA	CHI3L1	0.17742311132361
STAMBP	PDGFB	0.6039883251466476
STAMBP	CASP8	0.4662855403360959
STAMBP	OSM	0.14531403858402037
STAMBP	FLT3LG	0.12194387258294981
STAMBP	SIRT2	0.7267926708655237
STAMBP	IL7	0.2902213130572511
CD274	CST5	0.16289990046741032
CD274	CCL3	0.23866526466628546
CD274	IL10	0.17999680552769437
CD274	MMP1	0.12189396097379657
CD274	TNFRSF1A	0.36305201568425094
CD274	LEP	0.13128438610391058
RNY5-5p	RNY4-5p	0.38439868497271146
RNY5-5p	AGER	0.2048234578934851
RNY5-5p	VEGFA	0.22920484346953351
RNY5-5p	HAVCR1	0.21061519195600997
PDGFB	SRC	0.883221268102484
PDGFB	CXCL5	0.4096883644780771
PDGFB	KLK6	0.1424294462667195
PDGFB	RNY4-5p	0.48328431622667356
PDGFB	MMP3	0.16467788827530683
PDGFB	F3	0.18093541903938792
PDGFB	CXCL10	0.16443568505457318
PDGFB	STAMBP	0.6039883251466476
TGFA	CD40	0.5590705828518505
TGFA	IL15RA	0.3211012353641589
TGFA	MMP3	0.23577621252296233
TGFA	NGF	0.3631697212008973
TGFA	CCL13	0.3418261912578071
TGFA	SULT1A1	0.15351064376237478
TGFA	CCL23	0.32776494539170997
TGFA	VEGFA	0.6528282374022494
TGFA	CCL28	0.27245034157147163
TNFRSF11B	TGFB1	0.4342559929670591
TNFRSF11B	HGF	0.5613336583650579
AGER	RNY5-5p	0.20482345789348422
AGER	PLAU	0.18913272779779522
AGER	MMP3	0.15986760122522448
AGER	SIRT2	0.12930843315735707
AGER	FAS	0.2659657335188701
AGER	AGRP	0.11197387820902716
KLK6	PDGFB	0.14242944626672038
KLK6	THBD	0.27223970193348723
KLK6	MMP10	0.2297223097775447
KLK6	GH1	0.1745555491477795
KLK6	CCL28	0.21003458248702955
SULT1A1	SRC	0.5263723266327416
SULT1A1	TGFA	0.15351064376237478
SULT1A1	XPNPEP2	0.12328828917557999
SULT1A1	IL12B	0.09820772030707481
EIF4EBP1	CASP8	0.2679684397283353
EIF4EBP1	IL12B	0.22217465748323306
EIF4EBP1	IL18	0.20086811737686272
EIF4EBP1	PLAUR	0.3781773694575232
EIF4EBP1	CCL3	0.44788076907371366
EIF4EBP1	VEGFA	0.44705671285950466
S100A12	CSF1	0.2519397279656648
S100A12	IL6	0.175784525135823
S100A12	REN	0.1390464400372471
S100A12	HAVCR1	0.15439647495577624
FGF23	CD40	0.45358416507442456
FGF23	PLAU	0.2898198632732276
FGF23	MMP7	0.2771107338040393
FGF23	MMP12	0.18311055271464216
FGF23	SLAMF1	0.23078906918937925
FGF23	KLK11	0.28861598354981144
FGF21	CXCL6	0.15226096927880217
FGF21	PLAT	0.2156848782335823
FGF21	TNFRSF1A	0.14844998674047538
FGF21	REN	0.15825874830818343
FGF21	CCL19	0.11812399439501409
SLAMF1	CXCL1	0.15020606686168225
SLAMF1	THBD	0.16772406824611252
SLAMF1	CCL8	0.22461746406649574
SLAMF1	CCL7	0.2146326305218853
SLAMF1	HAVCR1	0.2167155741659963
SLAMF1	FGF23	0.23078906918937836
SLAMF1	VEGFD	0.14182690682447774
SLAMF1	CD5	0.1799664748818035
SLAMF1	CCL28	0.3008192099747218
TGFB1	CD40	0.34864858658071896
TGFB1	FGF5	0.30883152623732
TGFB1	IL15RA	0.4202114914634638
TGFB1	NGF	0.3380120476951767
TGFB1	TNFRSF11B	0.4342559929670591
TGFB1	TNFRSF9	0.34867059840794923
MUC16	CHI3L1	0.15641273622846263
MUC16	IL27	0.10895106750331607
MUC16	PGF	0.12727959282924406
TNFSF14	CCL20	0.15655942799958034
TNFSF14	EGF	0.1854417025945203
TNFSF14	FST	0.21555887432292575
TNFSF14	IL16	0.2355748723815143
TNFSF14	LIFR	0.1761168214234745
