Regulator	Target	MI
IL1RN	PLAT	0.31029633914741517
IL1RN	MPO	0.21407696315238312
IL1RN	IKBKG	0.1786592298703864
IL1RN	SELE	0.18603710399957585
IL1RN	CXCL10	0.23995511388178326
IL1RN	FABP4	0.4173437231149597
IL1RN	IL18R1	0.189118983579057
SPON1	PRL	0.1802464207891985
SPON1	FGF5	0.19661817950185956
SPON1	FST	0.26391166797717425
SPON1	LIFR	0.23712727705969705
SPON1	TNFRSF10B	0.52899266357797
CSF1	CX3CL1	0.349981478979398
CSF1	CASP8	0.2066116651467338
CSF1	IL15RA	0.30330011433460236
CSF1	TNFRSF1B	0.40488922490923507
CSF1	TNFRSF11B	0.39334880298026675
CSF1	CCL7	0.30279633435589837
CSF1	CCL2	0.37219816531034855
CSF1	TNFSF14	0.1695625422688689
CSF1	IL10RB	0.3356796565830704
CSF1	TNFRSF9	0.40951472029341485
CSF1	VEGFA	0.411883689425526
CSF1	CD244	0.34159760670099537
PLAT	CCL23	0.17055685590642256
PLAT	IL1RN	0.3102963391474143
PLAT	OSM	0.15815799032126865
PLAT	PAPPA	0.09687377962155708
PLAT	STAMBP	0.16392622307485283
PLAT	FGF21	0.2816207269845368
MPO	IL1RN	0.214076963152384
MPO	IL27	0.22203555246189932
MPO	CX3CL1	0.25474246181747784
MPO	OLR1	0.22373317884517174
MPO	SIRT2	0.1826652365646506
CXCL16	IL1RL1	0.1263534781197979
CXCL16	LGALS3	0.2671691271511092
CXCL16	CTSD	0.2225523300329062
CXCL16	IL6R	0.3127396212429998
CXCL16	TNFRSF10B	0.35598444250162853
CXCL16	FABP4	0.3123293929332105
CXCL16	TEK	0.4026438650075601
FGF5	SPON1	0.1953237879359886
FGF5	CX3CL1	0.1877729686639027
FGF5	IL15RA	0.25679829219782757
FGF5	HGF	0.201529825770562
FGF5	VEGFD	0.22474554928750567
FGF5	GH1	0.10932013577112887
FGF5	STAMBP	0.17807244018338242
NPPB	NT-pro-BNP	1.4484123975221364
NPPB	KLK6	0.2657315268198355
NPPB	NTF3	0.170190009471888
LGALS3	CXCL16	0.2666244937482132
LGALS3	MMP7	0.33870591654103777
LGALS3	PLAUR	0.34113623662926607
LGALS3	SELE	0.17379088717651658
PLAU	NT-pro-BNP	0.31077031532445965
PLAU	IL27	0.12581734233375297
PLAU	TNFSF10	0.1850266411485295
PLAU	HGF	0.42966209812504275
PLAU	LIFR	0.2663692013111536
PLAU	MMP10	0.21389589013800325
PLAU	CCL2	0.32494160458024535
PLAU	IL10RB	0.3803827901115655
PLAU	TNFSF12	0.46473668888723463
TNFSF10	CST5	0.12459812399484438
TNFSF10	PLAU	0.15242091324705864
TNFSF10	TNFSF11	0.1338970168657152
TNFSF10	AGRP	0.16978023692506916
TNFSF10	REN	0.11050486080489819
IL12B	THBD	0.15107506514779434
IL12B	HGF	0.24150763637427097
IL12B	XPNPEP2	0.12011749021485674
IL12B	CD244	0.41423096424969774
TNFSF11	ESM1	0.09808123423593695
TNFSF11	TNFSF10	0.1338970168657143
TNFSF11	NGF	0.1043234813435241
TNFSF11	IL6R	0.12150642606237749
IL6R	CXCL16	0.3127396212430007
IL6R	TNFSF11	0.12150642606237749
IL6R	CCL23	0.14592583063178743
IL6R	GH1	0.14434892141743383
IL15RA	CSF1	0.30330011433460236
IL15RA	FGF5	0.20241736354562612
IL15RA	CD274	0.24954951895027477
IL15RA	IL10RA	0.16166896604908132
IL15RA	IL17A	0.14611475354671022
RNY4-3p	RNY4-5p	0.6476753245013072
RNY4-3p	RNY5-5p	0.10531093909861688
RNY4-3p	PDGFB	0.3063565284436969
RNY4-3p	CHI3L1	0.11637492867182608
RNY4-3p	CCL28	0.15398692873134845
FST	SPON1	0.26391166797717425
FST	ESM1	0.19488818807567565
HGF	CXCL6	0.2196427749106178
HGF	FGF5	0.20702399132976268
HGF	PLAU	0.42966209812504275
HGF	IL12B	0.24150763637427097
HGF	TNFRSF11B	0.43980729628710513
HGF	TGFB1	0.3114089100583026
HGF	CCL20	0.2282700254207244
HGF	GDF15	0.2596800695536219
HGF	ADA	0.27040356330937065
HGF	IL18R1	0.14089129451903215
F2R	HSPB1	0.20782757044042288
F2R	TNFRSF1B	0.49616245505436485
F2R	HBEGF	0.42407506234369396
FLT3LG	KLK11	0.20922064176012256
FLT3LG	CCL2	0.23851830951148045
LIFR	SPON1	0.23712727705969705
LIFR	PLAU	0.2663692013111536
LIFR	CCL4	0.18505268967176747
LIFR	EIF4EBP1	0.306341137269615
LIFR	NGF	0.26062208820409083
LIFR	PAPPA	0.1448904366913455
LIFR	PECAM1	0.17946008782140854
RNASE3	IL16	0.22626242352134884
RNASE3	LEP	0.13113101048343978
DKK1	TNFRSF10B	0.20874811434724538
DKK1	FGF19	0.1745157275161695
PGF	TNFRSF1A	0.6181687072495627
PGF	RNY5-5p	0.20060216148205878
PGF	KLK11	0.40073623183978047
PAPPA	IL18	0.14120570236346897
PAPPA	LIFR	0.1448904366913455
PAPPA	PLAT	0.09687377962155619
PAPPA	ESM1	0.22436930938282273
STAMBP	PLAT	0.16392622307485372
