Regulator	Target	MI
IL1RN	PLAT	0.31705687219403167
IL1RN	TNFRSF9	0.21901804803982738
IL1RN	PLAUR	0.28645313181365406
IL1RN	FABP4	0.29703313574468915
SPON1	CCL13	0.1896211997632662
SPON1	HSPB1	0.2312011759023198
SPON1	MMP7	0.3292797744399172
SPON1	FAS	0.36258740606735707
CSF1	HSPB1	0.16919063369166487
CSF1	CX3CL1	0.4105788168533149
CSF1	HGF	0.4656150841854103
CSF1	EIF4EBP1	0.451387934582562
CSF1	TGFB1	0.41064954626981454
CSF1	IL10RB	0.4349867678393311
CSF1	GDNF	0.18952600730269875
CSF1	IL7	0.2599873080175472
CSF1	ADA	0.2600961339269574
CSF1	CD244	0.4309372429181897
PLAT	CD40	0.13397821544691624
PLAT	IL1RN	0.31705687219403256
PLAT	HSPB1	0.12089487038017488
PLAT	RETN	0.1497941979841313
PLAT	IL1RL1	0.20152062839657425
PLAT	PLAU	0.19874623231213207
PLAT	CTSD	0.2533647304484088
PLAT	IL18R1	0.2871690116806862
PLAT	FGF21	0.2320369262315829
MPO	IL10RB	0.20677462525794077
MPO	RNASE3	0.18532208016987806
MPO	THBD	0.25326020561977813
CXCL16	TNFRSF10B	0.2980462777919364
CXCL16	DKK1	0.24877866289775152
CXCL16	FAS	0.3481701768813412
FGF5	CCL11	0.17815317154478372
FGF5	CASP8	0.24228790591894622
FGF5	HAVCR1	0.1511905519047234
FGF5	LEP	0.0920996304100008
FGF5	IL17A	0.133672650963768
NPPB	NT-pro-BNP	1.267163874673348
NPPB	KLK11	0.1981041120344278
NPPB	ESM1	0.18584908386455545
NPPB	CASP8	0.1202645493999448
NPPB	DNER	0.12905757834072773
NPPB	AGRP	0.14147926119419996
LGALS3	CSTB	0.3127154606440552
LGALS3	SELE	0.15967758365111706
LGALS3	CHI3L1	0.2500473420843976
LGALS3	TEK	0.1814942123730683
PLAU	PLAT	0.19874623231213207
PLAU	DNER	0.22775345944136483
PLAU	CDCP1	0.2043703752047632
PLAU	CCL2	0.31905867083289063
PLAU	FGF23	0.3150149627283412
PLAU	TNFSF12	0.34055334097217305
PLAU	CD244	0.3682993033068689
TNFSF10	CXCL6	0.23744490093078863
TNFSF10	CCL2	0.1942313423133344
TNFSF10	TNFSF11	0.2275625735475444
IL12B	RNY5-5p	0.13508412285960247
IL12B	SULT1A1	0.13013314821456756
IL12B	CCL19	0.2352385166674278
IL12B	CXCL10	0.19811210607850427
IL12B	KITLG	0.1531108101495029
