Regulator	Target	MI
IL1RN	PLAT	0.21387361659981075
IL1RN	IKBKG	0.09701655637736462
IL1RN	OSM	0.1708113283482513
IL1RN	RNASE3	0.18930869221566748
IL1RN	SELE	0.18017152860656083
IL1RN	FABP4	0.3498641042548014
SPON1	NT-pro-BNP	0.24321169148638422
SPON1	IL16	0.32612211927713286
SPON1	LIFR	0.19721336086373942
SPON1	CCL11	0.2127383482393821
SPON1	FGF23	0.24000313016985064
SPON1	CCL20	0.24765726853743786
SPON1	TNFRSF10B	0.4076652142019901
SPON1	GH1	0.3019983329947413
SPON1	TEK	0.2895319248843151
CSF1	CX3CL1	0.42872783952854654
CSF1	ESM1	0.15402128246964697
CSF1	IL15RA	0.39569371912981044
CSF1	IL18	0.2988195375174696
CSF1	TNFRSF11B	0.4264645807907854
CSF1	CCL4	0.29434255541570575
CSF1	CCL2	0.3160233487004138
CSF1	S100A12	0.32509578594445365
CSF1	CCL23	0.36579337853429195
CSF1	IL10RB	0.5427627153273358
CSF1	TNFRSF9	0.36881178340483967
CSF1	VEGFA	0.5586103587328308
CSF1	IL7	0.2914814413735174
CSF1	AGRP	0.11496855288220864
CSF1	ADA	0.21127260252717495
CSF1	CD244	0.2648970378937072
PLAT	IL1RN	0.21387361659981075
PLAT	ADM	0.20503934640257881
PLAT	FGF21	0.140292801359859
MPO	VEGFD	0.12432404019996035
MPO	RNASE3	0.2506892595040986
MPO	CX3CL1	0.3258517953891795
MPO	THBD	0.17004751283634434
MPO	CTSL	0.1382623693939431
MPO	IL18R1	0.10466651890094436
CXCL16	IL6R	0.24001121605967146
CXCL16	IL10	0.11684024551194394
CXCL16	MMP7	0.2717898497839393
CXCL16	FST	0.2622771328849405
CXCL16	DKK1	0.22860688113646077
CXCL16	FAS	0.3526267970358514
FGF5	CCL11	0.220070313464781
FGF5	LIFR	0.17809435325170675
FGF5	VEGFD	0.21842581214692824
FGF5	TEK	0.20450058308648433
NPPB	NT-pro-BNP	1.2497734198995776
NPPB	ADM	0.22678573683190795
NPPB	ESM1	0.18440424494436414
NPPB	CASP8	0.18395358180993782
NPPB	IKBKG	0.10139486036510181
NPPB	TGFB1	0.2228148233688927
NPPB	CHI3L1	0.19590784053570687
LGALS3	HSPB1	0.19256349637916692
LGALS3	AGER	0.20591984803545493
LGALS3	CCL20	0.24837944303888282
LGALS3	GH1	0.21793625177610565
LGALS3	FABP4	0.29040489136918346
LGALS3	FAS	0.2751018707208468
PLAU	CCL2	0.2839282722843519
PLAU	FGF23	0.3486210866290689
PLAU	TNFSF12	0.3027824642828003
PLAU	LEP	0.10105839477885503
TNFSF10	CD5	0.2589782723278713
TNFSF10	XPNPEP2	0.12556047610618215
TNFSF10	CCL28	0.1557391018715153
IL12B	LIFR	0.21238283358288879
IL12B	TNFRSF1B	0.3202234802874413
IL12B	CXCL11	0.17165937621115468
TNFSF11	IL10	0.12861655759146284
TNFSF11	CD40	0.16684698303947787
TNFSF11	CCL11	0.14363454311201007
TNFSF11	SELE	0.12544502185477846
IL6R	RNY5-5p	0.11426682326029614
IL6R	IL18	0.14967447555448388
IL6R	TNFRSF11B	0.1499757506366528
IL6R	CXCL16	0.24001121605967146
IL15RA	CSF1	0.39569371912981044
IL15RA	AGER	0.24291061719444418
IL15RA	CCL3	0.2415157127052021
IL15RA	GDF15	0.3172874754367889
IL15RA	IL17C	0.2319473983129008
RNY4-3p	RNY4-5p	0.7687642334583202
RNY4-3p	FAS	0.1270479374136242
RNY4-3p	CCL19	0.10145095326869757
RNY4-3p	STAMBP	0.34163164503888144
