Regulator	Target	MI
IL1RN	SELE	0.14921266342607442
IL1RN	GH1	0.09638551982652022
IL1RN	LEP	0.334882891202958
IL1RN	IL18R1	0.14821701504983853
SPON1	ESM1	0.1988745460263388
SPON1	AGER	0.28040245712058454
SPON1	CCL25	0.25199806285442516
SPON1	TNFRSF10B	0.37752692449532166
CSF1	CX3CL1	0.3721299998599328
CSF1	HGF	0.41402803070311034
CSF1	NGF	0.4181817885882575
CSF1	TNFRSF1B	0.4605538499978552
CSF1	CDCP1	0.313099981995439
CSF1	TGFA	0.5178246257080508
CSF1	CCL2	0.39044759440563404
CSF1	IL10RB	0.4287087254135251
CSF1	RNY4-5p	0.1700544921328504
CSF1	TNFRSF9	0.5534617855025648
PLAT	CCL13	0.09863328034444407
PLAT	FABP4	0.2945992230639565
PLAT	REN	0.17535589135454455
PLAT	CTSD	0.1554435253945714
MPO	HSPB1	0.23103127961841974
MPO	PRL	0.15815250681892934
MPO	ESM1	0.16242046550276967
MPO	F2R	0.24313608336112846
MPO	RNASE3	0.2904787966557265
MPO	SELE	0.14175175629702697
CXCL16	SELPLG	0.11226879136274537
CXCL16	IL6R	0.32502091851400117
CXCL16	FAS	0.38807503005675414
FGF5	CSTB	0.22061993335236885
FGF5	CX3CL1	0.24363149363568937
FGF5	LIFR	0.18239198138070023
FGF5	VEGFD	0.17328926263204103
FGF5	CCL28	0.1262662002998285
NPPB	NT-pro-BNP	1.4176189120802913
LGALS3	CSTB	0.35836365079387456
LGALS3	HSPB1	0.338600706066404
LGALS3	RNASE3	0.19586261477503086
LGALS3	F3	0.2372993832214192
LGALS3	GAL	0.1492803813592376
LGALS3	IL7	0.1603242348536913
PLAU	CCL13	0.3744401311082193
PLAU	CCL11	0.2686866314064513
PLAU	CCL8	0.21184184201147804
PLAU	CCL2	0.3553882667284274
PLAU	MUC16	0.15244678748262697
PLAU	HGF	0.3587735956411393
PLAU	TNFSF12	0.3605705664332879
PLAU	GH1	0.13799072745507157
PLAU	CCL28	0.4285558651276169
TNFSF10	TNFSF14	0.14289691261152804
TNFSF10	TNFRSF9	0.17878369376083914
TNFSF10	TNFSF12	0.18128922089735866
TNFSF10	VEGFD	0.2175575645263832
TNFSF10	AGRP	0.14094652552497866
IL12B	TNFRSF1B	0.22936449040247098
IL12B	CD5	0.22286693445316175
IL12B	IL17C	0.10734054341227584
TNFSF11	TNFRSF9	0.11275161471629236
TNFSF11	REN	0.10374434971605417
TNFSF11	IL17C	0.12442976446776033
IL6R	CXCL16	0.3250209185140003
IL6R	CTSD	0.1365868373146899
IL15RA	STAMBP	0.18443357890136625
IL15RA	CSTB	0.3875851044363099
IL15RA	TGFA	0.49179009839285204
IL15RA	IL18R1	0.2548847389754849
RNY4-3p	RNY4-5p	0.9278949287330978
RNY4-3p	RNY5-5p	0.19614435813792852
RNY4-3p	IL6	0.18120263617664456
RNY4-3p	FABP4	0.14490626300791387
FST	CCL19	0.14792933956759402
FST	MUC16	0.18748806510582394
FST	RNY4-5p	0.1217464983575054
FST	PGF	0.39035561562063226
FST	CHI3L1	0.22393759861260332
HGF	CXCL8	0.25385243900774945
HGF	CSF1	0.4140280307031112
HGF	PLAU	0.3587735956411393
HGF	TNFRSF11B	0.4599951885026021
HGF	S100A12	0.23745079965242155
HGF	TGFB1	0.40380344180000716
HGF	CCL20	0.37247978412757465
HGF	GDNF	0.15780504339944113
HGF	IL7	0.18038077550766562
F2R	MPO	0.24313608336112846
F2R	TNFRSF1B	0.6437053672006314
F2R	PGF	0.5405539708796256
FLT3LG	SELPLG	0.1283942994600702
FLT3LG	HSPB1	0.14235770312296214
FLT3LG	ADM	0.19260119830796985
FLT3LG	FGF19	0.17885134594916874
FLT3LG	ADA	0.23040014612663917
LIFR	CXCL6	0.24738468030045624
LIFR	FGF5	0.18239198138070023
LIFR	TGFB1	0.3598831544963037
LIFR	TEK	0.1732650802665079
RNASE3	MPO	0.2904787966557265
RNASE3	LGALS3	0.19586261477503086
RNASE3	TNFRSF10B	0.3761764263006322
RNASE3	IL16	0.24651504933165125
RNASE3	GH1	0.1046707618714251
DKK1	F3	0.19530132965424762
DKK1	SIRT2	0.20766953600019544
PGF	MMP7	0.35228997537128137
PGF	FST	0.39035561562063226
PGF	MMP3	0.2840055463994773
PGF	TNFRSF1A	0.5552246986825908
PGF	VEGFD	0.17868821867988505
PGF	KLK11	0.48328425368487604
PGF	FAS	0.40612391802353187
PGF	AGRP	0.29444373417240577
PAPPA	ESM1	0.2744789058509651
PAPPA	CDCP1	0.11225849028208756
PAPPA	LEP	0.15509037156683103
PAPPA	OLR1	0.19599210879955287
PAPPA	SIRT2	0.14568807782540283
STAMBP	CXCL6	0.21880681281936898
STAMBP	PDGFB	0.4809071058231247
STAMBP	HSPB1	0.4897941531174501
STAMBP	CASP8	0.37399680129384816
STAMBP	IL15RA	0.18443357890136625
STAMBP	IL17C	0.1304183913550201
CD274	CASP8	0.19653766797482497
CD274	TNFRSF1B	0.39633275716162863
CD274	IL1RL1	0.18136450433472717
CD274	SLAMF1	0.2610173656128918
RNY5-5p	CCL4	0.18171728393452025
RNY5-5p	RNY4-3p	0.1961443581379294
RNY5-5p	TNFRSF1B	0.19861822709627752
RNY5-5p	SELE	0.17743990451182778
PDGFB	SELPLG	0.12265519330912777
PDGFB	CXCL1	0.44857460682678685
PDGFB	CTSL	0.13474866215120507
PDGFB	EGF	0.6754108468835156
PDGFB	STAMBP	0.4809071058231247
TGFA	CD40	0.5786797136549051
TGFA	CSF1	0.5178246257080508
TGFA	IL15RA	0.4917900983928529
TGFA	CCL3	0.38323637244234376
TGFA	CCL19	0.12088997131704815
TGFA	CCL23	0.35530993415530787
TNFRSF11B	HGF	0.4599951885026021
TNFRSF11B	CCL25	0.30726355321485066
AGER	SPON1	0.28040245712058365
AGER	THBD	0.21753569799759465
AGER	MUC16	0.15674952803770292
KLK6	TNFRSF1A	0.3739123879868922
SULT1A1	CCL23	0.1340253708491641
SULT1A1	SRC	0.37480582155213416
SULT1A1	SELE	0.10604077783909371
EIF4EBP1	CASP8	0.1810195729838009
EIF4EBP1	VEGFA	0.47281885398686807
EIF4EBP1	CD244	0.24721057198528218
S100A12	IL10	0.18864544758421253
S100A12	MMP1	0.14767887401632773
S100A12	HGF	0.23745079965242155
S100A12	FGF19	0.1060568314928414
S100A12	IL17A	0.12164971345133324
FGF23	CD40	0.4224083881978107
FGF23	MMP7	0.25600158847862975
FGF23	SULT1A1	0.24294624434981582
FGF21	IL10RB	0.21576637827657486
FGF21	CHI3L1	0.21608959823462648
SLAMF1	CD274	0.2610173656128909
SLAMF1	IL27	0.16871853752086086
SLAMF1	CCL7	0.1349267920991455
SLAMF1	CCL2	0.21141707569494628
SLAMF1	PLAUR	0.32312417148594896
SLAMF1	CDCP1	0.18025414234776616
SLAMF1	IL17A	0.15126708225309926
TGFB1	CXCL1	0.2799511990154073
TGFB1	IL10RB	0.3936997185920781
TGFB1	HGF	0.40380344180000716
TGFB1	IL10RA	0.31713954372506237
TGFB1	LIFR	0.3598831544963037
TGFB1	F3	0.24798903723499865
MUC16	FST	0.18748806510582483
