Regulator	Target	MI
IL1RN	TNFSF14	0.2924986755875789
IL1RN	SELE	0.19783899191318977
IL1RN	FABP4	0.39635281328208816
SPON1	NT-pro-BNP	0.2765596555488896
SPON1	MMP7	0.3274942453783236
SPON1	RNY4-3p	0.14978779839158562
SPON1	CCL11	0.17735333377089546
SPON1	TNFRSF11B	0.23697407548932947
CSF1	NGF	0.43166904899582637
CSF1	TNFRSF11B	0.3973291623437749
CSF1	CST5	0.19796972432627058
CSF1	CCL7	0.2976577550820343
CSF1	S100A12	0.14721439536423375
CSF1	IL10RB	0.4292996814026724
CSF1	VEGFA	0.4996068649545231
CSF1	CXCL11	0.2897999319298128
CSF1	CD5	0.40717136296158873
PLAT	TGFB1	0.1488539648855811
PLAT	CCL20	0.14654221562607006
PLAT	SIRT2	0.10484032391686338
PLAT	FABP4	0.1642424777242093
PLAT	DNER	0.12994504760768244
MPO	EGF	0.1463244235287533
MPO	TNFSF12	0.12811563935092085
MPO	RETN	0.18100813771775304
MPO	DKK1	0.13842759826476492
MPO	OLR1	0.18204925329049093
MPO	IL17C	0.24427787927955347
CXCL16	THBD	0.34125401773701824
FGF5	CCL25	0.15073025531733286
FGF5	CCL13	0.131719977086437
FGF5	CXCL1	0.1289740278696625
FGF5	LIFR	0.18792759476111165
FGF5	VEGFD	0.1107675870006748
FGF5	TNFRSF1B	0.18428799423722797
FGF5	NTF3	0.1626428652702092
FGF5	IL6R	0.09372415647714849
NPPB	NT-pro-BNP	1.3399149091437161
NPPB	ESM1	0.1544856447720031
NPPB	IL7	0.15952743640312939
NPPB	CHI3L1	0.22401648746087588
NPPB	TNFSF11	0.17527172038092065
LGALS3	CSTB	0.3212584908174474
LGALS3	AGER	0.16108737604947443
LGALS3	OLR1	0.17823850284041765
PLAU	AGER	0.2625707540584328
PLAU	CCL2	0.3463656145795193
PLAU	RNY4-3p	0.14918727603781878
PLAU	TNFSF12	0.31526480420769776
PLAU	LIFR	0.25569970438213385
PLAU	ADA	0.22588578192827136
TNFSF10	FST	0.12217237417081339
TNFSF10	TNFRSF9	0.16450353976678134
TNFSF10	RNY5-5p	0.10136477271471289
TNFSF10	DNER	0.2025685568567468
IL12B	IL18	0.2058614731132966
