Regulator	Target	MI
IL1RN	PLAT	0.26933038059635717
IL1RN	CCL19	0.25241998249398456
IL1RN	IL6	0.23309416645089165
IL1RN	FABP4	0.4323045456559642
SPON1	CTSL	0.3202667356250304
SPON1	MMP7	0.3572061115563301
SPON1	F3	0.3450803078250484
SPON1	MMP12	0.31406007773057976
SPON1	CCL25	0.2654325303348086
SPON1	CCL23	0.22968557367414455
SPON1	TNFRSF10B	0.39208421974205354
CSF1	CXCL8	0.27978848114358446
CSF1	CX3CL1	0.43445206400899306
CSF1	DNER	0.23590716447874094
CSF1	TNFSF10	0.27191793941541764
CSF1	TNFRSF1B	0.3951474299636475
CSF1	PDGFB	0.12603782143706344
CSF1	TNFRSF11B	0.43605828587953965
CSF1	CST5	0.3568322837589806
CSF1	S100A12	0.23689639995760192
CSF1	IL10RB	0.517308893329461
CSF1	VEGFA	0.5421842631306903
CSF1	CXCL10	0.36970831594782183
CSF1	IL7	0.27195962568430154
PLAT	IL1RN	0.2693303805963563
PLAT	MMP7	0.26174993452306694
PLAT	HGF	0.2264222833588443
PLAT	SELE	0.16888985005321544
PLAT	S100A12	0.20227503084571286
PLAT	REN	0.22932012674580093
MPO	CD40	0.1810616481476739
MPO	MMP7	0.24880697869179969
MPO	IL27	0.20785493985784864
MPO	THBD	0.2198851408292537
MPO	CD244	0.22733740176130812
CXCL16	CTSD	0.18746262682042314
CXCL16	IL6R	0.24446160523325489
CXCL16	PGF	0.3880474441025319
CXCL16	FABP4	0.29598266126710193
FGF5	CCL11	0.1586209508984764
FGF5	CX3CL1	0.1898547857822246
FGF5	DKK1	0.18227859951472425
FGF5	MMP12	0.16613477059828607
FGF5	GDNF	0.2975509631010338
NPPB	NT-pro-BNP	1.375419808781226
NPPB	IL27	0.15178807387095627
NPPB	CX3CL1	0.19853040308362768
NPPB	CD6	0.0981130547037905
LGALS3	CSTB	0.4990495184121597
LGALS3	THBD	0.38797872284261814
PLAU	HGF	0.3435005343088502
PLAU	FLT3LG	0.2796754864864903
PLAU	LIFR	0.3508122914296763
PLAU	CCL2	0.3848204770675512
PLAU	TNFSF12	0.3076827276369629
PLAU	ADA	0.21259022869218303
TNFSF10	CCL13	0.28665837257242277
TNFSF10	CSF1	0.27191793941541764
TNFSF10	CCL25	0.14959213107414282
TNFSF10	TNFSF12	0.2910263337022183
TNFSF10	CHI3L1	0.17069487601009214
TNFSF10	IL18R1	0.148180884203442
IL12B	IL1RL1	0.2111977302953898
IL12B	NTF3	0.19659449722822764
IL12B	BDNF	0.09749078089690677
IL12B	CXCL10	0.36935521676603145
IL12B	CD40LG	0.12725135984192804
IL12B	CD5	0.2704754012255517
TNFSF11	CXCL9	0.15149893742095966
TNFSF11	CCL11	0.12549576267971485
TNFSF11	SIRT2	0.1332095374784492
TNFSF11	IL1RL1	0.1387596181531423
IL6R	CXCL16	0.244461605233254
IL6R	RNY4-3p	0.15743070747401067
IL6R	PLAUR	0.30853327704697797
IL6R	IL18R1	0.1345043167018467
IL15RA	CTSD	0.25947269124513994
IL15RA	F2R	0.30266082518087867
IL15RA	TGFA	0.3461426770310654
IL15RA	TNFRSF11B	0.3514706704539865
IL15RA	CCL7	0.19862100368003954
IL15RA	GH1	0.1297520008651496
IL15RA	AGRP	0.23252027311399903
RNY4-3p	IL6R	0.15743070747401067
RNY4-3p	RNY4-5p	0.7031575617857326
RNY4-3p	MMP10	0.1331000313755233
RNY4-3p	IL6	0.13559277160667538
RNY4-3p	STAMBP	0.24791908072393998
FST	SELPLG	0.22290239339562845
FST	SIRT2	0.21566677176734395
FST	KITLG	0.27246848894631537
FST	GAL	0.14360476610190442
FST	FGF19	0.1266683577112051
FST	HBEGF	0.3440651672925039
HGF	CXCL8	0.31279864427656356
HGF	PLAT	0.2264222833588443
HGF	CX3CL1	0.30507839281768323
HGF	PLAU	0.3435005343088502
HGF	MMP3	0.2458200274429423
HGF	TNFRSF11B	0.4353747361103313
HGF	VEGFA	0.3452267232052062
F2R	CX3CL1	0.3704846256277534
F2R	IL15RA	0.30266082518087867
F2R	TNFRSF1B	0.6182293596191393
F2R	MMP10	0.3225571113446346
F2R	SIRT2	0.34912898235859124
F2R	FAS	0.451587724301322
FLT3LG	PLAU	0.2796754864864903
FLT3LG	TGFB1	0.2760689833546932
FLT3LG	CHI3L1	0.20442921551192672
LIFR	CX3CL1	0.37944440535929314
LIFR	PLAU	0.3508122914296754
LIFR	OLR1	0.23625150366533187
LIFR	AXIN1	0.154860151469018
LIFR	CD274	0.29175366641776534
LIFR	TGFA	0.3709268608382228
LIFR	FGF19	0.1071396423476898
RNASE3	RETN	0.1880230147891
RNASE3	SULT1A1	0.0999666350799373
RNASE3	CXCL10	0.14936357803418066
RNASE3	XPNPEP2	0.09390744565831355
RNASE3	PAPPA	0.1953142725503927
RNASE3	IL18R1	0.13203062372897367
DKK1	PDGFB	0.18484211122386096
DKK1	FGF5	0.18227859951472514
DKK1	TNFSF12	0.12687662740311012
DKK1	IL7	0.24625346731988795
DKK1	REN	0.2035251395390114
DKK1	HBEGF	0.305254818098347
PGF	IL27	0.1678325753746659
PGF	CXCL16	0.3880474441025319
PGF	MB	0.46352840728993705
PGF	HBEGF	0.5534191167140872
PGF	KLK11	0.5045343926387691
PGF	CD40LG	0.28450181143608333
PGF	GDNF	0.20113608424824303
PGF	AGRP	0.22609987129212783
PGF	PTX3	0.23638532923014477
PGF	TEK	0.3376001539995208
PAPPA	NT-pro-BNP	0.1188331628292083
PAPPA	RNASE3	0.1953142725503927
PAPPA	MMP10	0.09480830656972916
PAPPA	ESM1	0.19727863737526263
PAPPA	GAL	0.14997594459646368
PAPPA	MB	0.1253720056377876
PAPPA	OLR1	0.2543450814821977
STAMBP	CXCL6	0.24729180522341387
STAMBP	CASP8	0.31547522675059714
STAMBP	FGF23	0.20258410565060814
STAMBP	RNY4-3p	0.2479190807239391
STAMBP	BDNF	0.12492237830582464
STAMBP	SIRT2	0.4012340901343361
STAMBP	GH1	0.11623616752743793
CD274	THBD	0.25574768768739453
CD274	LIFR	0.29175366641776534
CD274	EIF4EBP1	0.2476984586420068
CD274	CCL23	0.3362886736150177
CD274	IL7	0.2208259052902184
RNY5-5p	RNY4-5p	0.1687692931054876
RNY5-5p	GH1	0.10534397549065044
RNY5-5p	HBEGF	0.3119978214864245
PDGFB	CSF1	0.12603782143706344
PDGFB	SRC	0.6120812429844316
PDGFB	CXCL1	0.5210382190832732
PDGFB	CXCL5	0.5157382128044361
PDGFB	DKK1	0.18484211122386096
TGFA	ESM1	0.25052392695375136
TGFA	IL10	0.2285943098414176
