Regulator	Target	MI
IL1RN	PLAT	0.19134859020670625
IL1RN	RNY4-5p	0.12383866614359818
IL1RN	RNASE3	0.3440266653953268
IL1RN	IL6	0.33766934411915184
IL1RN	FABP4	0.4643704700317963
SPON1	NT-pro-BNP	0.3163354067038888
SPON1	FGF5	0.23870781355519366
SPON1	ESM1	0.22422976955141838
SPON1	PLAUR	0.37373082560608495
SPON1	AGER	0.19724562864360262
SPON1	CCL25	0.26425534234567305
SPON1	VEGFD	0.1840196521941273
SPON1	PTX3	0.2608632109266873
CSF1	HAVCR1	0.24771703165072267
CSF1	HGF	0.45471541714423225
CSF1	NGF	0.48798055413488495
CSF1	TGFA	0.6370150659924798
CSF1	CCL4	0.32105230737292967
CSF1	CCL2	0.4509641486976177
CSF1	CXCL11	0.30003135950681514
CSF1	KITLG	0.18500554540990333
CSF1	GDNF	0.3344916220601801
CSF1	CD5	0.6028955201474613
PLAT	IL1RN	0.19134859020670625
PLAT	CCL4	0.14341710598442958
PLAT	HAVCR1	0.22043483276660503
PLAT	IL6R	0.1831176130713601
PLAT	IL18R1	0.20795816589867933
MPO	RNASE3	0.3757423247740661
MPO	CD274	0.2738787915150702
MPO	CCL2	0.22397196213238768
MPO	VEGFD	0.17002814406828204
MPO	PTX3	0.1756277217062152
CXCL16	ADM	0.32121428328928214
CXCL16	MMP7	0.33239384205696254
CXCL16	TNFSF14	0.2631022232852489
CXCL16	EGF	0.22051493185142057
FGF5	SPON1	0.23870781355519366
FGF5	CXCL5	0.14547694375473608
FGF5	CTSD	0.1572269500223662
FGF5	OSM	0.26555488700569363
FGF5	NGF	0.12354546647653297
FGF5	GDNF	0.13982409073793534
NPPB	NT-pro-BNP	1.2965414907692043
NPPB	TGFA	0.21787823562197683
NPPB	CASP8	0.180414236658331
NPPB	IL12B	0.14342366887889035
NPPB	TEK	0.23190918379445424
NPPB	HBEGF	0.19142691815013446
LGALS3	CSTB	0.37295568818605496
LGALS3	IL1RL1	0.2565310003172989
LGALS3	FGF21	0.1630705219095301
LGALS3	IL18R1	0.16692246919334686
PLAU	TNFSF10	0.2840337337368375
PLAU	CCL2	0.3831227388460423
PLAU	IKBKG	0.21078910030756415
PLAU	FGF23	0.34681517008152074
PLAU	HGF	0.43493367539086414
PLAU	TNFSF12	0.3908724548594025
PLAU	SELE	0.13273007981185359
PLAU	GH1	0.11058921308209246
PLAU	CDCP1	0.17534907983380243
PLAU	ADA	0.28232310384116577
TNFSF10	CD6	0.19196934003852117
TNFSF10	PLAU	0.2840337337368366
TNFSF10	TNFSF11	0.17529852150042835
TNFSF10	AGRP	0.18258507791865064
IL12B	NPPB	0.14342366887889035
IL12B	SULT1A1	0.15278283100056367
IL12B	CCL4	0.23332406209299528
IL12B	TNFRSF9	0.23197805431660168
IL12B	LIFR	0.1906101473587487
IL12B	ADA	0.2512294205753429
IL12B	IL17A	0.14413846658462326
TNFSF11	MMP1	0.08965758710158944
TNFSF11	IL27	0.1453509443954255
TNFSF11	NGF	0.1610300821873949
TNFSF11	LEP	0.10349422075183412
TNFSF11	TNFSF10	0.17529852150042835
TNFSF11	TEK	0.12908582618889408
TNFSF11	CTSD	0.1750378140519926
IL6R	PLAT	0.18311761307135832
IL6R	KLK6	0.33764634822087647
IL6R	HGF	0.21791238218983722
IL6R	TEK	0.2700558954163821
IL15RA	TNFRSF1B	0.4721172865016401
IL15RA	CCL28	0.25499109623990535
RNY4-3p	CCL8	0.23906809631878279
RNY4-3p	IL10RB	0.15382511300775015
RNY4-3p	RNY4-5p	0.7575141025095489
RNY4-3p	PECAM1	0.13899983222437573
FST	ADM	0.31917951576541004
FST	CCL19	0.21035987293766656
