Regulator	Target	MI
IL1RN	CCL4	0.175435166441952
IL1RN	RNASE3	0.21948105021421327
IL1RN	SELE	0.2871835907898044
IL1RN	FABP4	0.34986445500449914
SPON1	FGF5	0.21370323946026293
SPON1	ESM1	0.19491969758715566
SPON1	PGF	0.4192092294494216
SPON1	MUC16	0.25300183581992997
SPON1	TNFSF12	0.2508003099828162
SPON1	IL7	0.15967838711622928
CSF1	HGF	0.4752721994422169
CSF1	TNFRSF1A	0.4190214993762469
CSF1	CCL7	0.3030458507557201
CSF1	CCL2	0.40551606302462684
CSF1	S100A12	0.27662671925610205
CSF1	IL10RB	0.5417529680735731
CSF1	VEGFA	0.4760477125359994
CSF1	IL7	0.16627415106098642
PLAT	MMP7	0.19307956347698596
PLAT	HGF	0.22198188665391339
PLAT	PDGFB	0.13589373906295155
PLAT	TNFSF10	0.09018219327756505
PLAT	CHI3L1	0.20968814786099976
PLAT	FGF21	0.1310818157987912
MPO	IL27	0.3895083135509747
MPO	OLR1	0.44515197210164903
MPO	PTX3	0.21590932283504394
MPO	HBEGF	0.23874807846534551
CXCL16	F2R	0.4650841681457365
CXCL16	MMP10	0.18563477110851778
CXCL16	PECAM1	0.26588432078867097
FGF5	SPON1	0.21370323946026293
FGF5	CXCL8	0.1831416097214884
FGF5	F2R	0.18866321013318466
FGF5	MMP3	0.15155516904424537
FGF5	VEGFD	0.1765507466525138
NPPB	NT-pro-BNP	1.3274886702127064
NPPB	CXCL5	0.1604825393360354
NPPB	CASP8	0.23113144068009372
NPPB	VEGFD	0.19965420391608735
NPPB	IL17C	0.1341944869161118
LGALS3	RNY5-5p	0.2152963520871607
LGALS3	ADM	0.30658627698662766
LGALS3	PRL	0.10789635548381238
LGALS3	KLK6	0.29466136537782806
LGALS3	THBD	0.45248037846832023
LGALS3	IKBKG	0.20251268038837988
LGALS3	TGFB1	0.1511455456705164
LGALS3	MMP3	0.21486217047871303
LGALS3	GH1	0.20246334108645492
PLAU	SRC	0.1692928909533551
PLAU	TNFSF10	0.3388595664444125
PLAU	CCL2	0.36580394500854396
PLAU	HGF	0.3240493140737071
PLAU	TNFSF12	0.5087544859708109
PLAU	NGF	0.41208713192253743
PLAU	CDCP1	0.2616034544214818
