Regulator	Target	MI
IL1RN	CCL7	0.2713888115010432
IL1RN	MMP1	0.14769616519305195
IL1RN	CXCL10	0.26153933174378174
IL1RN	FABP4	0.42371494400921517
SPON1	MMP7	0.3326661644733546
SPON1	HGF	0.34689583242640865
SPON1	TNFRSF10B	0.4080681039618801
SPON1	KLK11	0.4284802180772287
SPON1	LEP	0.15656774367592785
CSF1	IL6R	0.17427836255002216
CSF1	TGFA	0.6788942793821606
CSF1	TNFRSF11B	0.35186647723869857
CSF1	CCL2	0.44139352407524957
CSF1	SLAMF1	0.2178191362979751
CSF1	IL10RB	0.5174379852311493
PLAT	CXCL1	0.09973298925964524
PLAT	SELE	0.1375773091022543
PLAT	GH1	0.21591872067869033
PLAT	LEP	0.31197922281220514
PLAT	CCL19	0.2130183151243461
PLAT	TEK	0.16958024739676958
PLAT	FGF21	0.2128584110138796
MPO	RETN	0.23256143180655453
MPO	SULT1A1	0.12375722777857501
MPO	EIF4EBP1	0.20802489672636426
MPO	MMP7	0.3104580361073861
MPO	TGFB1	0.21293041748378183
MPO	REN	0.16595270773044213
CXCL16	CSTB	0.36962822607519197
CXCL16	HAVCR1	0.1950772594536847
FGF5	CCL11	0.36028555494379866
FGF5	TNFSF11	0.12300424763748019
FGF5	F2R	0.2999276026193165
FGF5	FGF19	0.11398105792074631
NPPB	NT-pro-BNP	1.3553906247813101
NPPB	CXCL9	0.20692553577793582
NPPB	NTF3	0.10159444299594256
NPPB	CCL19	0.12708104607072812
NPPB	FLT3LG	0.22430640614826114
NPPB	KLK11	0.26640381363546606
LGALS3	CSTB	0.3807084612328673
LGALS3	CD5	0.14775480294511834
LGALS3	FGF19	0.1435938277507729
PLAU	TNFRSF11B	0.3104979844129554
PLAU	CCL4	0.23521791367994815
PLAU	FGF23	0.33499446325925497
PLAU	TNFSF12	0.3344086351214228
PLAU	TEK	0.1831558149959207
PLAU	CCL28	0.3860986617249047
PLAU	IL18R1	0.13279674791384277
TNFSF10	VEGFA	0.21012288168770699
TNFSF10	TNFSF11	0.12192909781557937
IL12B	CXCL9	0.2947042156023274
IL12B	TNFSF14	0.10682143272425648
IL12B	LTA	0.14756095650411716
IL12B	ADA	0.2569610784419334
TNFSF11	FGF5	0.1230042476374793
TNFSF11	CXCL8	0.1842879380034823
TNFSF11	TNFRSF9	0.13964147190504406
TNFSF11	TNFSF10	0.12192909781557937
TNFSF11	SIRT2	0.13284329141584816
IL6R	CSF1	0.17427836255002216
IL6R	SULT1A1	0.21301609559295454
IL6R	CTSD	0.21811992238684486
IL6R	RNY4-5p	0.14463573765726334
IL6R	PAPPA	0.14431872920391609
IL6R	PECAM1	0.1895493014325007
IL15RA	TNFRSF1B	0.37556695510425
IL15RA	DKK1	0.24850126520368132
IL15RA	TGFA	0.36769173383144693
IL15RA	RETN	0.31907830783216884
IL15RA	S100A12	0.2714715726164343
IL15RA	CCL19	0.1560409326496046
IL15RA	TGFB1	0.3634781686131259
IL15RA	BDNF	0.09489452180488822
IL15RA	IL10RA	0.1605143690355204
RNY4-3p	RNY5-5p	0.40401128498338856
RNY4-3p	THBD	0.17411047284709547
RNY4-3p	ESM1	0.1312798634595458
RNY4-3p	CCL25	0.16854575564733398
RNY4-3p	RNY4-5p	0.6754638162923712
RNY4-3p	MMP12	0.18341675968984017
RNY4-3p	FGF19	0.13401799136716708
RNY4-3p	CD244	0.18149005522363648
FST	CSTB	0.30523807183419915
FST	HSPB1	0.24756465461824106
FST	CCL19	0.21685149401203052
FST	PAPPA	0.2248883243748736
FST	PTX3	0.20351363083637786
HGF	SPON1	0.34689583242640865
HGF	FLT3LG	0.30809614108882855
HGF	TNFRSF11B	0.3836385903017767
HGF	CST5	0.2334238500140069
HGF	IL1RL1	0.15888674373425715
