Regulator	Target	MI
IL1RN	PLAT	0.20631395373809625
IL1RN	TNFRSF11B	0.23364596705393126
IL1RN	CCL4	0.18145255847182096
IL1RN	RNASE3	0.23509272535171988
IL1RN	FABP4	0.43904504604612704
SPON1	NT-pro-BNP	0.3403034942972214
SPON1	CXCL5	0.13545845412000634
SPON1	FST	0.2615503192239057
SPON1	LIFR	0.2589266075660941
SPON1	CSTB	0.34650611606630033
SPON1	VEGFD	0.21494870236974517
CSF1	MMP1	0.15223660489755098
CSF1	IL18	0.29318508655491105
CSF1	NGF	0.4571704712508655
CSF1	TGFA	0.5480450928190992
CSF1	CCL7	0.17090026463275265
CSF1	TNFSF14	0.22744873159454926
CSF1	IL10RB	0.458821849478527
CSF1	TNFRSF9	0.3971403892856582
CSF1	CXCL11	0.26913834650129775
CSF1	IL7	0.20706338891909937
PLAT	CXCL6	0.20097410571690766
PLAT	IL1RN	0.20631395373809625
PLAT	SELE	0.17696662577474864
PLAT	CCL2	0.1932201663897084
PLAT	CTSD	0.19844126329771328
PLAT	FGF21	0.27166220667923113
MPO	GDF15	0.260118702452405
MPO	RNY4-5p	0.23784907742530592
MPO	TNFSF12	0.17456471300247856
MPO	VEGFD	0.18032947559249735
MPO	RNASE3	0.40616264823864423
MPO	GH1	0.2148349401980525
MPO	GAL	0.10818602291681234
CXCL16	LGALS3	0.2858891290714123
CXCL16	NTF3	0.10535783470871252
CXCL16	PGF	0.37431291249080356
FGF5	CCL13	0.19986967737740446
FGF5	ESM1	0.15547977788336986
FGF5	CTSL	0.2569815937241495
FGF5	IL15RA	0.25556507083664215
FGF5	LIFR	0.2723755892974129
FGF5	LTA	0.1548353417824
FGF5	STAMBP	0.20693841596016416
NPPB	NT-pro-BNP	1.2009463222254029
NPPB	CXCL8	0.2642450847294988
NPPB	CX3CL1	0.2581919216188382
NPPB	IL12B	0.2117840043658319
NPPB	FST	0.27162190695605126
NPPB	TNFRSF10B	0.2830472990397075
LGALS3	HSPB1	0.35828865742577687
LGALS3	CXCL16	0.2858891290714132
LGALS3	THBD	0.30788112206266405
LGALS3	IL16	0.4484998893714689
LGALS3	KITLG	0.12684334882174753
LGALS3	GAL	0.159290741440115
LGALS3	XPNPEP2	0.18996237845199992
LGALS3	ADA	0.18255438735887886
PLAU	CXCL6	0.24916947552165247
PLAU	TNFSF10	0.16579511080736875
PLAU	CCL2	0.3586362021853633
PLAU	TNFSF12	0.39125205472537683
TNFSF10	EGF	0.14259225429111222
TNFSF10	CD5	0.16568704425820702
TNFSF10	PLAU	0.16579511080736786
TNFSF10	TNFSF11	0.17285240616059028
TNFSF10	IL6R	0.21081875882457002
IL12B	NPPB	0.211784004365831
IL12B	CD6	0.24105860460741102
IL12B	LTA	0.19890408990835606
IL12B	STAMBP	0.10866253536407822
IL12B	ADA	0.2119950282689027
IL12B	SLAMF1	0.16927128344914344
TNFSF11	GDF15	0.18469023361717607
TNFSF11	TNFSF10	0.1728524061605894
TNFSF11	REN	0.0956285921769151
IL6R	TNFRSF11B	0.14331836760495165
IL6R	TNFSF10	0.26260130881597465
IL6R	TNFRSF10B	0.23874031568393406
IL15RA	NT-pro-BNP	0.32856215042560155
IL15RA	CD40	0.3671943136248421
IL15RA	FGF5	0.25556507083664215
IL15RA	PLAUR	0.35007958197189737
IL15RA	CHI3L1	0.16836471173566014
IL15RA	CCL8	0.17612845125193388
IL15RA	CCL3	0.3628578802880247
IL15RA	TNFRSF9	0.36942984079459684
RNY4-3p	CCL25	0.1518670212397355
RNY4-3p	RNY4-5p	0.8206620235228463
RNY4-3p	PDGFB	0.3512859651380218
RNY4-3p	PRL	0.13569497865337965
FST	SPON1	0.2615503192239048
FST	NPPB	0.2716219069560504
FST	IKBKG	0.25312664323590983
FST	MMP3	0.16145141680442965
FST	CXCL11	0.1892813244134599
FST	CD6	0.14121806061774755
HGF	CD40	0.41386996368419826
HGF	CXCL8	0.300435769147521
HGF	DNER	0.3040352756198299
HGF	FLT3LG	0.2816184822484482
HGF	TNFRSF11B	0.5300645367726649
HGF	S100A12	0.29812081666351986
HGF	FGF23	0.41453159931367534
HGF	TGFB1	0.3330039235725595
HGF	ADA	0.36827329154324584
F2R	HSPB1	0.31509549280587823
F2R	THBD	0.6150384699030385
F2R	MMP1	0.1361961041363644
F2R	MMP3	0.2606872886521767
F2R	RNASE3	0.30648826712456234
F2R	TNFRSF1A	0.6198331296065023
F2R	PECAM1	0.2899103546080992
FLT3LG	HGF	0.26262634603166024
FLT3LG	AGER	0.18617236982420504
FLT3LG	MMP10	0.16819368095324627
FLT3LG	CD6	0.24871283929384624
LIFR	CXCL6	0.2298970492257606
LIFR	SPON1	0.2589266075660941
LIFR	CXCL8	0.3812113213252726
LIFR	FGF5	0.2723755892974129
LIFR	TGFA	0.3712799167332239
LIFR	IL1RL1	0.1521809936653149
LIFR	OSM	0.19040797908032037
LIFR	IL18R1	0.17856730932871834
RNASE3	IL1RN	0.23509272535172077
RNASE3	MPO	0.4061626482386451
RNASE3	F2R	0.306488267124565
RNASE3	SULT1A1	0.16146861960568604
DKK1	ESM1	0.1744808894016563
DKK1	OLR1	0.17492470663065607
DKK1	VEGFD	0.20697397478712887
DKK1	HBEGF	0.2998318717776094
PGF	CD40	0.36293621736836545
PGF	CXCL16	0.37431291249080445
PGF	MB	0.304380124893318
PGF	HAVCR1	0.31163881987370967
PGF	TNFRSF1B	0.5329546296853316
PGF	RETN	0.34358953262694936
PGF	KLK11	0.5225159389580485
PGF	AGRP	0.28993226769988656
PGF	TEK	0.369369860455822
PAPPA	CXCL6	0.18843332437211924
PAPPA	IL27	0.18471077089408627
PAPPA	ESM1	0.26233307117928373
PAPPA	IL6	0.16472491097345454
PAPPA	FGF23	0.1769139782588267
PAPPA	HBEGF	0.15687900511664843
STAMBP	FGF5	0.20693841596016327
STAMBP	CASP8	0.35780524053877993
STAMBP	IL12B	0.10866253536407822
STAMBP	CCL20	0.23227667954398612
STAMBP	SIRT2	0.7338837699491627
CD274	TNFRSF1A	0.3476547782138484
CD274	SLAMF1	0.2706829887271791
CD274	LEP	0.15679208576384163
RNY5-5p	NT-pro-BNP	0.17856594280755456
RNY5-5p	RNY4-5p	0.27897054879242233
RNY5-5p	F3	0.19314291905421754
RNY5-5p	MB	0.19804068739927683
PDGFB	SRC	0.8499652584286181
PDGFB	CXCL1	0.4643217171309546
PDGFB	CXCL5	0.4824112398515217
PDGFB	MB	0.18050036739694786
PDGFB	IKBKG	0.7095472133640985
PDGFB	FGF21	0.10957103580217264
PDGFB	SLAMF1	0.13297278341800745
PDGFB	RNY4-3p	0.3512859651380209
PDGFB	EGF	0.785000844945337
TGFA	CD40	0.5394978889208106
TGFA	CXCL9	0.3206319136384268
TGFA	CSF1	0.5480450928190983
TGFA	CX3CL1	0.3731954536477575
TGFA	LIFR	0.3712799167332239
TGFA	TNFRSF11B	0.3734750345185036
TGFA	CCL23	0.42458226639488306
TGFA	VEGFA	0.6652217652911014
TGFA	AGRP	0.23249698519202688
TGFA	PTX3	0.23255992305865725
TNFRSF11B	IL1RN	0.23364596705393126
TNFRSF11B	IL6R	0.14331836760495076
TNFRSF11B	HGF	0.5300645367726657
TNFRSF11B	TGFA	0.3734750345185027
TNFRSF11B	GDNF	0.15097463075380624
AGER	CCL25	0.18896603257739653
AGER	TNFSF12	0.17400627143324598
AGER	FLT3LG	0.18617236982420682
AGER	KLK11	0.38314981848640706
AGER	AGRP	0.18618036992757858
KLK6	MB	0.23606492981676297
KLK6	IL10RA	0.15219071252471572
KLK6	F3	0.33482337785474847
SULT1A1	CXCL9	0.12533234846578356
SULT1A1	SRC	0.37599958634901576
SULT1A1	RNASE3	0.16146861960568604
EIF4EBP1	CXCL6	0.2174036314221084
EIF4EBP1	CD40	0.40254806492952167
EIF4EBP1	TNFRSF1A	0.39985490163105464
EIF4EBP1	CCL13	0.27789552109025095
EIF4EBP1	CCL11	0.40859053312092897
EIF4EBP1	FGF23	0.33528103385920804
EIF4EBP1	TGFB1	0.2774885446349815
EIF4EBP1	IL10RB	0.4362337209168352
EIF4EBP1	IL17C	0.16760091382798148
S100A12	HGF	0.29812081666351986
S100A12	IL16	0.26326526025435903
S100A12	AGRP	0.2455744610232644
FGF23	HGF	0.41453159931367534
FGF23	MMP12	0.22247783971446644
FGF23	PAPPA	0.1769139782588267
FGF23	EIF4EBP1	0.33528103385920804
FGF21	PDGFB	0.10957103580217264
FGF21	ADM	0.2491271990933175
FGF21	PLAT	0.27166220667923113
FGF21	IL18R1	0.18518088597989646
SLAMF1	CD274	0.2706829887271791
SLAMF1	GDF15	0.22615969196182384
SLAMF1	PDGFB	0.13297278341800745
SLAMF1	CDCP1	0.21988315377409862
SLAMF1	CCL4	0.12938828572191596
SLAMF1	IL12B	0.16927128344914255
SLAMF1	CCL19	0.14621316245766547
TGFB1	HGF	0.3330039235725595
TGFB1	IL16	0.2633541055323656
TGFB1	CDCP1	0.2063746676948517
TGFB1	EIF4EBP1	0.2774885446349824
MUC16	HSPB1	0.12775130127796164
MUC16	KLK11	0.21130779812297895
TNFSF14	HSPB1	0.1786203760943259
TNFSF14	PECAM1	0.14633388198746378
TNFSF14	CXCL10	0.22970760445406757
TNFSF14	IL6	0.257284206058352
TNFSF14	IL18R1	0.23279253734162442
BDNF	CXCL9	0.12995976803426323
BDNF	HSPB1	0.12411656951668881
TNFRSF9	CSF1	0.3971403892856582
TNFRSF9	IL15RA	0.36942984079459684
TNFRSF9	TNFRSF1B	0.48315346077966037
TNFRSF9	CST5	0.17705554078506225
TNFRSF9	CD5	0.4007212317554467
TNFSF12	SRC	0.17475327623193326
TNFSF12	AGER	0.17400627143324687
TNFSF12	MPO	0.17456471300247856
TNFSF12	PLAU	0.39125205472537594
TNFSF12	DNER	0.2685905515963709
