Regulator	Target	MI
IL1RN	CSTB	0.3987210791104987
IL1RN	CASP8	0.20600459401053772
IL1RN	CCL7	0.1874962910750062
IL1RN	DNER	0.16346854177109638
IL1RN	SELE	0.25421554084564146
IL1RN	LTA	0.15530774172079198
SPON1	HSPB1	0.209013256049289
SPON1	FGF5	0.2757533011853406
SPON1	ESM1	0.25320469620858876
SPON1	MB	0.3418817767968214
SPON1	F3	0.5593604699870829
SPON1	CSTB	0.48773712509298583
CSF1	CX3CL1	0.41983097889286114
CSF1	NGF	0.4632117957802375
CSF1	TNFRSF1A	0.4119676261683871
CSF1	TGFA	0.582412403803211
CSF1	CCL2	0.5013167604715552
CSF1	CXCL11	0.3217283550480534
CSF1	CD5	0.404335131633883
CSF1	IL17A	0.15947623518820908
PLAT	NPPB	0.1511864412511148
PLAT	SULT1A1	0.19132983394365954
PLAT	CXCL10	0.22187325818096415
PLAT	GH1	0.21072724239377028
PLAT	FABP4	0.1594471517272531
PLAT	EIF4EBP1	0.1681351119217469
PLAT	S100A12	0.15043876872650674
PLAT	FGF21	0.1486328973050206
MPO	MUC16	0.15876184285298667
MPO	CCL20	0.10969192125930682
MPO	CXCL11	0.19527935361988735
MPO	CD6	0.12252345507394402
MPO	HBEGF	0.19274182396595574
CXCL16	TNFRSF10B	0.4526556880641497
CXCL16	IL16	0.32495050419864935
CXCL16	DKK1	0.3163828536371627
FGF5	SPON1	0.2757533011853406
FGF5	CCL3	0.16476988784916458
FGF5	IL15RA	0.25425263497992656
FGF5	DKK1	0.16569268805441517
FGF5	GDNF	0.18280160083396968
NPPB	NT-pro-BNP	1.281484940102776
NPPB	PLAT	0.1511864412511139
NPPB	CX3CL1	0.2666368513587516
NPPB	CASP8	0.2338878691498687
NPPB	FGF23	0.33378019093342903
LGALS3	CSTB	0.4091314757952613
LGALS3	TNFSF14	0.21291166398702366
LGALS3	TNFSF12	0.1371501786707574
LGALS3	SELE	0.2350500279519281
PLAU	TNFSF10	0.3293936658907457
PLAU	CCL2	0.4380835766135105
PLAU	TNFSF12	0.48421128835175953
PLAU	CD244	0.2949680882938033
TNFSF10	RNY4-5p	0.18935235541040552
TNFSF10	TNFRSF1A	0.16442771741187379
TNFSF10	PLAU	0.3293936658907457
TNFSF10	AGRP	0.16877130620582026
IL12B	EIF4EBP1	0.26905984812744155
IL12B	CCL23	0.3200923409584471
IL12B	IL17C	0.13265170907207402
IL12B	ADA	0.20445607841366975
IL12B	CD244	0.3708997802821896
TNFSF11	CXCL6	0.1482492077675026
TNFSF11	CXCL8	0.17570264448389938
TNFSF11	LTA	0.21666999439586831
TNFSF11	OLR1	0.2112780619574286
IL6R	TNFSF14	0.20966887519041766
IL6R	KLK11	0.327669361772859
IL15RA	FGF5	0.25425263497992656
IL15RA	HGF	0.29893742688868485
IL15RA	PLAUR	0.3146148018909294
IL15RA	MMP10	0.2536668259494128
IL15RA	VEGFA	0.4649112277866525
RNY4-3p	RNY4-5p	0.6434091576097218
RNY4-3p	AGER	0.18301155525963875
RNY4-3p	S100A12	0.1813309191446022
RNY4-3p	IL18R1	0.09756166052792636
FST	RETN	0.2728832259388607
FST	NTF3	0.19322160483520978
FST	TNFSF12	0.13444459020082
FST	MMP3	0.1620273937865102
FST	PLAUR	0.267128276399319
FST	VEGFD	0.23102221388770516
FST	DKK1	0.2646746601884473
HGF	IL15RA	0.29893742688868574
HGF	STAMBP	0.30763134302135775
HGF	SELPLG	0.22452083477336338
HGF	TGFA	0.4303280398773266
HGF	TNFRSF11B	0.6253681432334846
HGF	AGRP	0.2116262200591681
HGF	ADA	0.28651180113494057
F2R	CXCL1	0.18057297826328522
F2R	CTSL	0.3140944307425553
F2R	TNFRSF1B	0.6973855198232402
F2R	PGF	0.580139260730915
F2R	IL1RL1	0.19664823356599204
F2R	FAS	0.5026843191589752
FLT3LG	FGF19	0.13123591912068022
FLT3LG	CCL2	0.35074463717114224
LIFR	OLR1	0.21131597990287343
LIFR	TGFA	0.3937683453191152
LIFR	IL10RA	0.14503880620096243
LIFR	GH1	0.20393271396733414
RNASE3	RETN	0.29566932500774534
RNASE3	CCL23	0.1571867970182872
RNASE3	IL16	0.36071732942098134
DKK1	CXCL16	0.3163828536371627
DKK1	FGF5	0.16569268805441606
DKK1	FST	0.26467466018844643
DKK1	AXIN1	0.19323430308729872
DKK1	PAPPA	0.2187503348955726
DKK1	HBEGF	0.2874094373174847
PGF	F2R	0.580139260730915
PGF	PECAM1	0.3410556782032934
PGF	RNY5-5p	0.21843001764282466
PGF	KLK6	0.3427852692741711
PAPPA	NT-pro-BNP	0.1288120276142397
PAPPA	TGFB1	0.18231608814743794
PAPPA	CXCL1	0.27285361858289914
PAPPA	DKK1	0.2187503348955735
PAPPA	ESM1	0.16389738045062519
STAMBP	HSPB1	0.5616712845148042
STAMBP	CASP8	0.3965155007228134
STAMBP	FGF21	0.13505455710582126
STAMBP	HGF	0.30763134302135775
STAMBP	SIRT2	0.6196846242494116
STAMBP	IL7	0.2656846043635106
CD274	SLAMF1	0.2851215128536495
CD274	TNFRSF1A	0.5035848192729375
RNY5-5p	SELPLG	0.14957679738960827
RNY5-5p	PGF	0.21843001764282466
RNY5-5p	XPNPEP2	0.15754452874403757
PDGFB	HSPB1	0.46239942613325
PDGFB	CXCL1	0.5593941012703194
PDGFB	CXCL5	0.4186077184286514
PDGFB	EGF	0.6661249216429672
TGFA	CXCL9	0.3721243111674779
TGFA	CXCL8	0.4016801159651955
TGFA	CSF1	0.582412403803211
TGFA	HGF	0.4303280398773266
TGFA	LIFR	0.3937683453191143
TGFA	TNFRSF1B	0.41864549548843755
TGFA	CCL11	0.29239546756122614
TGFA	EIF4EBP1	0.5515103341214962
TGFA	S100A12	0.26424698059242857
TGFA	FGF23	0.4392391039615626
TGFA	VEGFA	0.5584966109998408
TNFRSF11B	CD40	0.456572459526738
TNFRSF11B	IL27	0.24414750688573328
TNFRSF11B	TGFB1	0.4110438180555249
TNFRSF11B	HGF	0.6253681432334846
AGER	FGF23	0.30339474444567216
AGER	RNY4-3p	0.18301155525963875
AGER	MMP12	0.17957645094438934
AGER	GH1	0.1560534615987681
AGER	ADA	0.17438304308976793
AGER	HBEGF	0.2459767285912644
KLK6	MB	0.3632171732690166
KLK6	MMP3	0.2292784573935931
KLK6	F3	0.35197743628808364
SULT1A1	EGF	0.329761039272114
SULT1A1	MB	0.20762376970420693
SULT1A1	PLAT	0.19132983394365954
EIF4EBP1	NT-pro-BNP	0.4099019866051128
EIF4EBP1	PLAT	0.1681351119217469
EIF4EBP1	CASP8	0.41128033929778596
EIF4EBP1	IL12B	0.26905984812744155
EIF4EBP1	CDCP1	0.27319740785633506
EIF4EBP1	TGFA	0.5515103341214953
EIF4EBP1	TGFB1	0.2812028102218198
EIF4EBP1	PTX3	0.23773998957329212
S100A12	TGFA	0.26424698059242857
S100A12	PLAT	0.15043876872650674
S100A12	RNY4-3p	0.1813309191446022
S100A12	CCL20	0.16002549135020594
FGF23	NPPB	0.33378019093342903
FGF23	TGFA	0.4392391039615626
FGF23	AGER	0.30339474444567216
FGF23	FABP4	0.2626205109790085
FGF23	FGF19	0.10279683052107558
FGF21	GDF15	0.19676403532085107
FGF21	MMP1	0.14413325437346192
FGF21	PLAT	0.1486328973050206
FGF21	DNER	0.1294494103458801
FGF21	CCL19	0.13903797317071298
FGF21	STAMBP	0.13505455710582126
SLAMF1	CD274	0.2851215128536495
SLAMF1	CXCL8	0.24653148410133774
SLAMF1	MB	0.19702374332112882
SLAMF1	ADA	0.2377849520703874
SLAMF1	IL17A	0.18088401322143888
TGFB1	PAPPA	0.18231608814743794
TGFB1	TNFRSF11B	0.4110438180555249
TGFB1	EIF4EBP1	0.2812028102218189
MUC16	IL10	0.17080892498735079
MUC16	TNFRSF10B	0.24423235597119763
MUC16	MPO	0.15876184285298756
MUC16	GH1	0.22808581548517726
MUC16	ESM1	0.15699679754811413
TNFSF14	SRC	0.20393598648220124
TNFSF14	LGALS3	0.21291166398702366
TNFSF14	CCL3	0.2521452190172244
TNFSF14	IL6R	0.20966887519041766
TNFSF14	CCL20	0.20708383627739568
TNFSF14	TNFRSF1B	0.3645838963284893
TNFSF14	CXCL11	0.23481266605462547
TNFSF14	IL18R1	0.2698805359566805
BDNF	FGF23	0.09774815311326623
TNFRSF9	CX3CL1	0.3161188336722729
TNFRSF9	LTA	0.22122056318802574
TNFRSF9	CCL8	0.22223909750111925
TNFRSF9	CCL25	0.3442329738334253
TNFRSF9	VEGFA	0.4381587185084852
TNFRSF9	CD5	0.47745921355371923
TNFSF12	LGALS3	0.1371501786707574
TNFSF12	PLAU	0.48421128835175953
TNFSF12	DNER	0.32769385198154755
TNFSF12	IL10RB	0.30797489060356664
TNFSF12	FST	0.13444459020082
TNFSF12	LTA	0.1730272224889946
TNFSF12	FAS	0.1619909358313807
TNFRSF10B	CXCL16	0.4526556880641506
TNFRSF10B	HAVCR1	0.2612282598599167
TNFRSF10B	MMP7	0.37831120989613076
TNFRSF10B	PLAUR	0.6535387000156563
TNFRSF10B	MUC16	0.2102389926680832
SELE	IL1RN	0.2627446601260157
SELE	LGALS3	0.2350500279519281
SELE	PECAM1	0.2772408679914795
SELE	IL18R1	0.1315354762201535
CXCL10	CXCL9	0.6523725412463062
CXCL10	CXCL1	0.19427675050789173
CXCL10	PLAT	0.22187325818096504
CXCL10	HAVCR1	0.19702167530428039
CXCL10	IL16	0.20928906188810892
CXCL10	FGF23	0.21558235771095013
CXCL10	CCL25	0.18824510059810518
CXCL10	CXCL11	0.6544205132067153
GH1	MMP7	0.18898546910526104
GH1	MUC16	0.22808581548517726
GH1	LIFR	0.20393271396733326
GH1	PLAT	0.21072724239377116
GH1	AGER	0.1560534615987681
CXCL11	CCL13	0.21357489459632273
CXCL11	CSF1	0.3217283550480534
CXCL11	MPO	0.19527935361988735
CXCL11	CCL8	0.20012794561761815
CXCL11	CCL23	0.27241574693664017
CXCL11	TNFSF14	0.23481266605462459
CXCL11	CXCL10	0.6544205132067162
CXCL11	CD244	0.2768942830795895
IL6	ADM	0.3563854349394706
IL6	CXCL5	0.1674243821828716
IL6	CTSL	0.22765278201878303
GDNF	FGF5	0.18194470472202173
GDNF	HAVCR1	0.15272770245152678
GDNF	IL17A	0.08996485324497883
IL7	CCL13	0.1715275970926422
IL7	IL10	0.16101576716206267
IL7	IL18	0.17660590932921938
IL7	NGF	0.2080058973515193
IL7	STAMBP	0.2656846043635106
IL7	CCL28	0.20394865469300605
FGF19	ESM1	0.1711316857215497
FGF19	CHI3L1	0.15177657044070525
FGF19	FLT3LG	0.13123591912068022
FGF19	VEGFD	0.17699768279279215
FGF19	FGF23	0.10279683052107558
FGF19	ADA	0.19043313027548692
REN	SRC	0.1329434760438124
REN	DNER	0.23445622880001693
REN	CTSD	0.1492850920278599
REN	IL18	0.1360454762344201
REN	TNFRSF1A	0.2143607265863121
ADA	AGER	0.17438304308976704
ADA	CCL3	0.23453350530628647
ADA	IL12B	0.20445607841366975
ADA	SLAMF1	0.2377849520703874
ADA	HGF	0.28651180113494057
ADA	FGF19	0.19043313027548692
ADA	CCL28	0.29207272605294055
NT-pro-BNP	IL27	0.2254576702424469
NT-pro-BNP	NPPB	1.281484940102776
NT-pro-BNP	EIF4EBP1	0.4099019866051128
NT-pro-BNP	PAPPA	0.1288120276142397
NT-pro-BNP	HBEGF	0.2670401126269102
CXCL6	TNFSF11	0.1482492077675026
CXCL6	AGRP	0.29028734061389017
CXCL6	CD244	0.24819235233610915
CD40	CSTB	0.4623546000186014
CD40	TNFRSF11B	0.456572459526738
CD40	NTF3	0.13810454311082765
CD40	CCL3	0.33509519865535964
CD40	VEGFA	0.5846751894399356
CXCL9	OLR1	0.3545010468858232
CXCL9	IL18	0.30764355481364536
CXCL9	TNFRSF1A	0.4425749726665522
CXCL9	MMP12	0.25766130415060573
CXCL9	TGFA	0.372124311167477
CXCL9	CCL19	0.14307318658879709
CXCL9	CXCL10	0.6523725412463071
CXCL8	TNFSF11	0.1757026444838985
CXCL8	MMP1	0.16177809823309186
CXCL8	MMP12	0.28461860080582113
CXCL8	CDCP1	0.2591266201546363
CXCL8	TGFA	0.4016801159651937
CXCL8	SLAMF1	0.24653148410133685
CXCL8	CCL20	0.30302453085428294
CXCL8	GDF15	0.27130396989046446
CXCL8	XPNPEP2	0.20504375547828158
HSPB1	SPON1	0.209013256049289
HSPB1	PDGFB	0.46239942613325
HSPB1	MMP1	0.12914849643138915
HSPB1	STAMBP	0.5616712845148042
HSPB1	CD244	0.19643423951902506
ADM	CSTB	0.4992056904462059
ADM	RETN	0.45796202754523563
ADM	IL6	0.3563854349394715
CXCL1	F2R	0.18057297826328522
CXCL1	PDGFB	0.5593941012703176
CXCL1	CXCL10	0.19427675050789261
CXCL1	PAPPA	0.2728536185829
IL27	NT-pro-BNP	0.2254576702424469
IL27	TNFRSF11B	0.24414750688573328
IL27	TNFRSF1B	0.3705320856835712
IL27	PTX3	0.2854095570756243
IL27	IL17A	0.24668109116252257
PRL	ESM1	0.10517913094375864
PRL	CD244	0.16227953263930495
CX3CL1	CSF1	0.41983097889286114
CX3CL1	NPPB	0.24995253350632485
CX3CL1	MB	0.3744163964464189
CX3CL1	TNFRSF9	0.31611883367227467
CX3CL1	KITLG	0.29677825644571154
CXCL5	PDGFB	0.4186077184286523
CXCL5	IL6	0.1674243821828716
CXCL5	GAL	0.21939829865703242
CXCL5	CD5	0.19694701154409078
