Regulator	Target	MI
IL1RN	MPO	0.23036913317899188
IL1RN	DNER	0.20950165718200164
IL1RN	IKBKG	0.12391907039430539
IL1RN	TNFSF14	0.24525578394337444
IL1RN	IL6	0.34310027729017545
IL1RN	FABP4	0.26587756600065227
SPON1	FGF5	0.24295895133735446
SPON1	MMP7	0.3875327756218221
SPON1	PLAUR	0.3785024559820789
SPON1	F3	0.30950276467789983
SPON1	MMP12	0.2815556692842778
SPON1	CCL8	0.23144898024559524
SPON1	VEGFA	0.35618345461498624
SPON1	CCL28	0.22055641518246283
CSF1	ESM1	0.21588562405988032
CSF1	HGF	0.36120965799590365
CSF1	TGFA	0.4933227587361362
CSF1	CCL7	0.24885041397164454
CSF1	CCL4	0.25615634803676457
CSF1	CCL2	0.4378552904604316
CSF1	S100A12	0.24605665071171146
CSF1	IL10RB	0.5705396418602158
CSF1	TNFRSF10B	0.382786612136762
CSF1	CXCL10	0.2832661999074153
CSF1	CD5	0.4434128502838943
PLAT	TNFSF14	0.23917087806913706
PLAT	LEP	0.3724725374867681
PLAT	TEK	0.18127725444147647
PLAT	IL6R	0.17246210190134992
MPO	IL1RN	0.230369133178991
MPO	THBD	0.2719295330715825
MPO	IL18	0.1771868543146491
MPO	RNASE3	0.2501441128977655
MPO	SIRT2	0.21100531922461396
MPO	GH1	0.1420093708829553
MPO	IL18R1	0.28031666755033413
CXCL16	MMP7	0.27768120209458313
CXCL16	DKK1	0.19671103914890775
FGF5	IL15RA	0.23690973768828805
FGF5	SPON1	0.24295895133735357
FGF5	CX3CL1	0.18446222614859753
FGF5	GDNF	0.18942656075528497
FGF5	IL18R1	0.14381369201737115
NPPB	NT-pro-BNP	1.3593554429786794
NPPB	TGFA	0.2577529465405419
NPPB	CASP8	0.1609087289234008
NPPB	PLAUR	0.23167953125796092
NPPB	PTX3	0.15646637253758922
LGALS3	CSTB	0.24473241454035044
PLAU	DNER	0.2701423526789464
PLAU	TGFB1	0.38151142632534985
PLAU	GDF15	0.14411206686725997
PLAU	HGF	0.4336276417656899
PLAU	TNFSF12	0.2801382983928047
PLAU	GH1	0.13512242229387006
PLAU	ADA	0.18908769611503828
TNFSF10	CCL25	0.16804063006631687
TNFSF10	CSF1	0.17685680207124577
TNFSF10	CASP8	0.33318576553610946
TNFSF10	TNFSF11	0.22469663388636363
TNFSF10	CD244	0.16125516233984172
IL12B	TNFRSF9	0.3023126324978893
IL12B	SELE	0.1207912595503764
IL12B	CXCL10	0.2980924787643717
IL12B	CD244	0.24287329699664362
TNFSF11	TGFB1	0.13875759627306383
TNFSF11	PAPPA	0.10755246215398806
TNFSF11	LTA	0.14875383663550856
TNFSF11	TNFSF10	0.22469663388636363
TNFSF11	TEK	0.13296328428116233
IL6R	CSTB	0.29233646558565596
IL6R	PLAT	0.17246210190134992
IL6R	MMP7	0.25078681994653707
IL15RA	FGF5	0.23690973768828805
IL15RA	TGFA	0.370718472252924
IL15RA	EIF4EBP1	0.30492844377506945
IL15RA	SLAMF1	0.19877667720340053
IL15RA	TGFB1	0.360542235998623
IL15RA	XPNPEP2	0.13751779896506466
RNY4-3p	RNY5-5p	0.23623305597643984
RNY4-3p	PDGFB	0.2945924447172805
RNY4-3p	AGER	0.12812126614114927
RNY4-3p	RNY4-5p	0.7332539562408691
RNY4-3p	CD6	0.1244852530667
RNY4-3p	FGF19	0.19681383982354284
RNY4-3p	ADA	0.2055142361378266
FST	CCL19	0.18147547319347268
FST	HAVCR1	0.2544660720457017
FST	TNFRSF10B	0.29049882861591314
FST	FABP4	0.23289799161364932
HGF	CSF1	0.36120965799590365
HGF	PLAU	0.4336276417656899
HGF	MMP10	0.27380374611995073
HGF	TNFRSF11B	0.6358497253503881
HGF	FGF23	0.3725570677690122
F2R	TNFRSF1B	0.5534268308483243
F2R	PGF	0.6632543095627144
F2R	SIRT2	0.29958555775662354
FLT3LG	CCL8	0.12984868787867132
FLT3LG	CD6	0.1712380931740798
FLT3LG	CCL4	0.1665241519103695
FLT3LG	DNER	0.12699930424150363
FLT3LG	AGER	0.11262666905566387
LIFR	CXCL8	0.22629396949203695
LIFR	CX3CL1	0.5077098629536723
LIFR	TGFB1	0.27521261855450607
LIFR	CD6	0.21827404682734564
LIFR	LTA	0.13815236199940095
LIFR	STAMBP	0.16908875569973247
RNASE3	MPO	0.2501441128977655
RNASE3	PLAUR	0.4020997358041418
RNASE3	SELE	0.21315058319401814
RNASE3	CXCL10	0.23021724754634487
DKK1	CXCL16	0.2120963643831031
DKK1	TNFSF14	0.17092320618277768
DKK1	PGF	0.20463630681262135
DKK1	STAMBP	0.22595285615783567
PGF	MMP7	0.406306048053251
PGF	F2R	0.6632543095627152
PGF	DKK1	0.20463630681262313
PGF	F3	0.3909418664079336
PGF	TNFRSF1A	0.6733674641157474
PGF	HBEGF	0.5235675894083673
PGF	CCL23	0.19892361742303954
PGF	MUC16	0.13419706940886744
PGF	KLK11	0.5418394472398678
PAPPA	NT-pro-BNP	0.20370257214453602
PAPPA	MMP3	0.15781498738960753
PAPPA	VEGFD	0.25836926399339255
PAPPA	CX3CL1	0.11885643805153467
PAPPA	SIRT2	0.15850126615606008
PAPPA	THBD	0.2400107019304185
PAPPA	ESM1	0.2507424357305297
PAPPA	TNFSF11	0.10755246215398895
STAMBP	SRC	0.5480002147771135
STAMBP	SULT1A1	0.30989083474960744
