Regulator	Target	MI
IL1RN	FGF5	0.1941093552809141
IL1RN	CCL4	0.1921507849881845
IL1RN	NTF3	0.12513458007013423
IL1RN	PGF	0.3317091329435744
IL1RN	FABP4	0.4948216031913262
IL1RN	PAPPA	0.13513786910152525
SPON1	CSF1	0.2728205233647989
SPON1	PLAUR	0.4021843445657387
SPON1	SIRT2	0.28577578868021813
SPON1	PTX3	0.2705436281395386
CSF1	SPON1	0.2728205233647998
CSF1	PLAU	0.3381924309360844
CSF1	HGF	0.44609665479781135
CSF1	NGF	0.43178183962867855
CSF1	TGFA	0.5380317932713128
CSF1	CD5	0.5533449311765342
CSF1	IL7	0.26857487082705855
PLAT	CCL11	0.16176824050600125
PLAT	RNY4-5p	0.2730581639191598
PLAT	FABP4	0.2441831180500067
PLAT	GDNF	0.15708536241259097
PLAT	DNER	0.11041338676241175
PLAT	REN	0.12870626510842964
PLAT	CTSD	0.13599890453918828
PLAT	FGF21	0.13405100159424777
MPO	SULT1A1	0.13599641120322215
MPO	IL6R	0.2531961648078678
MPO	FST	0.18061467648131213
MPO	PLAUR	0.23371648416722213
MPO	IL16	0.2943643048403928
MPO	ADA	0.19490105049941508
MPO	CD244	0.24363941859903981
MPO	IL18R1	0.14794958862653562
CXCL16	LGALS3	0.29975976649773717
CXCL16	EGF	0.16523288730276509
CXCL16	TNFRSF10B	0.39506857898280767
CXCL16	FAS	0.35676136316221374
CXCL16	TEK	0.24862581690716468
CXCL16	HBEGF	0.43425007466661736
FGF5	IL1RN	0.1941093552809141
FGF5	CCL11	0.1778176815675261
FGF5	IL15RA	0.2215113532739572
FGF5	MMP7	0.1902144398940102
FGF5	TNFSF14	0.2817495754055672
FGF5	GAL	0.11811762116592206
FGF5	GDNF	0.15618213615155518
NPPB	NT-pro-BNP	1.4737689193610262
NPPB	GDF15	0.2446280543020265
NPPB	LEP	0.1734613185499425
NPPB	PAPPA	0.22581436472937533
NPPB	IL18R1	0.11711559081775391
LGALS3	CXCL16	0.29975976649773717
LGALS3	FABP4	0.22856828713671629
PLAU	CSF1	0.33819243093608353
PLAU	CTSL	0.1902735434679217
PLAU	DNER	0.3064285765660788
PLAU	TNFSF10	0.2857014143906973
PLAU	PLAUR	0.28744081099278773
PLAU	CCL8	0.2642274391664605
PLAU	TNFSF12	0.5313952249886205
PLAU	CD6	0.19535601318343954
PLAU	CCL28	0.2858599886284052
TNFSF10	PLAU	0.29674734763368615
TNFSF10	TNFSF11	0.1791400872341189
TNFSF10	CCL19	0.21236928112844655
IL12B	NT-pro-BNP	0.2490472562592938
IL12B	TGFA	0.3327785184161449
IL12B	SULT1A1	0.14443967024143234
IL12B	CCL19	0.14097085386570374
IL12B	BDNF	0.08990940196373298
IL12B	IL10RA	0.1210873499223366
IL12B	CD244	0.27262671817151407
TNFSF11	EGF	0.16136221375228565
TNFSF11	IL18	0.15281708538401428
TNFSF11	GH1	0.19284449001223258
TNFSF11	CD6	0.11596696897115955
TNFSF11	IL7	0.15774158008659445
TNFSF11	TNFSF10	0.1791400872341189
IL6R	CSTB	0.27517928768780475
IL6R	MPO	0.2531961648078669
IL6R	CTSD	0.2048537418838512
IL6R	BDNF	0.10322708870591679
IL6R	EGF	0.2509537089762741
IL6R	IL10RA	0.1522433169082209
IL6R	SELE	0.1780259989606403
IL15RA	FGF5	0.2215113532739572
IL15RA	ESM1	0.17413451616007336
IL15RA	HGF	0.3797351103399498
IL15RA	F2R	0.4681464331757521
