Regulator	Target	MI
IL1RN	PLAT	0.31972781404281303
IL1RN	CCL19	0.22066009770778727
IL1RN	MMP7	0.3078711469970381
IL1RN	F3	0.19643908755834616
IL1RN	SELE	0.19938571645169656
IL1RN	FABP4	0.3359260298051714
SPON1	NT-pro-BNP	0.37697416999060707
SPON1	THBD	0.3660325973728833
SPON1	MB	0.24942757759508716
SPON1	PLAUR	0.4834725384856471
SPON1	LIFR	0.2603093087508457
SPON1	AGER	0.4091493402856088
SPON1	PTX3	0.21972676925179435
CSF1	IL15RA	0.3020129730271277
CSF1	TGFA	0.49647624787611466
CSF1	CCL20	0.2224703722482042
CSF1	CD5	0.4476231298342892
PLAT	IL1RN	0.31972781404281303
PLAT	MMP12	0.11593805421184822
PLAT	CTSD	0.20191196454548344
PLAT	IL18R1	0.21614897863336502
PLAT	FGF21	0.20338254238593123
MPO	ESM1	0.15284175350148477
MPO	EGF	0.13335602837468574
MPO	GDF15	0.203709899150339
MPO	RNASE3	0.21326052730257405
MPO	CXCL11	0.11516492490000463
MPO	GDNF	0.23215252773370665
MPO	PAPPA	0.15032051388846046
MPO	PECAM1	0.1654842814812696
CXCL16	LGALS3	0.29685099738225684
CXCL16	NTF3	0.0964321733429685
CXCL16	TNFSF12	0.24670354259340943
CXCL16	TNFRSF10B	0.3356138978841354
CXCL16	DKK1	0.23391574436395857
CXCL16	SELE	0.16020080998713127
CXCL16	FABP4	0.30775136395520963
CXCL16	FAS	0.3008757825602615
FGF5	VEGFA	0.280701855517
FGF5	CASP8	0.20084914815423094
FGF5	AGRP	0.12891876916812617
FGF5	HAVCR1	0.25559746677767237
NPPB	NT-pro-BNP	1.3397395161398675
NPPB	CD40	0.17457435455964276
NPPB	TNFRSF10B	0.22742924458362346
NPPB	MMP12	0.18398609508361652
NPPB	PAPPA	0.2548413726601515
LGALS3	CSTB	0.3152675695876388
LGALS3	CXCL16	0.2968509973822586
LGALS3	IL6R	0.27331460453317646
LGALS3	CD6	0.14125597414393365
LGALS3	IL18R1	0.21225881471201635
PLAU	CCL2	0.3439249799919857
PLAU	TNFSF12	0.3902231083327923
PLAU	MMP10	0.1615335656081971
PLAU	CDCP1	0.13427700129618358
PLAU	CD244	0.20696358372073487
TNFSF10	TNFRSF9	0.18103035346845076
TNFSF10	MMP3	0.09855034363335946
TNFSF10	VEGFD	0.0995226508248983
TNFSF10	TNFSF11	0.24824356961731997
TNFSF10	REN	0.11068327315079607
IL12B	CXCL10	0.32560656772416596
IL12B	CD5	0.2740821056699678
IL12B	LTA	0.16874263249139432
IL12B	ADA	0.25889200332258344
TNFSF11	NT-pro-BNP	0.14145802862501267
TNFSF11	CD274	0.11947600877349718
TNFSF11	EGF	0.1403093257014998
TNFSF11	TNFSF10	0.24824356961731997
TNFSF11	TNFRSF11B	0.1360063253510715
TNFSF11	HAVCR1	0.09742979646753369
IL6R	RNY5-5p	0.143669919893747
IL6R	LGALS3	0.27331460453317646
IL6R	FST	0.20631750312364083
IL6R	FAS	0.21774382706321305
IL6R	IL17C	0.12821997898676063
IL6R	CD244	0.19005235104643248
IL15RA	CSF1	0.3020129730271295
IL15RA	RETN	0.29344069965633857
IL15RA	F2R	0.22975366270498832
IL15RA	IL18R1	0.1386291060189624
RNY4-3p	CCL25	0.10735057155097127
RNY4-3p	CXCL6	0.1604889431372154
RNY4-3p	RNY4-5p	0.7400180861206245
RNY4-3p	PGF	0.18105348232865204
FST	IL6R	0.20631750312363994
FST	TNFRSF1A	0.2741928166113379
HGF	TNFRSF11B	0.5567620387047914
HGF	CCL2	0.4056948664656872
HGF	S100A12	0.20986436744316528
HGF	VEGFA	0.5079851982517853
F2R	ADM	0.3602634024610962
F2R	IL15RA	0.22975366270498832
F2R	MUC16	0.24012209196143175
F2R	IL16	0.3717369411592166
F2R	TNFRSF1B	0.5415195759197546
F2R	HBEGF	0.49263004348030126
FLT3LG	TNFRSF1B	0.1550226011317335
FLT3LG	AGER	0.14934292128320514
FLT3LG	CXCL5	0.1161582796920202
FLT3LG	CD6	0.10264776797934694
FLT3LG	LTA	0.11690235275999328
FLT3LG	CCL2	0.35780321219695477
FLT3LG	IKBKG	0.11004228511890801
LIFR	SPON1	0.26030930875084657
LIFR	IL27	0.18791717084423887
LIFR	CX3CL1	0.33068463404232684
LIFR	ESM1	0.11013077914779235
LIFR	AXIN1	0.15916470922356662
RNASE3	IL27	0.20177435148895828
RNASE3	MPO	0.21326052730257317
RNASE3	OLR1	0.4527355242556803
RNASE3	MMP1	0.14707630147895578
RNASE3	PLAUR	0.3392360507009906
DKK1	CCL13	0.25113220709042317
DKK1	CXCL16	0.23391574436396034
DKK1	MUC16	0.13674275612516062
DKK1	CCL20	0.1243729200363557
DKK1	AGRP	0.2457868660904774
DKK1	TEK	0.20701001699223198
PGF	RNY4-3p	0.18105348232865204
PGF	IL16	0.35617717042060537
PGF	TNFRSF1B	0.5332806721875745
PGF	PECAM1	0.28965596896436363
PGF	VEGFD	0.18965640239746762
PGF	KLK11	0.4813227763919459
PAPPA	MPO	0.15032051388846046
PAPPA	NPPB	0.2525632478492481
PAPPA	GH1	0.10989863651824372
PAPPA	CD40LG	0.09096518670468612
PAPPA	REN	0.09302223779323082
PAPPA	HBEGF	0.1313084643282787
STAMBP	CASP8	0.28539835190699314
STAMBP	CCL4	0.14655607957980177
STAMBP	EIF4EBP1	0.22190868753420467
STAMBP	AXIN1	0.48877068440133
STAMBP	SIRT2	0.5691532204928897
STAMBP	IL7	0.2382806612975541
CD274	TNFSF11	0.11947600877349629
CD274	MMP3	0.1966596780890546
CD274	IL18	0.2986426745658912
CD274	TNFRSF1B	0.2958213561163543
CD274	SLAMF1	0.2970276191888708
CD274	CXCL11	0.30063723034813084
RNY5-5p	MMP7	0.16843277763728715
RNY5-5p	RNY4-5p	0.11310225513553007
RNY5-5p	AGER	0.1746540580478051
RNY5-5p	SLAMF1	0.16216627982138476
PDGFB	EGF	0.5995001255068662
PDGFB	HSPB1	0.5925703798669906
PDGFB	CXCL1	0.4239401235568323
PDGFB	IL27	0.10104236485001739
PDGFB	CXCL5	0.48120445246409194
PDGFB	IL1RL1	0.12095895749504759
PDGFB	FGF23	0.1154272977576305
