Regulator	Target	MI
IL1RN	PLAT	0.15859654946664037
IL1RN	CCL19	0.13633816464718507
IL1RN	TNFSF14	0.22333409498394285
IL1RN	IL10RA	0.11353322516577524
IL1RN	TNFRSF1B	0.2900760515077465
IL1RN	FABP4	0.3839016025204609
IL1RN	CD244	0.13770528026545925
SPON1	CX3CL1	0.3337615821524924
SPON1	HBEGF	0.39916245429473385
SPON1	GDNF	0.1332102670725286
SPON1	PTX3	0.20585866950249354
SPON1	TEK	0.26058981533068604
CSF1	HGF	0.42408150800374145
CSF1	LIFR	0.3257650126152889
CSF1	TGFA	0.43954777099688247
CSF1	CST5	0.22715897631283433
CSF1	CCL2	0.4303664050511591
CSF1	IL10RB	0.48372834839904755
CSF1	TNFRSF9	0.49420196872837074
CSF1	CD244	0.3040501728529623
PLAT	HAVCR1	0.2144494924854845
PLAT	CTSD	0.23298392321065897
PLAT	FGF21	0.17210602124754093
PLAT	BDNF	0.09402081033038989
PLAT	RNY4-5p	0.1716797590543857
PLAT	SELE	0.2132978158653538
PLAT	IL6	0.2582570236557835
PLAT	REN	0.20409007340078755
MPO	PRL	0.18063789779410921
MPO	TNFRSF1B	0.20903617676597985
MPO	GAL	0.1076736515495762
CXCL16	LGALS3	0.396288824792177
CXCL16	FST	0.2659562715926791
CXCL16	MMP3	0.20993329731611787
CXCL16	FAS	0.31950632209614316
CXCL16	HBEGF	0.29091100599667996
FGF5	NT-pro-BNP	0.2080372728904445
FGF5	AGER	0.17508876235773485
FGF5	OSM	0.17091523418473287
FGF5	GH1	0.16119818181668144
NPPB	NT-pro-BNP	1.323396685608496
NPPB	SELPLG	0.12059246191786599
NPPB	GDF15	0.206953385424006
NPPB	IL10RA	0.15168098632738403
NPPB	REN	0.15205140043451415
LGALS3	CXCL16	0.3962888247921761
LGALS3	SULT1A1	0.12549824002525423
LGALS3	CTSL	0.24184962595221027
LGALS3	IL16	0.4250192922427569
LGALS3	PGF	0.3323312135641707
LGALS3	FABP4	0.45031206516477873
LGALS3	CCL28	0.13777769027754516
PLAU	DNER	0.294238368932894
PLAU	TNFSF10	0.31597982701528604
PLAU	CCL2	0.5054156573639075
PLAU	IL10RB	0.37973424087991514
PLAU	TNFSF12	0.3718865188287568
PLAU	MMP10	0.19114202295212834
PLAU	CDCP1	0.32912323099669827
PLAU	IL18R1	0.16683085782641172
TNFSF10	PLAU	0.31597982701528604
TNFSF10	NTF3	0.13467958046306272
TNFSF10	TNFSF11	0.1384864536679009
TNFSF10	PTX3	0.15109592048943643
IL12B	CCL4	0.17664786798639298
IL12B	TNFRSF1A	0.2663033520363989
IL12B	CD5	0.30009959954366394
TNFSF11	CXCL6	0.12323472851834882
TNFSF11	SRC	0.11883907422420403
TNFSF11	OSM	0.170317620130513
TNFSF11	TNFSF10	0.1384864536679009
TNFSF11	TNFRSF10B	0.2187543954719855
IL6R	PGF	0.29370608277141663
IL6R	CXCL11	0.19560981447389025
IL15RA	CD40	0.39441354350406144
IL15RA	NGF	0.3682893017055848
IL15RA	CCL8	0.2601012062560626
IL15RA	CCL25	0.3126959625497152
RNY4-3p	RNY4-5p	0.7761766107711905
RNY4-3p	DKK1	0.12965501990319783
RNY4-3p	IL6	0.15277724890319
RNY4-3p	CD40LG	0.25361454085808344
RNY4-3p	PTX3	0.23627500023134562
FST	CXCL16	0.2659562715926791
FST	PGF	0.31561433724933075
HGF	CXCL9	0.3223732106355506
HGF	CCL11	0.3160366212930663
HGF	CSF1	0.42408150800374145
HGF	TNFRSF11B	0.4880363144137485
HGF	CCL25	0.24050627226235743
HGF	TGFB1	0.3647539852912294
HGF	CCL20	0.17544381597169068
HGF	ADA	0.2201012956801458
F2R	HSPB1	0.2837150186606001
F2R	TNFRSF1B	0.6250649020216921
F2R	HBEGF	0.42813731050486137
F2R	FAS	0.48342437550502737
FLT3LG	CXCL9	0.208645553959947
FLT3LG	IL10RA	0.09811530910635469
FLT3LG	CCL2	0.2862959415710655
FLT3LG	FGF23	0.1718657432222761
LIFR	CXCL9	0.3240090822874402
LIFR	CXCL8	0.2925310178482974
LIFR	CSF1	0.3257650126152889
LIFR	TNFRSF11B	0.3975532115537179
LIFR	IL1RL1	0.14453325223935742
LIFR	XPNPEP2	0.16216002945594976
LIFR	LTA	0.15737943416721034
RNASE3	RETN	0.2866566853007564
RNASE3	CCL20	0.22244640700684215
RNASE3	IL18	0.15906110224309344
DKK1	CXCL9	0.20643528814575784
DKK1	RNY4-3p	0.12965501990319694
DKK1	RETN	0.21688459978460362
DKK1	ESM1	0.2814916934780669
DKK1	CCL4	0.12457315316551387
DKK1	HBEGF	0.24073853495823272
PGF	LGALS3	0.3323312135641725
PGF	IL6R	0.29370608277141574
PGF	FST	0.31561433724933075
PGF	TNFRSF1A	0.5552567162247701
PGF	CD274	0.3528437595010683
PGF	KLK11	0.4899204494134475
PGF	XPNPEP2	0.2132553817788132
PAPPA	AXIN1	0.10471086028628651
PAPPA	RETN	0.1919384035185443
PAPPA	ESM1	0.22771011747919356
STAMBP	RNY5-5p	0.2965144815970593
STAMBP	PDGFB	0.6280131414384122
STAMBP	HSPB1	0.5265332929442028
STAMBP	CCL3	0.2184457361048091
STAMBP	AXIN1	0.5588935444264083
STAMBP	SIRT2	0.6016841581503405
STAMBP	IL7	0.23836568021295612
CD274	NGF	0.24412560035839181
CD274	PGF	0.3528437595010683
CD274	OSM	0.22157535004571116
CD274	CXCL10	0.30991699484868107
RNY5-5p	RNY4-5p	0.29093121627653584
RNY5-5p	TNFSF12	0.17944531037981726
RNY5-5p	F3	0.16528240574061215
RNY5-5p	VEGFA	0.1573829522783754
RNY5-5p	STAMBP	0.2965144815970593
PDGFB	SRC	0.732774269734306
PDGFB	CXCL1	0.4009355284176932
PDGFB	CASP8	0.24587324560733936
PDGFB	TGFB1	0.16616887847347428
PDGFB	EGF	0.90230411560528
PDGFB	SELE	0.11562591562581126
PDGFB	STAMBP	0.6280131414384122
TGFA	CD40	0.5014050700313808
TGFA	CSF1	0.43954777099688336
TGFA	SULT1A1	0.1398936226280556
TGFA	EIF4EBP1	0.6063882290055673
TGFA	FGF23	0.4853911458409996
TGFA	CCL23	0.4007414842455619
TGFA	OSM	0.27597336889970236
TGFA	VEGFA	0.6657199698049867
TNFRSF11B	CX3CL1	0.3977915974630095
TNFRSF11B	CCL2	0.34027958105115275
TNFRSF11B	S100A12	0.25528083358003073
TNFRSF11B	HAVCR1	0.15441550109858504
TNFRSF11B	MUC16	0.12376187242028092
TNFRSF11B	HGF	0.4880363144137485
TNFRSF11B	LIFR	0.39755321155371703
TNFRSF11B	NGF	0.4286467828274523
AGER	FGF5	0.17508876235773485
AGER	CTSL	0.18659261249212555
AGER	MUC16	0.18245886848655335
AGER	F3	0.27740717570552054
AGER	XPNPEP2	0.2955247015191613
AGER	AGRP	0.28515519605531914
AGER	HBEGF	0.36357263210205204
KLK6	NTF3	0.11750494984423376
KLK6	RNY4-5p	0.12964809550482403
KLK6	TNFRSF1B	0.333184360779625
SULT1A1	SRC	0.3556080190188693
SULT1A1	TGFA	0.1398936226280556
SULT1A1	MMP12	0.16914419604779418
EIF4EBP1	CASP8	0.3023721236362986
EIF4EBP1	TNFRSF1A	0.4063314723216793
EIF4EBP1	TGFA	0.5921218054854531
S100A12	CXCL9	0.16179814421071814
S100A12	IL16	0.17886483539028397
S100A12	TNFRSF11B	0.25528083358003073
S100A12	GH1	0.13047222974090644
S100A12	CCL7	0.13308095402740072
FGF23	CXCL8	0.2567601982688261
FGF23	FLT3LG	0.1718657432222761
FGF23	TNFRSF1B	0.3320534236614092
FGF23	TGFA	0.4853911458409996
FGF23	TGFB1	0.33223663265292824
FGF21	ESM1	0.1665134851895047
FGF21	IL10RB	0.16564466122839505
FGF21	AGRP	0.18936271211135836
FGF21	PLAT	0.17210602124754182
SLAMF1	CST5	0.1808222925210501
SLAMF1	OSM	0.20608693169309422
SLAMF1	CXCL10	0.20571343055096225
SLAMF1	TEK	0.1428912649543097
TGFB1	CCL13	0.2717975533031378
TGFB1	CXCL6	0.21849916322639817
TGFB1	PDGFB	0.16616887847347428
TGFB1	CCL4	0.20015933622394666
TGFB1	FGF23	0.34324317320571573
TGFB1	IL10RB	0.4386127385687022
TGFB1	HGF	0.3647539852912294
MUC16	CD40LG	0.3775866057457016
MUC16	TNFRSF10B	0.2672956478417241
MUC16	TNFRSF11B	0.1237618724202818
MUC16	AGER	0.18245886848655335
TNFSF14	IL1RN	0.22333409498394285
TNFSF14	CCL4	0.19434042805336293
TNFSF14	CCL3	0.33071311785928703
TNFSF14	IKBKG	0.1056487251372511
TNFSF14	TNFRSF10B	0.274253732975394
TNFSF14	NGF	0.20108704191660465
TNFSF14	MMP12	0.1992853241115462
BDNF	ESM1	0.11805746291510566
BDNF	PLAT	0.09546867841104056
BDNF	MMP10	0.14668503434745173
TNFRSF9	CXCL9	0.44490964561500057
TNFRSF9	CSF1	0.49420196872837074
TNFRSF9	IL10	0.1916772512467908
TNFRSF9	TNFRSF1A	0.43622610023102926
TNFRSF9	CD5	0.45082651009660335
TNFRSF9	IL17A	0.14418347292904699
TNFSF12	RNY5-5p	0.17944531037981726
TNFSF12	PLAU	0.3718865188287577
TNFRSF10B	ADM	0.5060532760442333
TNFRSF10B	TNFSF11	0.2187543954719846
TNFRSF10B	MMP7	0.4086556505282175
TNFRSF10B	PLAUR	0.5340183061004575
TNFRSF10B	TNFRSF1A	0.5754879727665152
TNFRSF10B	CHI3L1	0.34389412404368436
TNFRSF10B	HBEGF	0.43273895857007627
TNFRSF10B	RETN	0.3587023014867228
TNFRSF10B	MUC16	0.2672956478417232
TNFRSF10B	TNFSF14	0.2775218358900897
SELE	PDGFB	0.11562591562581126
SELE	PLAT	0.2132978158653538
SELE	CST5	0.1360603210642477
SELE	PECAM1	0.2432482112934906
SELE	CCL19	0.1376837555060879
CXCL10	CD274	0.3213955835751614
CXCL10	CXCL9	0.5149710817261379
CXCL10	SLAMF1	0.20571343055096225
CXCL10	IL18	0.18525851678965743
CXCL10	TNFRSF1B	0.2865615544624074
CXCL10	CXCL11	0.4260175521204257
GH1	FGF5	0.16119818181668144
GH1	ESM1	0.1459074838170613
GH1	SRC	0.09052294234897751
GH1	LEP	0.13793559644548647
GH1	IL18	0.11600577235957754
GH1	S100A12	0.13047222974090644
CXCL11	CASP8	0.25520326831942075
CXCL11	IL6R	0.19560981447388937
CXCL11	TNFRSF1A	0.33422701192606397
CXCL11	CXCL10	0.4260175521204257
CXCL11	IL6	0.1718053677367939
IL6	PLAT	0.2582570236557835
IL6	RNY4-3p	0.16773438957911413
IL6	OSM	0.27279265811061837
IL6	PLAUR	0.257843277205847
IL6	CXCL11	0.17180536773679478
GDNF	IL1RL1	0.21073329585241307
GDNF	SPON1	0.14460208971829136
GDNF	CASP8	0.25489812708400095
IL7	CCL13	0.15586093121957845
IL7	CX3CL1	0.2112405996579403
IL7	IL10RA	0.11692068860105209
IL7	STAMBP	0.238365680212957
FGF19	SELPLG	0.1612737381903413
FGF19	EGF	0.20292956474674906
FGF19	MB	0.20516360758244456
FGF19	IL17C	0.10828274571949592
REN	ADM	0.19911700321915227
REN	PLAT	0.20409007340078755
REN	NPPB	0.15191376725216266
REN	IL1RL1	0.2643981029467568
ADA	MMP1	0.12406979835537424
ADA	HGF	0.2201012956801458
ADA	CXCL1	0.1113271189630467
ADA	NTF3	0.1397023775512265
NT-pro-BNP	ADM	0.3256245862739906
NT-pro-BNP	FGF5	0.2080372728904436
NT-pro-BNP	NPPB	1.3689340279919469
NT-pro-BNP	MMP10	0.1968669788657813
NT-pro-BNP	CHI3L1	0.3241751024723296
CXCL6	PRL	0.14625851873473916
CXCL6	ESM1	0.12925950908979722
CXCL6	TNFSF11	0.12323472851834882
CXCL6	TGFB1	0.21849916322639729
CXCL6	TNFRSF1A	0.2577419898314375
CXCL6	CD244	0.3097846656079062
CD40	CXCL9	0.40326420976763
CD40	CX3CL1	0.5044352475066018
CD40	IL15RA	0.39441354350406055
CD40	TNFRSF1A	0.43086888824765435
CD40	CCL19	0.1337835232990594
CXCL9	CD40	0.4032642097676309
CXCL9	HGF	0.3223732106355506
CXCL9	FLT3LG	0.208645553959947
CXCL9	LIFR	0.3240090822874402
CXCL9	DKK1	0.20643528814575784
CXCL9	CDCP1	0.24049618780363868
CXCL9	S100A12	0.16179814421071814
CXCL9	CCL23	0.3090913856843587
CXCL9	TNFRSF9	0.44490964561500146
CXCL9	CXCL10	0.514971081726137
CXCL9	AGRP	0.1777933921203454
CXCL8	MMP1	0.17488001492719274
CXCL8	LIFR	0.2925310178482974
CXCL8	FGF23	0.25676019826882523
HSPB1	SRC	0.6555283933823004
HSPB1	F2R	0.283715018660601
HSPB1	STAMBP	0.5604997905841866
ADM	NT-pro-BNP	0.3256245862739897
ADM	CXCL5	0.24235570691919595
ADM	HAVCR1	0.24769292624461858
ADM	CSTB	0.3980621855822948
ADM	TNFRSF10B	0.5060532760442342
ADM	FABP4	0.3785401921667635
ADM	REN	0.19911700321915315
CXCL1	SELPLG	0.1725214425087218
CXCL1	PDGFB	0.4009355284176932
CXCL1	ADA	0.1113271189630467
IL27	MMP3	0.20340435709461424
IL27	TNFRSF1B	0.329615719805501
PRL	CXCL6	0.14625851873474005
PRL	MPO	0.18063789779410921
PRL	FABP4	0.22230679084308314
PRL	MB	0.15637642819752973
PRL	XPNPEP2	0.10608449056464142
PRL	IL17C	0.11373139946309596
CX3CL1	CD40	0.5044352475066018
CX3CL1	SPON1	0.3337615821524933
CX3CL1	TNFRSF11B	0.3977915974630113
CX3CL1	CCL25	0.2676204122928789
CX3CL1	IL10RB	0.3858097516418715
CX3CL1	IL7	0.21124059965794117
CX3CL1	CCL28	0.24909551854493373
CXCL5	SRC	0.3412116473622131
CXCL5	ADM	0.24235570691919595
THBD	IL16	0.424802004567832
THBD	TNFRSF1A	0.4135611612379133
ESM1	CXCL6	0.12925950908979722
ESM1	FGF21	0.1665134851895047
ESM1	BDNF	0.1320503860833968
ESM1	DKK1	0.2814916934780669
ESM1	F3	0.23429276478947525
ESM1	GH1	0.1459074838170613
ESM1	PAPPA	0.22771011747919356
ESM1	PTX3	0.27407483176053304
ESM1	TEK	0.2263029351179906
CASP8	PDGFB	0.24587324560733848
CASP8	CCL7	0.17525842804830472
CASP8	EIF4EBP1	0.3023721236362986
CASP8	CXCL11	0.25520326831942164
CASP8	GDNF	0.265653480822861
CASP8	IL17C	0.1826240520850151
CTSL	LGALS3	0.24184962595221027
CTSL	AGER	0.18659261249212467
CTSL	GDF15	0.33017058655880227
MB	PRL	0.15637642819752973
MB	IL18	0.15733143445352038
MB	CCL7	0.2279060723897235
MB	GDF15	0.32089764114133157
MB	FGF19	0.20516360758244545
DNER	PLAU	0.294238368932894
DNER	CTSD	0.14655156980952366
DNER	GDNF	0.12909525639156083
OLR1	OSM	0.18470658145635532
OLR1	PLAUR	0.43758707878164316
IKBKG	SRC	0.7466443018487663
IKBKG	IL10	0.1167097103085295
IKBKG	TNFSF14	0.10564872513725021
IKBKG	AXIN1	0.7752664877993256
IKBKG	SIRT2	0.6977296490440139
IKBKG	CD40LG	0.6621965011384985
HAVCR1	ADM	0.24769292624461858
HAVCR1	PLAT	0.19914470751684377
HAVCR1	TNFRSF11B	0.15441550109858415
HAVCR1	CCL7	0.19626291776300775
HAVCR1	MMP7	0.24840496691247083
CTSD	IL18	0.11091813575985476
CTSD	PLAUR	0.17597478284164136
CTSD	PLAT	0.23298392321065897
CTSD	CCL8	0.09763798776836641
CTSD	DNER	0.14655156980952455
CTSD	CHI3L1	0.2850697278826546
IL10	TNFRSF9	0.1916772512467908
IL10	OSM	0.15024376635407322
IL10	PTX3	0.23427952288863363
IL10	CCL19	0.1540952645520548
IL10	IKBKG	0.11670971030853039
MMP7	IL1RL1	0.19506519724158977
MMP7	HAVCR1	0.2484049669124726
MMP7	TNFRSF10B	0.4086556505282175
MMP7	MMP12	0.28135369312895797
MMP7	TEK	0.28844094012357857
MMP1	CXCL8	0.17488001492719274
MMP1	EGF	0.15653479826886763
MMP1	MMP10	0.14196916065717247
MMP1	CCL8	0.17021144904344965
MMP1	CD5	0.14088590713183358
MMP1	CHI3L1	0.16421753600155142
MMP1	ADA	0.12406979835537424
MMP3	IL27	0.20340435709461424
MMP3	CXCL16	0.20993329731611787
MMP3	IL1RL1	0.16786309427049595
AXIN1	PAPPA	0.10471086028628651
AXIN1	IKBKG	0.7752664877993256
AXIN1	STAMBP	0.5588935444264083
IL18	RNASE3	0.15906110224309344
IL18	CXCL10	0.18525851678965743
IL18	GH1	0.11600577235957754
IL18	IL1RL1	0.0983961294762068
IL18	GAL	0.09796130605827358
IL18	MB	0.15733143445352038
IL18	CTSD	0.11091813575985476
IL18	CD244	0.23343448767866448
PLAUR	OLR1	0.43758707878164316
PLAUR	CTSD	0.17597478284164048
PLAUR	MMP12	0.24135279786553632
PLAUR	CSTB	0.5401396298689614
PLAUR	TNFRSF10B	0.5340183061004575
PLAUR	IL6	0.2578432772058461
IL16	LGALS3	0.4250192922427587
IL16	THBD	0.424802004567832
IL16	CSTB	0.4256513998384204
IL16	S100A12	0.17886483539028397
NGF	IL15RA	0.3682893017055848
NGF	CD274	0.24412560035839181
NGF	TNFRSF11B	0.4286467828274523
NGF	TNFSF14	0.20108704191660465
NGF	IL10RA	0.1498044211438856
NGF	VEGFA	0.46521245532416966
NGF	KITLG	0.1980157277493122
NGF	PTX3	0.21752402036585572
TNFRSF1B	IL1RN	0.2900760515077465
TNFRSF1B	IL27	0.329615719805501
TNFRSF1B	MPO	0.20903617676598074
TNFRSF1B	F2R	0.6250649020216921
TNFRSF1B	TNFRSF1A	1.1439386014483635
TNFRSF1B	CSTB	0.552368109062475
TNFRSF1B	KLK6	0.333184360779625
TNFRSF1B	CCL3	0.38205336147862123
TNFRSF1B	FGF23	0.3320534236614092
TNFRSF1B	CXCL10	0.2865615544624074
F3	RNY5-5p	0.16528240574061215
F3	AGER	0.27740717570552054
F3	LGALS3	0.3018447476410344
F3	ESM1	0.23429276478947436
F3	CCL25	0.21561652917583451
F3	TNFRSF1A	0.27925937464202377
