Regulator	Target	MI
IL1RN	PLAT	0.23086657583780212
IL1RN	RETN	0.2552960140278211
IL1RN	FGF21	0.12607892447972358
IL1RN	RNASE3	0.2955305478477577
IL1RN	CXCL11	0.16773266841174728
IL1RN	IL6	0.27992193112011865
IL1RN	FABP4	0.2862978206933704
SPON1	CXCL8	0.2671799227906533
SPON1	HSPB1	0.22490650964362224
SPON1	CXCL16	0.3646598402688923
SPON1	ESM1	0.19197196342807477
SPON1	MMP7	0.3765422671420442
SPON1	PLAUR	0.38843603031260354
SPON1	CCL25	0.21070447099798884
SPON1	PTX3	0.15276672317474027
CSF1	CX3CL1	0.45174093347170885
CSF1	TNFSF10	0.2389238706772332
CSF1	NGF	0.4761087987141339
CSF1	TGFA	0.6510713636050012
CSF1	CCL2	0.4190476055968251
CSF1	IL10RB	0.4187750091767768
CSF1	CD5	0.4968579027871147
CSF1	IL7	0.26110156192301925
PLAT	IL1RN	0.23086657583780124
PLAT	SRC	0.12177025129403418
PLAT	LEP	0.24682401382563413
PLAT	S100A12	0.10544753714363875
PLAT	REN	0.17128625922093654
PLAT	CTSD	0.19142392651900053
PLAT	IL6R	0.1386987743596544
MPO	RETN	0.3254460156427159
MPO	CCL3	0.13833598292853377
MPO	TNFSF14	0.13418377970751294
MPO	RNASE3	0.3545201032298815
MPO	XPNPEP2	0.2678358529492977
CXCL16	SPON1	0.3646598402688923
CXCL16	LGALS3	0.3024472224915611
CXCL16	IL6R	0.2947644802285758
CXCL16	FAS	0.331561792914969
FGF5	CCL13	0.19565269534850582
FGF5	IL15RA	0.1668890729111112
FGF5	CXCL8	0.21244480989750159
FGF5	TNFRSF11B	0.1739055548962103
FGF5	S100A12	0.1462969707359134
FGF5	STAMBP	0.14342272955006763
FGF5	CTSD	0.13600012465524003
FGF5	IL18R1	0.19043045729854846
FGF5	HBEGF	0.18326451004051592
NPPB	NT-pro-BNP	1.332304689038991
NPPB	GDF15	0.26982319031116386
NPPB	VEGFA	0.262418657699226
LGALS3	SRC	0.14689852380849278
LGALS3	CXCL16	0.3024472224915611
LGALS3	HBEGF	0.30392729328794044
PLAU	CXCL6	0.20199857667161503
PLAU	TNFRSF11B	0.4070458036450395
PLAU	CCL2	0.5249449939633681
PLAU	TNFSF12	0.3137752835489902
PLAU	ADA	0.20134517286895992
TNFSF10	CSF1	0.2389238706772332
TNFSF10	RETN	0.14536788489114105
TNFSF10	SELE	0.1108350516979586
TNFSF10	IL1RL1	0.12387643684323812
TNFSF10	TNFSF11	0.18879418135073944
TNFSF10	CCL19	0.10590006034959831
IL12B	TNFRSF9	0.2489669983884122
IL12B	CXCL10	0.211277052984701
IL12B	CCL4	0.1795720046937852
IL12B	LTA	0.13744069234781175
IL12B	CCL19	0.1519151369835452
TNFSF11	CD274	0.14434504243374224
TNFSF11	MUC16	0.10075474313541477
TNFSF11	CTSL	0.12244712603995467
TNFSF11	FGF19	0.1034178223951443
TNFSF11	TNFSF10	0.18879418135073944
TNFSF11	DKK1	0.10085940180841035
IL6R	PLAT	0.1386987743596535
IL6R	CXCL16	0.2947644802285758
IL6R	IKBKG	0.13088785032016226
IL15RA	FGF5	0.1668890729111121
IL15RA	IL10	0.21227050273914738
IL15RA	VEGFA	0.45355249182448265
IL15RA	AGRP	0.2860243360252177
RNY4-3p	SRC	0.3139568842649094
RNY4-3p	RNY5-5p	0.17038958823253925
RNY4-3p	S100A12	0.15121518357119257
RNY4-3p	RNY4-5p	0.7461307101517596
RNY4-3p	TNFRSF9	0.19382068633744964
RNY4-3p	IL6	0.18452061788510044
FST	TNFRSF10B	0.3330113753691588
FST	FGF19	0.10076882951917021
FST	LTA	0.13206811152762388
HGF	LIFR	0.28271009426327787
HGF	STAMBP	0.21549300144911498
HGF	TNFRSF11B	0.4016053681765408
HGF	S100A12	0.24735892475504695
HGF	FGF23	0.3520972954549988
HGF	VEGFA	0.40981570821406343
F2R	TNFRSF1B	0.5335826730908861
F2R	SIRT2	0.2703745631396792
F2R	KLK11	0.46848313833115096
FLT3LG	TNFSF12	0.14850691843659902
FLT3LG	OSM	0.09208300503535316
FLT3LG	LIFR	0.22087250421616478
FLT3LG	CCL8	0.1866085143012004
FLT3LG	CDCP1	0.16854966342328126
LIFR	HGF	0.282710094263277
LIFR	FLT3LG	0.2208725042161639
LIFR	IL7	0.21223143194922223
RNASE3	IL1RN	0.2955305478477568
RNASE3	MPO	0.3545201032298806
RNASE3	TNFRSF10B	0.338001958443356
RNASE3	KITLG	0.1620869960249829
DKK1	PDGFB	0.23088116622945964
DKK1	ESM1	0.18872063211761603
DKK1	TNFSF11	0.10085940180841035
DKK1	PGF	0.29101079559354126
DKK1	PTX3	0.17983041878161288
PGF	MB	0.34169972624832035
PGF	DKK1	0.29101079559354126
PGF	HBEGF	0.49393408013687434
PGF	CCL23	0.3500927382722745
PGF	TNFRSF10B	0.6231670921827233
PGF	KLK11	0.448659555837037
