Regulator	Target	MI
IL1RN	CCL11	0.17523508458513337
IL1RN	ADM	0.37755174170357275
IL1RN	OSM	0.12560403658211872
IL1RN	CD244	0.16262613298889317
SPON1	CXCL6	0.20798148505709957
SPON1	PRL	0.20664422849595265
SPON1	CXCL16	0.38407790185747626
SPON1	LGALS3	0.33737429943812725
SPON1	ESM1	0.2517415056261445
SPON1	F3	0.34311351040109894
SPON1	IL7	0.1798212230169769
SPON1	FAS	0.3725917454999621
CSF1	PLAU	0.3369947143311487
CSF1	TNFRSF1B	0.4543684436185078
CSF1	CCL2	0.41704144186053593
CSF1	IL10RB	0.5002407747371276
CSF1	VEGFA	0.47993797156083673
CSF1	CD5	0.4446884580179402
PLAT	FABP4	0.2359945451536518
PLAT	CTSD	0.16701540174751095
PLAT	IL18R1	0.2194301526616913
PLAT	FGF21	0.13596796391041988
MPO	PRL	0.1614435689020537
MPO	CXCL16	0.22487161222160257
MPO	ESM1	0.1885806620078494
MPO	RNASE3	0.292478657141948
MPO	NGF	0.19067698483136564
CXCL16	SPON1	0.38407790185747626
CXCL16	MPO	0.22487161222160257
CXCL16	IL6R	0.31027927468200733
CXCL16	PGF	0.43173214623490264
CXCL16	VEGFD	0.28475527402712864
FGF5	CCL23	0.23659111639130082
FGF5	TNFRSF10B	0.1900972776078067
FGF5	TNFRSF11B	0.27937465875775036
FGF5	VEGFD	0.20929721741905727
FGF5	ESM1	0.172945933819328
NPPB	NT-pro-BNP	1.2837998460680122
NPPB	PLAUR	0.2740891706416262
NPPB	KLK11	0.2576328167459856
NPPB	IL18R1	0.1785697184497117
LGALS3	SPON1	0.33737429943812725
LGALS3	CST5	0.126334477979408
LGALS3	THBD	0.2587073631633263
LGALS3	FABP4	0.3340621574362581
PLAU	CSF1	0.3369947143311496
PLAU	HGF	0.46366209030224326
PLAU	TNFSF12	0.4158836869324052
PLAU	FLT3LG	0.2675458337485157
PLAU	CD244	0.31739828118475
TNFSF10	IL10	0.18615912785047595
TNFSF10	TNFSF12	0.2235242135114177
TNFSF10	GH1	0.1294803016598891
TNFSF10	IL1RL1	0.12964685861329528
IL12B	TNFRSF9	0.24686973112133082
IL12B	CXCL11	0.20248047761559462
IL12B	CCL8	0.19184443111175042
IL12B	LTA	0.1652256515599584
TNFSF11	NT-pro-BNP	0.15725427475420428
TNFSF11	CCL2	0.16942020552996162
TNFSF11	IKBKG	0.1366503199457778
TNFSF11	HAVCR1	0.1286122665035645
IL6R	RNY5-5p	0.1593127984394327
IL6R	CXCL16	0.3102792746820091
IL6R	MMP3	0.12922544035192285
IL6R	TNFRSF10B	0.2682759903584868
IL6R	DKK1	0.17321866960709098
IL15RA	CD40	0.3020237030843518
IL15RA	RNASE3	0.17685463464983986
IL15RA	TNFRSF1B	0.3674125868353544
IL15RA	MMP10	0.23986159859013156
IL15RA	CCL8	0.1858484272078389
IL15RA	XPNPEP2	0.1498514622877991
RNY4-3p	RNY4-5p	0.7956486401387295
RNY4-3p	PDGFB	0.3782096062507385
RNY4-3p	THBD	0.15151119041476857
FST	GAL	0.11907567318954193
FST	PECAM1	0.23142959716707434
FST	HBEGF	0.23439884522841492
HGF	TNFRSF11B	0.6525344318727111
HGF	PLAU	0.46366209030224326
HGF	TGFB1	0.5232047092264427
HGF	VEGFA	0.48309463014176224
HGF	ADA	0.29355325266069077
F2R	CTSL	0.2487928433721125
F2R	MUC16	0.35719420299779614
F2R	SIRT2	0.31187189933938964
F2R	TNFRSF1A	0.6761820090715185
FLT3LG	IL18	0.13739456174208975
FLT3LG	OSM	0.2587745729050015
FLT3LG	TNFRSF10B	0.1649386268099482
FLT3LG	CST5	0.16152199480663576
FLT3LG	IL1RL1	0.17558940084850772
FLT3LG	PLAU	0.2675458337485166
LIFR	CX3CL1	0.29650561404048936
LIFR	HAVCR1	0.23652640663085478
LIFR	OSM	0.2755714644399978
LIFR	VEGFA	0.3146374103118097
RNASE3	TGFA	0.18301097585492432
RNASE3	MPO	0.2924786571419489
RNASE3	IL15RA	0.17685463464983897
RNASE3	OSM	0.13772429808917952
RNASE3	IL16	0.4045304471371871
RNASE3	SIRT2	0.22237943220074463
RNASE3	IL18R1	0.11699005110973992
DKK1	NT-pro-BNP	0.1955099162554932
DKK1	IL6R	0.17321866960709098
DKK1	PAPPA	0.18417212178260378
DKK1	AGRP	0.17806597122242795
PGF	CXCL16	0.43173214623490264
PGF	IL16	0.3556472773691457
PGF	TNFRSF1B	0.5714243809447241
PGF	KLK11	0.5190766311951771
PGF	CD6	0.17530083570854416
PGF	CCL28	0.2565263813802803
PAPPA	AXIN1	0.14092556364581643
PAPPA	DKK1	0.18417212178260378
PAPPA	THBD	0.22766238187089805
PAPPA	ESM1	0.16491592776928066
PAPPA	CTSD	0.3229164229888575
STAMBP	CASP8	0.3216110799251881
STAMBP	EIF4EBP1	0.1541707849628331
STAMBP	CCL2	0.15561780485235843
STAMBP	SIRT2	0.4996365217091636
STAMBP	CD6	0.11099903557221058
STAMBP	IL7	0.2382690729154966
CD274	TNFRSF1A	0.35004957398832026
CD274	CCL3	0.3323709493852274
CD274	FGF21	0.09234606708071791
CD274	TNFRSF9	0.3155634542972683
CD274	OSM	0.16071039761057637
RNY5-5p	CCL4	0.23322421830675477
RNY5-5p	IL6R	0.1593127984394327
RNY5-5p	RNY4-5p	0.2208930042216517
RNY5-5p	TNFRSF1A	0.28281896798115547
PDGFB	CXCL5	0.4351410001785947
PDGFB	RNY4-3p	0.3782096062507385
PDGFB	EGF	0.7785017846791842
PDGFB	MMP10	0.1292549460199801
PDGFB	FABP4	0.15340482071097927
TGFA	CD40	0.507162659003634
TGFA	RNASE3	0.18301097585492432
TGFA	CDCP1	0.27375415439086925
TGFA	CST5	0.23479604273247023
TGFA	CCL23	0.3266084341787039
TGFA	VEGFA	0.6607329451394834
TGFA	KITLG	0.1818589129371313
TNFRSF11B	CX3CL1	0.3652810923800116
TNFRSF11B	FGF5	0.27937465875775036
TNFRSF11B	HGF	0.652534431872712
TNFRSF11B	MMP10	0.21885441737953837
TNFRSF11B	IL7	0.2233897171992485
TNFRSF11B	CCL28	0.28341760633864954
AGER	CCL2	0.20851122713173798
AGER	TNFSF12	0.19593730026663447
AGER	OSM	0.16469819879477932
AGER	HBEGF	0.3426932356894259
KLK6	TNFRSF1B	0.30363760924626426
KLK6	KLK11	0.3189657772669978
SULT1A1	SRC	0.32652846900978094
SULT1A1	TNFRSF1A	0.173501292111629
EIF4EBP1	F3	0.31699909144792837
EIF4EBP1	STAMBP	0.1541707849628331
EIF4EBP1	CCL13	0.30179005902956213
EIF4EBP1	S100A12	0.19398363409495722
EIF4EBP1	VEGFA	0.41534073610908084
EIF4EBP1	CCL28	0.3831891089323767
S100A12	CCL7	0.15918097884112825
S100A12	EIF4EBP1	0.1939836340949581
S100A12	IL10	0.21408586693927667
S100A12	OSM	0.1458901290793948
S100A12	IL6	0.1717838166765091
FGF23	CD40	0.38534908246429644
FGF23	TGFB1	0.4179299628682607
FGF23	FABP4	0.321688890861326
FGF21	CD274	0.09234606708071702
FGF21	BDNF	0.09016209783865481
FGF21	PLAT	0.13596796391041988
SLAMF1	CCL23	0.2251819298647293
SLAMF1	GDF15	0.2450488890533924
SLAMF1	GAL	0.1315617802857476
TGFB1	NTF3	0.14117687661160794
TGFB1	FGF23	0.425928090836301
TGFB1	HGF	0.5232047092264418
TGFB1	TNFRSF9	0.3092567404744804
TGFB1	FAS	0.3319818190119177
MUC16	F2R	0.3440892926785395
MUC16	OSM	0.14898951225217427
TNFSF14	ADM	0.2793555271915942
TNFSF14	CTSL	0.20610580307656967
TNFSF14	CCL19	0.23882315192120807
TNFSF14	OSM	0.19963709996199874
TNFSF14	PECAM1	0.24109292400308657
TNFSF14	IL18R1	0.21834037090884717
BDNF	CCL8	0.09079777836144487
BDNF	GAL	0.1180679365656232
BDNF	FGF21	0.09083523658421733
TNFRSF9	IL12B	0.24686973112133082
TNFRSF9	IL10	0.1697749268496036
TNFRSF9	PLAUR	0.24096675122672284
TNFRSF9	CD274	0.3155634542972683
TNFRSF9	TGFB1	0.30925674047448126
TNFRSF9	KLK11	0.3410479792553174
TNFRSF9	CD5	0.5798532069511353
TNFSF12	AGER	0.19593730026663359
TNFSF12	PLAU	0.41588368693240607
TNFSF12	DNER	0.3397646064575035
TNFSF12	TNFSF10	0.2235242135114177
TNFSF12	TNFRSF1A	0.24488255885486332
TNFSF12	MMP12	0.25761526930858114
TNFSF12	KITLG	0.19601813451616046
TNFSF12	CD5	0.26080689710737026
TNFSF12	PECAM1	0.16071911257989324
TNFSF12	CCL28	0.250247051728981
TNFRSF10B	IL6R	0.2682759903584868
TNFRSF10B	MMP7	0.35986018388503194
TNFRSF10B	PLAUR	0.661183238149337
TNFRSF10B	FLT3LG	0.1649386268099473
TNFRSF10B	TNFRSF1A	0.6031272517077877
TNFRSF10B	HBEGF	0.44202630009594923
TNFRSF10B	RETN	0.40281682351637293
TNFRSF10B	CCL20	0.2885643094371222
TNFRSF10B	GDF15	0.5551505129992584
