Regulator	Target	MI
IL1RN	PLAT	0.3839410630462874
IL1RN	CASP8	0.24829963941847577
IL1RN	FABP4	0.42503149277729424
SPON1	NPPB	0.21791784226285138
SPON1	PLAUR	0.438442290313966
SPON1	MMP12	0.2855681468724498
SPON1	AGER	0.3276062196967997
SPON1	TEK	0.37214997945489614
CSF1	CXCL6	0.3096750479647943
CSF1	CD40	0.48281160014946245
CSF1	PLAU	0.4038218038673618
CSF1	NGF	0.2877754024130583
CSF1	GAL	0.1264914987068888
CSF1	S100A12	0.2281257465107771
CSF1	CCL23	0.3210949961068632
CSF1	VEGFA	0.5959592173800754
CSF1	IL7	0.24124793462319438
CSF1	FGF19	0.16959625617291607
PLAT	IL1RN	0.3839410630462874
PLAT	PDGFB	0.17355634783286789
PLAT	SELE	0.24173729954603118
PLAT	CTSD	0.2069086675568803
PLAT	IL18R1	0.285367141355084
MPO	OLR1	0.2490040083140519
MPO	RNASE3	0.3119490535727536
MPO	IL6	0.12481801219181854
MPO	CD244	0.29161619295501673
MPO	IL18R1	0.13066801546497686
CXCL16	IL6R	0.3198003263594389
CXCL16	PGF	0.45551389714038404
FGF5	CX3CL1	0.24218940826176727
FGF5	NPPB	0.22398089312873104
FGF5	CASP8	0.21052095510568858
FGF5	NTF3	0.15129598412867118
FGF5	IL15RA	0.22728446023904425
FGF5	RNY4-5p	0.2384075445604461
FGF5	VEGFD	0.43995604963056323
FGF5	GDNF	0.19202851772384832
NPPB	NT-pro-BNP	1.3271552251662388
NPPB	CCL8	0.11420054307805305
NPPB	IKBKG	0.1649088665788332
NPPB	DKK1	0.18079906929102751
LGALS3	IL6R	0.3628179149109405
LGALS3	TNFRSF10B	0.325450497816151
PLAU	CSF1	0.4038218038673618
PLAU	MB	0.23407152605019643
PLAU	CCL2	0.423535695925481
PLAU	FGF23	0.3875116347222969
PLAU	EGF	0.15774533248360978
PLAU	HGF	0.42288408587592574
PLAU	TNFSF12	0.4955331537686174
PLAU	KITLG	0.20982885663472217
PLAU	PECAM1	0.09874887590014314
TNFSF10	CCL13	0.20343129672231086
TNFSF10	DNER	0.25178757734876367
TNFSF10	TNFSF11	0.12835023274306057
TNFSF10	VEGFD	0.16051118616089965
