Regulator	Target	MI
IL1RN	PDGFB	0.15458870103969513
IL1RN	GH1	0.1531668411814282
IL1RN	IL6	0.258306441671035
IL1RN	FABP4	0.4100392205606873
SPON1	MMP7	0.47671925050236474
SPON1	HGF	0.42215608831942486
SPON1	TNFRSF1A	0.4492590761482793
SPON1	PDGFB	0.1913207158006509
SPON1	AGER	0.3416256218387721
CSF1	ADM	0.3922440722099996
CSF1	CX3CL1	0.3940843704184589
CSF1	TNFRSF1B	0.49422309905926554
CSF1	IL10RA	0.24480730299758502
CSF1	VEGFA	0.5246394105073815
CSF1	CD5	0.6059389914961217
PLAT	ADM	0.20976852929564416
PLAT	SELE	0.15649716687541204
PLAT	REN	0.230969269751788
PLAT	FGF21	0.18652821736347924
MPO	IL27	0.24512838392907632
MPO	SULT1A1	0.2054969242033673
MPO	IL1RL1	0.23241509525408865
MPO	CTSL	0.2159411499344559
MPO	MMP7	0.20209844722435744
MPO	MMP1	0.15918787972597226
MPO	TNFSF12	0.15071834422097385
MPO	PAPPA	0.1891898113528212
CXCL16	PRL	0.1894305250825079
CXCL16	LGALS3	0.32126606270245084
CXCL16	IL6R	0.36394654878782795
CXCL16	IL10	0.14933046175803888
CXCL16	TNFRSF10B	0.3460885013202626
CXCL16	FABP4	0.3064203096787903
CXCL16	TEK	0.2919765091334865
FGF5	RNY5-5p	0.22331105090404524
FGF5	CX3CL1	0.288742843464866
FGF5	ESM1	0.20491797634443998
FGF5	TNFSF11	0.18040254429840807
FGF5	VEGFD	0.2767883664628208
NPPB	NT-pro-BNP	1.3620936262700418
LGALS3	CXCL16	0.32126606270245084
LGALS3	SELE	0.24546233978864684
LGALS3	FAS	0.32911772540467243
PLAU	TNFSF10	0.2534137788559283
PLAU	MMP10	0.29633145524957705
PLAU	TNFRSF11B	0.34676519288063723
PLAU	AGER	0.23413739068841632
PLAU	CCL2	0.42637548376211765
PLAU	SLAMF1	0.20075386757186475
PLAU	IL10RB	0.4217691952222511
PLAU	TNFSF12	0.37179015862721254
PLAU	IL7	0.17855332377871935
PLAU	CD244	0.3193289172678524
TNFSF10	GDF15	0.1375879397494888
TNFSF10	PLAU	0.2534137788559283
TNFSF10	FGF19	0.21400868280636942
TNFSF10	STAMBP	0.12625205505528037
TNFSF10	HAVCR1	0.09124650893838027
IL12B	IL18	0.2732694163941849
IL12B	LTA	0.23824600266549822
IL12B	TNFRSF9	0.3375269640129597
IL12B	CXCL10	0.3142232931191824
TNFSF11	FGF5	0.18040254429840896
TNFSF11	THBD	0.23708993879809448
TNFSF11	LEP	0.11675723835506258
TNFSF11	CCL28	0.15630314869395168
IL6R	CXCL16	0.36394654878782795
IL6R	THBD	0.3564073959764462
IL6R	TNFSF14	0.22584261888234813
IL6R	CHI3L1	0.2199471964716455
IL15RA	F2R	0.4038400569484004
