Regulator	Target	MI
IL1RN	CSTB	0.4922262383277811
IL1RN	CASP8	0.15504460302600354
IL1RN	CCL19	0.155100450811827
IL1RN	GH1	0.17570253752685172
SPON1	TNFSF11	0.10717677116435897
SPON1	TNFRSF1A	0.37098314993004866
SPON1	CCL11	0.20657904915335212
SPON1	VEGFD	0.17554874553923305
SPON1	GH1	0.17246930672677863
SPON1	FAS	0.34228850382687526
SPON1	TEK	0.24370233823320664
CSF1	CX3CL1	0.5248997280568446
CSF1	IL18	0.19772779622561298
CSF1	LIFR	0.27572699088777064
CSF1	TNFRSF1A	0.37907187380448804
CSF1	CCL2	0.452332890156792
CSF1	TNFSF14	0.22941972556621337
CSF1	IL10RB	0.5303051824809408
CSF1	VEGFA	0.43079286122593174
CSF1	CXCL11	0.29425996323420467
PLAT	FST	0.21113412721863511
PLAT	FABP4	0.20390597360854912
PLAT	PECAM1	0.1753392762330428
PLAT	CTSD	0.1512657906299939
PLAT	IL18R1	0.23717014051405627
PLAT	FGF21	0.14096561679037034
MPO	CCL13	0.15191919625698347
MPO	ESM1	0.17751252959409758
MPO	OLR1	0.18585007595231584
MPO	IL6R	0.14134307419056924
MPO	RNASE3	0.22890910506230533
MPO	HBEGF	0.1884185580807216
CXCL16	ADM	0.30097062136322617
CXCL16	CCL8	0.09674040902053438
CXCL16	IL6R	0.2067587856514974
CXCL16	MMP7	0.3245550117216274
CXCL16	HBEGF	0.31489056399112947
FGF5	NT-pro-BNP	0.2405523428823031
FGF5	IL15RA	0.1926382182549755
FGF5	F2R	0.2529667579122057
FGF5	CXCL1	0.17431120896734864
FGF5	CASP8	0.23061386967532282
NPPB	NT-pro-BNP	1.239858087468054
NPPB	TGFA	0.1696393610431013
NPPB	ADM	0.20578395805246785
NPPB	IL16	0.17210008890478434
NPPB	CHI3L1	0.20452248532964656
LGALS3	HSPB1	0.14859776807982072
LGALS3	KLK6	0.16337138515193494
LGALS3	FGF23	0.2305382631080839
LGALS3	IL6R	0.2458324420856055
LGALS3	PLAUR	0.32942970779497394
LGALS3	DKK1	0.20222259990483415
LGALS3	SELE	0.14230690197482776
PLAU	CCL11	0.2621816640287262
PLAU	CXCL8	0.2651140817218378
PLAU	CCL2	0.3991248151503646
PLAU	FGF23	0.32808157250475123
PLAU	TGFB1	0.3078551880588485
PLAU	TNFSF12	0.27966095085647513
TNFSF10	MMP12	0.1759443599828341
TNFSF10	CCL2	0.29222601330079456
TNFSF10	TNFSF11	0.15892155480983305
IL12B	CXCL9	0.22231760568416448
IL12B	CXCL1	0.2005224620377506
IL12B	CCL19	0.19351562687741808
IL12B	HGF	0.3253601206861241
IL12B	FLT3LG	0.23222070556630392
IL12B	GH1	0.19541773142543928
TNFSF11	SPON1	0.10717677116435986
TNFSF11	CCL7	0.09644712479611339
TNFSF11	LTA	0.11797343298324314
TNFSF11	TNFSF10	0.15892155480983217
TNFSF11	FGF21	0.24065209955004274
IL6R	MPO	0.14134307419056924
IL6R	CXCL16	0.2067587856514983
IL6R	LGALS3	0.2458324420856055
IL6R	IKBKG	0.12579456690234814
IL6R	CTSD	0.2032086410569347
IL6R	MMP10	0.1315621613270599
IL6R	CD6	0.1790118045470761
IL6R	TEK	0.17530461372088801
IL15RA	FGF5	0.1926382182549764
IL15RA	HAVCR1	0.15695576750720708
IL15RA	PDGFB	0.12830903681199146
IL15RA	TNFRSF9	0.27681592941311095
RNY4-3p	SRC	0.4920595904732066
RNY4-3p	THBD	0.12718076025910108
RNY4-3p	NTF3	0.12083063274457473
RNY4-3p	S100A12	0.1691527166611282
RNY4-3p	RNY4-5p	0.7292403710121036
FST	IL10RA	0.1454807726598002
FST	TNFRSF10B	0.22277456824951258
FST	PLAT	0.18184593441731245
FST	PAPPA	0.14700749359141874
HGF	IL12B	0.3253601206861241
HGF	MMP3	0.2739825770871427
HGF	CDCP1	0.29863113679402264
HGF	SELPLG	0.15114901490372468
HGF	TNFRSF11B	0.4393488924465938
HGF	TGFB1	0.40105115613944875
HGF	TNFRSF9	0.3964669603051645
HGF	VEGFA	0.42933533867909546
F2R	ADM	0.3439490199089388
F2R	FGF5	0.2529667579122057
F2R	TNFRSF1B	0.43708626860368316
F2R	SIRT2	0.17482257137255441
F2R	HBEGF	0.46541961702217094
F2R	KLK11	0.4496003972543665
FLT3LG	THBD	0.17490050471945118
FLT3LG	CDCP1	0.17693181594636354
FLT3LG	CCL4	0.18159863697249
FLT3LG	IL12B	0.23222070556630392
LIFR	CSF1	0.27572699088777064
LIFR	IL1RL1	0.1519219008199464
LIFR	TNFSF12	0.28808892472184056
RNASE3	IL16	0.2975694069780861
RNASE3	MPO	0.22890910506230533
DKK1	PDGFB	0.21382531658186732
DKK1	VEGFD	0.15757925220636881
