Regulator	Target	MI
IL1RN	CXCL6	0.15564961580974668
IL1RN	IL6	0.26787158826798496
IL1RN	FABP4	0.4399048995279884
SPON1	NT-pro-BNP	0.3598112858183482
SPON1	AGER	0.3815984480357999
SPON1	RNY4-5p	0.18315922792585493
SPON1	TNFRSF10B	0.45083572571613395
SPON1	KITLG	0.2647019587342223
CSF1	ESM1	0.2788124147897113
CSF1	PAPPA	0.16905170923806967
CSF1	CCL4	0.20422385810715404
CSF1	CCL2	0.4039730200041127
CSF1	TGFB1	0.42314814784270904
CSF1	IL10RB	0.45250450503172335
CSF1	VEGFA	0.4495068722474551
PLAT	CTSD	0.27252999417578216
PLAT	FGF21	0.2661252158932301
PLAT	HGF	0.2525532007874016
PLAT	OSM	0.19024516743097042
PLAT	FABP4	0.25043751557232774
MPO	CX3CL1	0.34256354411683887
MPO	THBD	0.2977620275520829
MPO	CTSL	0.3711792945686936
MPO	CD244	0.2855097941491671
CXCL16	RNY5-5p	0.22144342869265365
CXCL16	CTSL	0.38002958728604774
CXCL16	FGF23	0.29490835471815746
CXCL16	TNFRSF10B	0.3976074765697799
FGF5	CCL11	0.2151643120081994
FGF5	NPPB	0.28426292546448817
FGF5	IL15RA	0.3538413958947979
FGF5	TNFSF12	0.23730502066438675
NPPB	NT-pro-BNP	1.50008051215044
NPPB	FGF5	0.28426292546448906
NPPB	CASP8	0.25360068894037546
NPPB	CHI3L1	0.28709886429845
NPPB	TGFA	0.3146893619359785
LGALS3	CSTB	0.3489269957497596
PLAU	AGER	0.2893705868486913
PLAU	DNER	0.3528942611661865
PLAU	CCL2	0.4252613680932811
PLAU	ADA	0.28279067462577867
TNFSF10	CCL13	0.27266281145563465
TNFSF10	TNFRSF9	0.27237879814024524
TNFSF10	KLK6	0.15878994245758093
TNFSF10	IL1RL1	0.14907052424761424
IL12B	CXCL8	0.25238809809551555
IL12B	NTF3	0.21737576480152043
IL12B	CCL19	0.187223599961996
IL12B	IKBKG	0.2001818442821346
IL12B	IL10RA	0.17569617585555974
IL12B	TNFRSF1B	0.2668460115853488
IL12B	LTA	0.1893167654384209
TNFSF11	CXCL6	0.2116400565419294
TNFSF11	TNFRSF9	0.22090630889166363
TNFSF11	CTSD	0.15668918329327397
IL6R	AXIN1	0.1172705317370708
IL6R	PLAUR	0.45662713404472743
IL6R	GH1	0.1948882977415778
IL15RA	FGF5	0.3538413958947979
IL15RA	VEGFA	0.36681220656939395
IL15RA	LEP	0.1730601941205281
RNY4-3p	THBD	0.20296404069578688
RNY4-3p	MUC16	0.146675910622589
RNY4-3p	EGF	0.283786215894982
RNY4-3p	RNY4-5p	0.7202601969042144
RNY4-3p	FGF19	0.11728095142748973
FST	CTSD	0.25829393921918076
FST	TEK	0.28950069665392597
FST	IL17A	0.11170100730209143
HGF	CXCL6	0.30931712838090597
HGF	CXCL8	0.2949161416511048
HGF	PLAT	0.2525532007874025
HGF	FLT3LG	0.2856647461224169
HGF	LIFR	0.3911905594679306
HGF	TNFRSF11B	0.4524635483772803
HGF	EIF4EBP1	0.36108351097015046
HGF	CCL2	0.402473928761677
HGF	CCL28	0.2940544618124106
F2R	DKK1	0.24561164627515097
F2R	PGF	0.6682073774420418
F2R	SIRT2	0.23714818051916886
F2R	FAS	0.4529615416248811
FLT3LG	CXCL9	0.29495891214007663
FLT3LG	PRL	0.12433339821432643
FLT3LG	AGER	0.21588950278183727
FLT3LG	IL10	0.18822627258641234
FLT3LG	HGF	0.28566474612241777
FLT3LG	TNFSF12	0.16239610552253136
LIFR	CX3CL1	0.3039492359836018
LIFR	IL1RL1	0.17844224785253537
LIFR	CCL7	0.16893713547560196
LIFR	HGF	0.3911905594679306
RNASE3	PDGFB	0.2249565048605735
RNASE3	IL18	0.17536277256813815
RNASE3	TNFRSF1A	0.3408983951934381
DKK1	SELPLG	0.2193353673748808
DKK1	TGFB1	0.20838264024504038
DKK1	F2R	0.24561164627515097
DKK1	AGRP	0.22003011130485994
PGF	F2R	0.6682073774420418
PGF	TNFRSF1A	0.6588495731269841
PGF	KLK6	0.35440778654091165
PGF	GDF15	0.5884262585840201
PGF	KLK11	0.4408899627670202
PGF	PTX3	0.29762363225679866
PAPPA	CSF1	0.16905170923806967
PAPPA	MUC16	0.12773340445452597
PAPPA	VEGFD	0.2959570163473906
PAPPA	SIRT2	0.20812636457113687
PAPPA	GAL	0.1785895691058501
STAMBP	PDGFB	0.5524536048391049
STAMBP	HSPB1	0.5918931036626063
STAMBP	CASP8	0.2845211009697417
STAMBP	CCL4	0.18380038422154588
STAMBP	TNFRSF9	0.2321241951224966
STAMBP	SIRT2	0.6509293575845279
STAMBP	KITLG	0.15480033960077844
CD274	IL18	0.3211294234239688
CD274	TNFRSF1B	0.5126456497596203
CD274	RNY5-5p	0.22721027093386326
CD274	PDGFB	0.21932565520652592
CD274	IL17C	0.23142427074103544
RNY5-5p	CD274	0.22721027093386237
RNY5-5p	AGER	0.26725635402741066
RNY5-5p	CXCL5	0.16382035161777697
RNY5-5p	CXCL16	0.22144342869265365
PDGFB	CD274	0.21932565520652592
PDGFB	IKBKG	0.6257239302419153
PDGFB	LIFR	0.1850831036116123
PDGFB	RNASE3	0.2249565048605735
PDGFB	CD40LG	0.7751436657795123
PDGFB	IL7	0.20248271591603828
PDGFB	STAMBP	0.5524536048391049
TGFA	CD40	0.7510350249339606
TGFA	CX3CL1	0.44470553543918356
TGFA	NPPB	0.3146893619359785
TGFA	TNFRSF11B	0.45293797523895307
TGFA	GDF15	0.49937916308615193
TGFA	IL10RB	0.41937264466992197
TGFA	TNFRSF9	0.564940307734183
TGFA	OSM	0.29836679175036096
TGFA	AGRP	0.3212531794932332
TNFRSF11B	HGF	0.4524635483772794
TNFRSF11B	TGFA	0.45293797523895307
TNFRSF11B	S100A12	0.2029668134983904
AGER	SPON1	0.3815984480357999
AGER	PLAU	0.2893705868486922
AGER	FLT3LG	0.21588950278183727
AGER	SRC	0.19181131335375934
AGER	RNY5-5p	0.253839599162192
AGER	CCL8	0.20436665374890506
AGER	FGF23	0.2673355032820375
KLK6	TNFSF10	0.15878994245758182
KLK6	MMP10	0.18998984941022634
KLK6	PGF	0.35440778654091254
