Regulator	Target	MI
IL1RN	PLAT	0.21061253585401385
IL1RN	RETN	0.24818561625299385
IL1RN	CCL7	0.18682533895663322
IL1RN	IL10	0.21709845834825003
IL1RN	IL10RA	0.11213597903079542
IL1RN	CXCL10	0.2731057572157898
IL1RN	LEP	0.38979693245387015
SPON1	CD40	0.3038927816286794
SPON1	CXCL16	0.31066573693800326
SPON1	IL16	0.3856364719331964
SPON1	PGF	0.38592708185419955
SPON1	HBEGF	0.40266088580914516
SPON1	MUC16	0.16021323234181217
CSF1	PLAU	0.363733007682562
CSF1	HGF	0.3884013252474654
CSF1	TNFRSF1A	0.3969687939238886
CSF1	CCL2	0.4326721407792409
CSF1	IL10RB	0.40919490725730867
CSF1	RNY4-5p	0.26715350443579844
CSF1	VEGFA	0.41031117214649626
PLAT	IL1RN	0.21061253585401385
PLAT	ADM	0.2075605510832137
PLAT	PECAM1	0.2552046533337764
PLAT	CTSD	0.19010060349484537
MPO	OLR1	0.33764748859692784
MPO	PAPPA	0.20794901267173316
CXCL16	SPON1	0.31066573693800414
CXCL16	THBD	0.3706417295283648
CXCL16	TNFRSF10B	0.38192353396517564
CXCL16	KITLG	0.14615372961773954
FGF5	CXCL8	0.16471841326307057
FGF5	CASP8	0.2634077553887577
FGF5	F2R	0.2798718174153709
FGF5	VEGFD	0.30847693798247544
FGF5	GAL	0.10211201310321982
FGF5	IL17C	0.1476766109620824
NPPB	NT-pro-BNP	1.2228175005554203
NPPB	TNFRSF10B	0.2794477960350159
LGALS3	PRL	0.13155425667522547
LGALS3	IL16	0.3361546971112368
LGALS3	CD6	0.14601226711034254
LGALS3	FAS	0.32939263862859836
PLAU	CSF1	0.363733007682562
PLAU	HSPB1	0.15980708007899658
PLAU	DNER	0.30303412325212165
PLAU	TNFSF10	0.24502636523728327
PLAU	OLR1	0.211238990207276
PLAU	LIFR	0.278397229595404
PLAU	TNFRSF11B	0.3537631172422362
PLAU	TNFSF12	0.41919737990563455
TNFSF10	IL10RA	0.10692473301656236
TNFSF10	IL27	0.16794655609518294
TNFSF10	DKK1	0.11360041175734636
TNFSF10	PLAU	0.24502636523728327
IL12B	CD274	0.25630269246848325
IL12B	EIF4EBP1	0.16670944830719137
IL12B	CCL19	0.2393353411329704
IL12B	SLAMF1	0.16253111338305715
IL12B	CCL25	0.12412430367638283
IL12B	F2R	0.22425719660574917
IL12B	CD244	0.24147088455937116
TNFSF11	GH1	0.1040040184166946
TNFSF11	SELPLG	0.10056652444613423
TNFSF11	MUC16	0.16493016870650923
TNFSF11	TNFSF12	0.12618103298243355
TNFSF11	IL17C	0.10770587634704665
IL6R	PRL	0.12794748749421636
IL6R	FST	0.31454839231635034
IL6R	REN	0.20484838922698767
IL15RA	MMP10	0.24740332233229267
IL15RA	TGFA	0.3109731534949436
IL15RA	TNFSF14	0.17008300862576142
IL15RA	RNY4-5p	0.14660092676454983
IL15RA	LEP	0.12287046047645678
IL15RA	IL18R1	0.17620401150856768
RNY4-3p	CCL13	0.15015823618693425
RNY4-3p	TGFA	0.1736507526751465
RNY4-3p	RNY4-5p	0.940489896179578
RNY4-3p	FGF19	0.1332015189037401
FST	CCL19	0.20155232300964343
FST	CTSD	0.2765758446724931
FST	IL6R	0.31454839231635034
FST	PGF	0.3643472965750707
FST	CD6	0.20017833904349658
HGF	CSF1	0.3884013252474645
HGF	CTSD	0.2189850170956129
HGF	LIFR	0.2861211574681688
HGF	TNFRSF11B	0.46475366548222663
HGF	SULT1A1	0.1476656981404183
HGF	CCL20	0.24217173440544215
HGF	IL7	0.156193049668091
HGF	ADA	0.22003173044918256
F2R	FGF5	0.27987181741537004
F2R	IL12B	0.22425719660574917
F2R	MMP1	0.1535272366501017
F2R	TNFRSF1B	0.5971575953448669
F2R	F3	0.3556160752126063
F2R	SIRT2	0.3540362414215501
F2R	GH1	0.16968674974881726
FLT3LG	SELPLG	0.10607435038183066
FLT3LG	OSM	0.12461180266231509
FLT3LG	CASP8	0.13315324617652635
FLT3LG	FGF19	0.10013241767190006
FLT3LG	PAPPA	0.1079016478065773
FLT3LG	CCL2	0.24878109936845227
LIFR	PLAU	0.2783972295954049
LIFR	HGF	0.2861211574681688
LIFR	GAL	0.1487172047634786
LIFR	PAPPA	0.1672226833780881
LIFR	LTA	0.14428372761522112
RNASE3	RETN	0.31516120080758014
RNASE3	FGF19	0.1225405305153533
DKK1	TNFSF10	0.11360041175734636
DKK1	VEGFD	0.3015611662392699
DKK1	FAS	0.22055629905323482
PGF	SPON1	0.38592708185419866
PGF	FST	0.3643472965750707
PGF	TNFRSF1A	0.5811462097757278
PGF	PECAM1	0.28989905711102626
PGF	SLAMF1	0.29334497729161235
PGF	KLK11	0.4115465520324362
PGF	IL18R1	0.20831572451461433
PAPPA	CCL20	0.0931996114452911
PAPPA	SRC	0.10194927580958524
PAPPA	FLT3LG	0.1079016478065773
PAPPA	LIFR	0.1672226833780872
PAPPA	MPO	0.20794901267173316
PAPPA	CST5	0.0999316445430134
PAPPA	ESM1	0.27538432576106864
PAPPA	CTSD	0.19572285437500891
STAMBP	HSPB1	0.6125096246549884
STAMBP	SIRT2	0.5707550835261017
STAMBP	MMP12	0.15404213089263497
STAMBP	CD244	0.2405787525002534
CD274	IL12B	0.25630269246848236
CD274	TNFRSF1B	0.4847104222353851
RNY5-5p	RNY4-5p	0.2328319598756705
RNY5-5p	IL27	0.12279746168377681
RNY5-5p	KLK11	0.2122453392687591
RNY5-5p	KLK6	0.1918323991454054
RNY5-5p	GAL	0.10377719578526623
RNY5-5p	XPNPEP2	0.11805917777767405
PDGFB	EGF	0.6891897300803631
PDGFB	SRC	0.715984214822881
PDGFB	CXCL1	0.4457340284300839
PDGFB	IL1RL1	0.13882563910013612
TGFA	HSPB1	0.189600467189039
TGFA	OLR1	0.36006357824600776
TGFA	IL15RA	0.31097315349494536
TGFA	RNY4-3p	0.1736507526751474
TGFA	FGF23	0.39813167192373555
TGFA	CCL25	0.2567223120343636
TGFA	CCL23	0.3642009384357463
TGFA	VEGFA	0.5755504771397986
TGFA	GDNF	0.22719396755561316
TNFRSF11B	CD40	0.3341344869523768
TNFRSF11B	PLAU	0.3537631172422362
