Regulator	Target	MI
IL1RN	OLR1	0.2604862424603107
IL1RN	FABP4	0.36617703285246783
SPON1	MMP7	0.4227736617331068
SPON1	CCL11	0.1780287245805594
SPON1	SELPLG	0.1558582903125023
SPON1	TNFRSF10B	0.431937605099562
SPON1	IL17A	0.14607507847741186
CSF1	CD40	0.5090766264930631
CSF1	HGF	0.5537164315647924
CSF1	LIFR	0.3649818975896597
CSF1	TNFRSF1B	0.502241894638904
CSF1	TGFA	0.5999189326006409
CSF1	CCL2	0.44202517385988926
CSF1	IL10RB	0.47006440462380006
CSF1	OSM	0.2365951998609166
CSF1	CD244	0.3361884844143983
PLAT	HSPB1	0.13756895281357284
PLAT	DNER	0.1903548348494013
PLAT	FGF21	0.15676610197136487
PLAT	FABP4	0.20328095641260813
MPO	RETN	0.31484495826959336
MPO	SULT1A1	0.15319488745079823
MPO	KITLG	0.20993568972346122
MPO	CD244	0.24035486771820302
MPO	HBEGF	0.3274964220470382
CXCL16	IL1RL1	0.11869848431422891
CXCL16	IL6R	0.339790499487874
CXCL16	HBEGF	0.377854656167675
FGF5	NTF3	0.24921089889870718
FGF5	TNFSF11	0.09600742741264412
FGF5	IL15RA	0.2836675746731494
FGF5	VEGFD	0.24682306953441469
FGF5	KITLG	0.14238724316944396
FGF5	GDNF	0.2577103281011155
NPPB	NT-pro-BNP	1.5357868964304418
NPPB	IL7	0.2509545503975721
LGALS3	MMP3	0.14143747042617694
LGALS3	AXIN1	0.1767956631424239
LGALS3	IL16	0.3278358080297883
LGALS3	KITLG	0.1657731895816994
LGALS3	FABP4	0.30520255834068877
PLAU	CXCL6	0.22894862138062688
PLAU	HGF	0.5161678595424455
PLAU	MMP10	0.2281275685791897
PLAU	PECAM1	0.17514682395259928
PLAU	TNFSF12	0.27684358151387567
TNFSF10	MMP1	0.11073519318993164
TNFSF10	TNFSF12	0.16533428710688014
TNFSF10	VEGFA	0.15380877080513322
TNFSF10	CCL7	0.1678062057016909
TNFSF10	CCL19	0.23484048488214526
TNFSF10	IL6R	0.11246165635180105
IL12B	CCL19	0.3555833617030535
IL12B	CD5	0.2933783609986378
TNFSF11	FGF5	0.09600742741264412
TNFSF11	NGF	0.10326909737127377
TNFSF11	SIRT2	0.09389056113689609
IL6R	CXCL16	0.339790499487874
IL6R	KLK6	0.24670632315085061
IL6R	TNFSF10	0.11246165635180105
IL6R	KLK11	0.279936253552175
IL6R	PECAM1	0.20435941460758045
IL6R	STAMBP	0.19834028593304254
IL6R	IL18R1	0.17231028636637546
IL15RA	FGF5	0.2836675746731494
IL15RA	NGF	0.38214397233468134
IL15RA	TNFRSF1B	0.39721213252519405
IL15RA	MMP10	0.2390594104264938
IL15RA	TGFA	0.46536528928363285
RNY4-3p	RNY5-5p	0.37672865662157573
RNY4-3p	IL27	0.2615674754700743
RNY4-3p	EGF	0.28667053667899367
RNY4-3p	RNY4-5p	0.756309209001107
RNY4-3p	F3	0.25607831657748115
FST	PLAUR	0.26488532991673175
FST	LTA	0.11627133412646184
HGF	CSF1	0.5537164315647924
HGF	PRL	0.18652469711913255
HGF	PLAU	0.5161678595424455
HGF	FLT3LG	0.3302334809453331
HGF	TNFRSF11B	0.5583038248667629
HGF	VEGFA	0.5512775809469082
HGF	IL7	0.29348741860570904
F2R	IL27	0.2698627429405942
F2R	CTSL	0.33579964390819583
F2R	TNFRSF1B	0.597233993277527
F2R	PGF	0.6011099671252058
F2R	VEGFD	0.2082612918214668
FLT3LG	CCL11	0.250787573436825
FLT3LG	SELPLG	0.18932086583190344
FLT3LG	IL10RB	0.3292654611035637
FLT3LG	HGF	0.3302334809453331
FLT3LG	CD40LG	0.15019979647869341
FLT3LG	CDCP1	0.21724450977199616
FLT3LG	LEP	0.11799181911469603
FLT3LG	LTA	0.15710536308805523
LIFR	CSF1	0.3649818975896606
LIFR	ESM1	0.18337483638722407
LIFR	IL10	0.15528740137198582
LIFR	IL1RL1	0.12746721952129114
LIFR	CCL8	0.23718417973136763
LIFR	CD40LG	0.11370175834929164
LIFR	IL18R1	0.19035723223142753
RNASE3	TNFRSF1B	0.3424326134741946
RNASE3	CD6	0.17767395411396691
DKK1	NGF	0.14121857073348032
DKK1	CD40LG	0.1787667775137045
DKK1	TEK	0.21307964035597582
DKK1	HBEGF	0.26382842106711646
PGF	HAVCR1	0.35474160243451625
PGF	F2R	0.6011099671252049
PGF	TNFRSF1A	0.6846475791135145
PGF	CHI3L1	0.3688791001354961
PGF	AGER	0.30625783739302204
PGF	KLK6	0.3873427744628799
PGF	CCL3	0.3571517333966927
PGF	TNFRSF9	0.48344960431780937
PGF	KLK11	0.5608963176077335
PGF	FAS	0.5013322947070327
PGF	AGRP	0.2620703951503094
PAPPA	CD274	0.1787907894347649
PAPPA	CXCL1	0.14495694155130323
PAPPA	TNFRSF11B	0.18043967501522573
PAPPA	ESM1	0.28934339654168895
PAPPA	GAL	0.09525784350914801
PAPPA	CCL19	0.11590552462941783
STAMBP	HSPB1	0.5109701359715899
STAMBP	CASP8	0.42967417213543335
STAMBP	EIF4EBP1	0.26962395419492147
STAMBP	IKBKG	0.46515989245784883
STAMBP	IL6R	0.19834028593304254
STAMBP	BDNF	0.09154218382022794
STAMBP	IL7	0.28597175432290634
CD274	TNFRSF1B	0.4336163374717419
CD274	PAPPA	0.17879078943476578
