Regulator	Target	MI
IL1RN	PLAT	0.24433744623197295
IL1RN	TNFSF14	0.31353747001602983
IL1RN	SELE	0.2175685726831995
IL1RN	FABP4	0.4594724941332471
IL1RN	IL18R1	0.18395957407681873
SPON1	PRL	0.16718250528724088
SPON1	MB	0.31631628337419126
SPON1	PGF	0.4151659825545435
SPON1	MMP12	0.27749177297419436
CSF1	CXCL6	0.2767979706186683
CSF1	CX3CL1	0.48377562213303094
CSF1	MMP10	0.3317293659985774
CSF1	CDCP1	0.3472887067040782
CSF1	TNFRSF11B	0.42339960026574275
CSF1	CCL23	0.3496245076085973
CSF1	IL10RB	0.4199043958653812
CSF1	VEGFA	0.44441513229925
PLAT	IL1RN	0.24433744623197118
PLAT	CTSD	0.2144152873293006
PLAT	LIFR	0.14099238828587346
PLAT	CD40LG	0.19467534825585897
MPO	CTSD	0.18033386187185396
MPO	MMP1	0.23794900659575902
MPO	IL10RA	0.13420019713765718
MPO	TNFSF12	0.2472573393448636
MPO	PLAUR	0.30348561175661537
MPO	RNASE3	0.3528861776612704
MPO	DKK1	0.28618202026182793
MPO	MMP10	0.13225066567257038
MPO	XPNPEP2	0.16853918434751858
CXCL16	SLAMF1	0.17867863419866037
CXCL16	TNFRSF10B	0.4766202207414958
FGF5	AGER	0.22385601552301182
FGF5	NTF3	0.17807242299962045
FGF5	IL6R	0.14417372735098333
FGF5	CCL25	0.19669175709053377
FGF5	F2R	0.3428561174483935
FGF5	AXIN1	0.27273887520107465
NPPB	NT-pro-BNP	1.4588278910708192
NPPB	CD40	0.2641870246852225
NPPB	IL27	0.25651626852284615
NPPB	ESM1	0.32557942309405075
NPPB	KLK11	0.29263812661037303
NPPB	LEP	0.2535618588056563
LGALS3	CXCL16	0.3955391184689878
LGALS3	CD40LG	0.2141753633607193
PLAU	OLR1	0.28346016286765074
PLAU	HGF	0.489690867563513
PLAU	CDCP1	0.36344702588826916
PLAU	AGER	0.33172374287539164
PLAU	SULT1A1	0.2405880210565856
PLAU	IL10RB	0.38403842276142974
PLAU	TNFSF12	0.43384305097896814
PLAU	ADA	0.3542607496367447
TNFSF10	FST	0.180268758614484
TNFSF10	TNFRSF9	0.23690151440997642
TNFSF10	TNFSF12	0.2167776943096591
TNFSF10	FLT3LG	0.18252390810636054
TNFSF10	DKK1	0.15388191512094185
TNFSF10	NTF3	0.15505655062862367
IL12B	IL18	0.22391357206818263
IL12B	TNFRSF1B	0.23421454605900927
IL12B	MMP10	0.3106463932166079
IL12B	ADA	0.3109001691384181
TNFSF11	NT-pro-BNP	0.12769604361710307
TNFSF11	NGF	0.17534822825886476
TNFSF11	CTSD	0.12484641557546983
IL6R	KLK6	0.2751322746997866
IL6R	FGF5	0.14417372735098333
IL6R	PLAUR	0.2394084224072479
IL15RA	MMP7	0.28104229397223524
IL15RA	TGFA	0.4262332196017118
IL15RA	TNFSF14	0.2560449817015966
RNY4-3p	RNY5-5p	0.22434874263478033
RNY4-3p	IL27	0.17074833740570394
RNY4-3p	RNY4-5p	0.7477384266910745
RNY4-3p	SIRT2	0.32165454632102985
RNY4-3p	GDNF	0.13152798083700024
FST	CXCL1	0.1543627527071667
FST	TNFRSF11B	0.15355549675633817
FST	TNFSF10	0.180268758614484
FST	RNASE3	0.2811556564619071
FST	PGF	0.2350808675927043
FST	GH1	0.1901123606841928
FST	IL6	0.2581763744372747
FST	KITLG	0.13776680483179238
HGF	CD40	0.4974018915320473
HGF	CXCL8	0.3574927454232135
HGF	PLAU	0.4831341616271416
HGF	MMP7	0.3042551295286806
HGF	CCL2	0.4590256924922196
HGF	FGF23	0.4501115425436222
HGF	TNFSF14	0.24048529368683536
HGF	CD6	0.21326280622825955
F2R	CX3CL1	0.28021855983605803
F2R	CXCL5	0.27661497174653515
F2R	FGF5	0.3428561174483944
F2R	IL16	0.516758185960482
F2R	RNASE3	0.31251513812636755
F2R	TNFRSF1B	0.823555926035934
F2R	SIRT2	0.2923663938506076
F2R	SELPLG	0.19053493555607304
F2R	VEGFD	0.19922727710993993
F2R	CXCL10	0.3139719404762671
FLT3LG	CASP8	0.17290598691077452
FLT3LG	TNFSF10	0.18252390810636054
FLT3LG	CCL2	0.2883069389928332
FLT3LG	IL18	0.44191855557290705
FLT3LG	KLK11	0.19138411783932696
