Regulator	Target	MI
IL1RN	PLAT	0.2797686351582378
IL1RN	CCL19	0.0956824976718007
IL1RN	TNFSF14	0.22841014994510367
IL1RN	IL10RA	0.1008146574231441
IL1RN	PLAUR	0.31496808493321193
IL1RN	FLT3LG	0.13532505310381726
IL1RN	FABP4	0.3786761321967411
IL1RN	IL18R1	0.21456360440360545
SPON1	HGF	0.22063279965672322
SPON1	F3	0.25575138207783166
SPON1	TNFRSF10B	0.3307924523142818
CSF1	PLAU	0.3743690303501541
CSF1	TGFB1	0.42435302836463773
CSF1	IL10RB	0.4729537277030138
CSF1	VEGFA	0.38476464672172206
PLAT	IL1RN	0.2797686351582378
PLAT	CCL2	0.21913180449508207
PLAT	FGF21	0.20808651118926313
MPO	TNFSF12	0.16444398639607094
MPO	RNASE3	0.22881632453392786
MPO	IL18R1	0.15489850008584316
CXCL16	TNFRSF11B	0.17395984822142996
CXCL16	IL1RL1	0.12299956657416011
CXCL16	TNFRSF10B	0.4521884381066492
CXCL16	FGF19	0.1076938546894537
FGF5	TNFSF14	0.14536718596616893
FGF5	GDF15	0.1899433458377695
FGF5	KLK11	0.19439133879569592
NPPB	NT-pro-BNP	1.3517369274972593
NPPB	SIRT2	0.10626832320658419
NPPB	CD6	0.1576720495244741
NPPB	GDNF	0.16148182293290336
NPPB	NTF3	0.12349235806250558
LGALS3	CSTB	0.3471760050636741
LGALS3	EGF	0.15044506683566894
LGALS3	PGF	0.36192406179966063
PLAU	CCL13	0.31189421042338683
PLAU	CSF1	0.3743690303501559
PLAU	TNFRSF11B	0.37674536184496255
PLAU	CX3CL1	0.3183488161196779
PLAU	DNER	0.22506347759260592
PLAU	OLR1	0.24973437502196738
PLAU	TNFSF12	0.32048689042309864
TNFSF10	TNFRSF9	0.18847457006160617
TNFSF10	CXCL1	0.18790641321174473
TNFSF10	IL1RL1	0.11250785796163498
TNFSF10	PAPPA	0.12651726074310243
TNFSF10	DNER	0.19661474915513555
TNFSF10	TNFSF11	0.152107078973434
TNFSF10	AGRP	0.12143624197903069
IL12B	TNFRSF9	0.18849824371320167
IL12B	SULT1A1	0.13415613067968923
IL12B	LTA	0.1265302648326161
TNFSF11	CD274	0.129580575441552
TNFSF11	IL10RB	0.13169263663147035
TNFSF11	NTF3	0.1329800829680705
TNFSF11	TNFSF10	0.152107078973434
IL6R	PRL	0.17018655384618508
IL6R	THBD	0.31529812705159266
IL6R	DNER	0.29872589773305513
IL6R	MMP7	0.24720800786557895
IL6R	RNASE3	0.17977374506126242
IL6R	SELE	0.22637958325656538
IL6R	SIRT2	0.17457349915012177
IL15RA	NT-pro-BNP	0.2647911075504794
IL15RA	FLT3LG	0.17999521423278253
IL15RA	TGFA	0.5567770394287281
IL15RA	REN	0.15955476845317484
RNY4-3p	RNY5-5p	0.35042222932042133
RNY4-3p	RETN	0.20598063947246725
RNY4-3p	AGER	0.1981108606546531
RNY4-3p	CCL2	0.12690820784773926
RNY4-3p	RNY4-5p	0.7408781139262732
RNY4-3p	SIRT2	0.3038884180326926
RNY4-3p	CD244	0.20287293954060015
FST	RETN	0.3591498040504941
FST	CCL19	0.20604112479669112
FST	TNFRSF10B	0.3664873869554377
FST	VEGFD	0.13580270197211242
FST	CD6	0.24036647389857624
FST	IL17C	0.1842357505757164
HGF	NT-pro-BNP	0.2068078348058675
HGF	SPON1	0.22063279965672322
HGF	CXCL8	0.33756275480032816
HGF	TNFRSF11B	0.38522300684892397
HGF	CCL2	0.37668042521332534
HGF	FGF23	0.36118553572989587
HGF	IL10RA	0.13612461055829517
HGF	VEGFA	0.30927495326098153
HGF	CXCL10	0.2436536491482304
HGF	CCL28	0.36282405904192494
F2R	ADM	0.4321438811343743
F2R	CASP8	0.1984394855603453
F2R	TNFRSF1B	0.594994380293862
F2R	SIRT2	0.2386512418766662
F2R	HBEGF	0.5504216118262457
F2R	KLK11	0.5096620274007719
FLT3LG	CCL13	0.21685435604581382
FLT3LG	IL15RA	0.17999521423278253
FLT3LG	IL1RN	0.13532505310381815
FLT3LG	IL18	0.20226939916725328
FLT3LG	PRL	0.18223410624542158
FLT3LG	PECAM1	0.11853120370034542
LIFR	CX3CL1	0.33156115777102
LIFR	TGFB1	0.2937332107057822
LIFR	BDNF	0.09324630152327629
LIFR	NGF	0.27020530288732214
LIFR	TEK	0.2418741526284789
RNASE3	RETN	0.28985874239655907
RNASE3	MPO	0.22881632453392786
RNASE3	OLR1	0.22698619567078016
RNASE3	IL6R	0.17977374506126242
RNASE3	IL16	0.24793085106163382
RNASE3	DKK1	0.18645780904714027
RNASE3	CXCL10	0.21687896259430683
RNASE3	GDNF	0.17734630688680664
DKK1	IL1RL1	0.15357932438054345
DKK1	RNASE3	0.18645780904714027
DKK1	PGF	0.24036613842222554
DKK1	SIRT2	0.207714441718716
PGF	LGALS3	0.3619240617996615
PGF	MB	0.35517589973354546
PGF	DKK1	0.24036613842222554
PGF	TNFRSF1A	0.5748767167119979
PGF	KLK6	0.23766330374282063
PGF	KLK11	0.5432153444414194
PGF	FAS	0.4537660373795216
PGF	AGRP	0.18127683636157954
PAPPA	IL10	0.14570437696273508
PAPPA	AGER	0.15528277217642295
PAPPA	ESM1	0.2567671999904686
PAPPA	IL6	0.13786736155541135
PAPPA	CD40LG	0.18618722891701367
PAPPA	TNFSF10	0.12651726074310243
PAPPA	PTX3	0.19471359449227865
STAMBP	SIRT2	0.5187891345232236
STAMBP	CTSD	0.17076019107929863
CD274	TNFSF11	0.12958057544155288
CD274	MMP1	0.18135674717041272
CD274	TNFRSF1A	0.3337828664497051
CD274	CCL3	0.236764585915747
CD274	GDF15	0.2523066184588707
RNY5-5p	RNY4-3p	0.35042222932042133
RNY5-5p	TNFRSF1B	0.18801148145867153
RNY5-5p	AGRP	0.12743183276869274
PDGFB	SRC	0.6363651576464671
PDGFB	CXCL1	0.4450314239787847
PDGFB	CXCL5	0.3551893377552755
PDGFB	IL10RA	0.13534519043460858
TGFA	CXCL9	0.30568380393138295
TGFA	CXCL8	0.3300546499503678
TGFA	PRL	0.19050700907214768
TGFA	IL15RA	0.5567770394287281
TGFA	NGF	0.4464321833713054
TGFA	TNFRSF1A	0.41673815513053736
TGFA	TNFRSF11B	0.35571337808566916
TGFA	CCL2	0.32799108339258254
TGFA	TNFRSF9	0.4023151607172224
TGFA	VEGFA	0.6176727100816288
TGFA	KITLG	0.2237317482380634
TNFRSF11B	TGFA	0.35571337808566916
TNFRSF11B	CXCL16	0.17395984822142996
TNFRSF11B	PLAU	0.37674536184496255
TNFRSF11B	TGFB1	0.36532947275423044
TNFRSF11B	HGF	0.3680100039291103
AGER	CTSL	0.2529980903657263
AGER	RNY4-3p	0.1981108606546531
AGER	VEGFD	0.16213351578285184
AGER	CD6	0.21705020413138065
AGER	PAPPA	0.15528277217642295
AGER	HBEGF	0.23847056308809034
KLK6	PGF	0.23766330374282063
SULT1A1	CCL13	0.097989293802482
SULT1A1	SRC	0.4589591575526022
SULT1A1	IL12B	0.13415613067968923
EIF4EBP1	CXCL6	0.2107286111499489
EIF4EBP1	CASP8	0.22590568710694736
