Regulator	Target	MI
IL1RN	PLAT	0.24089905388345745
IL1RN	CCL8	0.14474795968907284
IL1RN	DNER	0.12906882799408415
IL1RN	CTSD	0.22860697735885172
IL1RN	TNFSF14	0.23525346256391533
IL1RN	AXIN1	0.1838317345126601
IL1RN	OSM	0.15425586807341762
IL1RN	TNFRSF1B	0.29375386793356384
IL1RN	FABP4	0.3337995523295465
IL1RN	IL18R1	0.18085282868605201
SPON1	NT-pro-BNP	0.34986484984634103
SPON1	CTSD	0.14682234245643144
SPON1	MMP7	0.32789075409878965
SPON1	PLAUR	0.46119403829113104
SPON1	MMP12	0.2120991892389208
SPON1	SELE	0.15992846702152885
SPON1	GH1	0.2494521417449178
SPON1	PTX3	0.21731003590122278
CSF1	PLAU	0.38413738846788803
CSF1	TNFRSF1B	0.4357789945757977
CSF1	CDCP1	0.2576535543980638
CSF1	CCL4	0.17672843566302188
CSF1	CCL2	0.4513213974539907
CSF1	TNFSF14	0.20190404143425944
CSF1	TNFRSF9	0.41444766257096877
CSF1	VEGFA	0.4302554961658105
CSF1	CD5	0.44125737701143564
CSF1	ADA	0.24665776568278197
PLAT	IL1RN	0.24089905388345745
PLAT	CXCL16	0.21203087903302364
PLAT	CTSL	0.15548758062334755
PLAT	LEP	0.20277344592015556
PLAT	FGF21	0.14036165456143657
MPO	RNASE3	0.18129205739120646
MPO	SELE	0.17420342731682492
MPO	PTX3	0.23931335753167016
MPO	HBEGF	0.19228159896022845
CXCL16	PLAT	0.21203087903302364
CXCL16	TNFRSF10B	0.42965860456562854
CXCL16	DKK1	0.2479654102871658
FGF5	CCL13	0.1790276975214784
FGF5	ADM	0.21224533826994563
FGF5	ESM1	0.14639073905598288
FGF5	CTSL	0.1853469639101082
FGF5	KLK11	0.19835932965070047
FGF5	CCL28	0.13269483497777745
NPPB	NT-pro-BNP	1.211961630924013
NPPB	MMP1	0.09935821110076137
NPPB	KLK11	0.21732146873374347
LGALS3	CSTB	0.3199716366903038
LGALS3	PRL	0.1571075948091849
LGALS3	IL18R1	0.11692274392623947
PLAU	CSF1	0.38413738846788803
PLAU	SRC	0.18187664690477057
PLAU	AGER	0.18534846876675548
PLAU	TNFSF12	0.3334123049515503
TNFSF10	IL10RB	0.21004005355408495
TNFSF10	TNFSF12	0.2136557942912214
TNFSF10	IL18	0.17317836399910558
TNFSF10	SULT1A1	0.09360423772000548
TNFSF10	TNFSF11	0.20223276542022628
IL12B	CXCL9	0.16987555701440993
IL12B	CCL19	0.23127453813458665
TNFSF11	CSTB	0.1643768406898971
TNFSF11	CD6	0.1317133520977274
TNFSF11	CCL4	0.10650623719354613
TNFSF11	TNFSF10	0.2022327654202245
IL6R	NTF3	0.10242099657693693
IL6R	FST	0.3437883078387305
IL6R	TNFRSF10B	0.20141775546253537
IL6R	NGF	0.13488006789341878
IL6R	PAPPA	0.1414367249231736
IL15RA	TNFRSF1B	0.29605016636006365
IL15RA	MMP10	0.19801656492882191
IL15RA	TGFA	0.32268834792372836
RNY4-3p	RNY4-5p	0.713894881359999
RNY4-3p	FGF19	0.1890397368353831
FST	S100A12	0.11992644755409998
FST	IL6R	0.3437883078387305
FST	TGFB1	0.12362712922992003
FST	IL6	0.22893288127424238
FST	FGF19	0.19437203168871786
HGF	CXCL6	0.23241190737822937
HGF	OLR1	0.2562108058914241
HGF	TGFA	0.37362329389814963
HGF	TNFRSF11B	0.43798857891581466
HGF	TGFB1	0.3216524893283106
HGF	REN	0.1626108761641767
F2R	MMP1	0.16683206940890383
F2R	TNFRSF1B	0.5654364749173002
F2R	SIRT2	0.38788921925641695
F2R	VEGFD	0.19372682221545556
FLT3LG	CCL2	0.18615925068361516
FLT3LG	ADA	0.1661581817765363
LIFR	TGFB1	0.30432759240155605
LIFR	LTA	0.12038797033225723
RNASE3	MPO	0.18129205739120646
RNASE3	CCL8	0.11614258374989994
RNASE3	DNER	0.13154771143694255
RNASE3	OLR1	0.2589056849907072
RNASE3	MMP1	0.14801436074186736
RNASE3	IL6	0.23452263367149673
DKK1	VEGFD	0.232011272871679
DKK1	CXCL16	0.2479654102871658
DKK1	CD40LG	0.1614745271363489
PGF	TNFRSF1A	0.5092577744978648
PGF	HBEGF	0.3836385812166494
PGF	FGF23	0.2819256184811385
PGF	KLK11	0.43072773991241053
PGF	VEGFA	0.35968246324409137
PGF	TEK	0.3403711196063428
PAPPA	ESM1	0.180886182013011
PAPPA	CHI3L1	0.1277830098137569
PAPPA	AGRP	0.1509068501294193
PAPPA	VEGFD	0.18410588916504889
PAPPA	IL6R	0.1414367249231736
STAMBP	CASP8	0.30220062094625355
STAMBP	TGFB1	0.2101086219066195
STAMBP	EGF	0.4469132950863557
STAMBP	SIRT2	0.6202456084854235
STAMBP	GH1	0.1467939556679605
STAMBP	IL17C	0.13358492685268875
CD274	SLAMF1	0.2513138175355536
CD274	TNFRSF1A	0.3623206034839459
CD274	CD5	0.243705930572645
RNY5-5p	RNY4-5p	0.2413645785460634
RNY5-5p	LEP	0.1529963454176837
RNY5-5p	FAS	0.21850823504857608
PDGFB	SRC	0.6224825396293969
TGFA	CD40	0.5794141315236283
TGFA	ADM	0.3897547804672241
TGFA	CX3CL1	0.32255087121644177
TGFA	IL15RA	0.32268834792372836
TGFA	HGF	0.37362329389814963
TGFA	TNFRSF1A	0.397663504690942
TGFA	RETN	0.32232650183832234
TGFA	S100A12	0.19548205990974576
TGFA	CCL23	0.3114135328516401
TGFA	VEGFA	0.6225651721395922
TGFA	IL6	0.23437768553873095
TGFA	AGRP	0.1997022800265631
TGFA	PTX3	0.1720323956556511
TGFA	CCL28	0.3668570769986701
TNFRSF11B	HGF	0.43798857891581466
AGER	PLAU	0.1853484687667537
AGER	PECAM1	0.21380930141422994
AGER	HBEGF	0.2389223739068429
KLK6	BDNF	0.11917246419317795
KLK6	TNFRSF1B	0.38332891975821504
KLK6	FAS	0.3870822307750794
KLK6	AGRP	0.2677050422723024
SULT1A1	SRC	0.3269012966054401
SULT1A1	CTSL	0.22147316469355793
SULT1A1	TNFSF10	0.09360423772000548
EIF4EBP1	CASP8	0.2439402092707912
EIF4EBP1	IL18	0.2686285913086204
EIF4EBP1	VEGFA	0.4357392454684792
S100A12	IL10	0.2079030022252475
S100A12	FST	0.11992644755409998
S100A12	TGFA	0.19548205990974576
FGF23	IKBKG	0.10484149943622167
FGF23	MMP7	0.23651552564071032
FGF23	HGF	0.335672464795584
FGF23	PGF	0.2819256184811385
FGF23	MMP12	0.20791505651465592
FGF23	CCL25	0.27151612227839017
FGF21	IL10RB	0.20648528686944534
FGF21	PLAT	0.14036165456143657
FGF21	RETN	0.15093481740778003
FGF21	ESM1	0.13337677005393989
SLAMF1	CD274	0.2513138175355536
SLAMF1	CXCL10	0.19927043360169172
SLAMF1	ADA	0.16450208969467361
TGFB1	FST	0.12362712922992003
TGFB1	HGF	0.3216524893283106
TGFB1	LIFR	0.30432759240155605
TGFB1	STAMBP	0.2101086219066186
TGFB1	IL10RB	0.37324177788067914
TGFB1	CXCL11	0.21759104352142256
MUC16	GH1	0.11405092503679182
MUC16	CCL20	0.16066360194907414
MUC16	IL7	0.16464768012476672
MUC16	ADM	0.1744670296871389
MUC16	VEGFD	0.1233713238366585
MUC16	HAVCR1	0.12118991664002277
TNFSF14	IL1RN	0.23525346256391533
TNFSF14	CSF1	0.20190404143426033
TNFSF14	CCL3	0.24975991612280168
TNFSF14	EGF	0.13352630946075372
TNFSF14	GAL	0.09704138715259347
TNFRSF9	CSF1	0.4171077031461623
TNFRSF9	CCL13	0.2979068920947272
TNFRSF9	CCL19	0.18011974730365576
TNFSF12	CX3CL1	0.25557255486832364
TNFSF12	PLAU	0.3334123049515503
TNFSF12	DNER	0.35912424756161165
TNFSF12	TNFSF10	0.2136557942912205
TNFSF12	FAS	0.1937102754276312
TNFRSF10B	CXCL16	0.4323923809716339
TNFRSF10B	IL6R	0.2014177554625345
TNFRSF10B	PLAUR	0.600112516728224
TNFRSF10B	TNFRSF1A	0.6309379422379129
TNFRSF10B	CSTB	0.5499721752755713
TNFRSF10B	RETN	0.34031656982006186
TNFRSF10B	GDF15	0.41008346944664176
TNFRSF10B	IL17A	0.09976605554026197
SELE	SPON1	0.15992846702152885
SELE	MPO	0.17420342731682492
SELE	PECAM1	0.26143804396251547
SELE	ADA	0.1487458335258376
SELE	IL18R1	0.18325491639226588
CXCL10	CXCL9	0.6150817514806235
CXCL10	CXCL5	0.16002730109783503
CXCL10	CCL3	0.29457347723054816
CXCL10	SLAMF1	0.19927043360169172
CXCL10	PLAUR	0.2797267071560796
CXCL10	NGF	0.23001326144157197
CXCL10	CXCL11	0.5375638954486393
GH1	SPON1	0.24945214174491692
GH1	MUC16	0.11405092503679182
GH1	IL18	0.16966816008429042
GH1	FABP4	0.2533742886903614
GH1	STAMBP	0.14679395566796138
CXCL11	CASP8	0.18979313039763124
CXCL11	TGFB1	0.21759104352142167
CXCL11	CXCL10	0.5375638954486393
CXCL11	CD244	0.16120430306288203
IL6	TGFA	0.23437768553873095
IL6	CTSD	0.14368944571527553
IL6	FST	0.2289328812742415
IL6	PLAUR	0.33252443769608675
IL6	RNASE3	0.23452263367149673
GDNF	CASP8	0.10635662958190117
GDNF	PECAM1	0.1860563218181559
IL7	MUC16	0.16464768012476672
IL7	IL10RB	0.19326580323609477
IL7	MMP3	0.10402580013053164
IL7	HSPB1	0.27628068734950784
FGF19	MMP12	0.10723320035581274
FGF19	NT-pro-BNP	0.1580871658041385
FGF19	SELPLG	0.14902249702554649
FGF19	RNY4-3p	0.1890397368353831
FGF19	IL10RB	0.1360957467970607
FGF19	FST	0.19437203168871786
FGF19	CCL4	0.11121302642646125
FGF19	REN	0.1344260626587186
REN	FGF19	0.1344260626587186
REN	HGF	0.1626108761641767
ADA	CSF1	0.24665776568278108
ADA	MMP1	0.18668256172790088
ADA	FLT3LG	0.1661581817765363
ADA	SELE	0.1487458335258376
ADA	SLAMF1	0.1645020896946745
NT-pro-BNP	SPON1	0.3244555517064933
NT-pro-BNP	CXCL8	0.20133558834746967
NT-pro-BNP	NPPB	1.2119616309240113
NT-pro-BNP	GDF15	0.19240000903570476
NT-pro-BNP	IL16	0.22788407403689348
NT-pro-BNP	FGF19	0.1580871658041385
NT-pro-BNP	CHI3L1	0.22146664896692148
CXCL6	HGF	0.23574921263077453
CXCL6	IL18	0.1838780026986102
CXCL6	CD244	0.30583248578712574
CD40	CXCL9	0.3189552636176476
CD40	HBEGF	0.2908345915441046
CD40	TGFA	0.5794141315236283
CD40	CD5	0.5030911829616675
CXCL9	CD40	0.3189552636176476
CXCL9	IL12B	0.16987555701440993
CXCL9	TNFRSF1B	0.31758821267463677
