Regulator	Target	MI
IL1RN	RETN	0.29421780977041934
IL1RN	SELE	0.2734540271340311
IL1RN	FABP4	0.38941749443947415
IL1RN	CHI3L1	0.29399167059620446
SPON1	NT-pro-BNP	0.24049262196410126
SPON1	PRL	0.253056520603991
SPON1	FGF5	0.2306522304799863
SPON1	ESM1	0.2614921599150897
SPON1	MMP7	0.4245453551961438
SPON1	F3	0.38194506041196785
SPON1	HBEGF	0.41918241069802953
SPON1	TNFRSF10B	0.4708424355316678
SPON1	KLK11	0.3496297122444929
CSF1	LIFR	0.3719750275898619
CSF1	NGF	0.4643095800206307
CSF1	TNFRSF1B	0.4242927872941449
CSF1	FGF21	0.27721243927420325
CSF1	TGFB1	0.41008316266637923
CSF1	VEGFA	0.6219515387818193
CSF1	KITLG	0.16376084701289972
PLAT	CTSD	0.20827935762672656
PLAT	FGF21	0.14450743043234393
PLAT	MMP7	0.2889459628779889
PLAT	HGF	0.2046326634945803
PLAT	FABP4	0.43169655546494035
PLAT	IL18R1	0.30193919906196154
MPO	RETN	0.24802702340665395
MPO	ESM1	0.16874536434912102
MPO	RNASE3	0.32432339005009325
MPO	CD40LG	0.13718568216720417
MPO	TEK	0.23210525857318665
CXCL16	MMP7	0.33594924570426254
CXCL16	IL7	0.12180609895016659
CXCL16	FAS	0.4701943526456631
FGF5	SPON1	0.2306522304799863
FGF5	TNFSF14	0.2021806681733782
FGF5	F2R	0.2523704107617144
FGF5	FLT3LG	0.13272502803843889
FGF5	LIFR	0.30979561602982475
FGF5	GDNF	0.12315939876771598
NPPB	NT-pro-BNP	1.3418106754222165
NPPB	CD40	0.27821922187825265
NPPB	GH1	0.15142158486901636
NPPB	PAPPA	0.1888565605103354
LGALS3	CSTB	0.29360913215502027
LGALS3	HSPB1	0.18693194994063767
LGALS3	IL6R	0.22037826560671903
LGALS3	FAS	0.3025645477325263
PLAU	DNER	0.2866515962797287
PLAU	MMP10	0.278180732195092
PLAU	TNFRSF11B	0.45790985207524226
PLAU	CCL2	0.503738951662517
PLAU	TNFSF12	0.3021611135684914
PLAU	VEGFD	0.16048762267749517
TNFSF10	CD6	0.18957206595845566
TNFSF10	XPNPEP2	0.1697719083167284
IL12B	CXCL8	0.18263628545919097
IL12B	ESM1	0.1788903418538439
IL12B	EIF4EBP1	0.2360848747506541
IL12B	TNFRSF1B	0.31192400524070507
IL12B	MMP12	0.21447545595271578
IL12B	CXCL10	0.3380790370410871
IL12B	GAL	0.11142096038843707
IL12B	CD6	0.3007756459754818
TNFSF11	GH1	0.10438737184732272
TNFSF11	CD6	0.1485175488203323
TNFSF11	GDF15	0.1965518040245886
IL6R	KLK6	0.2935646990671881
IL6R	LGALS3	0.22037826560671814
IL15RA	CDCP1	0.27304266416742795
IL15RA	TGFA	0.40506426805529827
IL15RA	CCL7	0.2588334050785708
IL15RA	SLAMF1	0.2653797351171834
IL15RA	CD244	0.24421087765650995
RNY4-3p	RNY4-5p	0.723706562918685
RNY4-3p	AXIN1	0.33958940816089456
RNY4-3p	CD5	0.1472198292236495
FST	SLAMF1	0.2517624519084922
FST	MMP3	0.25774254184362455
