Regulator	Target	MI
IL1RN	CSTB	0.30158598245425505
IL1RN	PLAT	0.18733890939220554
IL1RN	TNFSF14	0.19061121845774398
IL1RN	ADA	0.12271253518020764
SPON1	NPPB	0.34937072223495313
SPON1	IL10	0.14317617958453432
SPON1	LIFR	0.18607853174220512
SPON1	RNASE3	0.3162450002990349
SPON1	F3	0.3183552093155644
SPON1	RNY5-5p	0.21874348595820514
SPON1	TNFRSF10B	0.3941630536482954
SPON1	CXCL10	0.2688333993106342
CSF1	HSPB1	0.23345994495345046
CSF1	HGF	0.45901215428281006
CSF1	CCL8	0.2275150173659668
CSF1	CCL4	0.2284090821830178
CSF1	CCL2	0.39363227360199016
CSF1	IL10RB	0.49301213389505083
CSF1	VEGFA	0.5434193499675448
PLAT	IL15RA	0.18079551406830774
PLAT	IL1RN	0.18733890939220554
PLAT	RNY4-3p	0.19999540844239672
PLAT	REN	0.14026622354785356
PLAT	CTSD	0.3162016721605019
PLAT	IL18R1	0.1731144240230984
MPO	PRL	0.21796316313382302
MPO	ESM1	0.19646880180466297
MPO	CCL4	0.1087026274801568
MPO	RNASE3	0.2813988814103485
MPO	NGF	0.1541194868230571
MPO	IL17C	0.1274829613721531
MPO	CD244	0.14340187373703994
MPO	HBEGF	0.2438144909547617
CXCL16	CSTB	0.32000616144616423
CXCL16	PRL	0.11289981745818789
CXCL16	PLAU	0.24700990977880188
CXCL16	SELE	0.24690680637851425
FGF5	TNFSF12	0.18698830253792753
FGF5	PLAUR	0.1981490906475445
NPPB	NT-pro-BNP	1.4502781944911982
NPPB	CXCL9	0.2098131893973072
NPPB	SPON1	0.34937072223495313
NPPB	DNER	0.18149070521938793
NPPB	TNFSF11	0.139875580844385
NPPB	FGF19	0.14052737433737228
LGALS3	HSPB1	0.2918871535997569
LGALS3	TNFRSF10B	0.3294451719677136
LGALS3	VEGFD	0.13760311459229957
LGALS3	IL18R1	0.14253297398379416
PLAU	CXCL16	0.24700990977880188
PLAU	SULT1A1	0.1497507081495426
PLAU	ESM1	0.20700679012672385
PLAU	DNER	0.34120149151937085
PLAU	CCL2	0.4663899932253841
PLAU	FGF23	0.30101211588692856
PLAU	TNFSF12	0.369068473051116
PLAU	IL7	0.2181465889473131
TNFSF10	CTSL	0.16955378693067047
TNFSF10	NTF3	0.15291838573859007
TNFSF10	TNFSF11	0.1600428062152055
TNFSF10	TNFSF12	0.16841150591565146
TNFSF10	GH1	0.16639383155317855
TNFSF10	CHI3L1	0.11918004331396936
IL12B	TNFRSF9	0.34185613438427787
TNFSF11	NPPB	0.139875580844385
TNFSF11	CDCP1	0.10208668807505727
TNFSF11	MB	0.11887921487690978
TNFSF11	RNY5-5p	0.14177375996161423
TNFSF11	TNFSF10	0.1600428062152055
TNFSF11	REN	0.14532655545548945
IL6R	THBD	0.3189046147765904
IL6R	OLR1	0.2567464900519161
IL6R	TGFB1	0.13979436154777236
IL6R	RNASE3	0.28090551130797614
IL15RA	PLAT	0.18079551406830863
IL15RA	SRC	0.21253334705793492
IL15RA	TGFA	0.3228789056053474
IL15RA	TGFB1	0.33338945834725653
IL15RA	CD6	0.15149356886461884
RNY4-3p	PLAT	0.1918122810682119
RNY4-3p	CCL20	0.14852596998978385
RNY4-3p	RNY4-5p	0.7984146488215638
RNY4-3p	HBEGF	0.16145222167891493
FST	TNFRSF10B	0.2869906899176833
HGF	CSF1	0.45901215428281006
HGF	IL10	0.23771267849939548
HGF	LIFR	0.32599715873539914
HGF	LTA	0.14843787145017728
HGF	TNFRSF11B	0.6151927709173934
HGF	AGER	0.2160371609286642
HGF	FGF23	0.3378722054362262
HGF	CCL25	0.23576679063856432
HGF	CXCL10	0.28871332162514385
HGF	XPNPEP2	0.13346395051430893
HGF	ADA	0.25430765193987526
F2R	TNFRSF1B	0.5131857358203975
F2R	SIRT2	0.3339588460478682
F2R	HBEGF	0.4730794757232051
FLT3LG	MMP7	0.1801752921239581
FLT3LG	MUC16	0.10897582599115019
FLT3LG	TNFSF12	0.12266762939815212
FLT3LG	VEGFA	0.17960286695131433
FLT3LG	IL1RL1	0.15310327912238275
FLT3LG	CCL7	0.2307354593813109
FLT3LG	PAPPA	0.13875801314578062
FLT3LG	CCL2	0.2545503882998812
LIFR	SPON1	0.18607853174220512
LIFR	CCL23	0.2032785981191001
LIFR	HGF	0.32599715873539825
RNASE3	SPON1	0.3162450002990349
RNASE3	MPO	0.2813988814103485
RNASE3	IKBKG	0.21690822890590322
RNASE3	IL6R	0.28090551130797614
RNASE3	TNFSF14	0.18328952812288524
RNASE3	IL18	0.22761961177153012
DKK1	PDGFB	0.19419108848436117
DKK1	TNFSF12	0.12992726490659479
DKK1	F3	0.24420023290019266
PGF	TNFRSF1A	0.5655942402147733
PGF	CSTB	0.5161540591929006
PGF	RETN	0.4673747494367957
PGF	CXCL11	0.2993945926738366
PGF	FAS	0.33414763800465774
PGF	PTX3	0.2302582366711743
PGF	TEK	0.41866495757282696
PAPPA	CCL20	0.15432429769635458
PAPPA	MMP3	0.11900585018474708
PAPPA	FLT3LG	0.13875801314578062
PAPPA	IL16	0.18844342493718358
PAPPA	IL27	0.13881011998158233
PAPPA	NGF	0.13972254076821855
PAPPA	ESM1	0.2994300228010678
STAMBP	CXCL1	0.6389496831542933
STAMBP	CASP8	0.303248787031853
STAMBP	IL10RB	0.2205512627039239
STAMBP	CDCP1	0.19850472424288057
CD274	MPO	0.14176405378323764
CD274	TNFRSF1A	0.2845567815870833
CD274	GAL	0.17825112210109673
RNY5-5p	SPON1	0.21874348595820514
RNY5-5p	IL27	0.17686128379932242
RNY5-5p	TNFSF11	0.14177375996161423
RNY5-5p	RNY4-5p	0.387438467142462
PDGFB	SRC	0.8974905547234275
PDGFB	HSPB1	0.7545062102003124
PDGFB	CXCL5	0.5479963204105402
PDGFB	VEGFD	0.1402915284307582
PDGFB	DKK1	0.19419108848436117
PDGFB	CXCL11	0.19781921074035846
PDGFB	ADA	0.1682428275754395
TGFA	IL15RA	0.3228789056053465
TGFA	NGF	0.34966184760629915
TGFA	TNFRSF1A	0.47927724742492295
TGFA	TNFRSF11B	0.419124453440582
TGFA	CCL23	0.3894896814967357
TGFA	VEGFA	0.6748377719169829
TGFA	AGRP	0.2457990125742775
TGFA	CCL28	0.2790410168188835
TNFRSF11B	HGF	0.6151927709173926
TNFRSF11B	TGFA	0.41912445344058114
TNFRSF11B	CCL7	0.23382670671909356
TNFRSF11B	GH1	0.1364605614524086
TNFRSF11B	IL7	0.26058211091690886
TNFRSF11B	FGF19	0.14875264047212866
AGER	CTSL	0.21811474878235515
AGER	HGF	0.2160371609286642
AGER	KITLG	0.18009002238430405
AGER	CDCP1	0.18562100436863105
AGER	HBEGF	0.33289495650877843
KLK6	KLK11	0.25800649881221904
KLK6	MMP10	0.1810555255548847
KLK6	IL6	0.19847052014469924
KLK6	IL17C	0.13661529071308998
SULT1A1	MB	0.16372760769979777
SULT1A1	PLAU	0.14975070814954172
SULT1A1	MMP7	0.14483941238677112
SULT1A1	EGF	0.4568567066847047
SULT1A1	CD6	0.17016699563292104
EIF4EBP1	CASP8	0.28384444384344487
EIF4EBP1	IL18	0.20215927475233464
EIF4EBP1	CST5	0.19508003440020527
EIF4EBP1	IL10RB	0.5143701041418884
EIF4EBP1	VEGFA	0.5268448304348885
S100A12	CCL7	0.1824914291253874
S100A12	VEGFA	0.20003763880654457
S100A12	CDCP1	0.18556420115429972
S100A12	GDNF	0.11310427429592895
FGF23	PLAU	0.30101211588692856
FGF23	MMP7	0.28946318754105516
FGF23	HGF	0.3378722054362262
FGF23	PLAUR	0.2603141700984528
FGF23	TGFB1	0.29356013085278043
FGF23	VEGFA	0.34620885217893616
FGF21	GDF15	0.18009163091059222
FGF21	IL7	0.1304082242767235
SLAMF1	CCL7	0.16081671274940756
SLAMF1	CCL3	0.24796300492114476
SLAMF1	MUC16	0.19093407806148388
SLAMF1	GDF15	0.2087890260204519
SLAMF1	TEK	0.12906053470925283
SLAMF1	CCL28	0.24545793269375693
TGFB1	CD40	0.35870240141843013
TGFB1	CXCL1	0.27945561437667177
TGFB1	IL6R	0.13979436154777236
TGFB1	IL15RA	0.3333894583472574
TGFB1	CCL8	0.20415292790286532
TGFB1	FGF23	0.29356013085278043
TGFB1	TNFSF14	0.20535390072032023
TGFB1	CXCL11	0.2962151316613788
MUC16	OSM	0.1643713127126345
MUC16	FLT3LG	0.10897582599115019
MUC16	TNFRSF10B	0.17415017657479392
MUC16	DNER	0.16094200473347975
MUC16	CHI3L1	0.2096848926240389
MUC16	SLAMF1	0.19093407806148388
TNFSF14	IL1RN	0.19061121845774398
TNFSF14	CCL7	0.175170117114833
TNFSF14	CCL3	0.3380926821492354
TNFSF14	TGFB1	0.20535390072032023
TNFSF14	RNASE3	0.18328952812288524
TNFSF14	CD40LG	0.230306084903785
TNFSF14	IL18R1	0.19533496730237765
BDNF	CASP8	0.1505349277208774
BDNF	NGF	0.21178292363941242
TNFRSF9	CXCL9	0.634537644556036
TNFRSF9	CXCL5	0.13465083489851715
TNFRSF9	IL12B	0.34185613438427787
TNFRSF9	IL10RA	0.2015923588074413
TNFRSF9	VEGFD	0.14667707135140784
TNFRSF9	VEGFA	0.4446612348400558
TNFRSF9	CD5	0.38899346128920875
TNFSF12	FGF5	0.18698830253792753
TNFSF12	PLAU	0.369068473051116
TNFSF12	TNFSF10	0.16841150591565146
TNFSF12	CCL23	0.31685526488270366
TNFSF12	FLT3LG	0.12266762939815212
TNFSF12	DKK1	0.12992726490659479
TNFSF12	LTA	0.22312232309721747
TNFRSF10B	SPON1	0.3941630536482945
TNFRSF10B	ADM	0.4810451670703717
TNFRSF10B	LGALS3	0.3294451719677145
TNFRSF10B	HAVCR1	0.3722495959659806
TNFRSF10B	FST	0.28699068991768417
TNFRSF10B	MMP3	0.1771621147160065
TNFRSF10B	PLAUR	0.6064238946490601
TNFRSF10B	TNFRSF1A	0.52365886813595
TNFRSF10B	MMP12	0.36753544302517405
TNFRSF10B	CSTB	0.5424600873083323
TNFRSF10B	MUC16	0.17415017657479392
TNFRSF10B	GDF15	0.5819850828635715
SELE	CXCL8	0.19629441237419343
SELE	CXCL16	0.24690680637851425
SELE	MMP12	0.12772557405595464
SELE	PECAM1	0.3273944941808473
CXCL10	CXCL9	0.5809608980756105
CXCL10	SPON1	0.25652901149004403
CXCL10	CXCL1	0.24640032945015644
CXCL10	CCL3	0.3369663569961654
CXCL10	HGF	0.28871332162514385
