Regulator	Target	MI
IL1RN	IL10	0.11461547812318251
IL1RN	IL10RA	0.09379811893759271
IL1RN	AXIN1	0.1344547167111525
IL1RN	PLAUR	0.27746895443494957
IL1RN	PLAT	0.1927789923338663
IL1RN	LEP	0.27884667060619517
IL1RN	DNER	0.22457294391194438
IL1RN	CD244	0.17496122979892714
SPON1	NT-pro-BNP	0.3078703256208195
SPON1	HAVCR1	0.27009995222090044
SPON1	IL10	0.22234650419186064
SPON1	MMP7	0.39961114439819667
SPON1	PGF	0.3678760915449919
SPON1	FGF23	0.3428448329404201
SPON1	CCL25	0.22893165855758735
SPON1	IL10RB	0.2681080630189543
CSF1	PLAU	0.333038462373505
CSF1	DNER	0.21675364264407548
CSF1	IL15RA	0.29336240270289426
CSF1	TNFRSF1B	0.3332995356337838
CSF1	TGFA	0.44346764185553944
CSF1	CCL4	0.2755914953425087
CSF1	EIF4EBP1	0.3597379778188783
CSF1	CCL20	0.16705929989151969
CSF1	IL10RB	0.4428195130400647
CSF1	KITLG	0.18179225080355277
CSF1	GDNF	0.10732800432458411
CSF1	CD5	0.39183338516578914
PLAT	IL15RA	0.1790001726235948
PLAT	IL1RN	0.19277899233386542
PLAT	MMP7	0.28028616860791455
PLAT	TNFSF14	0.21145730324739365
PLAT	BDNF	0.1080147246456864
PLAT	HGF	0.19323145605383107
PLAT	SELE	0.1457130795807693
PLAT	IL6R	0.14186146864617744
PLAT	FGF21	0.3180928663035356
MPO	PRL	0.13970959547453976
MPO	RETN	0.2532140780324683
MPO	NTF3	0.10050246886854541
CXCL16	LGALS3	0.2767526987999904
CXCL16	THBD	0.3060846656608458
CXCL16	TNFRSF10B	0.3432561211118861
FGF5	NT-pro-BNP	0.14389562974824077
FGF5	KLK11	0.1889030509345373
FGF5	MMP10	0.12157597092448302
FGF5	SULT1A1	0.10319241641261367
FGF5	ESM1	0.24813044084549407
NPPB	NT-pro-BNP	1.25415832089893
NPPB	CCL7	0.14706536523922686
NPPB	SLAMF1	0.16129201889561173
LGALS3	CXCL16	0.27675269879998954
LGALS3	OLR1	0.3115377093330487
PLAU	CSF1	0.333038462373505
PLAU	TNFSF10	0.3054605340701153
PLAU	CCL2	0.3872101177616507
PLAU	FGF23	0.32935652691576234
PLAU	TNFSF12	0.44491307293440574
PLAU	CCL28	0.24460479176908478
PLAU	CD244	0.21215332287935063
TNFSF10	CCL8	0.1537371862438306
TNFSF10	GDF15	0.11519686117635874
TNFSF10	PLAU	0.3054605340701144
TNFSF10	TNFRSF9	0.15063998947767576
TNFSF10	IL18	0.1307257457333364
TNFSF10	TNFSF11	0.1447170230919328
TNFSF10	STAMBP	0.094873756659279
IL12B	THBD	0.26230193037526384
IL12B	LIFR	0.19823461985359803
IL12B	DKK1	0.1368650485149976
IL12B	CD6	0.1545609767709566
TNFSF11	NT-pro-BNP	0.19252781966076782
TNFSF11	TNFSF10	0.14471702309193368
IL6R	TNFRSF10B	0.21715911831122447
IL6R	PLAT	0.14186146864617744
IL15RA	CSTB	0.26047060369311126
IL15RA	CSF1	0.29336240270289515
IL15RA	PLAT	0.1790001726235948
IL15RA	PRL	0.14167091352886718
IL15RA	CCL7	0.16511128829224653
IL15RA	SLAMF1	0.14608070037113396
IL15RA	MMP10	0.1643615703906951
RNY4-3p	RNY4-5p	0.7416227822400465
RNY4-3p	TNFRSF1A	0.2228147770135589
RNY4-3p	FGF19	0.1043938183765789
RNY4-3p	IKBKG	0.36804745439890496
FST	CSTB	0.2737266546103898
FST	CCL3	0.16138654683232811
FST	CTSD	0.12379426112745051
FST	OSM	0.1610572026606869
FST	GAL	0.1110562230831551
FST	PAPPA	0.2260554070149423
FST	PECAM1	0.22620264377854138
FST	IL17A	0.10940197062457901
HGF	PLAT	0.19323145605383107
HGF	TGFA	0.3692537147942776
HGF	TNFRSF11B	0.4729734275123185
HGF	CCL2	0.3626002552063303
HGF	CCL25	0.25660874283118584
HGF	CD5	0.3841298752685569
F2R	IL27	0.24804392828778532
F2R	TNFRSF1B	0.5357196069991073
F2R	SIRT2	0.2585743544883625
F2R	AGER	0.24728592310975817
F2R	CCL3	0.25766846168084534
F2R	TNFSF14	0.24128112136474744
F2R	KLK11	0.4084841017427818
FLT3LG	CD40	0.17891381460195888
FLT3LG	CCL11	0.11001586615517844
FLT3LG	NGF	0.15483112251179332
FLT3LG	KLK11	0.19318061518931184
FLT3LG	IL6	0.21839472211763145
FLT3LG	CDCP1	0.15634825678211417
LIFR	EIF4EBP1	0.2082142527716826
LIFR	IL12B	0.19823461985359803
