Regulator	Target	MI
IL1RN	CXCL1	0.11446452046112299
IL1RN	MPO	0.22212077087487891
IL1RN	CCL25	0.20471272560305653
IL1RN	IL6	0.2554459530070812
IL1RN	FABP4	0.35618468764678823
SPON1	MPO	0.24811635163239565
SPON1	LIFR	0.2503576027955594
SPON1	FGF23	0.2296843674971205
SPON1	TNFRSF10B	0.407200646721142
SPON1	VEGFD	0.21457449452562471
CSF1	HGF	0.4387082109983753
CSF1	TNFRSF1B	0.35745187948584434
CSF1	TGFA	0.5113023004916526
CSF1	BDNF	0.14213667256540408
CSF1	IL10RB	0.4095977586771795
PLAT	FABP4	0.22561370796203128
PLAT	REN	0.10317218779342596
PLAT	IL18R1	0.1973917913856793
MPO	IL1RN	0.22212077087487891
MPO	SPON1	0.24811635163239476
MPO	PRL	0.16845117763155404
MPO	RNASE3	0.25558211858326807
MPO	PAPPA	0.15132000863479966
CXCL16	CSTB	0.40780215720653423
CXCL16	IL6R	0.2863694907007561
CXCL16	F3	0.32937580610739126
CXCL16	LEP	0.17917861947519587
CXCL16	IL18R1	0.1803398858118408
FGF5	FLT3LG	0.10540637924287832
FGF5	GH1	0.10702695248952043
FGF5	GDNF	0.09834022722752245
FGF5	CD5	0.1707637397408721
FGF5	MB	0.15705171968439124
FGF5	NTF3	0.08899536879515413
FGF5	CCL3	0.1305863033208663
FGF5	PTX3	0.1982049953077727
NPPB	NT-pro-BNP	1.2714848212841003
NPPB	CX3CL1	0.1698344892472674
NPPB	HBEGF	0.20851239428105917
NPPB	IL17A	0.1386636663396965
LGALS3	IL27	0.16026536062215158
LGALS3	RETN	0.30034509397920317
LGALS3	FABP4	0.27140130889402947
PLAU	PDGFB	0.2769077875717292
PLAU	SULT1A1	0.1819085529778306
PLAU	DNER	0.3306877449542762
PLAU	CCL2	0.34400781970227357
PLAU	MMP10	0.19333826977686286
PLAU	VEGFA	0.25924986933774097
PLAU	CCL28	0.2660787165322782
PLAU	CD244	0.21380817046379175
TNFSF10	CD274	0.12741158365461303
TNFSF10	CCL7	0.11366072635421798
TNFSF10	DNER	0.16464788982120027
TNFSF10	TNFSF11	0.09467799733193782
TNFSF10	KLK11	0.11018995330407311
IL12B	CD274	0.22200264369670908
IL12B	SELE	0.10387319230986414
IL12B	ADA	0.1555144533003041
TNFSF11	TNFRSF10B	0.21821203162216118
TNFSF11	LTA	0.08889562028347431
TNFSF11	TNFSF10	0.09467799733193782
TNFSF11	REN	0.1658832193701807
TNFSF11	HAVCR1	0.14721508153257012
IL6R	CXCL16	0.28636949070075524
IL6R	THBD	0.39186336610245487
IL6R	SLAMF1	0.18228337440244768
IL6R	CCL20	0.1325194360533679
IL15RA	MB	0.20582702589304258
IL15RA	VEGFA	0.3355607811839807
