Regulator	Target	MI
IL1RN	PLAT	0.17598769526287317
IL1RN	SELE	0.23467063292291535
IL1RN	TNFRSF1A	0.3720427089312919
IL1RN	FABP4	0.36964621313293033
IL1RN	GDNF	0.12822207807360453
SPON1	PRL	0.15670243496955116
SPON1	IL6R	0.2156239717932733
SPON1	TNFRSF10B	0.38671812137140726
CSF1	TNFSF10	0.15514599211825608
CSF1	IKBKG	0.2595110512989427
CSF1	TGFA	0.47689925012509704
CSF1	TNFRSF11B	0.581803033278919
CSF1	CCL2	0.39725986248972767
CSF1	S100A12	0.1563495291092467
CSF1	IL10RB	0.4673509132768192
CSF1	FGF19	0.1212041807921711
PLAT	IL1RN	0.17598769526287317
PLAT	RNY4-5p	0.1888308527754745
PLAT	LEP	0.21909460556862292
PLAT	IL18R1	0.27403108780069996
PLAT	FGF21	0.12399432717197811
MPO	IL27	0.18607233094855324
MPO	IL16	0.24489611436751968
MPO	XPNPEP2	0.16053292588949652
CXCL16	LGALS3	0.3523196359312539
CXCL16	IKBKG	0.23698808376319302
CXCL16	HBEGF	0.39773220128029774
CXCL16	TNFRSF10B	0.38985512570796566
CXCL16	FAS	0.3433591213607041
FGF5	TNFRSF11B	0.22587374664099436
FGF5	ESM1	0.21862978525350396
FGF5	FGF23	0.1986432065291206
FGF5	F2R	0.20697216017913256
FGF5	AXIN1	0.22391489764453443
FGF5	FLT3LG	0.16679256291637756
FGF5	CXCL11	0.17036805196690707
FGF5	GDNF	0.131998187931603
NPPB	NT-pro-BNP	1.407178445097224
NPPB	ESM1	0.2767742221549794
NPPB	NTF3	0.1629679002673381
NPPB	SLAMF1	0.26906007855771463
NPPB	IL16	0.20095312502940033
NPPB	PAPPA	0.19241108048188593
LGALS3	CXCL9	0.16058127951733603
LGALS3	CXCL16	0.3523196359312539
LGALS3	EGF	0.2755712532678469
LGALS3	PGF	0.4137879553090906
LGALS3	FABP4	0.3477332475064374
LGALS3	PECAM1	0.33193051183945244
PLAU	CX3CL1	0.38148606473723046
PLAU	DNER	0.31928389852783834
PLAU	TGFA	0.438640243321073
PLAU	TNFRSF11B	0.41792879834563657
PLAU	CCL2	0.35750888912517187
PLAU	TNFSF12	0.3786296971462013
PLAU	CCL28	0.3005460556586055
PLAU	ADA	0.31302599544162657
PLAU	CD244	0.3520708676497657
TNFSF10	CSF1	0.15514599211825608
TNFSF10	SRC	0.17033053543528887
TNFSF10	MMP3	0.12678792534272976
TNFSF10	XPNPEP2	0.1565601392471203
IL12B	TNFRSF9	0.42257317779811565
IL12B	AGER	0.21383538174775563
IL12B	GH1	0.12147895618589377
TNFSF11	CXCL11	0.1790614537687958
TNFSF11	GDF15	0.15670042089963054
TNFSF11	PRL	0.11823344180365236
TNFSF11	IL6R	0.10898241361016847
IL6R	SPON1	0.2156239717932733
IL6R	SELE	0.15115353336730664
IL6R	PAPPA	0.13646258937464406
IL6R	TNFSF11	0.10898241361016847
IL6R	IKBKG	0.1671185278377596
IL15RA	CD40	0.42339460365003045
IL15RA	CSTB	0.2567500577224351
IL15RA	IL17C	0.25031676086077415
RNY4-3p	RETN	0.17133511950271174
RNY4-3p	IKBKG	0.3380476059241495
