Regulator	Target	MI
IL1RN	MPO	0.24718044807290251
IL1RN	TNFSF14	0.26236159754457766
IL1RN	BDNF	0.1590926965994317
IL1RN	FST	0.21793228400476394
IL1RN	FABP4	0.35837462981515866
SPON1	AGER	0.3498773515920517
SPON1	CXCL16	0.3851324988145759
SPON1	ESM1	0.2056479556471391
SPON1	CCL25	0.15984913615179686
SPON1	MMP7	0.4156165476432694
SPON1	HGF	0.2303303833218271
SPON1	TNFRSF10B	0.4543585267504966
CSF1	CX3CL1	0.3921016704400433
CSF1	PLAU	0.3607442538848309
CSF1	IL15RA	0.44348810717297127
CSF1	HGF	0.3759039255828833
CSF1	TNFRSF1A	0.4758964687827181
CSF1	TGFA	0.45768509975608485
CSF1	EIF4EBP1	0.39025769867168947
CSF1	IL10RB	0.5139481042393426
CSF1	IL10RA	0.1444164012311715
CSF1	CD5	0.5554547895038935
PLAT	SELPLG	0.14939751776551713
PLAT	RNY4-3p	0.15259926684591107
PLAT	CCL20	0.1981435523418602
PLAT	CXCL16	0.2686988400569099
PLAT	FABP4	0.4265363198905687
PLAT	CTSD	0.2794919808822467
PLAT	IL18R1	0.31144458681282483
MPO	IL1RN	0.24718044807290251
MPO	PDGFB	0.24110207586683607
MPO	IL27	0.24178486146041056
MPO	PRL	0.17512491991118928
MPO	CTSL	0.24200726019000562
MPO	RNASE3	0.2531144157556309
MPO	DKK1	0.24340390113758836
MPO	CXCL10	0.17693060262935312
MPO	TEK	0.18700125643633303
MPO	IL17C	0.15819968097397208
CXCL16	SPON1	0.3851324988145741
CXCL16	PLAT	0.268698840056909
CXCL16	NPPB	0.17083716734244447
CXCL16	HBEGF	0.41341487516771913
FGF5	CCL13	0.3318596200905697
FGF5	CXCL8	0.1916332348608094
FGF5	RNY4-3p	0.21147442897744906
FGF5	IL10RA	0.11970643798633507
FGF5	VEGFD	0.21949699175276116
FGF5	DKK1	0.16671463433941813
FGF5	F3	0.19285774591758376
FGF5	NTF3	0.12411890605249543
NPPB	NT-pro-BNP	1.2570054207583885
NPPB	CXCL6	0.12358548747479858
NPPB	CXCL8	0.14633468473205724
NPPB	CXCL16	0.17083716734244447
NPPB	VEGFD	0.17748988926142673
NPPB	SELE	0.14973637142947016
NPPB	GH1	0.157214433247022
NPPB	CCL28	0.16390633253474984
LGALS3	HSPB1	0.3050394380364967
LGALS3	CTSD	0.22475326959145825
LGALS3	IL16	0.2992025526044708
LGALS3	TNFRSF1B	0.2905352334607967
LGALS3	F3	0.2087961686710047
LGALS3	FABP4	0.27549737758249115
LGALS3	CD6	0.18493224025808175
LGALS3	PTX3	0.21610608043645918
PLAU	CSF1	0.3607442538848309
PLAU	TNFRSF11B	0.47624460611539643
PLAU	CCL2	0.37279942014193246
PLAU	FGF23	0.23126812020238585
PLAU	TNFSF12	0.35369723048000257
PLAU	SIRT2	0.14244035644994746
PLAU	CDCP1	0.1852865545772273
PLAU	LTA	0.1697539748701642
PLAU	CCL28	0.22372055207871178
TNFSF10	TNFRSF11B	0.18838222062586052
TNFSF10	IL12B	0.2269314817365755
TNFSF10	ADA	0.147654636289567
IL12B	TNFSF10	0.2269314817365755
IL12B	CCL19	0.3171000607082446
IL12B	TNFRSF9	0.3023821029642253
IL12B	IL16	0.24053603498262266
IL12B	CXCL11	0.25882771704904783
IL12B	LTA	0.2825905301210083
TNFSF11	CCL25	0.14126186296489252
TNFSF11	TNFSF12	0.13721634090812618
TNFSF11	TNFRSF10B	0.15617557440069518
TNFSF11	GAL	0.124996272736694
TNFSF11	IL18R1	0.11950010066130012
IL6R	CSTB	0.2372644083477624
IL6R	CD40LG	0.16228661730129446
IL6R	XPNPEP2	0.11168292506046118
IL6R	IL17C	0.14718319616265596
IL15RA	CSF1	0.3959871713049026
IL15RA	PLAUR	0.3292871244503255
IL15RA	NGF	0.257349649536895
IL15RA	CXCL10	0.22433163206665885
RNY4-3p	RNY5-5p	0.16015784773710706
RNY4-3p	PLAT	0.15259926684591196
RNY4-3p	AGER	0.16485879365564937
RNY4-3p	FGF5	0.21147442897744728
RNY4-3p	HAVCR1	0.14179916886922594
RNY4-3p	TGFB1	0.1596125669961017
RNY4-3p	RNY4-5p	0.7923072463059846
RNY4-3p	GAL	0.10695401246940328
RNY4-3p	FGF19	0.13903511634485
RNY4-3p	PAPPA	0.13881276947391896
RNY4-3p	STAMBP	0.37579715514961265
FST	CSTB	0.365779449217257
FST	IL1RN	0.21793228400476394
FST	MMP7	0.4318348212259506
FST	MUC16	0.2246269967879968
FST	KLK11	0.3020091815406092
FST	GH1	0.2173889002592615
FST	KITLG	0.12791810940816362
HGF	SPON1	0.2303303833218271
HGF	CSF1	0.3759039255828842
HGF	TNFRSF11B	0.45361010650066635
HGF	CTSD	0.21175481413007624
HGF	TGFB1	0.3280763389168282
HGF	FLT3LG	0.24005596545017127
HGF	FABP4	0.2893475860689323
HGF	AGRP	0.24458806149039258
HGF	IL17C	0.23185532324011415
F2R	RNASE3	0.31462247834544943
F2R	SIRT2	0.3605516436331557
F2R	TNFRSF1A	0.45184402913758515
F2R	CSTB	0.42491834543944584
F2R	TNFSF14	0.2912755723051452
F2R	KLK11	0.4178021469302218
FLT3LG	SELPLG	0.09931612090063968
FLT3LG	AGER	0.23519899798665556
FLT3LG	KLK6	0.13293238647525207
FLT3LG	MB	0.20624864974210233
FLT3LG	CCL2	0.24753343154872454
FLT3LG	HGF	0.24005596545017127
FLT3LG	IL10RA	0.14205079271126841
FLT3LG	LEP	0.1170563414736483
FLT3LG	IL18R1	0.15164237177866902
LIFR	TNFRSF11B	0.2945193671863935
LIFR	IL10	0.17187986305105607
LIFR	TNFSF12	0.2718625014365763
LIFR	TNFRSF1A	0.2273510639288867
LIFR	CD6	0.17394182603058184
RNASE3	TGFA	0.2560164794600279
RNASE3	RETN	0.34359090816188154
RNASE3	MPO	0.25311441575563176
RNASE3	CCL4	0.15383884477012355
RNASE3	MMP1	0.1325980235689368
RNASE3	F2R	0.31462247834544943
RNASE3	IL18	0.1745612526628193
DKK1	CXCL9	0.17459714785893787
DKK1	CXCL1	0.2362071458090531
DKK1	MPO	0.24340390113758836
DKK1	CST5	0.170909772747466
DKK1	FGF5	0.16671463433941902
DKK1	THBD	0.32384545681212185
DKK1	DNER	0.20875616389313834
DKK1	HBEGF	0.34174112820406943
PGF	TNFRSF1A	0.4849277181918046
PGF	HBEGF	0.5014278164999695
PGF	KLK6	0.3162192327850386
PGF	KLK11	0.4417675717933811
PGF	FAS	0.4127758992661805
