Regulator	Target	MI
IL1RN	FGF21	0.18796951043441812
IL1RN	MUC16	0.2356362313843956
IL1RN	GDF15	0.34009115059034567
IL1RN	IL16	0.3522707663749802
IL1RN	REN	0.25063008432577494
IL1RN	CD244	0.2078767681199638
SPON1	CXCL6	0.27688268920040926
SPON1	FGF5	0.21886078253088304
SPON1	HGF	0.33931497579188896
SPON1	PLAUR	0.4267493642182938
SPON1	CCL11	0.3074874619480079
SPON1	FAS	0.4299148378190205
SPON1	PTX3	0.18918415277361866
SPON1	CCL28	0.2503853169167112
SPON1	ADA	0.2627207122069377
CSF1	CX3CL1	0.4118144367955132
CSF1	HGF	0.5357001507069334
CSF1	TNFRSF1A	0.5582791964661951
CSF1	GAL	0.2311473906885677
CSF1	TGFA	0.6297407261842656
CSF1	TNFRSF11B	0.5376850617025957
CSF1	BDNF	0.11803770219529763
CSF1	IL10RB	0.5519047706186244
CSF1	CD5	0.5768289770331725
CSF1	PTX3	0.15700766151529155
PLAT	HAVCR1	0.26555021917201405
PLAT	HGF	0.256563945394765
PLAT	PAPPA	0.14090703440208774
PLAT	FABP4	0.34983070500307445
PLAT	REN	0.18345435725718762
MPO	OLR1	0.32760852561353904
MPO	PAPPA	0.17568734127151675
MPO	AGER	0.25322181276073685
MPO	SELE	0.1841384221771687
MPO	CD40LG	0.25794294032842036
CXCL16	MUC16	0.1535982975831116
CXCL16	PGF	0.45760172018051115
CXCL16	CD40LG	0.147454025898468
FGF5	SPON1	0.23155950971886696
FGF5	CST5	0.13238782132052052
FGF5	CXCL5	0.14326133769156613
FGF5	CASP8	0.3102027707590036
FGF5	CCL25	0.23075275704818665
FGF5	CCL20	0.21585574610217417
FGF5	VEGFD	0.18653808281308404
NPPB	NT-pro-BNP	1.2581808140799815
NPPB	CD40	0.23794251287946633
NPPB	PDGFB	0.2265326787740003
NPPB	NTF3	0.13271889855811025
LGALS3	VEGFD	0.10890551488146993
LGALS3	FABP4	0.43728384681704835
PLAU	NT-pro-BNP	0.27480905512058396
PLAU	TNFSF10	0.3244194586563127
PLAU	IKBKG	0.309304353995417
PLAU	FLT3LG	0.26772322702228113
PLAU	LIFR	0.45304669244319307
PLAU	MMP10	0.3103212493776173
PLAU	TNFRSF11B	0.4217471040882552
PLAU	CCL2	0.38269651215628375
PLAU	TGFB1	0.36614756639737056
