Regulator	Target	MI
IL1RN	PLAT	0.28533635867843277
IL1RN	IL6	0.21336265810247035
IL1RN	FABP4	0.365874565832498
IL1RN	LTA	0.10726451766586997
IL1RN	IL18R1	0.18027601434002172
SPON1	CCL25	0.1894178718024433
SPON1	MMP7	0.27562609941681515
SPON1	RNY4-5p	0.10606658760222487
SPON1	VEGFD	0.1516115989937381
SPON1	PGF	0.2895002624558627
CSF1	CX3CL1	0.44174594235928755
CSF1	OLR1	0.2440410007304603
CSF1	PGF	0.38957418299422564
CSF1	CCL4	0.22145704475814654
CSF1	EIF4EBP1	0.36022776180440097
CSF1	CCL2	0.4189360320355435
CSF1	S100A12	0.16981909271439566
CSF1	VEGFA	0.505076759071442
CSF1	CD5	0.5747042990346527
CSF1	IL7	0.20442511171728395
CSF1	CD244	0.30528582120724135
PLAT	IL1RN	0.28533635867843277
PLAT	TGFB1	0.14947287981740942
PLAT	TNFSF14	0.21057611535424225
PLAT	GDF15	0.19963805661061418
PLAT	IL16	0.2093504113514415
PLAT	REN	0.17285730252017562
MPO	PRL	0.18837236682095337
MPO	RETN	0.2689639108818378
MPO	THBD	0.24571950266133769
CXCL16	CSTB	0.32801047853540677
CXCL16	SELPLG	0.09734047772348564
CXCL16	LGALS3	0.3263687203243686
CXCL16	IL6R	0.22774830499921883
CXCL16	KITLG	0.16977705437277546
FGF5	PLAUR	0.1429387508476072
FGF5	VEGFD	0.11586524894313488
FGF5	GH1	0.1254655185878395
FGF5	CASP8	0.11855023621065364
FGF5	CD40LG	0.17375707542306085
FGF5	CD5	0.16480480853069412
FGF5	DNER	0.1268159715631061
FGF5	NTF3	0.17818005992870578
NPPB	NT-pro-BNP	1.363740206227102
NPPB	CXCL10	0.1489917494889994
LGALS3	PRL	0.1392586288965072
LGALS3	CXCL16	0.3263687203243695
LGALS3	CD40LG	0.1796185175656264
PLAU	PDGFB	0.11918260922648738
PLAU	DNER	0.3725520394804276
PLAU	TNFSF10	0.22220123955487647
PLAU	IL10RB	0.3858947723301487
PLAU	HGF	0.3391540583772441
PLAU	TNFSF12	0.38254100066596664
PLAU	CDCP1	0.22338303069424015
TNFSF10	PLAU	0.22220123955487558
TNFSF10	TNFSF11	0.19367328554622087
TNFSF10	AGRP	0.16286449572546413
TNFSF10	KLK6	0.14946708577176793
IL12B	CD5	0.2572135505562745
TNFSF11	NTF3	0.19812569227237287
TNFSF11	TNFSF10	0.19367328554622087
TNFSF11	TNFRSF10B	0.17375720226256597
TNFSF11	REN	0.11289551193307457
IL6R	CXCL16	0.22774830499921883
IL6R	FST	0.22803618326530373
IL6R	PLAUR	0.26017154938528897
IL6R	IL18R1	0.16295702957368885
IL15RA	PECAM1	0.1621869441070798
IL15RA	TGFA	0.40067918711975814
RNY4-3p	RNY4-5p	0.744791904487192
RNY4-3p	PDGFB	0.28782479473612543
RNY4-3p	DKK1	0.20252772827935583
RNY4-3p	ESM1	0.1114076396905812
RNY4-3p	CD244	0.16497552764434698
FST	CSTB	0.2585315931231156
FST	CCL4	0.1522230037026997
FST	IL6R	0.22803618326530373
FST	CD6	0.12581302305466924
FST	IL17C	0.13399386975588357
HGF	PLAU	0.3391540583772441
HGF	TGFA	0.43192857306171106
HGF	TNFRSF11B	0.5505149083270844
HGF	TGFB1	0.37575844974489225
HGF	CCL20	0.4523178024282988
HGF	SELE	0.1873287556927643
F2R	CXCL6	0.1786578840257791
F2R	CX3CL1	0.24706437922082003
F2R	PGF	0.5481379216762639
F2R	SELE	0.16913635115924652
FLT3LG	CXCL9	0.254350330801997
FLT3LG	CXCL1	0.20891585094888931
FLT3LG	VEGFA	0.23169204300887092
FLT3LG	XPNPEP2	0.12562493696017807
LIFR	CX3CL1	0.25940718102772475
LIFR	ESM1	0.22144981877333692
