Regulator	Target	MI
IL1RN	PLAT	0.19131824360014082
IL1RN	FST	0.18296989037930356
IL1RN	FABP4	0.3296433657478035
SPON1	NT-pro-BNP	0.285142430172602
SPON1	MPO	0.2430038427236214
SPON1	LGALS3	0.36295274130901145
SPON1	ESM1	0.1255099375895945
SPON1	TNFRSF10B	0.3808046458842762
CSF1	CD40	0.5590876540029184
CSF1	CX3CL1	0.5573870116854645
CSF1	TNFRSF11B	0.40701124026418345
CSF1	CCL2	0.36999166261442173
CSF1	IL10RB	0.5105538391772315
CSF1	CCL28	0.229869420161263
CSF1	ADA	0.2678122841667392
PLAT	IL1RN	0.19131824360014082
PLAT	CX3CL1	0.2642822772997997
PLAT	REN	0.11721914367934705
PLAT	CTSD	0.25379454449288286
PLAT	FGF21	0.14646113525296833
PLAT	SLAMF1	0.13371765492776166
MPO	SPON1	0.2430038427236223
MPO	PRL	0.11121205055376038
MPO	IL12B	0.1387143285703738
MPO	TNFRSF1A	0.26217266959988983
MPO	PTX3	0.18092339441974303
CXCL16	LGALS3	0.30963212153192465
CXCL16	IL6R	0.3202971481107406
CXCL16	TNFSF12	0.14560498434850988
CXCL16	F2R	0.3409690275388746
FGF5	CD274	0.19762483223643112
FGF5	IL10RA	0.10414203023326785
FGF5	VEGFD	0.23563866472089057
FGF5	FGF19	0.12093481274035511
FGF5	IL12B	0.1604709248327998
NPPB	NT-pro-BNP	1.4476213920618726
NPPB	IL10RA	0.1281773650740865
NPPB	PDGFB	0.12808213073048602
LGALS3	SPON1	0.36295274130901056
LGALS3	CXCL16	0.30963212153192465
LGALS3	PLAUR	0.36018908943647343
PLAU	AGER	0.25921573524948194
PLAU	DNER	0.41768030890074215
PLAU	TNFSF10	0.2251851836402814
PLAU	CCL2	0.4380172637990052
TNFSF10	VEGFD	0.09916604837413168
TNFSF10	PLAU	0.2251851836402805
IL12B	F2R	0.1384316492597515
IL12B	MPO	0.1387143285703738
IL12B	FGF5	0.1604709248327998
IL12B	LTA	0.12859570785607488
IL12B	ADA	0.1788253179304249
IL12B	CD244	0.20513034100976046
TNFSF11	FABP4	0.10311089974708931
TNFSF11	MMP1	0.12618626323327042
TNFSF11	TNFRSF9	0.12091471120097452
TNFSF11	REN	0.1277575130996489
IL6R	CXCL16	0.3202971481107406
IL6R	THBD	0.22756821971977104
IL6R	SLAMF1	0.1381329421572577
IL15RA	NT-pro-BNP	0.30705027309714517
IL15RA	CD40	0.41050125298969853
IL15RA	IL27	0.22098570559375919
IL15RA	IL18	0.18208315324505353
IL15RA	NGF	0.3821942904868836
IL15RA	TNFRSF1B	0.34358775389617247
IL15RA	S100A12	0.22522267090862425
IL15RA	TNFSF14	0.2547040241777738
IL15RA	IL10RB	0.41657799030810594
IL15RA	CXCL10	0.3067597678658567
RNY4-3p	RNY4-5p	0.8500164824771614
RNY4-3p	RNY5-5p	0.1694663577967317
RNY4-3p	GDNF	0.10980549482991186
RNY4-3p	CCL2	0.1540970196919762
FST	IL1RN	0.18296989037930445
FST	THBD	0.22737480953595934
HGF	CD40	0.3636562850974787
HGF	TNFRSF11B	0.5924312535058993
