Regulator	Target	MI	pvalue
TGFA	TNFRSF1A	0.47110623939323487	2.8567459953166008E-8
CHI3L1	CTSD	0.24351147490256597	0.0
EIF4EBP1	CD40	0.44668972668750134	4.3036481058411624E-5
LIFR	IL1RL1	0.16131288729810614	4.3036481058411624E-5
TNFRSF1B	IL16	0.4436828530207469	2.2386537068541656E-12
TEK	PGF	0.37132078913889016	8.954614827416663E-12
MPO	CD244	0.20617691177103073	4.1280774354390815E-9
TGFA	TNFRSF11B	0.42545565365431814	7.3834761669111515E-6
ESM1	PAPPA	0.25764136701005746	0.0
CXCL10	IL18	0.23485049887585893	7.3834761669111515E-6
SPON1	TNFRSF10B	0.4204997918772399	0.0
TNFRSF11B	TGFB1	0.3782992528404116	0.0
STAMBP	CASP8	0.3486651172176148	0.0
IL10RB	CX3CL1	0.4183253080595953	1.210184852773466E-6
TNFRSF10B	MMP7	0.4308326736361749	0.0
FABP4	IL18R1	0.18659558911172086	0.03005249237844465
IL10RB	CCL2	0.4093710479087376	2.391404145805076E-4
CD40	TNFRSF9	0.4478959318985755	2.391404145805076E-4
TNFRSF10B	CHI3L1	0.3156025578344211	4.1280774354390815E-9
SELE	IL1RN	0.21670944112680976	0.0
SLAMF1	CDCP1	0.22736555406935222	4.3036481058411624E-5
HBEGF	CXCL16	0.36981418705188884	5.730953489546664E-10
ADA	PLAU	0.27355685225234105	7.611422603304163E-11
TNFRSF1A	TNFRSF9	0.4583557973570089	0.03005249237844465
CCL3	EIF4EBP1	0.34368293285041757	0.006336472845104524
IL17A	CCL20	0.1961644900968042	0.0
SRC	EGF	0.7396553890741747	0.0
EIF4EBP1	VEGFA	0.4554186137523058	0.0
CXCL9	TNFRSF9	0.42177019114919645	0.0
PAPPA	ESM1	0.2577651003550726	0.0
CXCL16	PGF	0.4003913881849828	0.03005249237844465
IL15RA	CCL8	0.24276724057922183	7.3834761669111515E-6
CXCL11	CCL8	0.22891740612072162	0.03005249237844465
KLK11	F2R	0.4694741313683258	4.3036481058411624E-5
CSF1	IL15RA	0.35979791872414346	7.3834761669111515E-6
TNFRSF1A	EIF4EBP1	0.41431839783501434	0.0012638482610354274
HBEGF	F2R	0.5013713996107032	0.0
TNFRSF1B	IL27	0.30655408903750647	0.0
IL12B	ADA	0.21726166834343028	2.8567459953166008E-8
HGF	CCL20	0.28107650535990925	0.0
TNFSF10	PLAU	0.2438743296346569	0.0
CTSD	SELE	0.18602511398950822	0.0
SPON1	ESM1	0.23058443441863896	2.2386537068541656E-12
FAS	AGER	0.3155117901597225	2.8567459953166008E-8
NGF	TGFA	0.40558606973802325	0.0
KLK6	KLK11	0.3586917036381714	1.210184852773466E-6
HGF	FGF23	0.39323074497888494	0.0
GDNF	DNER	0.15594137463727556	4.1280774354390815E-9
CHI3L1	TNFRSF1A	0.3098688330628958	0.03005249237844465
EIF4EBP1	TNFRSF1A	0.4110900409288186	2.391404145805076E-4
CXCL9	CCL25	0.2763491645133007	7.611422603304163E-11
IL15RA	TNFRSF1B	0.34517934861609256	2.391404145805076E-4
TNFRSF1B	IL12B	0.3059012268928032	0.0012638482610354274
PLAUR	MMP12	0.3167808410286803	2.8567459953166008E-8
MMP12	CTSL	0.27435629277513235	1.210184852773466E-6
PLAU	CCL2	0.3962834209078128	0.0
MMP7	OLR1	0.3377303322814234	0.03005249237844465
EIF4EBP1	CCL3	0.3444031837609971	0.006336472845104524
REN	ADM	0.24848511760652836	4.3036481058411624E-5
NT-pro-BNP	CHI3L1	0.2586310567529263	0.0
CXCL6	CD244	0.27227190577075516	0.0
CCL3	CASP8	0.2951520956266252	0.0
CD40LG	IKBKG	0.6820520382085137	0.0
F3	THBD	0.3810426624537355	0.0012638482610354274
CCL2	IL10RB	0.4093710479087378	2.391404145805076E-4
PLAU	IL10RB	0.37393414940448805	0.0012638482610354274
CXCL5	PDGFB	0.4382492529312045	0.0
NT-pro-BNP	IL27	0.2137337323564574	0.0012638482610354274
ADA	TNFSF12	0.2585466812636542	2.8567459953166008E-8
IL7	DNER	0.2077515063313441	0.03005249237844465
IL18R1	TNFSF14	0.2251043365901452	0.0
CXCL16	IL6R	0.27394120076005585	0.0
IL6	S100A12	0.2176948016586699	0.0012638482610354274
IL1RN	PLAT	0.26427053879938683	0.0
NGF	CSF1	0.41748074206046687	4.1280774354390815E-9
MMP12	MMP10	0.21213324116087412	7.611422603304163E-11
TNFSF10	VEGFD	0.15240533696161085	0.006336472845104524
RNY4-3p	RNY4-5p	0.7414179875904163	0.0
MMP7	CXCL16	0.3300160301051942	2.391404145805076E-4
TGFB1	HGF	0.38168069530271687	2.8567459953166008E-8
MMP3	IL17C	0.17965153710163273	2.391404145805076E-4
CXCL6	AGRP	0.21344474359179114	0.0
FGF5	SPON1	0.23850851666106515	7.611422603304163E-11
CXCL8	MMP10	0.23077238016345314	2.391404145805076E-4
PTX3	IL27	0.22699948858447921	0.0
IL12B	CD5	0.28687817208542765	8.954614827416663E-12
SPON1	CCL25	0.24426581985319273	1.8987141414683606E-7
AGRP	IL10RA	0.15918999599058914	7.3834761669111515E-6
PLAT	SELE	0.1879501935148465	0.006336472845104524
TNFSF12	KITLG	0.17860480977731316	0.0012638482610354274
TNFRSF1B	THBD	0.542590258038681	0.0
TNFRSF9	TNFRSF1B	0.4392918510829831	0.0
TNFRSF9	TNFRSF1A	0.4591845754664067	0.006336472845104524
ADM	TNFRSF1A	0.5040985739771561	2.391404145805076E-4
CCL7	S100A12	0.20761229641771728	0.0
FABP4	IL1RN	0.3801471824718019	0.0
AGER	HBEGF	0.3152484760387096	0.0
MMP12	CCL20	0.2223668411515249	0.0012638482610354274
F3	KLK11	0.37281827945276197	2.391404145805076E-4
GAL	PAPPA	0.13501391272336277	4.3036481058411624E-5
TNFRSF11B	LIFR	0.33830433660124426	0.006336472845104524
RNY5-5p	XPNPEP2	0.14491260377837417	7.3834761669111515E-6
FGF5	CXCL8	0.23307757178170116	0.03005249237844465
IL27	OLR1	0.27044776275517374	7.3834761669111515E-6
TNFRSF10B	CSTB	0.5626530111187659	0.0
CSF1	TNFRSF1B	0.43576063708702173	0.0
CD40	CXCL9	0.430948218576346	0.0
CXCL8	HGF	0.31665491729400547	0.0012638482610354274
VEGFA	TNFRSF1A	0.4707040712490901	0.0
DNER	CCL28	0.2557847393920036	8.954614827416663E-12
CX3CL1	KITLG	0.22326827058347704	0.0
CCL7	CCL2	0.22925213176041076	2.391404145805076E-4
CCL7	CCL3	0.21303388709354876	0.006336472845104524
CHI3L1	NPPB	0.24553902845673606	0.0012638482610354274
CCL2	FLT3LG	0.2584111976621133	0.0
PTX3	TNFRSF10B	0.23650748181822673	0.0012638482610354274
CCL11	CCL25	0.27150924303872354	0.0
CCL11	CCL28	0.2911437458799989	0.0
CCL11	CCL20	0.2092001746384333	2.391404145805076E-4
IL12B	CXCL10	0.2817067713643685	1.210184852773466E-6
CXCL16	TNFRSF10B	0.3916808056875452	1.8987141414683606E-7
