Regulator	Target	MI
122_TIE2_(CVD)	157_IL-12B_(INF)	0.2213847513075553
122_TIE2_(CVD)	164_CTSD_(CVD)	0.25387942431581667
122_TIE2_(CVD)	114_IL-17C_(INF)	0.20265939710299818
122_TIE2_(CVD)	144_FAS_(CVD)	0.4649627268428116
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.31715481534305656
148_PTX3_(CVD)	191_ST1A1_(INF)	0.12854949431827034
148_PTX3_(CVD)	107_PlGF_(CVD)	0.24786940285051262
148_PTX3_(CVD)	162_IL-10_(INF)	0.16293277189991517
148_PTX3_(CVD)	miR-192-5p	0.12001331297533202
108_CD244_(INF)	164_CTSD_(CVD)	0.1445374788092888
108_CD244_(INF)	125_PDGF subunit B_(CVD)	0.20245421233057392
108_CD244_(INF)	149_IL-10RB_(INF)	0.4143112270409235
108_CD244_(INF)	196_CSF-1_(INF)	0.43177575955971825
108_CD244_(INF)	139_PRL_(CVD)	0.13491215303142123
108_CD244_(INF)	196_ECP_(CVD)	0.2034269667493378
108_CD244_(INF)	miR-324-5p	0.1577972284145055
108_CD244_(INF)	112_uPA_(INF)	0.4971715658680047
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.31715481534305745
179_ESM-1_(CVD)	miR-885-5p	0.1068504603329794
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.3186818112684344
179_ESM-1_(CVD)	156_HGF_(INF)	0.2130793909756319
179_ESM-1_(CVD)	165_RAGE_(CVD)	0.2591779174140143
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.17405427412003593
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.29641640582373174
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.5200373637503128
129_LOX-1_(CVD)	175_EN-RAGE_(INF)	0.2041961269968553
108_SELE_(CVD)	miR-28-5p	0.11979079602044695
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.265165198942392
108_SELE_(CVD)	194_ADA_(INF)	0.16469728594543476
108_SELE_(CVD)	162_U-PAR_(CVD)	0.30338887051617913
108_SELE_(CVD)	miR-197-3p	0.22700430914073966
108_SELE_(CVD)	143_LIF-R_(INF)	0.3060565157881916
108_SELE_(CVD)	miR-16-5p	0.1442637410589933
miR-122-5p	miR-885-5p	0.36141695607201196
miR-122-5p	RNY5-5p	0.39122541935495647
miR-122-5p	130_TRAIL-R2_(CVD)	0.11797820402669412
miR-122-5p	miR-24-3p	0.2213730048147724
miR-122-5p	miR-192-5p	0.19102308748386054
miR-122-5p	miR-375	0.13267248013532917
miR-21-5p	151_ST2_(CVD)	0.2285238246926422
miR-21-5p	140_MPO_(CVD)	0.14070368537254296
miR-21-5p	miR-221-3p	0.5947104295174821
178_HB-EGF_(CVD)	151_ST2_(CVD)	0.19488240372158927
178_HB-EGF_(CVD)	183_SPON1_(CVD)	0.3746329209442134
178_HB-EGF_(CVD)	miR-885-5p	0.18980397034352237
178_HB-EGF_(CVD)	126_OSM_(INF)	0.24418793394118765
178_HB-EGF_(CVD)	136_MMP-3_(CVD)	0.22940541972448614
178_HB-EGF_(CVD)	194_PECAM-1_(CVD)	0.32871161153598916
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.540668996255568
miR-145-5p	miR-140-5p	0.6215943893495757
miR-145-5p	miR-30b-5p	0.7235737637805455
miR-145-5p	miR-99b-5p	0.42535004379960295
miR-145-5p	107_CDCP1_(INF)	0.18660248058789541
179_FGF-19_(INF)	164_CTSD_(CVD)	0.1589144006273937
179_FGF-19_(INF)	191_CA-125_(CVD)	0.15046276250303414
179_FGF-19_(INF)	165_RAGE_(CVD)	0.10763486187083338
179_FGF-19_(INF)	miR-92a-3p	0.16696280421564147
179_FGF-19_(INF)	miR-99b-5p	0.20849269147156768
196_CSF-1_(INF)	108_CD244_(INF)	0.43177575955971736
196_CSF-1_(INF)	189_TWEAK_(INF)	0.30818224996193866
196_CSF-1_(INF)	miR-143-3p	0.282440933878207
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.6586565100334312
196_CSF-1_(INF)	141_GH_(CVD)	0.32800619079779914
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.46336381434843865
196_CSF-1_(INF)	165_CD5_(INF)	0.5019578443631998
196_CSF-1_(INF)	173_CCL28_(INF)	0.2750617928830881
196_CSF-1_(INF)	103_BDNF_(INF)	0.10629808708942434
196_CSF-1_(INF)	170_4E-BP1_(INF)	0.6009231304930873
196_CSF-1_(INF)	169_CXCL10_(INF)	0.3865344598742846
196_CSF-1_(INF)	156_HGF_(INF)	0.5557558620104235
196_CSF-1_(INF)	148_IL-15RA_(INF)	0.3689769660858424
miR-143-3p	196_CSF-1_(INF)	0.282440933878207
miR-143-3p	miR-197-3p	0.384330820464136
miR-143-3p	miR-140-5p	0.2952825548400817
132_SCF_(INF)	140_MPO_(CVD)	0.18386612913453515
132_SCF_(INF)	136_MMP-3_(CVD)	0.16533502519794752
132_SCF_(INF)	miR-486-5p	0.10091391102085545
132_SCF_(INF)	192_NEMO_(CVD)	0.10875969715776446
132_SCF_(INF)	144_FAS_(CVD)	0.1338192422081983
132_SCF_(INF)	186_CX3CL1_(INF)	0.20828813162798632
191_ST1A1_(INF)	148_PTX3_(CVD)	0.12854949431827034
191_ST1A1_(INF)	137_CCL11_(INF)	0.13643300244416334
191_ST1A1_(INF)	109_EGF_(CVD)	0.3738106534018524
152_PD-L1_(INF)	hsa-miR-574-3p	0.20018376314540554
152_PD-L1_(INF)	miR-27b-3p	0.1490949905390595
152_PD-L1_(INF)	124_TNF-R1_(CVD)	0.5005667836759367
107_PlGF_(CVD)	148_PTX3_(CVD)	0.24786940285051262
107_PlGF_(CVD)	164_CCL23_(INF)	0.2222285804181583
107_PlGF_(CVD)	130_TRAIL-R2_(CVD)	0.5849759748526671
107_PlGF_(CVD)	193_FS_(CVD)	0.3380168661813112
107_PlGF_(CVD)	miR-197-3p	0.19139382552527273
miR-486-5p	RNY5-5p	0.24635305747547065
miR-486-5p	miR-320a	0.40343455848696763
miR-486-5p	132_SCF_(INF)	0.10091391102085545
miR-486-5p	145_PAPPA_(CVD)	0.17635024075799244
miR-486-5p	miR-16-5p	0.6804191752473896
160_IL-16_(CVD)	135_TNF-R2_(CVD)	0.6521350615248238
160_IL-16_(CVD)	187_FABP4_(CVD)	0.34834954314450783
160_IL-16_(CVD)	175_EN-RAGE_(INF)	0.27948015218431177
160_IL-16_(CVD)	109_EGF_(CVD)	0.2515454498490053
112_IL-1ra_(CVD)	138_TNFSF14_(INF)	0.2726159885339703
112_IL-1ra_(CVD)	135_TNF-R2_(CVD)	0.3148876011493895
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.5349636803664977
