Regulator	Target	MI
122_TIE2_(CVD)	126_OSM_(INF)	0.18374488358370478
122_TIE2_(CVD)	miR-28-5p	0.18718908228318654
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.27422046578398174
122_TIE2_(CVD)	151_IL-18R1_(INF)	0.10016009285036986
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.18357350113362791
122_TIE2_(CVD)	miR-99b-5p	0.11669190826251441
122_TIE2_(CVD)	144_FAS_(CVD)	0.4631602667269883
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.4251668911964108
148_PTX3_(CVD)	miR-222-3p	0.15303957462111484
148_PTX3_(CVD)	101_IL-8_(INF)	0.27561880075304845
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.25400159475244344
148_PTX3_(CVD)	miR-375	0.1709852360674411
148_PTX3_(CVD)	145_PAPPA_(CVD)	0.2302220803718793
108_CD244_(INF)	125_PDGF subunit B_(CVD)	0.16829692781397565
108_CD244_(INF)	131_CD6_(INF)	0.22885582545950545
108_CD244_(INF)	117_CXCL11_(INF)	0.1926387892621575
108_CD244_(INF)	111_LAP TGF-beta-1_(INF)	0.24803968467919635
108_CD244_(INF)	176_CD40_(INF)	0.22258276393925325
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.42428239539994195
179_ESM-1_(CVD)	164_CTSD_(CVD)	0.20413200876720872
179_ESM-1_(CVD)	191_CA-125_(CVD)	0.1607805649092775
179_ESM-1_(CVD)	107_PlGF_(CVD)	0.33028409004513914
179_ESM-1_(CVD)	miR-16-5p	0.20258419588044152
129_LOX-1_(CVD)	164_CCL23_(INF)	0.22919026684202848
129_LOX-1_(CVD)	172_SIRT2_(CVD)	0.22764096098024122
129_LOX-1_(CVD)	135_TNF-R2_(CVD)	0.33887202678311645
129_LOX-1_(CVD)	181_VEGF-D_(CVD)	0.17461128526112635
129_LOX-1_(CVD)	133_IL-18_(INF)	0.21383329865702638
129_LOX-1_(CVD)	120_TRAIL_(INF)	0.12060270125500505
129_LOX-1_(CVD)	171_Dkk-1_(CVD)	0.2099473423270739
108_SELE_(CVD)	168_CXCL6_(INF)	0.11894661329567668
108_SELE_(CVD)	miR-885-5p	0.09878543178332855
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.31741634374618855
108_SELE_(CVD)	miR-486-5p	0.13682691641088596
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.18960781789434034
miR-122-5p	miR-143-3p	0.09240827129251361
miR-122-5p	157_PSGL-1_(CVD)	0.17333784429125298
miR-122-5p	miR-324-5p	0.13956848943288858
miR-122-5p	187_FABP4_(CVD)	0.14254650345512143
miR-122-5p	miR-885-5p	0.5495861911469442
miR-21-5p	miR-126-3p	0.5731010020585812
miR-21-5p	miR-320a	0.571734954321367
miR-21-5p	193_FS_(CVD)	0.16562966711698301
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.6142827926260521
178_HB-EGF_(CVD)	158_MB_(CVD)	0.3726727084882775
178_HB-EGF_(CVD)	123_TF_(CVD)	0.36263099663312115
miR-145-5p	miR-143-3p	0.23286118487618523
miR-145-5p	102_VEGF-A_(INF)	0.22834203432301958
miR-145-5p	miR-26a-5p	0.4542447700731227
miR-145-5p	182_MMP-12_(CVD)	0.18231503972206653
179_FGF-19_(INF)	195_TNFB_(INF)	0.12457078248273756
179_FGF-19_(INF)	150_CHI3L1_(CVD)	0.12256679063971188
179_FGF-19_(INF)	miR-486-5p	0.17762959304871728
196_CSF-1_(INF)	RNY4-3p	0.2610193985056384
196_CSF-1_(INF)	101_IL-8_(INF)	0.2308734400057002
196_CSF-1_(INF)	165_CD5_(INF)	0.4846785645309577
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.4936995089755527
196_CSF-1_(INF)	109_IL-7_(INF)	0.34046171747007037
196_CSF-1_(INF)	153_Beta-NGF_(INF)	0.37154398889773343
196_CSF-1_(INF)	130_CCL4_(INF)	0.1332033438570015
miR-143-3p	miR-122-5p	0.09240827129251361
miR-143-3p	miR-145-5p	0.23286118487618612
