Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.2432185350696301
122_TIE2_(CVD)	miR-143-3p	0.17008610538867774
122_TIE2_(CVD)	107_PlGF_(CVD)	0.47934604400878555
122_TIE2_(CVD)	miR-30b-5p	0.1859070735216246
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.2612006437066725
148_PTX3_(CVD)	122_TIE2_(CVD)	0.2432185350696292
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.26210456225524315
148_PTX3_(CVD)	120_TRAIL_(INF)	0.12715245270503495
148_PTX3_(CVD)	135_TGF-alpha_(INF)	0.2606196824299314
148_PTX3_(CVD)	140_IL-10RA_(INF)	0.1450014933299597
148_PTX3_(CVD)	172_SIRT2_(CVD)	0.2514189174879391
148_PTX3_(CVD)	150_CHI3L1_(CVD)	0.1821484517428562
148_PTX3_(CVD)	183_SPON1_(CVD)	0.24587874758573314
108_CD244_(INF)	126_IL27-A_(CVD)	0.2339834485770158
108_CD244_(INF)	165_CD5_(INF)	0.4242555817460909
108_CD244_(INF)	miR-30b-5p	0.20139563022340035
108_CD244_(INF)	195_TNFB_(INF)	0.1895674430301746
108_CD244_(INF)	131_CD6_(INF)	0.3496374322522442
108_CD244_(INF)	112_uPA_(INF)	0.36730985369026214
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.26210456225524315
179_ESM-1_(CVD)	191_CA-125_(CVD)	0.17371902181681342
179_ESM-1_(CVD)	139_PRL_(CVD)	0.12354479676045749
179_ESM-1_(CVD)	171_Dkk-1_(CVD)	0.21909835127875965
179_ESM-1_(CVD)	195_NT-pro-BNP_(CVD)	0.21144197631503658
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2307357999626296
179_ESM-1_(CVD)	miR-16-5p	0.16440148436535829
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.3880630032250654
129_LOX-1_(CVD)	167_MMP-7_(CVD)	0.3239465735441147
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3845459017837438
129_LOX-1_(CVD)	172_SIRT2_(CVD)	0.3134923217445893
129_LOX-1_(CVD)	196_ECP_(CVD)	0.3419268684291197
129_LOX-1_(CVD)	107_CDCP1_(INF)	0.3152653848240181
108_SELE_(CVD)	164_CTSD_(CVD)	0.2056789276610207
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3110389079340745
108_SELE_(CVD)	156_HGF_(INF)	0.17531823186651074
108_SELE_(CVD)	195_NT-pro-BNP_(CVD)	0.389726926961405
108_SELE_(CVD)	144_FAS_(CVD)	0.2010556785675197
miR-122-5p	miR-885-5p	0.5292881007493886
miR-122-5p	RNY5-5p	0.22795384250936213
miR-122-5p	170_CXCL16_(CVD)	0.11113122593019131
miR-122-5p	let-7b-5p	0.1551871752753673
miR-21-5p	miR-140-5p	0.49413650057403213
miR-21-5p	158_MB_(CVD)	0.18835716841405414
miR-21-5p	miR-223-3p	0.8075545544313236
miR-21-5p	188_NT-3_(INF)	0.13551680355260576
miR-21-5p	194_ADA_(INF)	0.14778692017020667
miR-21-5p	miR-27b-3p	0.31845647351217377
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.4782829505645241
178_HB-EGF_(CVD)	191_CA-125_(CVD)	0.20581328780242458
178_HB-EGF_(CVD)	194_ADA_(INF)	0.16214511047366198
178_HB-EGF_(CVD)	123_TF_(CVD)	0.4134517418115289
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.4153729567353581
miR-145-5p	151_IL-18R1_(INF)	0.2476458295586763
miR-145-5p	150_CHI3L1_(CVD)	0.13867645246321203
miR-145-5p	191_CA-125_(CVD)	0.15877662666445858
miR-145-5p	miR-20b-5p	0.5918790640231295
miR-145-5p	miR-29a-3p	0.44134320004565364
179_FGF-19_(INF)	155_TRANCE_(INF)	0.10572344860814908
179_FGF-19_(INF)	141_FGF-5_(INF)	0.20783341681325318
179_FGF-19_(INF)	RNY4-5p	0.13394166757166648
179_FGF-19_(INF)	167_MMP-7_(CVD)	0.17530734937109305
179_FGF-19_(INF)	141_GH_(CVD)	0.21006120135554607
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.6386726634748738
196_CSF-1_(INF)	140_IL-10RA_(INF)	0.3028719859724651
196_CSF-1_(INF)	118_AXIN1_(INF)	0.21760028274028542
196_CSF-1_(INF)	miR-324-5p	0.27206600754397936
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.4352192590154269
196_CSF-1_(INF)	107_CDCP1_(INF)	0.38549908761575225
196_CSF-1_(INF)	194_ADA_(INF)	0.3353332471905377
196_CSF-1_(INF)	115_MCP-1_(INF)	0.44916504269354807
196_CSF-1_(INF)	122_CXCL9_(INF)	0.430034096022311
196_CSF-1_(INF)	156_HGF_(INF)	0.6243582145938547
196_CSF-1_(INF)	187_TNFRSF9_(INF)	0.5594881641529934
miR-143-3p	122_TIE2_(CVD)	0.17008610538867686
miR-143-3p	192_STAMPB_(INF)	0.19221879919104445
miR-143-3p	137_CCL11_(INF)	0.10692334568295525
miR-143-3p	145_CCL19_(INF)	0.20642153114991668
132_SCF_(INF)	149_IL-10RB_(INF)	0.33338310337052857
132_SCF_(INF)	miR-26a-5p	0.1608630878145867
132_SCF_(INF)	152_TIM_(CVD)	0.1702539424117413
132_SCF_(INF)	188_BNP_(CVD)	0.2210760335876456
132_SCF_(INF)	177_t-PA_(CVD)	0.12253407780434333
191_ST1A1_(INF)	miR-324-5p	0.2991715593147388
191_ST1A1_(INF)	107_CDCP1_(INF)	0.19647785005490714
191_ST1A1_(INF)	111_SRC_(CVD)	0.6264519426300179
191_ST1A1_(INF)	195_NT-pro-BNP_(CVD)	0.15632112755211391
152_PD-L1_(INF)	116_IL-17A_(INF)	0.22136159978505265
152_PD-L1_(INF)	137_CCL11_(INF)	0.2702486119278973
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.35544288778967026
152_PD-L1_(INF)	169_CXCL10_(INF)	0.27442588836433224
152_PD-L1_(INF)	173_GAL_(CVD)	0.13352844383384266
107_PlGF_(CVD)	122_TIE2_(CVD)	0.47934604400878644
107_PlGF_(CVD)	193_FS_(CVD)	0.321068220376759
107_PlGF_(CVD)	103_AM_(CVD)	0.46381370669171584
107_PlGF_(CVD)	158_MB_(CVD)	0.3198005245482509
107_PlGF_(CVD)	106_GDF-15_(CVD)	0.5669177084460326
107_PlGF_(CVD)	144_FAS_(CVD)	0.5369751103923806
107_PlGF_(CVD)	121_hK11_(CVD)	0.49006195835068667
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.6331561685901796
107_PlGF_(CVD)	miR-26a-5p	0.2245518941708653
107_PlGF_(CVD)	182_MMP-12_(CVD)	0.3246350961482669
miR-486-5p	miR-93-5p	0.4786489251698125
miR-486-5p	183_SPON1_(CVD)	0.18503129689192743
miR-486-5p	173_GAL_(CVD)	0.1490097748717396
miR-486-5p	miR-16-5p	0.4163812133721452
160_IL-16_(CVD)	129_LOX-1_(CVD)	0.3880630032250654
160_IL-16_(CVD)	186_CX3CL1_(INF)	0.3215525013862539
160_IL-16_(CVD)	144_FAS_(CVD)	0.4079423863626994
160_IL-16_(CVD)	169_CXCL10_(INF)	0.22302573486586752
160_IL-16_(CVD)	131_CD6_(INF)	0.15717911968251919
160_IL-16_(CVD)	miR-29a-3p	0.18006159721390258
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.36576880506766773
112_IL-1ra_(CVD)	miR-130a-3p	0.15532514477047066
112_IL-1ra_(CVD)	155_TRANCE_(INF)	0.14774824498732908
112_IL-1ra_(CVD)	188_NT-3_(INF)	0.14514777227548237
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.3845459017837429
162_U-PAR_(CVD)	118_PAR-1_(CVD)	0.5887760046374044
162_U-PAR_(CVD)	113_IL-6_(CVD)	0.4195645784216939
162_U-PAR_(CVD)	143_RETN_(CVD)	0.42307302929335666
