Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.1894421122809833
122_TIE2_(CVD)	164_CTSD_(CVD)	0.21783871117806974
122_TIE2_(CVD)	159_TM_(CVD)	0.2704371912187735
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.29068633497692975
122_TIE2_(CVD)	172_SIRT2_(CVD)	0.20857817363844688
122_TIE2_(CVD)	177_t-PA_(CVD)	0.1618318788109896
148_PTX3_(CVD)	122_TIE2_(CVD)	0.18944211228098418
148_PTX3_(CVD)	157_IL-12B_(INF)	0.14349074101993597
148_PTX3_(CVD)	125_PDGF subunit B_(CVD)	0.19063682392302006
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.208707342743625
148_PTX3_(CVD)	131_CD6_(INF)	0.1413838577517117
148_PTX3_(CVD)	139_PRL_(CVD)	0.13378680667605192
148_PTX3_(CVD)	152_PD-L1_(INF)	0.19243540811231874
148_PTX3_(CVD)	195_NT-pro-BNP_(CVD)	0.1783093243926137
148_PTX3_(CVD)	154_mAmP_(CVD)	0.12507068768424112
148_PTX3_(CVD)	181_VEGF-D_(CVD)	0.09978218632833435
108_CD244_(INF)	140_MPO_(CVD)	0.24347475073303304
108_CD244_(INF)	168_CXCL6_(INF)	0.1965603099866451
108_CD244_(INF)	131_CD6_(INF)	0.25104868164447947
108_CD244_(INF)	126_IL27-A_(CVD)	0.24245359276883782
108_CD244_(INF)	RNY4-5p	0.18319422435237165
108_CD244_(INF)	111_LAP TGF-beta-1_(INF)	0.32018876946719566
108_CD244_(INF)	165_CD5_(INF)	0.31370919021774935
108_CD244_(INF)	miR-375	0.11965001806826692
108_CD244_(INF)	133_IL-18_(INF)	0.21184556548752376
179_ESM-1_(CVD)	140_MPO_(CVD)	0.1611874604360466
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.208707342743625
179_ESM-1_(CVD)	105_MCP-3_(INF)	0.17764809893954858
179_ESM-1_(CVD)	miR-130a-3p	0.20377361172251796
179_ESM-1_(CVD)	108_SELE_(CVD)	0.12981171005142755
179_ESM-1_(CVD)	miR-122-5p	0.11585279030779372
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2635622629085619
179_ESM-1_(CVD)	151_ST2_(CVD)	0.13771891947344717
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.20741101003497864
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.3238479562929699
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.36420577278113253
129_LOX-1_(CVD)	166_CCL3_(CVD)	0.3190051620072589
129_LOX-1_(CVD)	miR-130a-3p	0.15290555765849234
129_LOX-1_(CVD)	136_MCP-4_(INF)	0.13023638203841958
108_SELE_(CVD)	117_CXCL11_(INF)	0.2053624503787157
108_SELE_(CVD)	185_CCL25_(INF)	0.1340384071319587
108_SELE_(CVD)	179_ESM-1_(CVD)	0.12981171005142755
108_SELE_(CVD)	miR-320a	0.14120637469698494
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.2920558719886479
108_SELE_(CVD)	103_AM_(CVD)	0.15028389515562957
108_SELE_(CVD)	133_IL-18_(INF)	0.12672629044406047
miR-122-5p	196_ECP_(CVD)	0.17225856722316113
miR-122-5p	107_CDCP1_(INF)	0.11205955466426065
miR-122-5p	179_ESM-1_(CVD)	0.11585279030779372
