Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.1009158782540025
122_TIE2_(CVD)	159_TM_(CVD)	0.27964427933576896
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.2285332538097764
122_TIE2_(CVD)	miR-486-5p	0.14378179987384065
122_TIE2_(CVD)	166_CCL3_(CVD)	0.22804957951136284
122_TIE2_(CVD)	144_FGF-21_(INF)	0.19378905936644308
122_TIE2_(CVD)	154_mAmP_(CVD)	0.1309832511623208
122_TIE2_(CVD)	177_t-PA_(CVD)	0.18316649049965328
122_TIE2_(CVD)	144_FAS_(CVD)	0.2811260834306806
148_PTX3_(CVD)	122_TIE2_(CVD)	0.1009158782540025
148_PTX3_(CVD)	195_TNFB_(INF)	0.09768961347363003
148_PTX3_(CVD)	miR-27b-3p	0.09470903594389046
148_PTX3_(CVD)	191_CA-125_(CVD)	0.14438663561017684
148_PTX3_(CVD)	106_GDNF_(INF)	0.10557472768606502
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.1239659847264134
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.19545055309756254
148_PTX3_(CVD)	189_LEP_(CVD)	0.1588234127714907
148_PTX3_(CVD)	186_CX3CL1_(INF)	0.11456608339588303
108_CD244_(INF)	168_CXCL6_(INF)	0.2715530978328662
108_CD244_(INF)	miR-885-5p	0.12254013109399686
108_CD244_(INF)	135_TGF-alpha_(INF)	0.27039786453392445
108_CD244_(INF)	189_TWEAK_(INF)	0.1767170105995941
108_CD244_(INF)	109_IL-7_(INF)	0.21052240693220448
108_CD244_(INF)	117_CXCL11_(INF)	0.26214425325053536
108_CD244_(INF)	126_IL27-A_(CVD)	0.1757885186667396
108_CD244_(INF)	133_IL-18_(INF)	0.18968740806169393
179_ESM-1_(CVD)	140_MPO_(CVD)	0.2917242153521551
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.12396598472641429
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.1384062599883613
179_ESM-1_(CVD)	let-7b-5p	0.09681428218759436
179_ESM-1_(CVD)	141_FGF-5_(INF)	0.14699515325004597
179_ESM-1_(CVD)	174_DNER_(INF)	0.16102830211807628
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.16446349155591022
179_ESM-1_(CVD)	193_FS_(CVD)	0.13953709981383522
179_ESM-1_(CVD)	143_RETN_(CVD)	0.23685332729956166
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.43288575951270936
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3096439103322357
129_LOX-1_(CVD)	189_LEP_(CVD)	0.1730167135871694
108_SELE_(CVD)	164_CTSD_(CVD)	0.15008062646690945
108_SELE_(CVD)	195_NT-pro-BNP_(CVD)	0.18128891150009974
108_SELE_(CVD)	miR-20b-5p	0.10072187671115174
108_SELE_(CVD)	177_t-PA_(CVD)	0.2731779465997688
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3469423858735903
108_SELE_(CVD)	132_SCF_(INF)	0.11149763271606794
108_SELE_(CVD)	194_ADA_(INF)	0.09803005604055937
108_SELE_(CVD)	183_MCP-2_(INF)	0.11943474836625434
108_SELE_(CVD)	160_IL-16_(CVD)	0.15022563138863543
108_SELE_(CVD)	167_MMP-7_(CVD)	0.1463691115229766
108_SELE_(CVD)	166_MIP-1 alpha_(INF)	0.2075251688806521
miR-122-5p	120_TRAIL_(INF)	0.10657370804504218
miR-122-5p	miR-885-5p	0.4632172126889351
miR-122-5p	RNY5-5p	0.36589288415311927
miR-122-5p	132_SCF_(INF)	0.09164918316855264
miR-122-5p	139_PRL_(CVD)	0.16352459384167695
miR-122-5p	123_TF_(CVD)	0.15312612606303144
miR-122-5p	miR-150-5p	0.14669164386597355
miR-122-5p	141_GH_(CVD)	0.09511690977851828
miR-21-5p	189_TWEAK_(INF)	0.16101545563210173
